word sentid sentpos wlen surp entropy entred
where 0 0 5 8.298308372497559 4.428173065185547 0
did 0 1 3 6.0951409339904785 6.733643054962158 0
<unk> 0 2 5 5.938385009765625 1.5319571495056152 5.201685905456543
ask 0 3 3 10.156830787658691 4.6813225746154785 0
who 0 4 3 14.04380989074707 2.3083488941192627 2.372973680496216
<unk> 0 5 5 4.486366271972656 5.596321105957031 0
took 0 6 4 9.151161193847656 8.05358600616455 0
? 0 7 1 2.5764708518981934 4.811062335968018 3.242523670196533
what 1 0 4 1.4391615390777588 4.428173065185547 0
did 1 1 3 0.923110842704773 3.1013269424438477 1.3268461227416992
she 1 2 3 0.12516717612743378 0.7102361917495728 2.391090750694275
say 1 3 3 0.11070297658443451 0.8036713600158691 0
that 1 4 4 0.1558353304862976 0.7227243781089783 0.08094698190689087
<unk> 1 5 5 2.248305559158325 3.573288917541504 0
asked 1 6 5 8.732245445251465 6.453967571258545 0
who 1 7 3 13.354724884033203 2.5798850059509277 3.874082565307617
will 1 8 4 10.397844314575195 3.7576394081115723 0
read 1 9 4 4.571490287780762 6.489713668823242 0
? 1 10 1 0.02988419309258461 0.23225051164627075 6.257463157176971
where 2 0 5 8.298308372497559 4.428173065185547 0
did 2 1 3 6.0951409339904785 6.733643054962158 0
<unk> 2 2 5 5.938385009765625 1.5319571495056152 5.201685905456543
ask 2 3 3 10.156830787658691 4.6813225746154785 0
how 2 4 3 7.971078872680664 2.3083488941192627 2.372973680496216
<unk> 2 5 5 5.3166937828063965 2.9664289951324463 0
went 2 6 4 7.454376220703125 8.062667846679688 0
? 2 7 1 4.292032241821289 1.5772184133529663 6.485449433326721
what 3 0 4 1.4391615390777588 4.428173065185547 0
did 3 1 3 0.923110842704773 3.1013269424438477 1.3268461227416992
will 3 2 4 19.801834106445312 0.7102361917495728 2.391090750694275
ask 3 3 3 12.460087776184082 6.940483093261719 0
why 3 4 3 5.837090015411377 2.7338201999664307 4.206662893295288
<unk> 3 5 5 3.160922050476074 4.96573543548584 0
wears 3 6 5 10.439407348632812 7.604362964630127 0
? 3 7 1 0.03006982058286667 0.2619291841983795 7.342433780431747
what 4 0 4 1.4391615390777588 4.428173065185547 0
did 4 1 3 0.923110842704773 3.1013269424438477 1.3268461227416992
she 4 2 3 0.12516717612743378 0.7102361917495728 2.391090750694275
say 4 3 3 0.11070297658443451 0.8036713600158691 0
that 4 4 4 0.1558353304862976 0.7227243781089783 0.08094698190689087
will 4 5 4 11.663300514221191 3.573288917541504 0
