word sentid sentpos wlen surp entropy entred
he 0 0 2 4.981414794921875 7.258260726928711 0
does 0 1 4 8.412140846252441 7.261035919189453 0
think 0 2 5 11.814835548400879 1.9933425188064575 5.267693400382996
? 0 3 1 14.531282424926758 4.7349395751953125 0
died 1 0 4 12.343533515930176 6.613735198974609 0
how 1 1 3 16.34469223022461 4.655255317687988 1.958479881286621
that 1 2 4 8.572970390319824 6.039187908172607 0
she 1 3 3 6.6165771484375 8.36556625366211 0
did 2 0 3 9.85816478729248 7.012343406677246 0
that 2 1 4 5.847653388977051 7.531225681304932 0
had 2 2 3 10.26270866394043 7.02132511138916 0.5099005699157715
know 2 3 4 16.932859420776367 7.190232276916504 0
he 2 4 2 5.932475566864014 6.307168483734131 0.883063793182373
she 2 5 3 12.072846412658691 7.0732951164245605 0
? 2 6 1 8.80917739868164 7.582155227661133 0
died 3 0 4 7.652735233306885 6.988701343536377 0
how 3 1 3 4.332286834716797 6.3828864097595215 0.6058149337768555
on 4 0 2 7.980515956878662 6.782841682434082 0
test 4 1 4 13.552506446838379 5.210343837738037 1.572497844696045
a 4 2 1 9.22201156616211 8.78044319152832 0
? 4 3 1 8.480365753173828 9.676337242126465 0
the 5 0 3 6.474414825439453 7.093442916870117 0
got 5 1 3 15.70551586151123 10.570384979248047 0
perfect 5 2 7 11.056734085083008 9.181479454040527 1.3889055252075195
that 5 3 4 6.746519565582275 8.228804588317871 0.9526748657226562
he 5 4 2 4.3411383628845215 5.835200786590576 2.393603801727295
how 5 5 3 12.277496337890625 4.021901607513428 1.8132991790771484
claim 5 6 5 21.791772842407227 2.136894702911377 1.8850069046020508
score 5 7 5 18.425302505493164 3.2497408390045166 0
does 5 8 4 9.668399810791016 3.1351752281188965 0.11456561088562012
he 5 9 2 6.209107398986816 3.3057432174682617 0
<unk> 6 0 5 5.49107551574707 7.1992411613464355 0
that 6 1 4 6.493879318237305 7.772447109222412 0
says 6 2 4 11.522706031799316 6.070515155792236 1.7019319534301758
my 6 3 2 10.76732063293457 5.176131248474121 0.8943839073181152
did 6 4 3 11.896465301513672 10.22349739074707 0
that 6 5 4 1.4737768173217773 5.187817096710205 5.035680294036865
hear 6 6 4 14.031310081481934 6.898493766784668 0
how 6 7 3 4.746631145477295 6.583263874053955 0.3152298927307129
tired 6 8 5 15.739457130432129 5.256893157958984 1.3263707160949707
sister 6 9 6 17.006359100341797 6.329520225524902 0
today 6 10 5 13.959662437438965 7.395380973815918 0
he 6 11 2 4.224067211151123 6.751928806304932 0.6434521675109863
is 6 12 2 4.519891262054443 7.370809555053711 0
? 6 13 1 6.254469871520996 7.970905303955078 0
she 7 0 3 6.249598979949951 7.638464450836182 0
that 7 1 4 5.071209907531738 7.923813343048096 0
know 7 2 4 11.83834171295166 6.449488162994385 1.474325180053711
does 7 3 4 10.850643157958984 4.286740303039551 2.162747859954834
pregnant 7 4 8 21.68239974975586 3.112762928009033 1.1739773750305176
? 7 5 1 6.95446252822876 6.8504109382629395 0
she 8 0 3 4.516068935394287 7.726000785827637 0
how 8 1 3 6.951073169708252 7.223725318908691 0.5022754669189453
is 8 2 2 6.394915580749512 7.99416971206665 0
easy 9 0 4 16.72345733642578 6.172544002532959 0
does 9 1 4 9.182065963745117 8.244267463684082 0
<unk> 9 2 5 7.04301643371582 7.523667335510254 0.7206001281738281
this 9 3 4 7.7224225997924805 6.653202533721924 0.8704648017883301
language 9 4 8 14.594112396240234 7.181088924407959 0
someone 9 5 7 14.722237586975098 5.4651103019714355 1.7159786224365234
? 9 6 1 3.5462729930877686 6.376720428466797 0
that 10 0 4 5.463461399078369 6.666854381561279 0
speaks 10 1 6 15.139164924621582 7.351474761962891 0
how 10 2 3 3.776404619216919 5.415842056274414 1.9356327056884766
is 10 3 2 3.2987940311431885 5.481463432312012 0
believe 10 4 7 19.861783981323242 0.20969073474407196 5.27177269756794
a 10 5 1 6.613663196563721 5.2171196937561035 0
who 10 6 3 9.29450511932373 7.3164544105529785 0
he 11 0 2 4.581911563873291 7.243129730224609 0
did 11 1 3 7.838883876800537 3.6675829887390137 3.5755467414855957
is 11 2 2 5.372569561004639 6.354393005371094 0
that 11 3 4 5.823750972747803 6.786688804626465 0
last 11 4 4 12.110417366027832 6.667064189910889 0.11962461471557617
day 11 5 3 5.369507312774658 7.451843738555908 0
how 11 6 3 3.108107805252075 6.21305513381958 1.2387886047363281
today 11 7 5 10.324743270874023 4.887246131896973 1.3258090019226074
say 11 8 3 11.402170181274414 5.3428874015808105 0
? 11 9 1 5.3947672843933105 4.90480375289917 0.4380836486816406
his 12 0 3 7.804940223693848 6.7751030921936035 0
that 13 0 4 3.7418997287750244 6.7491631507873535 0
does 13 1 4 5.550310134887695 8.17066764831543 0
bill 13 2 4 14.42161750793457 6.980584621429443 1.1900830268859863
where 13 3 5 9.971319198608398 6.869409561157227 0.1111750602722168
? 13 4 1 4.871227264404297 7.0870184898376465 0
fell 14 0 4 13.733098030090332 5.280775547027588 0
<unk> 14 1 5 7.602254390716553 5.975366115570068 0
asleep 14 2 6 14.219502449035645 5.207887649536133 0.7674784660339355
think 14 3 5 14.856670379638672 4.902805805206299 0.305081844329834
hear 15 0 4 17.2745418548584 6.5147528648376465 0
<unk> 15 1 5 5.5677971839904785 4.914793491363525 1.599959373474121
where 15 2 5 6.424283504486084 5.115248203277588 0
asleep 15 3 6 15.364184379577637 5.814736843109131 0
that 15 4 4 4.508195877075195 6.431926727294922 0
did 15 5 3 6.882795333862305 3.470564842224121 2.961361885070801
? 15 6 1 4.864758014678955 6.264483451843262 0
fell 16 0 4 10.136667251586914 7.056834697723389 0
bill 16 1 4 12.626502990722656 5.308116436004639 1.74871826171875
