word sentid sentpos wlen surp entropy entred
he 0 0 2 6.250212669372559 6.618821620941162 0
does 0 1 4 8.89976978302002 7.197269439697266 0
think 0 2 5 10.423763275146484 2.2516186237335205 4.945650815963745
? 0 3 1 15.42628288269043 4.72724723815918 0
died 1 0 4 13.921573638916016 6.8040452003479 0
how 1 1 3 13.782976150512695 5.048297882080078 1.7557473182678223
that 1 2 4 9.482177734375 6.224517345428467 0
she 1 3 3 6.934647560119629 7.681763172149658 0
did 2 0 3 9.24870777130127 7.4781718254089355 0
that 2 1 4 6.8525543212890625 6.851323127746582 0.6268486976623535
had 2 2 3 7.905932903289795 7.5361647605896 0
know 2 3 4 16.047096252441406 6.86509895324707 0.6710658073425293
he 2 4 2 6.5623602867126465 5.271378993988037 1.5937199592590332
she 2 5 3 11.958253860473633 6.56723165512085 0
? 2 6 1 6.967464447021484 7.194389343261719 0
died 3 0 4 8.381216049194336 7.611108779907227 0
how 3 1 3 3.573451519012451 6.177884578704834 1.4332242012023926
on 4 0 2 7.969293594360352 7.570521354675293 0
test 4 1 4 13.588592529296875 5.6478071212768555 1.9227142333984375
a 4 2 1 8.921876907348633 8.862277030944824 0
? 4 3 1 7.2460198402404785 9.159892082214355 0
the 5 0 3 5.954357147216797 7.2038092613220215 0
got 5 1 3 15.269964218139648 10.406207084655762 0
perfect 5 2 7 12.586247444152832 8.97492504119873 1.4312820434570312
that 5 3 4 8.848673820495605 4.493783473968506 4.481141567230225
he 5 4 2 6.925327301025391 0.9961602687835693 3.4976232051849365
how 5 5 3 14.26625919342041 0.5366387367248535 0.4595215320587158
claim 5 6 5 23.082216262817383 1.0760796070098877 0
score 5 7 5 23.131526947021484 0.22804874181747437 0.8480308651924133
does 5 8 4 13.95760440826416 0.22033743560314178 0.007711306214332581
he 5 9 2 6.562729358673096 1.1995570659637451 0
<unk> 6 0 5 4.878508567810059 7.733942031860352 0
that 6 1 4 7.359877109527588 7.109899520874023 0.6240425109863281
says 6 2 4 12.260416030883789 4.599481582641602 2.510417938232422
my 6 3 2 11.716217994689941 4.453648567199707 0.14583301544189453
did 6 4 3 14.031866073608398 9.685056686401367 0
that 6 5 4 2.960847854614258 6.525580406188965 3.1594762802124023
hear 6 6 4 14.584160804748535 4.049398422241211 2.476181983947754
how 6 7 3 4.49037504196167 6.331552982330322 0
tired 6 8 5 19.080577850341797 2.7025511264801025 3.6290018558502197
sister 6 9 6 16.004899978637695 1.831325650215149 0.8712254762649536
today 6 10 5 13.15556812286377 6.634469985961914 0
he 6 11 2 1.8216233253479004 5.389197826385498 1.245272159576416
is 6 12 2 5.0839433670043945 5.295050621032715 0.0941472053527832
? 6 13 1 4.753471374511719 7.562124729156494 0
she 7 0 3 6.497188091278076 8.17460823059082 0
that 7 1 4 7.410913944244385 7.376443862915039 0.7981643676757812
know 7 2 4 11.762383460998535 7.57689094543457 0
does 7 3 4 12.01632308959961 6.321023941040039 1.2558670043945312
pregnant 7 4 8 21.492019653320312 4.90749454498291 1.413529396057129
? 7 5 1 6.747803211212158 7.567362308502197 0
she 8 0 3 4.2009196281433105 8.178960800170898 0
how 8 1 3 7.724931716918945 8.029166221618652 0.1497945785522461
is 8 2 2 6.690582752227783 7.591948986053467 0.43721723556518555
easy 9 0 4 19.019676208496094 2.88458514213562 0
does 9 1 4 8.178266525268555 7.53745698928833 0
<unk> 9 2 5 5.146705627441406 8.093950271606445 0
this 9 3 4 9.108814239501953 6.404550552368164 1.6893997192382812
language 9 4 8 13.398303985595703 5.944786071777344 0.4597644805908203
someone 9 5 7 15.979772567749023 5.511550426483154 0.43323564529418945
? 9 6 1 2.8399438858032227 6.376297950744629 0
that 10 0 4 6.61251974105835 5.348260879516602 0
speaks 10 1 6 14.858301162719727 8.203493118286133 0
how 10 2 3 3.0821468830108643 6.770900726318359 1.4325923919677734
is 10 3 2 3.0605764389038086 6.935823440551758 0
believe 10 4 7 13.340107917785645 4.714934825897217 2.220888614654541
a 10 5 1 6.482096195220947 6.011544704437256 0
who 10 6 3 10.782346725463867 8.702159881591797 0
he 11 0 2 4.786745071411133 7.243863105773926 0
did 11 1 3 8.286828994750977 3.2956299781799316 3.948233127593994
is 11 2 2 5.900155067443848 6.615127086639404 0
that 11 3 4 5.504771709442139 7.763421535491943 0
last 11 4 4 11.157242774963379 7.578629493713379 0.18479204177856445
day 11 5 3 6.013638973236084 8.776068687438965 0
how 11 6 3 4.792802810668945 7.144744873046875 1.6313238143920898
today 11 7 5 13.412108421325684 2.464824914932251 4.679919958114624
say 11 8 3 10.836910247802734 4.829525947570801 0
? 11 9 1 2.5527427196502686 4.811814785003662 0.017711162567138672
his 12 0 3 7.44596004486084 6.671934127807617 0
that 13 0 4 3.4701128005981445 7.434048175811768 0
does 13 1 4 6.093155384063721 8.148201942443848 0
bill 13 2 4 12.653066635131836 6.813330173492432 1.334871768951416
where 13 3 5 12.262258529663086 4.789588928222656 2.0237412452697754
? 13 4 1 2.5800065994262695 6.020197868347168 0
fell 14 0 4 13.101823806762695 5.8799920082092285 0
<unk> 14 1 5 7.212198257446289 6.760461330413818 0
asleep 14 2 6 13.752284049987793 6.72548246383667 0.03497886657714844
think 14 3 5 15.50563907623291 5.6424665451049805 1.0830159187316895
hear 15 0 4 14.914340019226074 7.099411964416504 0
<unk> 15 1 5 5.498855113983154 4.216923713684082 2.882488250732422
where 15 2 5 5.489531993865967 6.714540481567383 0
asleep 15 3 6 17.205657958984375 5.1519622802734375 1.5625782012939453
that 15 4 4 3.9918456077575684 6.238126754760742 0
did 15 5 3 6.8875908851623535 3.548251152038574 2.689875602722168
? 15 6 1 4.170370101928711 7.067460536956787 0
fell 16 0 4 9.706850051879883 7.052849769592285 0
bill 16 1 4 13.706148147583008 4.995481491088867 2.057368278503418
pointed 17 0 7 14.1190767288208 7.810270309448242 0
<unk> 17 1 5 3.8098044395446777 7.055709362030029 0.7545609474182129
the 17 2 3 8.254611015319824 7.568747520446777 0
the 17 3 3 10.289685249328613 9.2476224899292 0
