word sentid sentpos wlen surp entropy entred
and 0 0 3 5.5206217765808105 7.2582621574401855 0
? 0 1 1 15.043340682983398 7.739470481872559 0
what 1 0 4 11.479862213134766 5.90863037109375 0
<unk> 1 1 5 5.388175010681152 6.4697465896606445 0
beans 1 2 5 21.18153190612793 7.354384899139404 0
like 1 3 4 6.062675476074219 6.395191192626953 0.9591937065124512
does 1 4 4 10.55676555633545 6.9034881591796875 0
and 2 0 3 1.7308762073516846 6.449326992034912 0
likes 2 1 5 17.32135009765625 6.058596134185791 0.3907308578491211
? 2 2 1 7.1814093589782715 6.0006303787231445 0.057965755462646484
like 3 0 4 10.763914108276367 3.7533364295959473 0
<unk> 3 1 5 2.664567470550537 6.732381343841553 0
cars 3 2 4 15.220340728759766 4.689766883850098 2.042614459991455
not 3 3 3 11.169665336608887 4.409187316894531 0.2805795669555664
what 3 4 4 12.117955207824707 7.981877326965332 0
did 3 5 3 8.701048851013184 7.124725818634033 0.8571515083312988
they 3 6 4 3.6262454986572266 4.496983528137207 2.627742290496826
that 3 7 4 12.962019920349121 6.2132720947265625 0
beans 4 0 5 19.197702407836914 5.328945636749268 0
<unk> 4 1 5 5.267167568206787 5.583962440490723 0
and 4 2 3 2.082170248031616 6.0183587074279785 0
what 4 3 4 8.060784339904785 6.740514755249023 0
did 4 4 3 6.2499237060546875 6.7960686683654785 0
? 4 5 1 5.43917179107666 4.850047588348389 1.9460210800170898
eat 5 0 3 16.506906509399414 6.864809989929199 0
did 6 0 3 8.716596603393555 8.255061149597168 0
and 6 1 3 6.161791801452637 4.73547887802124 3.5195822715759277
you 6 2 3 9.996103286743164 4.330523490905762 0.4049553871154785
give 6 3 4 9.561717987060547 4.703220844268799 0
me 6 4 2 3.3897361755371094 5.370553970336914 0
what 6 5 4 4.303239345550537 3.461749315261841 1.9088046550750732
<unk> 6 6 5 6.779473304748535 2.434194564819336 1.0275547504425049
loan 6 7 4 20.863412857055664 2.753058433532715 0
to 6 8 2 9.22034740447998 1.5312365293502808 1.221821904182434
to 6 9 2 10.158919334411621 3.810223340988159 0
? 6 10 1 2.140721321105957 6.615447521209717 0
waiting 7 0 7 15.819976806640625 8.121201515197754 0
is 7 1 2 8.09825325012207 4.11837911605835 4.002822399139404
call 7 2 4 16.134490966796875 8.03919506072998 0
he 7 3 2 9.815412521362305 6.672178268432617 1.3670167922973633
and 7 4 3 4.815781116485596 7.377371311187744 0
to 7 5 2 7.241765022277832 5.90431022644043 1.4730610847473145
whom 7 6 4 8.892045974731445 8.530017852783203 0
