word sentid sentpos wlen surp entropy entred
and 0 0 3 6.373233318328857 6.484094142913818 0
? 0 1 1 14.553309440612793 7.793623447418213 0
what 1 0 4 12.1277437210083 4.865997314453125 0
<unk> 1 1 5 4.483648300170898 6.147839069366455 0
beans 1 2 5 21.58289909362793 7.190680027008057 0
like 1 3 4 8.155981063842773 7.01242208480835 0.17825794219970703
does 1 4 4 10.90172290802002 6.209066390991211 0.8033556938171387
and 2 0 3 2.1674087047576904 6.665712356567383 0
likes 2 1 5 15.511405944824219 6.820333003997803 0
? 2 2 1 7.815829277038574 5.717671871185303 1.1026611328125
like 3 0 4 10.774137496948242 2.3967597484588623 0
<unk> 3 1 5 3.1050784587860107 6.655900478363037 0
cars 3 2 4 14.556818008422852 4.438889503479004 2.217010974884033
not 3 3 3 12.324849128723145 4.028575420379639 0.41031408309936523
what 3 4 4 10.454339981079102 8.009422302246094 0
did 3 5 3 8.416078567504883 6.6080217361450195 1.4014005661010742
they 3 6 4 5.69662618637085 6.39229154586792 0.2157301902770996
that 3 7 4 15.314496040344238 7.189059734344482 0
beans 4 0 5 17.920896530151367 6.066648960113525 0
<unk> 4 1 5 4.0440545082092285 6.002872943878174 0.06377601623535156
and 4 2 3 2.864417791366577 7.19945764541626 0
what 4 3 4 7.569793701171875 7.052880764007568 0.1465768814086914
did 4 4 3 4.911863803863525 6.4286627769470215 0.6242179870605469
? 4 5 1 4.79832649230957 5.6178131103515625 0.810849666595459
eat 5 0 3 15.575740814208984 7.179836273193359 0
did 6 0 3 7.8864240646362305 7.863866329193115 0
and 6 1 3 5.321420669555664 4.296010971069336 3.5678553581237793
you 6 2 3 5.518640995025635 4.100320816040039 0.19569015502929688
give 6 3 4 9.50711727142334 6.390965938568115 0
me 6 4 2 1.5067411661148071 4.195448875427246 2.195517063140869
what 6 5 4 3.1807868480682373 6.460017204284668 0
<unk> 6 6 5 6.747311592102051 1.8749778270721436 4.585039377212524
loan 6 7 4 21.136262893676758 4.801048755645752 0
to 6 8 2 7.306593418121338 3.726881980895996 1.0741667747497559
to 6 9 2 11.70171070098877 6.224774360656738 0
? 6 10 1 2.8247148990631104 7.4234747886657715 0
waiting 7 0 7 14.563282012939453 7.755147457122803 0
is 7 1 2 8.933682441711426 4.433589458465576 3.3215579986572266
call 7 2 4 16.576154708862305 7.931283950805664 0
he 7 3 2 10.10805892944336 5.613117218017578 2.318166732788086
and 7 4 3 3.8223538398742676 7.026910781860352 0
to 7 5 2 9.187599182128906 5.878689765930176 1.1482210159301758
whom 7 6 4 9.83275032043457 6.686163902282715 0
trying 7 7 6 13.625225067138672 5.81190824508667 0.8742556571960449
for 7 8 3 6.805490970611572 2.537318706512451 3.2745895385742188
? 7 9 1 4.682020664215088 6.1456170082092285 0
and 8 0 3 2.1525349617004395 7.710171222686768 0
you 8 1 3 9.957119941711426 7.202156066894531 0.5080151557922363
that 8 2 4 6.246321678161621 7.359849452972412 0
sister 8 3 6 17.000587463378906 8.036209106445312 0
did 8 4 3 6.590546607971191 7.226637363433838 0.8095717430114746
my 8 5 2 12.498501777648926 4.490253448486328 2.7363839149475098
sang 8 6 4 19.47376823425293 9.759014129638672 0
danced 8 7 6 20.222026824951172 6.572966575622559 3.1860475540161133
for 8 8 3 4.871801853179932 6.180868625640869 0.39209794998168945
hear 8 9 4 14.286333084106445 6.915306091308594 0
for 8 10 3 6.380005359649658 6.981897830963135 0
me 8 11 2 4.565061569213867 7.2185587882995605 0
<unk> 8 12 5 7.146168231964111 4.859904766082764 2.358654022216797
what 8 13 4 5.811999797821045 6.7834343910217285 0
? 8 14 1 3.704376220703125 6.8321027755737305 0
<unk> 9 0 5 3.9040000438690186 8.110241889953613 0
? 9 1 1 8.49939250946045 6.635084629058838 1.4751572608947754
of 10 0 2 9.996816635131836 3.3361592292785645 0
