word sentid sentpos wlen surp entropy entred
and 0 0 3 6.116236686706543 6.618821144104004 0
? 0 1 1 15.208489418029785 7.329372882843018 0
what 1 0 4 11.420297622680664 5.022745132446289 0
<unk> 1 1 5 4.674674987792969 6.72665548324585 0
beans 1 2 5 23.007017135620117 7.345294952392578 0
like 1 3 4 9.70732307434082 6.6904754638671875 0.6548194885253906
does 1 4 4 11.360400199890137 7.173583984375 0
and 2 0 3 1.5469019412994385 5.907066345214844 0
likes 2 1 5 16.07607078552246 7.2617645263671875 0
? 2 2 1 6.382438659667969 6.461936950683594 0.7998275756835938
like 3 0 4 11.5074462890625 2.908651113510132 0
<unk> 3 1 5 1.9313031435012817 6.538588523864746 0
cars 3 2 4 15.720908164978027 4.424407482147217 2.1141810417175293
not 3 3 3 11.792450904846191 4.8793864250183105 0
what 3 4 4 11.116861343383789 7.80250883102417 0
did 3 5 3 9.35248851776123 7.092387676239014 0.7101211547851562
they 3 6 4 4.18420934677124 6.450892925262451 0.6414947509765625
that 3 7 4 13.283843994140625 6.97930908203125 0
beans 4 0 5 16.615314483642578 4.608524322509766 0
<unk> 4 1 5 5.202521324157715 5.439169883728027 0
and 4 2 3 2.365708589553833 6.978991985321045 0
what 4 3 4 9.169930458068848 7.022511005401611 0
did 4 4 3 6.7644147872924805 6.654035568237305 0.36847543716430664
? 4 5 1 7.432394504547119 5.728551864624023 0.9254837036132812
eat 5 0 3 17.10920524597168 6.032284736633301 0
did 6 0 3 8.184430122375488 7.305215358734131 0
and 6 1 3 6.647354602813721 4.093484878540039 3.211730480194092
you 6 2 3 9.328778266906738 2.186439275741577 1.907045602798462
give 6 3 4 10.142496109008789 4.66692590713501 0
me 6 4 2 3.797640085220337 3.2226452827453613 1.4442806243896484
what 6 5 4 5.64417839050293 1.8214056491851807 1.4012396335601807
<unk> 6 6 5 8.240307807922363 0.6174930334091187 1.203912615776062
loan 6 7 4 24.44154167175293 2.526207208633423 0
to 6 8 2 11.858238220214844 0.1850302666425705 2.3411769419908524
to 6 9 2 15.791131019592285 0.6289193630218506 0
? 6 10 1 0.16124723851680756 1.1779536008834839 0
waiting 7 0 7 13.7152738571167 7.98718786239624 0
is 7 1 2 7.737292289733887 6.027444839477539 1.9597430229187012
call 7 2 4 16.431264877319336 8.661273956298828 0
he 7 3 2 11.620742797851562 5.62472677230835 3.0365471839904785
