word sentid sentpos wlen surp entropy entred
like 0 0 4 11.41423225402832 6.618821620941162 0
does 0 1 4 16.90915870666504 4.8713459968566895 1.7474756240844727
account 0 2 7 12.123641967773438 5.23928165435791 0
<unk> 0 3 5 5.6023030281066895 3.514469861984253 1.7248117923736572
? 0 4 1 9.71371078491211 6.472534656524658 0
whose 1 0 5 11.452279090881348 6.859660625457764 0
a 2 0 1 5.385702610015869 7.281622886657715 0
? 2 1 1 14.50528621673584 9.982213020324707 0
did 3 0 3 11.416977882385254 4.904462814331055 0
he 3 1 2 8.005049705505371 5.998444557189941 0
how 3 2 3 16.731128692626953 8.34302806854248 0
buy 3 3 3 15.071807861328125 5.792839527130127 2.5501885414123535
boat 3 4 4 15.811342239379883 6.840475559234619 0
expensive 3 5 9 19.25128173828125 7.8108391761779785 0
like 4 0 4 8.620750427246094 6.262763977050781 0
whose 4 1 5 11.462749481201172 6.386917591094971 0
boat 4 2 4 10.571983337402344 9.375845909118652 0
? 4 3 1 2.4130337238311768 7.7864484786987305 1.5893974304199219
does 5 0 4 10.473882675170898 7.1661529541015625 0
<unk> 5 1 5 5.003037929534912 6.666731834411621 0.4994211196899414
trumpet 6 0 7 18.845794677734375 7.403720378875732 0
did 6 1 3 9.491103172302246 6.3782196044921875 1.025500774383545
? 6 2 1 12.392142295837402 2.991257429122925 3.3869621753692627
loaned 7 0 6 18.38188362121582 8.411186218261719 0
that 7 1 4 7.808090686798096 6.711020469665527 1.7001657485961914
like 7 2 4 11.118820190429688 8.687629699707031 0
a 7 3 1 3.143129825592041 7.445279598236084 1.2423501014709473
they 7 4 4 14.493961334228516 7.929211139678955 0
not 7 5 3 10.09872817993164 7.34733772277832 0.5818734169006348
<unk> 7 6 5 5.207742691040039 6.870991230010986 0.476346492767334
how 7 7 3 11.272351264953613 6.201114654541016 0.6698765754699707
yellow 7 8 6 13.763555526733398 5.660083770751953 0.5410308837890625
they 8 0 4 8.793322563171387 8.521305084228516 0
he 8 1 2 9.416367530822754 7.842253684997559 0.679051399230957
told 8 2 4 8.852874755859375 8.662664413452148 0
how 8 3 3 7.394149303436279 5.921347618103027 2.741316795349121
not 8 4 3 9.051443099975586 7.032303333282471 0
? 8 5 1 7.453650951385498 6.600212097167969 0.43209123611450195
that 9 0 4 6.973947525024414 8.63894271850586 0
did 9 1 3 5.573469161987305 7.316587924957275 1.322354793548584
like 9 2 4 8.674761772155762 2.475645065307617 4.840942859649658
silly 9 3 5 15.539130210876465 7.114015579223633 0
<unk> 9 4 5 4.431357383728027 7.691734790802002 0
she 10 0 3 8.710140228271484 8.058175086975098 0
he 10 1 2 6.938895225524902 6.957714080810547 1.1004610061645508
that 10 2 4 7.705060958862305 7.689060211181641 0
a 10 3 1 6.360032558441162 7.755232334136963 0
is 10 4 2 7.522436141967773 10.212017059326172 0
good 10 5 4 8.68475341796875 6.99133825302124 3.2206788063049316
hear 10 6 4 17.01239776611328 6.49907112121582 0.4922671318054199
how 10 7 3 3.957082986831665 6.327456951141357 0.1716141700744629
did 10 8 3 6.441347599029541 5.538945198059082 0.7885117530822754
? 10 9 1 6.774505138397217 4.107624053955078 1.431321144104004
teacher 11 0 7 15.836810111999512 7.462458610534668 0
she 12 0 3 6.459600925445557 7.9261698722839355 0
book 12 1 4 14.240060806274414 4.173502445220947 3.7526674270629883
buy 12 2 3 15.918957710266113 5.79455041885376 0
did 12 3 3 8.786627769470215 6.44672155380249 0
whose 12 4 5 13.118060111999512 4.179567337036133 2.2671542167663574
? 12 5 1 11.424570083618164 0.30626949667930603 3.873297840356827
whose 13 0 5 5.93663215637207 8.500847816467285 0
you 13 1 3 10.50737476348877 3.8614916801452637 4.6393561363220215
did 13 2 3 1.2604658603668213 5.217041015625 0
? 13 3 1 2.213364362716675 6.117756366729736 0
picture 14 0 7 15.485100746154785 4.0021281242370605 0
see 14 1 3 13.357742309570312 5.264893054962158 0
for 15 0 3 10.065374374389648 8.559673309326172 0
eat 15 1 3 15.621068954467773 8.437599182128906 0.12207412719726562
did 15 2 3 5.064711093902588 6.845250606536865 1.592348575592041
<unk> 15 3 5 9.213019371032715 0.9386109113693237 5.9066396951675415
lunch 15 4 5 15.262335777282715 2.4092798233032227 0
how 15 5 3 9.305261611938477 3.2094364166259766 0
salad 15 6 5 20.214134216308594 2.7912373542785645 0.4181990623474121
large 15 7 5 21.416259765625 0.6356267929077148 2.1556105613708496
a 15 8 1 10.314043045043945 2.6280272006988525 0
? 15 9 1 0.48381590843200684 2.75848126411438 0
sister 16 0 6 10.350942611694336 9.246553421020508 0
? 16 1 1 12.057254791259766 1.5802079439163208 7.666345477104187
my 17 0 2 10.63473129272461 9.706401824951172 0
whose 17 1 5 8.352656364440918 9.259859085083008 0.44654273986816406
does 17 2 4 11.580351829528809 3.102360486984253 6.157498598098755
like 17 3 4 5.873517036437988 3.5531649589538574 0
shows 17 4 5 15.551909446716309 6.412902355194092 0
possibilities 18 0 13 16.74921417236328 9.303069114685059 0
<unk> 18 1 5 5.726778984069824 7.651251316070557 1.651817798614502
how 18 2 3 6.738603591918945 6.887613296508789 0.7636380195617676
? 18 3 1 7.61212682723999 7.615069389343262 0
like 19 0 4 5.862732887268066 9.683354377746582 0
does 19 1 4 4.12977933883667 7.9671783447265625 1.7161760330200195
good 19 2 4 13.319523811340332 4.416304111480713 3.5508742332458496
teacher 20 0 7 8.09740924835205 7.863696098327637 0
how 20 1 3 6.613293647766113 3.6601715087890625 4.203524589538574
is 20 2 2 9.364706039428711 2.1789722442626953 1.4811992645263672
a 20 3 1 3.7971317768096924 7.435503959655762 0
? 20 4 1 1.354379415512085 6.491543769836426 0.9439601898193359
fair 21 0 4 13.134452819824219 7.141010761260986 0
<unk> 21 1 5 5.7632012367248535 9.314656257629395 0
that 22 0 4 6.637565612792969 8.567230224609375 0
how 22 1 3 8.894268989562988 6.493015289306641 2.0742149353027344
waiting 22 2 7 15.9463529586792 4.576898097991943 1.9161171913146973
did 22 3 3 4.612870693206787 5.574822425842285 0
say 22 4 3 13.603424072265625 5.562778949737549 0.012043476104736328
are 22 5 3 9.881686210632324 5.405792713165283 0.15698623657226562
she 22 6 3 10.594706535339355 5.979183673858643 0
woman 22 7 5 14.5054931640625 6.306680679321289 0
you 22 8 3 8.851785659790039 6.0998215675354 0.20685911178588867
? 22 9 1 6.590324401855469 6.323563575744629 0
a 23 0 1 4.852249622344971 8.236510276794434 0
for 23 1 3 10.640732765197754 6.638556957244873 1.5979533195495605
pretty 23 2 6 13.655597686767578 7.43308687210083 0
second 24 0 6 10.916462898254395 7.574246883392334 0
<unk> 24 1 5 2.3689510822296143 8.226800918579102 0
problem 24 2 7 15.442330360412598 5.090513706207275 3.136287212371826
solve 24 3 5 16.660476684570312 6.056772708892822 0
how 24 4 3 4.460834980010986 7.47361946105957 0
did 24 5 3 6.110522747039795 7.3770036697387695 0.09661579132080078
? 24 6 1 3.7459378242492676 6.46919059753418 0.9078130722045898
the 25 0 3 7.276130676269531 8.300042152404785 0
did 26 0 3 7.436422348022461 4.676075458526611 0
