word sentid sentpos wlen surp entropy entred
? 0 0 1 12.546242713928223 7.258260726928711 0
took 1 0 4 11.696685791015625 4.0851030349731445 0
<unk> 1 1 5 4.240396976470947 6.036301612854004 0
ask 1 2 3 20.288619995117188 6.254631996154785 0
where 1 3 5 10.289828300476074 6.210582256317139 0.044049739837646484
who 1 4 3 10.592771530151367 5.78138542175293 0.429196834564209
did 1 5 3 6.498438835144043 7.214723587036133 0
<unk> 1 6 5 8.516745567321777 2.8436639308929443 4.3710596561431885
read 2 0 4 16.07636260986328 4.923061847686768 0
who 2 1 3 11.604632377624512 6.13859748840332 0
that 2 2 4 9.039301872253418 7.737908840179443 0
<unk> 2 3 5 2.6201486587524414 7.637597560882568 0.100311279296875
asked 2 4 5 9.047463417053223 6.748093605041504 0.8895039558410645
will 2 5 4 10.842004776000977 5.483006000518799 1.265087604522705
say 2 6 3 11.382803916931152 5.300865650177002 0.18214035034179688
? 2 7 1 4.5934858322143555 5.0320329666137695 0.2688326835632324
what 3 0 4 12.113697052001953 5.590653896331787 0
did 3 1 3 6.323661804199219 6.798470973968506 0
she 3 2 3 7.599351406097412 4.767573356628418 2.030897617340088
? 4 0 1 3.1588916778564453 8.152963638305664 0
<unk> 5 0 5 19.843368530273438 0.0013975418405607343 0
did 5 1 3 10.799866676330566 0.7876536250114441 0
where 5 2 5 10.747754096984863 6.710241794586182 0
<unk> 5 3 5 2.283261775970459 6.219967842102051 0.49027395248413086
how 5 4 3 16.763729095458984 4.25324010848999 1.9667277336120605
ask 5 5 3 14.370697975158691 5.919373035430908 0
went 5 6 4 15.136672019958496 4.1593337059021 1.7600393295288086
will 6 0 4 16.797441482543945 0.047277044504880905 0
? 6 1 1 4.803290367126465 7.80833101272583 0
why 7 0 3 13.501728057861328 4.282865524291992 0
ask 7 1 3 12.75271987915039 6.2016119956970215 0
<unk> 7 2 5 3.1289525032043457 6.789301872253418 0
what 7 3 4 5.634675979614258 5.612545967102051 1.1767559051513672
wears 7 4 5 21.22629737854004 3.993410348892212 1.6191356182098389
did 7 5 3 9.83847713470459 6.890326499938965 0
