word sentid sentpos wlen surp entropy entred
a 0 0 1 6.305667400360107 7.258260726928711 0
is 0 1 2 12.11769962310791 9.482301712036133 0
teacher 0 2 7 18.697784423828125 8.288324356079102 1.1939773559570312
mother 0 3 6 14.331809997558594 5.007997035980225 3.280327320098877
did 0 4 3 15.887036323547363 4.327411651611328 0.6805853843688965
? 0 5 1 13.334543228149414 3.139009475708008 1.1884021759033203
whom 1 0 4 12.82003402709961 7.579838752746582 0
that 1 1 4 8.53781509399414 5.910099029541016 1.6697397232055664
tell 1 2 4 15.87842082977295 7.50507116317749 0
his 1 3 3 5.915500164031982 6.492470741271973 1.0126004219055176
he 1 4 2 11.323142051696777 7.937047958374023 0
party 2 0 5 12.724791526794434 7.906540393829346 0
invite 2 1 6 17.85009765625 8.958800315856934 0
it 2 2 2 6.956885814666748 7.169400691986084 1.7893996238708496
? 2 3 1 12.378122329711914 4.220730304718018 2.9486703872680664
to 3 0 2 7.557126998901367 8.527181625366211 0
who 3 1 3 10.532270431518555 8.594597816467285 0
our 3 2 3 13.373405456542969 8.720331192016602 0
to 3 3 2 12.649866104125977 10.649613380432129 0
is 3 4 2 11.677947998046875 8.676651954650879 1.97296142578125
important 3 5 9 11.78071117401123 9.035371780395508 0
likes 4 0 5 17.45425033569336 8.646368980407715 0
is 4 1 2 7.410573959350586 7.228671550750732 1.4176974296569824
that 4 2 4 4.820687294006348 8.634806632995605 0
it 4 3 2 3.3962342739105225 7.4220290184021 1.2127776145935059
bill 4 4 4 15.867297172546387 4.670568466186523 2.751460552215576
who 4 5 3 9.762710571289062 7.356672763824463 0
? 4 6 1 7.016938209533691 7.773797035217285 0
probable 5 0 8 18.03976821899414 8.944189071655273 0
book 6 0 4 13.002338409423828 8.564176559448242 0
rumor 6 1 5 17.774988174438477 8.189526557922363 0.3746500015258789
hear 6 2 4 18.668548583984375 6.253682613372803 1.9358439445495605
did 6 3 3 11.609712600708008 5.552983283996582 0.7006993293762207
a 6 4 1 7.242651462554932 2.8042778968811035 2.7487053871154785
? 6 5 1 2.817640542984009 8.855501174926758 0
you 7 0 3 10.440165519714355 9.142878532409668 0
<unk> 7 1 5 6.267836093902588 7.854140758514404 1.2887377738952637
which 7 2 5 11.33066177368164 6.33313512802124 1.521005630493164
that 7 3 4 5.379915714263916 7.3249335289001465 0
had 7 4 3 8.89126205444336 8.005868911743164 0
read 7 5 4 10.807095527648926 7.011711120605469 0.9941577911376953
which 8 0 5 6.224798679351807 9.10285758972168 0
? 8 1 1 6.981832504272461 8.051589965820312 1.0512676239013672
<unk> 9 0 5 6.378143310546875 3.6205763816833496 0
announce 9 1 8 18.50845718383789 4.9683308601379395 0
car 9 2 3 16.81420135498047 4.2519636154174805 0.716367244720459
to 9 3 2 5.386895179748535 8.974512100219727 0
plan 9 4 4 13.047924995422363 7.464782238006592 1.5097298622131348
a 9 5 1 3.039543867111206 6.712806224822998 0.7519760131835938
fix 9 6 3 14.305742263793945 6.081918716430664 0.630887508392334
did 9 7 3 9.489261627197266 4.027238368988037 2.054680347442627
like 10 0 4 11.898066520690918 4.483027935028076 0
their 10 1 5 8.362101554870605 6.9167866706848145 0
boat 10 2 4 13.557942390441895 9.251513481140137 0
he 10 3 2 8.235268592834473 7.874362468719482 1.3771510124206543
hired 10 4 5 14.576419830322266 6.926939010620117 0.9474234580993652
that 10 5 4 6.879058361053467 5.585062026977539 1.3418769836425781
does 10 6 4 11.50969409942627 8.825045585632324 0
? 10 7 1 6.269725322723389 3.807440996170044 5.01760458946228
who 11 0 3 6.434617519378662 7.2984209060668945 0
call 12 0 4 12.524691581726074 6.436298847198486 0
? 12 1 1 6.8919358253479 6.116232872009277 0.320065975189209
that 13 0 4 6.064606189727783 7.0165910720825195 0
about 13 1 5 12.027998924255371 6.29446268081665 0.7221283912658691
is 13 2 2 7.7497172355651855 7.489871025085449 0
important 13 3 9 10.398674011230469 6.08021354675293 1.4096574783325195
<unk> 13 4 5 7.26800012588501 5.114742279052734 0.9654712677001953
who 13 5 3 4.759162902832031 3.8325257301330566 1.2822165489196777
it 13 6 2 7.884336948394775 3.581110715866089 0.2514150142669678
that 14 0 4 4.214092254638672 6.500270843505859 0
? 14 1 1 4.329390525817871 8.298372268676758 0
important 15 0 9 15.491945266723633 1.2291197776794434 0
it 15 1 2 7.660642623901367 6.224275588989258 0
to 15 2 2 7.500179767608643 4.133669853210449 2.0906057357788086
did 15 3 3 9.707795143127441 5.04360294342041 0
who 15 4 3 6.252829074859619 4.563268184661865 0.4803347587585449
hear 15 5 4 15.066710472106934 2.5652265548706055 1.9980416297912598
is 15 6 2 7.500362873077393 2.9719347953796387 0
he 15 7 2 9.861842155456543 2.1732702255249023 0.7986645698547363
invite 15 8 6 18.889432907104492 4.116367816925049 0
<unk> 16 0 5 4.943904876708984 6.417289733886719 0
is 16 1 2 4.355869770050049 5.929844856262207 0.4874448776245117
? 16 2 1 3.20729923248291 7.797544002532959 0
saw 17 0 3 13.40356159210205 5.1522746086120605 0
probable 17 1 8 14.455431938171387 5.788754463195801 0
whom 17 2 4 15.838578224182129 7.197567462921143 0
that 17 3 4 6.158041000366211 4.9373321533203125 2.26023530960083
it 17 4 2 6.48282527923584 2.183717966079712 2.7536141872406006
