word sentid sentpos wlen surp entropy entred
a 0 0 1 5.093057632446289 6.618821620941162 0
is 0 1 2 11.072830200195312 9.815308570861816 0
teacher 0 2 7 17.674518585205078 8.252894401550293 1.5624141693115234
mother 0 3 6 15.068364143371582 4.835859775543213 3.41703462600708
did 0 4 3 15.21059799194336 4.908429145812988 0
? 0 5 1 14.266571998596191 4.00649356842041 0.9019355773925781
whom 1 0 4 12.755470275878906 6.8082122802734375 0
that 1 1 4 11.65324878692627 4.731630802154541 2.0765814781188965
tell 1 2 4 15.388293266296387 7.371299743652344 0
his 1 3 3 5.577276229858398 5.500162601470947 1.8711371421813965
he 1 4 2 13.026863098144531 8.593613624572754 0
party 2 0 5 13.66586685180664 7.438005447387695 0
invite 2 1 6 17.831790924072266 9.094389915466309 0
it 2 2 2 8.886734008789062 7.981165409088135 1.1132245063781738
? 2 3 1 12.450288772583008 6.971552848815918 1.0096125602722168
to 3 0 2 6.228039264678955 7.76034688949585 0
who 3 1 3 11.90671157836914 8.641369819641113 0
our 3 2 3 13.790575981140137 8.801965713500977 0
to 3 3 2 12.481575012207031 10.739964485168457 0
is 3 4 2 11.265350341796875 9.170687675476074 1.5692768096923828
important 3 5 9 11.7589693069458 9.381698608398438 0
likes 4 0 5 18.349225997924805 7.925655364990234 0
is 4 1 2 8.363454818725586 6.4186553955078125 1.5069999694824219
that 4 2 4 5.202911376953125 7.7852983474731445 0
it 4 3 2 4.289272785186768 6.938588619232178 0.8467097282409668
bill 4 4 4 16.574512481689453 4.970665454864502 1.9679231643676758
who 4 5 3 9.49583625793457 6.465170860290527 0
? 4 6 1 7.65852689743042 6.630736827850342 0
probable 5 0 8 17.91322135925293 8.384117126464844 0
book 6 0 4 12.132436752319336 8.333963394165039 0
rumor 6 1 5 17.43665313720703 8.686860084533691 0
hear 6 2 4 18.13412857055664 7.358311176300049 1.3285489082336426
did 6 3 3 12.011595726013184 6.518555164337158 0.8397560119628906
a 6 4 1 5.129814147949219 6.604618072509766 0
? 6 5 1 6.038834571838379 9.882201194763184 0
you 7 0 3 9.913959503173828 8.897771835327148 0
<unk> 7 1 5 7.620699405670166 5.870015621185303 3.0277562141418457
which 7 2 5 12.863053321838379 3.2916300296783447 2.578385591506958
that 7 3 4 8.098929405212402 2.864537477493286 0.4270925521850586
had 7 4 3 8.902838706970215 3.6920382976531982 0
read 7 5 4 11.308441162109375 5.787374973297119 0
which 8 0 5 7.190011024475098 9.224119186401367 0
? 8 1 1 11.509584426879883 8.024250030517578 1.199869155883789
<unk> 9 0 5 5.954540252685547 4.911034107208252 0
announce 9 1 8 16.604724884033203 6.180235385894775 0
car 9 2 3 18.329986572265625 5.370336532592773 0.809898853302002
to 9 3 2 4.838033199310303 9.366073608398438 0
plan 9 4 4 12.507468223571777 7.697536945343018 1.66853666305542
