word sentid sentpos wlen surp entropy entred
a 0 0 1 6.056862831115723 7.472123146057129 0
is 0 1 2 13.419228553771973 9.121143341064453 0
teacher 0 2 7 19.374958038330078 8.329353332519531 0.7917900085449219
mother 0 3 6 12.128378868103027 5.738423824310303 2.5909295082092285
did 0 4 3 13.2066650390625 4.73698091506958 1.0014429092407227
? 0 5 1 14.846929550170898 3.1179099082946777 1.6190710067749023
whom 1 0 4 12.571925163269043 8.059477806091309 0
that 1 1 4 10.112523078918457 5.562175750732422 2.4973020553588867
tell 1 2 4 15.97292709350586 7.615472316741943 0
his 1 3 3 5.5811285972595215 6.4102654457092285 1.2052068710327148
he 1 4 2 10.883862495422363 8.997296333312988 0
party 2 0 5 11.800955772399902 8.509834289550781 0
invite 2 1 6 17.877939224243164 8.437668800354004 0.07216548919677734
it 2 2 2 5.791315078735352 6.495007514953613 1.9426612854003906
? 2 3 1 11.465641021728516 2.917503833770752 3.5775036811828613
to 3 0 2 8.464158058166504 9.455785751342773 0
who 3 1 3 11.504855155944824 9.158636093139648 0.297149658203125
our 3 2 3 10.712596893310547 8.726462364196777 0.4321737289428711
to 3 3 2 9.994775772094727 10.783686637878418 0
is 3 4 2 14.400591850280762 8.66281795501709 2.120868682861328
important 3 5 9 12.046952247619629 9.344240188598633 0
likes 4 0 5 18.443113327026367 9.349069595336914 0
is 4 1 2 5.507839679718018 7.248501777648926 2.1005678176879883
that 4 2 4 5.3173956871032715 8.9315767288208 0
it 4 3 2 3.866985559463501 7.879324436187744 1.0522522926330566
bill 4 4 4 16.158308029174805 5.112007141113281 2.767317295074463
who 4 5 3 7.886518955230713 6.309847354888916 0
? 4 6 1 5.76492977142334 7.689768314361572 0
probable 5 0 8 18.9969482421875 9.467233657836914 0
book 6 0 4 12.765419006347656 9.635782241821289 0
rumor 6 1 5 18.25705337524414 7.843269348144531 1.7925128936767578
hear 6 2 4 16.695175170898438 5.9298200607299805 1.9134492874145508
did 6 3 3 12.20882511138916 6.507816791534424 0
a 6 4 1 6.537838459014893 4.255837440490723 2.251979351043701
? 6 5 1 5.917277812957764 10.575441360473633 0
you 7 0 3 8.907219886779785 10.230385780334473 0
<unk> 7 1 5 7.111320972442627 6.965758800506592 3.264626979827881
which 7 2 5 13.037262916564941 5.643411159515381 1.322347640991211
that 7 3 4 6.052753925323486 5.344343662261963 0.29906749725341797
had 7 4 3 10.733964920043945 5.152526378631592 0.1918172836303711
read 7 5 4 13.017666816711426 5.764331340789795 0
which 8 0 5 7.688916206359863 9.857409477233887 0
? 8 1 1 8.722193717956543 7.585434913635254 2.271974563598633
<unk> 9 0 5 7.548514366149902 2.4771978855133057 0
announce 9 1 8 19.12920379638672 5.493782997131348 0
car 9 2 3 17.521787643432617 5.4928879737854 0.0008950233459472656
to 9 3 2 6.434642791748047 8.666279792785645 0
plan 9 4 4 12.998757362365723 7.432259559631348 1.2340202331542969
a 9 5 1 3.6488168239593506 7.0519938468933105 0.3802657127380371
fix 9 6 3 14.540794372558594 8.45199203491211 0
did 9 7 3 9.09573745727539 5.924403190612793 2.5275888442993164
like 10 0 4 11.495696067810059 5.218774318695068 0
their 10 1 5 8.628966331481934 6.6363139152526855 0
boat 10 2 4 13.676433563232422 8.670978546142578 0
he 10 3 2 9.165246963500977 7.641691207885742 1.029287338256836
hired 10 4 5 13.919099807739258 7.442399978637695 0.19929122924804688
that 10 5 4 6.498836994171143 7.4822564125061035 0
does 10 6 4 12.459919929504395 8.512483596801758 0
? 10 7 1 3.4128904342651367 3.7461633682250977 4.76632022857666
who 11 0 3 5.6490044593811035 7.7869873046875 0
call 12 0 4 14.030208587646484 2.030315637588501 0
? 12 1 1 6.899467945098877 6.153217315673828 0
that 13 0 4 5.81367826461792 7.969621658325195 0
about 13 1 5 10.486261367797852 7.592349052429199 0.3772726058959961
is 13 2 2 8.488609313964844 6.552338123321533 1.040010929107666
important 13 3 9 11.106170654296875 5.470276355743408 1.082061767578125
<unk> 13 4 5 8.58693790435791 3.6696112155914307 1.8006651401519775
who 13 5 3 7.0689802169799805 4.099395751953125 0
it 13 6 2 8.111778259277344 4.302263259887695 0
that 14 0 4 4.0223541259765625 8.476238250732422 0
? 14 1 1 5.722492218017578 8.701494216918945 0
important 15 0 9 14.206151962280273 2.6999900341033936 0
it 15 1 2 6.835031986236572 6.223509311676025 0
to 15 2 2 6.688467025756836 5.0750861167907715 1.148423194885254
did 15 3 3 9.557727813720703 5.812652587890625 0
who 15 4 3 9.86082649230957 2.0512425899505615 3.7614099979400635
hear 15 5 4 13.529239654541016 4.871771335601807 0
is 15 6 2 5.7464919090271 3.7224929332733154 1.1492784023284912
he 15 7 2 7.089136123657227 4.330440998077393 0
invite 15 8 6 17.928207397460938 4.6855645179748535 0
<unk> 16 0 5 4.648020267486572 6.662656784057617 0
is 16 1 2 3.647350311279297 7.482353687286377 0
? 16 2 1 7.683691024780273 8.459108352661133 0
saw 17 0 3 13.541093826293945 4.924933910369873 0
probable 17 1 8 18.847640991210938 1.4678832292556763 3.4570506811141968
whom 17 2 4 15.181653022766113 7.308372974395752 0
that 17 3 4 5.6158246994018555 6.028722763061523 1.2796502113342285
it 17 4 2 3.942159414291382 5.9473066329956055 0.08141613006591797
she 17 5 3 11.29438591003418 4.9283366203308105 1.018970012664795
say 17 6 3 13.239620208740234 5.787479877471924 0
did 17 7 3 5.872402191162109 1.5467722415924072 4.240707635879517
is 18 0 2 4.649897575378418 5.588545322418213 0
<unk> 18 1 5 3.042353630065918 5.791898250579834 0
that 18 2 4 6.408143997192383 5.640908718109131 0.15098953247070312
important 18 3 9 10.578709602355957 5.598415374755859 0.042493343353271484
? 18 4 1 6.678763389587402 8.215088844299316 0
ate 19 0 3 18.206256866455078 5.291389465332031 0
what 19 1 4 10.056417465209961 7.272701740264893 0
it 19 2 2 3.1324799060821533 5.96768045425415 1.3050212860107422
his 20 0 3 9.114567756652832 6.830226421356201 0
what 20 1 4 9.320655822753906 7.5392632484436035 0
<unk> 20 2 5 6.900920867919922 2.86435866355896 4.6749045848846436
that 20 3 4 5.1091156005859375 5.677839756011963 0
? 20 4 1 4.012139797210693 3.8819704055786133 1.7958693504333496
