word sentid sentpos wlen surp entropy entred
? 0 0 1 13.723893165588379 6.971514701843262 0
who 1 0 3 10.248437881469727 2.950758695602417 0
that 1 1 4 12.216641426086426 7.571474552154541 0
went 1 2 4 10.095919609069824 7.978180885314941 0
is 1 3 2 10.931635856628418 4.386118412017822 3.592062473297119
likely 1 4 6 9.108794212341309 8.587699890136719 0
home 1 5 4 9.47665023803711 6.360418796539307 2.227281093597412
the 2 0 3 6.381348133087158 5.156968593597412 0
about 2 1 5 15.57715892791748 10.150992393493652 0
funny 2 2 5 18.441301345825195 5.644817352294922 4.5061750411987305
story 2 3 5 8.286345481872559 9.622234344482422 0
? 2 4 1 7.954417705535889 6.959260940551758 2.662973403930664
whom 3 0 4 12.639172554016113 6.04047966003418 0
was 3 1 3 7.271172046661377 6.372128486633301 0
circulating 4 0 11 21.58338165283203 7.178056240081787 0
that 4 1 4 5.27686882019043 8.630248069763184 0
been 4 2 4 12.653011322021484 8.32357406616211 0.3066740036010742
rumor 4 3 5 18.374897003173828 9.080601692199707 0
has 4 4 3 8.584936141967773 6.380829334259033 2.699772357940674
what 4 5 4 10.712209701538086 7.109760761260986 0
you 4 6 3 6.126961708068848 6.315110683441162 0.7946500778198242
a 4 7 1 14.668903350830078 6.434498310089111 0
read 4 8 4 14.192771911621094 8.973973274230957 0
? 4 9 1 1.160326361656189 4.801387786865234 4.172585487365723
account 5 0 7 13.57618522644043 8.120945930480957 0
was 5 1 3 2.7775256633758545 6.1119818687438965 2.0089640617370605
the 5 2 3 4.479818344116211 8.803360939025879 0
what 5 3 4 12.038966178894043 10.39301872253418 0
? 5 4 1 2.938875436782837 5.920656204223633 4.472362518310547
difficult 6 0 9 16.817468643188477 7.353005409240723 0
about 6 1 5 13.365036964416504 2.7335643768310547 4.619441032409668
? 7 0 1 5.076135158538818 9.656771659851074 0
a 8 0 1 16.967742919921875 0.01468456257134676 0
plan 8 1 4 11.265678405761719 7.805769443511963 0
announced 8 2 9 16.89491844177246 2.738327980041504 5.067441463470459
is 8 3 2 8.022314071655273 5.212662696838379 0
that 8 4 4 2.5239293575286865 5.6915812492370605 0
who 8 5 3 14.81611156463623 1.0504316091537476 4.641149640083313
possible 8 6 8 19.296945571899414 0.3617970943450928 0.6886345148086548
language 9 0 8 22.312664031982422 0.16027799248695374 0
? 9 1 1 2.7049648761749268 6.158082962036133 0
<unk> 10 0 5 5.719948768615723 6.234497547149658 0
that 10 1 4 6.842221260070801 7.417347431182861 0
funny 10 2 5 12.95554256439209 7.994719982147217 0
a 10 3 1 8.231938362121582 7.37457799911499 0.6201419830322266
who 10 4 3 11.00749397277832 9.748409271240234 0
speaks 10 5 6 12.558990478515625 8.02176284790039 1.7266464233398438
is 10 6 2 3.545848846435547 4.550090312957764 3.471672534942627
about 11 0 5 8.409707069396973 8.55901050567627 0
her 11 1 3 9.302480697631836 7.112163543701172 1.4468469619750977
? 11 2 1 7.950474739074707 9.281718254089355 0
was 12 0 3 7.780498027801514 6.1132988929748535 0
difficult 12 1 9 12.599096298217773 4.178626537322998 1.9346723556518555
what 12 2 4 8.48987102508545 5.507824897766113 0
unlikely 13 0 8 17.437456130981445 7.261148929595947 0
? 13 1 1 6.5599236488342285 5.8385138511657715 1.4226350784301758
he 14 0 2 8.882550239562988 7.161403179168701 0
who 14 1 3 5.481670379638672 7.104079246520996 0.05732393264770508
that 14 2 4 5.4399094581604 7.932019233703613 0
has 14 3 3 7.144988536834717 8.122832298278809 0
met 14 4 3 10.342050552368164 7.875786781311035 0.24704551696777344
is 14 5 2 1.4946690797805786 2.6224424839019775 5.253344297409058
did 15 0 3 11.957877159118652 7.476075649261475 0
who 15 1 3 7.676182746887207 6.169159412384033 1.3069162368774414
someone 15 2 7 13.355339050292969 6.502505779266357 0
them 15 3 4 12.934722900390625 4.398066997528076 2.1044387817382812
whom 15 4 4 10.839266777038574 5.89067268371582 0
? 15 5 1 5.553814888000488 5.3310933113098145 0.5595793724060059
knows 16 0 5 14.980154991149902 6.72091817855835 0
meet 16 1 4 22.250146865844727 3.0960912704467773 3.6248269081115723
would 17 0 5 9.850104331970215 7.9811835289001465 0
what 17 1 4 6.677402496337891 7.891480922698975 0.08970260620117188
was 17 2 3 10.206010818481445 1.7275588512420654 6.163922071456909
? 17 3 1 8.606912612915039 0.6124284863471985 1.115130364894867
be 18 0 2 12.138725280761719 8.175272941589355 0
that 18 1 4 5.382862567901611 7.036412715911865 1.1388602256774902
unrealistic 18 2 11 19.38850212097168 6.678891181945801 0.35752153396606445
made 18 3 4 13.806347846984863 4.7047648429870605 1.9741263389587402
directed 19 0 8 13.38594913482666 9.176494598388672 0
movie 19 1 5 10.496739387512207 7.893991947174072 1.2825026512145996
i 19 2 1 10.288670539855957 7.947421550750732 0
that 19 3 4 4.021671772003174 8.161182403564453 0
by 19 4 2 9.8517427444458 8.054858207702637 0.1063241958618164
who 19 5 3 5.920198917388916 8.647817611694336 0
yesterday 19 6 9 15.7255277633667 6.815971851348877 1.831845760345459
<unk> 19 7 5 7.867164134979248 6.066114902496338 0.7498569488525391
? 19 8 1 3.5163724422454834 6.40086555480957 0
was 20 0 3 5.27697229385376 9.173212051391602 0
the 20 1 3 6.057918071746826 6.27318000793457 2.9000320434570312
claimed 20 2 7 14.79074478149414 8.741841316223145 0
that 20 3 4 2.886207103729248 9.331119537353516 0
saw 20 4 3 12.282662391662598 7.825030326843262 1.506089210510254
whom 21 0 4 9.52299976348877 7.863763332366943 0
cup 21 1 3 15.75133228302002 7.373407363891602 0.4903559684753418
one 21 2 3 9.88117790222168 6.702997207641602 0.67041015625
did 21 3 3 10.121350288391113 7.188994407653809 0
a 21 4 1 7.58607292175293 5.784538745880127 1.4044556617736816
coffee 21 5 6 13.277985572814941 10.05832576751709 0
buy 21 6 3 9.667346000671387 7.271365165710449 2.7869606018066406
of 21 7 2 8.129764556884766 6.228611946105957 1.0427532196044922
story 21 8 5 12.431086540222168 8.172091484069824 0
? 21 9 1 0.48439663648605347 2.960604667663574 5.21148681640625
about 22 0 5 7.395357131958008 7.753121852874756 0
? 23 0 1 7.585066318511963 6.209206581115723 0
was 24 0 3 8.730469703674316 0.8184026479721069 0
what 24 1 4 8.248483657836914 4.8365478515625 0
about 24 2 5 7.178403377532959 6.495907306671143 0
announced 24 3 9 23.944461822509766 0.10360781103372574 6.392299495637417
speaking 24 4 8 18.435710906982422 2.6900510787963867 0
they 24 5 4 11.792366027832031 2.332385778427124 0.3576653003692627
a 24 6 1 8.608166694641113 3.6296026706695557 0
that 24 7 4 7.721643447875977 9.293129920959473 0
language 24 8 8 10.267791748046875 5.542078018188477 3.751051902770996
<unk> 24 9 5 11.416065216064453 0.6361908912658691 4.905887126922607
the 25 0 3 7.177206039428711 2.981299638748169 0
about 25 1 5 5.460086345672607 9.055919647216797 0
books 25 2 5 14.068808555603027 3.294893980026245 5.761025667190552
for 25 3 3 7.3269243240356445 6.090063095092773 0
waiting 25 4 7 15.973129272460938 5.235803127288818 0.8542599678039551
? 25 5 1 3.967346668243408 7.788830280303955 0
someone 26 0 7 13.404465675354004 6.1630144119262695 0
whom 26 1 4 6.429718494415283 7.856322765350342 0
were 26 2 4 6.944457054138184 8.56580638885498 0
that 27 0 4 6.491636276245117 7.831296920776367 0
difficult 27 1 9 11.462800979614258 9.118914604187012 0
<unk> 27 2 5 6.742122173309326 7.018870830535889 2.100043773651123
make 27 3 4 11.404524803161621 6.9636406898498535 0.055230140686035156
plan 27 4 4 14.819642066955566 3.603802442550659 3.3598382472991943
wears 27 5 5 21.38580322265625 8.28770923614502 0
? 27 6 1 7.382576942443848 6.573294639587402 1.7144145965576172
does 28 0 4 11.94979190826416 7.846598148345947 0
the 28 1 3 3.9852166175842285 7.184521675109863 0.662076473236084
