word sentid sentpos wlen surp entropy entred
how 0 0 3 10.581571578979492 3.88847279548645 0
did 0 1 3 3.905769109725952 7.624868869781494 0
bill 0 2 4 13.647275924682617 7.898038387298584 0
claim 0 3 5 15.485411643981934 7.620863437652588 0.2771749496459961
that 0 4 4 2.41974139213562 6.545485019683838 1.07537841796875
today 0 5 5 12.31120777130127 7.61661958694458 0
is 0 6 2 6.588512897491455 6.570472717285156 1.0461468696594238
his 0 7 3 9.695666313171387 3.4618029594421387 3.1086697578430176
last 0 8 4 9.385303497314453 8.543129920959473 0
day 0 9 3 7.521769046783447 9.782065391540527 0
? 0 10 1 4.8770904541015625 6.796876907348633 2.9851884841918945
how 1 0 3 10.581571578979492 3.88847279548645 0
does 1 1 4 5.690568923950195 7.624868869781494 0
<unk> 1 2 5 4.393003940582275 7.4730224609375 0.15184640884399414
claim 1 3 5 13.86254596710205 7.914114475250244 0
that 1 4 4 2.209371566772461 6.267310619354248 1.646803855895996
he 1 5 2 4.271712303161621 7.449202060699463 0
has 1 6 3 6.993095397949219 6.998469352722168 0.4507327079772949
a 1 7 1 3.6312389373779297 7.487233638763428 0
boat 1 8 4 14.278237342834473 9.71716022491455 0
and 1 9 3 6.450530052185059 6.685122489929199 3.0320377349853516
a 1 10 1 4.612748146057129 6.166870594024658 0.518251895904541
car 1 11 3 7.8857808113098145 9.584975242614746 0
? 1 12 1 3.3043642044067383 6.671550273895264 2.9134249687194824
how 2 0 3 10.581571578979492 3.88847279548645 0
did 2 1 3 3.905769109725952 7.624868869781494 0
she 2 2 3 6.110345363616943 7.898038387298584 0
think 2 3 5 11.390764236450195 7.301367282867432 0.5966711044311523
that 2 4 4 3.6186139583587646 6.040229320526123 1.2611379623413086
she 2 5 3 2.597572088241577 6.863625526428223 0
bought 2 6 6 12.953405380249023 7.013250350952148 0
beans 2 7 5 15.786762237548828 6.319790840148926 0.6934595108032227
and 2 8 3 4.824300289154053 6.645122051239014 0
<unk> 2 9 5 3.755519151687622 9.030350685119629 0
? 2 10 1 3.1707987785339355 6.390965938568115 2.6393847465515137
how 3 0 3 10.581571578979492 3.88847279548645 0
does 3 1 4 5.690568923950195 7.624868869781494 0
<unk> 3 2 5 4.393003940582275 7.4730224609375 0.15184640884399414
claim 3 3 5 13.86254596710205 7.914114475250244 0
that 3 4 4 2.209371566772461 6.267310619354248 1.646803855895996
he 3 5 2 4.271712303161621 7.449202060699463 0
can 3 6 3 7.972970962524414 6.998469352722168 0.4507327079772949
make 3 7 4 8.530317306518555 8.089620590209961 0
<unk> 3 8 5 5.23744010925293 6.998205184936523 1.0914154052734375
and 3 9 3 7.1389546394348145 7.218109130859375 0
espresso 3 10 8 20.007049560546875 6.868782997131348 0.34932613372802734
? 3 11 1 3.5754854679107666 7.60405969619751 0
how 4 0 3 10.581571578979492 3.88847279548645 0
does 4 1 4 5.690568923950195 7.624868869781494 0
she 4 2 3 6.217640399932861 7.4730224609375 0.15184640884399414
know 4 3 4 10.04682445526123 7.221973419189453 0.2510490417480469
that 4 4 4 3.37717604637146 5.8522257804870605 1.3697476387023926
she 4 5 3 2.5414023399353027 6.652064800262451 0
failed 4 6 6 13.11948013305664 6.947971343994141 0
the 4 7 3 5.936929225921631 6.007779121398926 0.9401922225952148
test 4 8 4 11.00709056854248 9.715277671813965 0
? 4 9 1 4.9359450340271 7.307822227478027 2.4074554443359375
how 5 0 3 10.581571578979492 3.88847279548645 0
did 5 1 3 3.905769109725952 7.624868869781494 0
he 5 2 2 4.593168258666992 7.898038387298584 0
say 5 3 3 8.641362190246582 7.285132884979248 0.6129055023193359
that 5 4 4 3.040703535079956 6.335670471191406 0.9494624137878418
he 5 5 2 3.9669620990753174 7.177061557769775 0
went 5 6 4 9.936588287353516 6.736378192901611 0.44068336486816406
