word sentid sentpos wlen surp entropy entred
what 0 0 4 2.4163551330566406 5.435801029205322 0
did 0 1 3 6.326535701751709 7.751275062561035 0
they 0 2 4 5.785632610321045 6.9162797927856445 0.8349952697753906
not 0 3 3 8.140817642211914 7.117336750030518 0
like 0 4 4 5.2254204750061035 8.30390453338623 0
that 0 5 4 3.9845235347747803 7.140523433685303 1.1633810997009277
<unk> 0 6 5 5.908768653869629 7.726977348327637 0
likes 0 7 5 14.411317825317383 7.557910919189453 0.1690664291381836
and 0 8 3 7.680285453796387 6.724826335906982 0.8330845832824707
accounts 0 9 8 15.867326736450195 6.652801513671875 0.07202482223510742
? 0 10 1 7.220191478729248 6.71964693069458 0
who 1 0 3 7.78201150894165 5.435801029205322 0
did 1 1 3 4.607832431793213 8.272544860839844 0
she 1 2 3 7.673719882965088 8.038736343383789 0.2338085174560547
hear 1 3 4 10.834568977355957 8.268360137939453 0
a 1 4 1 6.026185512542725 7.139307975769043 1.1290521621704102
rumour 1 5 6 10.801304817199707 8.622005462646484 0
about 1 6 5 5.851112365722656 5.0242533683776855 3.597752094268799
and 1 7 3 8.376449584960938 5.537180423736572 0
wait 1 8 4 13.129627227783203 7.259612560272217 0
for 1 9 3 3.014396905899048 6.4106855392456055 0.8489270210266113
? 1 10 1 5.500426292419434 5.614331245422363 0.7963542938232422
what 2 0 4 2.4163551330566406 5.435801029205322 0
did 2 1 3 6.326535701751709 7.751275062561035 0
he 2 2 2 4.707870006561279 6.9162797927856445 0.8349952697753906
hear 2 3 4 9.209855079650879 7.2956953048706055 0
that 2 4 4 3.217245578765869 6.6817097663879395 0.613985538482666
<unk> 2 5 5 4.48182487487793 7.709901809692383 0
ate 2 6 3 17.023014068603516 7.492690563201904 0.21721124649047852
accounts 2 7 8 14.323105812072754 7.87440299987793 0
and 2 8 3 6.803268909454346 6.923391342163086 0.9510116577148438
? 2 9 1 7.655517578125 8.733227729797363 0
what 3 0 4 2.4163551330566406 5.435801029205322 0
did 3 1 3 6.326535701751709 7.751275062561035 0
will 3 2 4 12.582964897155762 6.9162797927856445 0.8349952697753906
buy 3 3 3 10.529254913330078 8.102640151977539 0
? 3 4 1 4.836463451385498 7.319692611694336 0.7829475402832031
what 4 0 4 2.4163551330566406 5.435801029205322 0
did 4 1 3 6.326535701751709 7.751275062561035 0
you 4 2 3 7.013177394866943 6.9162797927856445 0.8349952697753906
read 4 3 4 8.432787895202637 7.371993541717529 0
about 4 4 5 6.182352066040039 6.7940192222595215 0.5779743194580078
and 4 5 3 9.300711631774902 3.172416925430298 3.6216022968292236
announce 4 6 8 16.979801177978516 7.819653511047363 0
about 4 7 5 9.043245315551758 5.345423698425293 2.4742298126220703
? 4 8 1 7.6943888664245605 3.091254711151123 2.25416898727417
what 5 0 4 2.4163551330566406 5.435801029205322 0
did 5 1 3 6.326535701751709 7.751275062561035 0
