word sentid sentpos wlen surp entropy entred
how 0 0 3 9.24290657043457 3.598426103591919 0
<unk> 0 1 5 4.743997097015381 6.911220550537109 0
did 0 2 3 5.688536167144775 6.4217963218688965 0.4894242286682129
she 0 3 3 6.400952339172363 7.042477130889893 0
say 0 4 3 10.616011619567871 5.885599136352539 1.1568779945373535
that 0 5 4 1.4975287914276123 3.811979055404663 2.073620080947876
he 0 6 2 2.0799577236175537 5.9114909172058105 0
directed 0 7 8 15.667482376098633 4.5623955726623535 1.349095344543457
the 0 8 3 6.203304290771484 6.027773857116699 0
movie 0 9 5 10.377893447875977 10.01099681854248 0
that 0 10 4 2.4091062545776367 5.518799304962158 4.492197513580322
i 0 11 1 6.067579746246338 6.233598709106445 0
saw 0 12 3 10.539998054504395 6.767407417297363 0
yesterday 0 13 9 15.638856887817383 6.67496919631958 0.0924382209777832
? 0 14 1 6.3450493812561035 6.516208648681641 0.15876054763793945
how 1 0 3 9.24290657043457 3.598426103591919 0
discreet 1 1 8 17.139179229736328 6.911220550537109 0
did 1 2 3 6.4031877517700195 5.652773857116699 1.2584466934204102
<unk> 1 3 5 4.979672431945801 6.82377815246582 0
hire 1 4 4 15.309531211853027 6.65964412689209 0.16413402557373047
an 1 5 2 8.409825325012207 7.6155900955200195 0
agent 1 6 5 8.154861450195312 8.512024879455566 0
? 1 7 1 7.166206359863281 5.565323352813721 2.9467015266418457
how 2 0 3 9.24290657043457 3.598426103591919 0
pretty 2 1 6 13.36695671081543 6.911220550537109 0
does 2 2 4 5.396892070770264 6.8929057121276855 0.018314838409423828
<unk> 2 3 5 4.924548625946045 6.8630900382995605 0.029815673828125
like 2 4 4 6.364161968231201 6.687813758850098 0.1752762794494629
the 2 5 3 6.20965051651001 6.6483001708984375 0.039513587951660156
woman 2 6 5 9.229884147644043 9.90316390991211 0
? 2 7 1 6.593323707580566 5.308538913726807 4.594624996185303
how 3 0 3 9.24290657043457 3.598426103591919 0
difficult 3 1 9 10.657604217529297 6.911220550537109 0
did 3 2 3 7.862107753753662 5.2092695236206055 1.701951026916504
he 3 3 2 2.7961082458496094 6.82059383392334 0
hear 3 4 4 11.99609661102295 5.655682563781738 1.1649112701416016
that 3 5 4 2.117091178894043 6.003252983093262 0
you 3 6 3 6.925082206726074 5.754018306732178 0.24923467636108398
failed 3 7 6 15.507506370544434 4.959022521972656 0.7949957847595215
the 3 8 3 7.433166027069092 4.777348041534424 0.18167448043823242
test 3 9 4 10.5733642578125 9.814963340759277 0
? 3 10 1 6.918102741241455 7.178179740905762 2.6367835998535156
whose 4 0 5 15.462655067443848 3.598426103591919 0
did 4 1 3 6.925533771514893 9.003878593444824 0
she 4 2 3 6.37652587890625 6.853402614593506 2.1504759788513184
say 4 3 3 10.30186653137207 5.549094200134277 1.3043084144592285
that 4 4 4 1.4007757902145386 3.6702489852905273 1.87884521484375
<unk> 4 5 5 5.41879940032959 5.8248467445373535 0
eats 4 6 4 19.725067138671875 6.402230739593506 0
<unk> 4 7 5 4.88383674621582 6.363982677459717 0.03824806213378906
? 4 8 1 4.552891254425049 6.575704097747803 0
how 5 0 3 9.24290657043457 3.598426103591919 0
<unk> 5 1 5 4.743997097015381 6.911220550537109 0
did 5 2 3 5.688536167144775 6.4217963218688965 0.4894242286682129
she 5 3 3 6.400952339172363 7.042477130889893 0
say 5 4 3 10.616011619567871 5.885599136352539 1.1568779945373535
that 5 5 4 1.4975287914276123 3.811979055404663 2.073620080947876
he 5 6 2 2.0799577236175537 5.9114909172058105 0
announced 5 7 9 17.016599655151367 4.5623955726623535 1.349095344543457
a 5 8 1 5.4181013107299805 3.3606221675872803 1.2017734050750732
plan 5 9 4 10.253007888793945 8.20750904083252 0
? 5 10 1 8.7539701461792 4.2343878746032715 3.973121166229248
how 6 0 3 9.24290657043457 3.598426103591919 0
pretty 6 1 6 13.36695671081543 6.911220550537109 0
did 6 2 3 3.8977622985839844 6.8929057121276855 0.018314838409423828
he 6 3 2 2.8503494262695312 6.946876049041748 0
hear 6 4 4 11.975654602050781 5.307363986968994 1.639512062072754
that 6 5 4 1.9144580364227295 5.846390724182129 0
she 6 6 3 5.667769432067871 5.842772960662842 0.0036177635192871094
read 6 7 4 10.694491386413574 4.585772514343262 1.25700044631958
the 6 8 3 6.449652671813965 5.627314567565918 0
<unk> 6 9 5 4.9915361404418945 9.557475090026855 0
comics 6 10 6 14.19983959197998 6.94498348236084 2.6124916076660156
? 6 11 1 5.2219672203063965 6.833722114562988 0.11126136779785156
what 7 0 4 5.218100070953369 3.598426103591919 0
kind 7 1 4 10.864069938659668 7.87407922744751 0
does 7 2 4 9.812287330627441 5.210427284240723 2.663651943206787
<unk> 7 3 5 5.273770332336426 7.230068683624268 0
speak 7 4 5 8.10317611694336 6.755821228027344 0.47424745559692383
a 7 5 1 5.810396194458008 5.4292802810668945 1.3265409469604492
language 7 6 8 4.61698579788208 7.402065277099609 0
? 7 7 1 4.8838396072387695 4.461217403411865 2.940847873687744
how 8 0 3 9.24290657043457 3.598426103591919 0
expensive 8 1 9 14.250049591064453 6.911220550537109 0
did 8 2 3 7.520240783691406 6.161896705627441 0.749323844909668
they 8 3 4 6.622980117797852 6.848150253295898 0
not 8 4 3 6.901673316955566 6.518424034118652 0.3297262191772461
like 8 5 4 4.237210750579834 6.9730448722839355 0
that 8 6 4 2.776139736175537 6.2826032638549805 0.6904416084289551
she 8 7 3 5.930947780609131 6.697925090789795 0
wears 8 8 5 12.817638397216797 5.176291465759277 1.5216336250305176
rings 8 9 5 15.65186882019043 5.676300048828125 0
? 8 10 1 5.937399864196777 3.770432710647583 1.905867338180542
how 9 0 3 9.24290657043457 3.598426103591919 0
pretty 9 1 6 13.36695671081543 6.911220550537109 0
did 9 2 3 3.8977622985839844 6.8929057121276855 0.018314838409423828
she 9 3 3 6.432535171508789 6.946876049041748 0
say 9 4 3 10.614007949829102 5.504615783691406 1.4422602653503418
that 9 5 4 1.3593273162841797 3.754312753677368 1.750303030014038
<unk> 9 6 5 5.342796325683594 6.09542989730835 0
likes 9 7 5 14.878780364990234 6.475466251373291 0
the 9 8 3 6.614027500152588 5.487600326538086 0.9878659248352051
woman 9 9 5 7.753182888031006 9.717101097106934 0
? 9 10 1 6.564435958862305 4.83828592300415 4.878815174102783
how 10 0 3 9.24290657043457 3.598426103591919 0
blue 10 1 4 14.16483211517334 6.911220550537109 0
did 10 2 3 5.688945293426514 6.967678070068359 0
he 10 3 2 2.6243767738342285 6.825088024139404 0.14259004592895508
hear 10 4 4 11.46159839630127 5.719915390014648 1.1051726341247559
that 10 5 4 2.0235495567321777 5.858841419219971 0
<unk> 10 6 5 5.949697971343994 5.650537967681885 0.20830345153808594
loaned 10 7 6 20.476573944091797 6.452516078948975 0
a 10 8 1 5.8822126388549805 5.678656101226807 0.773859977722168
trumpet 10 9 7 15.276827812194824 8.444793701171875 0
to 10 10 2 3.909879446029663 5.9439592361450195 2.5008344650268555
you 10 11 3 6.739304065704346 6.37194299697876 0
? 10 12 1 7.366953372955322 5.33903694152832 1.0329060554504395
how 11 0 3 9.24290657043457 3.598426103591919 0
extravagant 11 1 11 16.85696792602539 6.911220550537109 0
did 11 2 3 7.34023904800415 6.836894512176514 0.0743260383605957
they 11 3 4 6.740547180175781 7.077919006347656 0
not 11 4 3 6.9937968254089355 6.559332370758057 0.5185866355895996
like 11 5 4 4.25311803817749 6.888314723968506 0
that 11 6 4 2.7385005950927734 6.326508522033691 0.5618062019348145
will 11 7 4 8.330765724182129 6.557310581207275 0
wears 11 8 5 15.746676445007324 6.498230457305908 0.05908012390136719
a 11 9 1 4.856100082397461 5.598104000091553 0.9001264572143555
hat 11 10 3 8.666282653808594 6.3614702224731445 0
? 11 11 1 5.139739036560059 5.022276878356934 1.339193344116211
whose 12 0 5 15.462655067443848 3.598426103591919 0
did 12 1 3 6.925533771514893 9.003878593444824 0
they 12 2 4 7.060523986816406 6.853402614593506 2.1504759788513184
not 12 3 3 7.0029497146606445 6.253431797027588 0.599970817565918
like 12 4 4 4.401810169219971 6.8626580238342285 0
that 12 5 4 2.7592320442199707 6.007043838500977 0.855614185333252
i 12 6 1 6.498934268951416 6.060003280639648 0
ate 12 7 3 17.780399322509766 6.257349491119385 0
old 12 8 3 11.356880187988281 6.628289222717285 0
<unk> 12 9 5 2.9444491863250732 8.447197914123535 0
? 12 10 1 5.186184406280518 6.7307891845703125 1.7164087295532227
how 13 0 3 9.24290657043457 3.598426103591919 0
<unk> 13 1 5 4.743997097015381 6.911220550537109 0
did 13 2 3 5.688536167144775 6.4217963218688965 0.4894242286682129
he 13 3 2 2.8286163806915283 7.042477130889893 0
hear 13 4 4 11.87496566772461 5.636229991912842 1.4062471389770508
that 13 5 4 2.014829397201538 5.815968990325928 0
<unk> 13 6 5 5.972997188568115 5.596862316131592 0.21910667419433594
heard 13 7 5 11.37062931060791 6.382594108581543 0
a 13 8 1 5.260814666748047 4.8967180252075195 1.4858760833740234
rumour 13 9 6 15.4718656539917 7.403502464294434 0
? 13 10 1 7.2204179763793945 3.1364190578460693 4.267083406448364
how 14 0 3 9.24290657043457 3.598426103591919 0
blue 14 1 4 14.16483211517334 6.911220550537109 0
did 14 2 3 5.688945293426514 6.967678070068359 0
<unk> 14 3 5 5.068142890930176 6.825088024139404 0.14259004592895508
give 14 4 4 11.97461223602295 6.668583393096924 0.15650463104248047
a 14 5 1 5.623397350311279 5.699673652648926 0.968909740447998
guitar 14 6 6 10.364310264587402 8.772106170654297 0
to 14 7 2 4.883180141448975 6.445380210876465 2.326725959777832
me 14 8 2 5.70291805267334 6.203969478607178 0.2414107322692871
? 14 9 1 6.681787490844727 5.391598701477051 0.812370777130127
whose 15 0 5 15.462655067443848 3.598426103591919 0
did 15 1 3 6.925533771514893 9.003878593444824 0
she 15 2 3 6.37652587890625 6.853402614593506 2.1504759788513184
whisper 15 3 7 19.848724365234375 5.549094200134277 1.3043084144592285
that 15 4 4 2.612856388092041 6.552893161773682 0
he 15 5 2 2.2456698417663574 6.367223739624023 0.1856694221496582
buys 15 6 4 18.269010543823242 4.730903148651123 1.6363205909729004
coffee 15 7 6 14.173385620117188 6.402839660644531 0
? 15 8 1 5.724891185760498 6.598524570465088 0
how 16 0 3 9.24290657043457 3.598426103591919 0
<unk> 16 1 5 4.743997097015381 6.911220550537109 0
did 16 2 3 5.688536167144775 6.4217963218688965 0.4894242286682129
<unk> 16 3 5 5.045584201812744 7.042477130889893 0
<unk> 16 4 5 3.764660596847534 6.626782417297363 0.4156947135925293
not 16 5 3 9.466156005859375 6.546116352081299 0.08066606521606445
demand 16 6 6 16.30910301208496 6.6116228103637695 0
that 16 7 4 2.963169574737549 6.8886213302612305 0
i 16 8 1 6.578617095947266 6.4289445877075195 0.45967674255371094
hire 16 9 4 15.125978469848633 6.768311023712158 0
a 16 10 1 4.753777027130127 7.289106845855713 0
teddy 16 11 5 14.259384155273438 8.205042839050293 0
bear 16 12 4 7.365540027618408 6.652660369873047 1.552382469177246
? 16 13 1 4.483584403991699 5.418927192687988 1.2337331771850586
how 17 0 3 9.24290657043457 3.598426103591919 0
difficult 17 1 9 10.657604217529297 6.911220550537109 0
does 17 2 4 10.169384002685547 5.2092695236206055 1.701951026916504
the 17 3 3 6.268599987030029 6.718127250671387 0
blue 17 4 4 11.887611389160156 9.936524391174316 0
agent 17 5 5 14.881617546081543 9.02914047241211 0.907383918762207
do 17 6 2 11.71452522277832 6.778530597686768 2.250609874725342
math 17 7 4 18.892772674560547 7.393630027770996 0
homework 17 8 8 16.21441650390625 7.4872283935546875 0
? 17 9 1 4.86458158493042 6.756753921508789 0.7304744720458984
how 18 0 3 9.24290657043457 3.598426103591919 0
important 18 1 9 9.670328140258789 6.911220550537109 0
is 18 2 2 6.877479553222656 6.567895412445068 0.343325138092041
she 18 3 3 7.016947269439697 3.3046720027923584 3.26322340965271
dating 18 4 6 15.736868858337402 5.094587802886963 0
the 18 5 3 5.584152698516846 6.319135665893555 0
<unk> 18 6 5 3.7553415298461914 10.494932174682617 0
brothers 18 7 8 11.853262901306152 7.842894077301025 2.652038097381592
? 18 8 1 5.356150150299072 6.8788886070251465 0.9640054702758789
how 19 0 3 9.24290657043457 3.598426103591919 0
unrealistic 19 1 11 17.238380432128906 6.911220550537109 0
is 19 2 2 8.343522071838379 6.939009666442871 0
the 19 3 3 6.641774654388428 3.275575637817383 3.6634340286254883
funny 19 4 5 13.941770553588867 10.16939926147461 0
man 19 5 3 8.0891695022583 9.652833938598633 0.5165653228759766
singing 19 6 7 12.694042205810547 5.647477149963379 4.005356788635254
an 19 7 2 8.74473762512207 5.951030254364014 0
aria 19 8 4 8.25683307647705 7.191789150238037 0
? 19 9 1 5.588921070098877 6.026292324066162 1.165496826171875
how 20 0 3 9.24290657043457 3.598426103591919 0
discreet 20 1 8 17.139179229736328 6.911220550537109 0
does 20 2 4 8.718951225280762 5.652773857116699 1.2584466934204102
the 20 3 3 6.114777088165283 6.721856594085693 0
teddy 20 4 5 16.10471534729004 10.026187896728516 0
bear 20 5 4 5.2559709548950195 7.748153209686279 2.2780346870422363
wonder 20 6 6 14.157596588134766 6.47249698638916 1.2756562232971191
why 20 7 3 7.784745216369629 5.56381893157959 0.9086780548095703
he 20 8 2 3.345351457595825 7.11874532699585 0
bought 20 9 6 15.219993591308594 4.882569789886475 2.236175537109375
a 20 10 1 4.736708164215088 6.832888126373291 0
ring 20 11 4 13.353994369506836 8.896956443786621 0
? 20 12 1 6.0119757652282715 5.950014114379883 2.9469423294067383
how 21 0 3 9.24290657043457 3.598426103591919 0
yellow 21 1 6 17.02412223815918 6.911220550537109 0
