word sentid sentpos wlen surp entropy entred
who 0 0 3 9.658806800842285 3.88847279548645 0
did 0 1 3 5.329837799072266 8.598945617675781 0
he 0 2 2 4.626264572143555 8.289320945739746 0.30962467193603516
hear 0 3 4 11.31763744354248 7.659714221954346 0.6296067237854004
that 0 4 4 3.7784578800201416 7.315391540527344 0.34432268142700195
it 0 5 2 7.413208484649658 7.357761859893799 0
is 0 6 2 5.785129070281982 7.038118362426758 0.319643497467041
important 0 7 9 11.150256156921387 5.823291301727295 1.214827060699463
to 0 8 2 2.699148178100586 5.577500343322754 0.24579095840454102
see 0 9 3 9.278888702392578 6.719664096832275 0
? 0 10 1 3.514293909072876 6.45315408706665 0.266510009765625
what 1 0 4 4.488226890563965 3.88847279548645 0
is 1 1 2 7.0345845222473145 8.282120704650879 0
it 1 2 2 8.80640697479248 6.30206298828125 1.980057716369629
important 1 3 9 10.77845573425293 6.749179363250732 0
that 1 4 4 2.953084945678711 6.762526988983154 0
<unk> 1 5 5 5.412267684936523 6.9170074462890625 0
buys 1 6 4 17.18232536315918 7.516174793243408 0
? 1 7 1 3.2779273986816406 6.497837543487549 1.0183372497558594
who 2 0 3 9.658806800842285 3.88847279548645 0
did 2 1 3 5.329837799072266 8.598945617675781 0
he 2 2 2 4.626264572143555 8.289320945739746 0.30962467193603516
hear 2 3 4 11.31763744354248 7.659714221954346 0.6296067237854004
that 2 4 4 3.7784578800201416 7.315391540527344 0.34432268142700195
it 2 5 2 7.413208484649658 7.357761859893799 0
is 2 6 2 5.785129070281982 7.038118362426758 0.319643497467041
important 2 7 9 11.150256156921387 5.823291301727295 1.214827060699463
that 2 8 4 2.877898693084717 5.577500343322754 0.24579095840454102
<unk> 2 9 5 5.387841701507568 6.3244524002075195 0
knows 2 10 5 10.66930103302002 7.313373565673828 0
? 2 11 1 2.9011383056640625 5.648353576660156 1.6650199890136719
where 3 0 5 10.107149124145508 3.88847279548645 0
did 3 1 3 6.571565628051758 8.007630348205566 0
<unk> 3 2 5 4.372325420379639 7.436790466308594 0.5708398818969727
tell 3 3 4 12.627592086791992 6.914535045623779 0.5222554206848145
you 3 4 3 3.592532157897949 6.306451320648193 0.6080837249755859
that 3 5 4 2.4823057651519775 6.421428203582764 0
she 3 6 3 5.163975238800049 7.2441840171813965 0
went 3 7 4 9.999359130859375 7.039929389953613 0.2042546272277832
? 3 8 1 2.385084629058838 4.286448001861572 2.753481388092041
what 4 0 4 4.488226890563965 3.88847279548645 0
did 4 1 3 5.9573469161987305 8.282120704650879 0
he 4 2 2 4.517735004425049 8.607688903808594 0
hear 4 3 4 10.867351531982422 7.322355270385742 1.2853336334228516
that 4 4 4 3.948286533355713 6.992006301879883 0.3303489685058594
<unk> 4 5 5 4.951449871063232 7.24769926071167 0
does 4 6 4 6.883506774902344 7.405004501342773 0
not 4 7 3 6.120245933532715 7.5805983543396 0
do 4 8 2 7.483474254608154 7.4974517822265625 0.08314657211303711
? 4 9 1 4.140456199645996 7.457245349884033 0.0402064323425293
what 5 0 4 4.488226890563965 3.88847279548645 0
did 5 1 3 5.9573469161987305 8.282120704650879 0
he 5 2 2 4.517735004425049 8.607688903808594 0
hear 5 3 4 10.867351531982422 7.322355270385742 1.2853336334228516
that 5 4 4 3.948286533355713 6.992006301879883 0.3303489685058594
<unk> 5 5 5 4.951449871063232 7.24769926071167 0
thinks 5 6 6 14.091412544250488 7.405004501342773 0
their 5 7 5 10.424585342407227 6.459587097167969 0.9454174041748047
car 5 8 3 11.835460662841797 8.021108627319336 0
needed 5 9 6 10.711654663085938 7.316628456115723 0.7044801712036133
to 5 10 2 3.408327341079712 7.2390570640563965 0.07757139205932617
do 5 11 2 7.496890068054199 8.034391403198242 0
? 5 12 1 4.713531017303467 7.222107887268066 0.8122835159301758
who 6 0 3 9.658806800842285 3.88847279548645 0
is 6 1 2 6.699047565460205 8.598945617675781 0
it 6 2 2 10.3527193069458 7.72304105758667 0.8759045600891113
probable 6 3 8 15.750408172607422 6.898583889007568 0.8244571685791016
that 6 4 4 1.4545177221298218 5.071491718292236 1.827092170715332
<unk> 6 5 5 5.194766998291016 6.811610221862793 0
helped 6 6 6 13.717005729675293 7.840279579162598 0
? 6 7 1 2.5828802585601807 6.140013694763184 1.700265884399414
what 7 0 4 4.488226890563965 3.88847279548645 0
did 7 1 3 5.9573469161987305 8.282120704650879 0
they 7 2 4 5.937632083892822 8.607688903808594 0
not 7 3 3 6.11635684967041 7.2488579750061035 1.3588309288024902
like 7 4 4 6.321977615356445 7.900268077850342 0
that 7 5 4 4.669739723205566 5.633922100067139 2.266345977783203
you 7 6 3 5.043933868408203 6.853856563568115 0
read 7 7 4 10.787006378173828 7.163712978363037 0
that 7 8 4 5.124142646789551 5.92830228805542 1.2354106903076172
<unk> 7 9 5 5.474602699279785 6.746368885040283 0
is 7 10 2 7.665980339050293 6.842414379119873 0
trying 7 11 6 11.065618515014648 6.471134185791016 0.3712801933288574
to 7 12 2 1.7715015411376953 5.831203937530518 0.639930248260498
give 7 13 4 9.502955436706543 7.2435407638549805 0
you 7 14 3 3.7427620887756348 6.167070388793945 1.0764703750610352
? 7 15 1 4.206803321838379 6.781947135925293 0
who 8 0 3 9.658806800842285 3.88847279548645 0
did 8 1 3 5.329837799072266 8.598945617675781 0
they 8 2 4 6.155198574066162 8.289320945739746 0.30962467193603516
not 8 3 3 6.284348487854004 7.497279644012451 0.7920413017272949
like 8 4 4 6.423301696777344 8.107009887695312 0
that 8 5 4 4.6296844482421875 5.834153652191162 2.2728562355041504
it 8 6 2 7.860907554626465 6.92515230178833 0
is 8 7 2 6.133225440979004 6.76954460144043 0.1556077003479004
probable 8 8 8 16.130578994750977 6.041941165924072 0.7276034355163574
that 8 9 4 1.8321940898895264 4.725494384765625 1.3164467811584473
<unk> 8 10 5 5.25707483291626 6.520705223083496 0
met 8 11 3 13.739853858947754 7.381918430328369 0
? 8 12 1 3.4295854568481445 6.246280670166016 1.1356377601623535
who 9 0 3 9.658806800842285 3.88847279548645 0
is 9 1 2 6.699047565460205 8.598945617675781 0
it 9 2 2 10.3527193069458 7.72304105758667 0.8759045600891113
probable 9 3 8 15.750408172607422 6.898583889007568 0.8244571685791016
that 9 4 4 1.4545177221298218 5.071491718292236 1.827092170715332
the 9 5 3 5.406834125518799 6.811610221862793 0
account 9 6 7 11.960289001464844 10.111414909362793 0
is 9 7 2 5.351025581359863 6.934309482574463 3.17710542678833
waiting 9 8 7 12.643688201904297 5.174468040466309 1.7598414421081543
for 9 9 3 2.8487985134124756 6.291680335998535 0
? 9 10 1 4.291635513305664 7.293446063995361 0
who 10 0 3 9.658806800842285 3.88847279548645 0
did 10 1 3 5.329837799072266 8.598945617675781 0
they 10 2 4 6.155198574066162 8.289320945739746 0.30962467193603516
not 10 3 3 6.284348487854004 7.497279644012451 0.7920413017272949
like 10 4 4 6.423301696777344 8.107009887695312 0
that 10 5 4 4.6296844482421875 5.834153652191162 2.2728562355041504
it 10 6 2 7.860907554626465 6.92515230178833 0
is 10 7 2 6.133225440979004 6.76954460144043 0.1556077003479004
important 10 8 9 11.474292755126953 6.041941165924072 0.7276034355163574
to 10 9 2 2.914090633392334 5.7606201171875 0.28132104873657227
fix 10 10 3 15.223957061767578 6.9060444831848145 0
? 10 11 1 4.085820198059082 6.446374893188477 0.4596695899963379
who 11 0 3 9.658806800842285 3.88847279548645 0
did 11 1 3 5.329837799072266 8.598945617675781 0
they 11 2 4 6.155198574066162 8.289320945739746 0.30962467193603516
not 11 3 3 6.284348487854004 7.497279644012451 0.7920413017272949
like 11 4 4 6.423301696777344 8.107009887695312 0
that 11 5 4 4.6296844482421875 5.834153652191162 2.2728562355041504
it 11 6 2 7.860907554626465 6.92515230178833 0
is 11 7 2 6.133225440979004 6.76954460144043 0.1556077003479004
probable 11 8 8 16.130578994750977 6.041941165924072 0.7276034355163574
that 11 9 4 1.8321940898895264 4.725494384765625 1.3164467811584473
<unk> 11 10 5 5.25707483291626 6.520705223083496 0
called 11 11 6 10.9487943649292 7.381918430328369 0
? 11 12 1 3.096754789352417 6.578374862670898 0.8035435676574707
what 12 0 4 4.488226890563965 3.88847279548645 0
did 12 1 3 5.9573469161987305 8.282120704650879 0
<unk> 12 2 5 4.622437953948975 8.607688903808594 0
buy 12 3 3 11.774258613586426 7.607990264892578 0.9996986389160156
you 12 4 3 7.022212505340576 6.783394813537598 0.8245954513549805
? 12 5 1 4.805874824523926 6.967601776123047 0
what 13 0 4 4.488226890563965 3.88847279548645 0
did 13 1 3 5.9573469161987305 8.282120704650879 0
she 13 2 3 6.120429039001465 8.607688903808594 0
say 13 3 3 8.148239135742188 7.298775672912598 1.308913230895996
that 13 4 4 3.53621244430542 5.973390102386475 1.325385570526123
<unk> 13 5 5 4.967233657836914 6.942636966705322 0
thinks 13 6 6 14.195478439331055 7.334450721740723 0
that 13 7 4 3.617375135421753 6.230575084686279 1.1038756370544434
their 13 8 5 10.218379974365234 6.891199111938477 0
rumour 13 9 6 16.44856071472168 7.997605323791504 0
was 13 10 3 5.9771857261657715 6.429148197174072 1.5684571266174316
? 13 11 1 7.13346529006958 3.8096702098846436 2.6194779872894287
what 14 0 4 4.488226890563965 3.88847279548645 0
is 14 1 2 7.0345845222473145 8.282120704650879 0
it 14 2 2 8.80640697479248 6.30206298828125 1.980057716369629
important 14 3 9 10.77845573425293 6.749179363250732 0
that 14 4 4 2.953084945678711 6.762526988983154 0
<unk> 14 5 5 5.412267684936523 6.9170074462890625 0
eats 14 6 4 17.4274959564209 7.51617431640625 0
for 14 7 3 6.765044689178467 6.8837385177612305 0.6324357986450195
<unk> 14 8 5 4.020968437194824 8.281112670898438 0
? 14 9 1 2.267512321472168 6.485466957092285 1.7956457138061523
who 15 0 3 9.658806800842285 3.88847279548645 0
is 15 1 2 6.699047565460205 8.598945617675781 0
it 15 2 2 10.3527193069458 7.72304105758667 0.8759045600891113
scandalous 15 3 10 19.455148696899414 6.898583889007568 0.8244571685791016
that 15 4 4 4.112786293029785 6.105554103851318 0.79302978515625
the 15 5 3 5.419051647186279 7.2148051261901855 0
silly 15 6 5 14.628546714782715 10.347490310668945 0
candy 15 7 5 14.701918601989746 8.745072364807129 1.6024179458618164
store 15 8 5 11.009636878967285 7.961391925811768 0.7836804389953613
is 15 9 2 5.697401523590088 7.346534729003906 0.6148571968078613
demanding 15 10 9 15.714921951293945 6.644203186035156 0.70233154296875
? 15 11 1 3.4204766750335693 6.166400909423828 0.4778022766113281
who 16 0 3 9.658806800842285 3.88847279548645 0
did 16 1 3 5.329837799072266 8.598945617675781 0
they 16 2 4 6.155198574066162 8.289320945739746 0.30962467193603516
<unk> 16 3 5 6.120875358581543 7.497279644012451 0.7920413017272949
that 16 4 4 4.815741062164307 7.643047332763672 0
it 16 5 2 8.07894229888916 7.335367679595947 0.3076796531677246
is 16 6 2 5.781464576721191 6.908221244812012 0.42714643478393555
expensive 16 7 9 14.246976852416992 5.839370250701904 1.0688509941101074
to 16 8 2 4.180000305175781 5.755262851715088 0.0841073989868164
date 16 9 4 11.253851890563965 8.016002655029297 0
? 16 10 1 2.3099093437194824 5.741933345794678 2.274069309234619
what 17 0 4 4.488226890563965 3.88847279548645 0
did 17 1 3 5.9573469161987305 8.282120704650879 0
they 17 2 4 5.937632083892822 8.607688903808594 0
not 17 3 3 6.11635684967041 7.2488579750061035 1.3588309288024902
like 17 4 4 6.321977615356445 7.900268077850342 0
that 17 5 4 4.669739723205566 5.633922100067139 2.266345977783203
it 17 6 2 7.740701675415039 6.853856563568115 0
is 17 7 2 6.232614517211914 6.642457008361816 0.21139955520629883
circulating 17 8 11 15.399138450622559 6.048504829406738 0.5939521789550781
that 17 9 4 3.9418187141418457 6.109286308288574 0
<unk> 17 10 5 5.676225185394287 6.43912935256958 0
analysis 17 11 8 15.759421348571777 6.636329650878906 0
solved 17 12 6 15.68663501739502 6.316467761993408 0.31986188888549805
? 17 13 1 3.553802728652954 6.214413642883301 0.10205411911010742
what 18 0 4 4.488226890563965 3.88847279548645 0
does 18 1 4 8.71055793762207 8.282120704650879 0
<unk> 18 2 5 4.308977127075195 8.383086204528809 0
not 18 3 3 7.662294864654541 6.7720255851745605 1.611060619354248
think 18 4 5 11.849026679992676 7.2235822677612305 0
that 18 5 4 4.1182332038879395 7.138684272766113 0.08489799499511719
you 18 6 3 5.14780330657959 7.303019046783447 0
robbed 18 7 6 18.254066467285156 7.005559921264648 0.29745912551879883
? 18 8 1 2.812802314758301 6.0437469482421875 0.9618129730224609
where 19 0 5 10.107149124145508 3.88847279548645 0
is 19 1 2 8.22990894317627 8.007630348205566 0
it 19 2 2 8.158662796020508 6.9788336753845215 1.028796672821045
unrealistic 19 3 11 18.83163070678711 7.406670093536377 0
that 19 4 4 2.3105196952819824 5.7462029457092285 1.6604671478271484
<unk> 19 5 5 5.219521522521973 6.9012675285339355 0
goes 19 6 4 12.32679557800293 7.546712875366211 0
to 19 7 2 4.094475746154785 4.874180316925049 2.672532558441162
for 19 8 3 7.09361457824707 6.917501449584961 0
<unk> 19 9 5 4.213983058929443 7.520235061645508 0
? 19 10 1 2.9810807704925537 6.177414417266846 1.342820644378662
what 20 0 4 4.488226890563965 3.88847279548645 0
did 20 1 3 5.9573469161987305 8.282120704650879 0
he 20 2 2 4.517735004425049 8.607688903808594 0
hear 20 3 4 10.867351531982422 7.322355270385742 1.2853336334228516
that 20 4 4 3.948286533355713 6.992006301879883 0.3303489685058594
it 20 5 2 7.272138595581055 7.24769926071167 0
is 20 6 2 5.83778190612793 7.021420955657959 0.22627830505371094
extravagant 20 7 11 18.04546546936035 5.942038536071777 1.0793824195861816
to 20 8 2 4.626796245574951 5.704313278198242 0.23772525787353516
claim 20 9 5 13.596915245056152 7.316144943237305 0
? 20 10 1 2.797499179840088 6.1243133544921875 1.1918315887451172
what 21 0 4 4.488226890563965 3.88847279548645 0
is 21 1 2 7.0345845222473145 8.282120704650879 0
it 21 2 2 8.80640697479248 6.30206298828125 1.980057716369629
likely 21 3 6 10.054549217224121 6.749179363250732 0
that 21 4 4 1.9341151714324951 5.941651821136475 0.8075275421142578
the 21 5 3 5.753373622894287 6.955164909362793 0
teacher 21 6 7 12.801183700561523 10.124276161193848 0
buys 21 7 4 18.166255950927734 7.422293663024902 2.7019824981689453
? 21 8 1 3.736889362335205 6.9176716804504395 0.5046219825744629
what 22 0 4 4.488226890563965 3.88847279548645 0
did 22 1 3 5.9573469161987305 8.282120704650879 0
he 22 2 2 4.517735004425049 8.607688903808594 0
hear 22 3 4 10.867351531982422 7.322355270385742 1.2853336334228516
that 22 4 4 3.948286533355713 6.992006301879883 0.3303489685058594
it 22 5 2 7.272138595581055 7.24769926071167 0
is 22 6 2 5.83778190612793 7.021420955657959 0.22627830505371094
funny 22 7 5 12.087052345275879 5.942038536071777 1.0793824195861816
that 22 8 4 3.85882830619812 6.023144245147705 0
a 22 9 1 5.466195583343506 6.227602481842041 0
cup 22 10 3 11.917891502380371 9.407376289367676 0
of 22 11 2 5.808939456939697 6.9439873695373535 2.4633889198303223
coffee 22 12 6 7.130220890045166 5.854788303375244 1.0891990661621094
solves 22 13 6 20.133079528808594 7.828057765960693 0
? 22 14 1 2.2506906986236572 6.309861183166504 1.5181965827941895
who 23 0 3 9.658806800842285 3.88847279548645 0
did 23 1 3 5.329837799072266 8.598945617675781 0
the 23 2 3 5.485119819641113 8.289320945739746 0.30962467193603516
book 23 3 4 9.574546813964844 10.474056243896484 0
tell 23 4 4 12.341222763061523 7.786496162414551 2.6875600814819336
me 23 5 2 4.026394367218018 6.728705883026123 1.0577902793884277
went 23 6 4 12.426721572875977 5.499736785888672 1.2289690971374512
to 23 7 2 3.9654252529144287 4.158003330230713 1.341733455657959
the 23 8 3 4.682031154632568 6.2928080558776855 0
expensive 23 9 9 15.292350769042969 9.432236671447754 0
store 23 10 5 11.304512023925781 8.981276512145996 0.4509601593017578
? 23 11 1 3.5590429306030273 6.907034397125244 2.074242115020752
who 24 0 3 9.658806800842285 3.88847279548645 0
did 24 1 3 5.329837799072266 8.598945617675781 0
the 24 2 3 5.485119819641113 8.289320945739746 0.30962467193603516
<unk> 24 3 5 4.033524036407471 10.474056243896484 0
experience 24 4 10 11.86370849609375 9.009803771972656 1.4642524719238281
assert 24 5 6 18.688146591186523 7.619716644287109 1.3900871276855469
watched 24 6 7 18.787681579589844 5.925319194793701 1.6943974494934082
a 24 7 1 4.666543006896973 7.780052661895752 0
ballet 24 8 6 13.911888122558594 10.73410415649414 0
on 24 9 2 7.46283483505249 7.702435493469238 3.0316686630249023
<unk> 24 10 5 3.906139850616455 7.33381986618042 0.36861562728881836
? 24 11 1 4.348498344421387 7.03858757019043 0.29523229598999023
