word sentid sentpos wlen surp entropy entred
who 0 0 3 8.878745079040527 3.598426103591919 0
was 0 1 3 6.604941368103027 6.318305969238281 0
that 0 2 4 1.2257647514343262 4.965120315551758 1.3531856536865234
quipped 0 3 7 20.21128273010254 5.114808559417725 0
about 0 4 5 6.80094575881958 3.6896684169769287 1.425140142440796
<unk> 0 5 5 5.682848930358887 5.565861701965332 0
analysis 0 6 8 16.38789939880371 5.946223735809326 0
funny 0 7 5 20.055999755859375 4.526411056518555 1.4198126792907715
? 0 8 1 6.872989654541016 5.84869384765625 0
whom 1 0 4 13.872987747192383 3.598426103591919 0
were 1 1 4 8.273277282714844 6.044182777404785 0
two 1 2 3 9.47524356842041 4.876763820648193 1.1674189567565918
rumours 1 3 7 16.48851776123047 8.05768871307373 0
about 1 4 5 5.8667449951171875 3.687163829803467 4.370524883270264
waiting 1 5 7 10.664450645446777 6.447900772094727 0
? 1 6 1 7.617344856262207 6.4066033363342285 0.04129743576049805
who 2 0 3 8.878745079040527 3.598426103591919 0
does 2 1 4 7.118906497955322 6.318305969238281 0
that 2 2 4 3.9751155376434326 6.808560848236084 0
wears 2 3 5 16.325759887695312 6.10006856918335 0.7084922790527344
extravagant 2 4 11 17.731426239013672 5.5698981285095215 0.5301704406738281
rings 2 5 5 12.15655517578125 9.518977165222168 0
make 2 6 4 12.887081146240234 4.959793567657471 4.559183597564697
the 2 7 3 5.692006587982178 6.774012565612793 0
plan 2 8 4 12.896912574768066 10.563252449035645 0
unrealistic 2 9 11 15.499619483947754 6.374939441680908 4.188313007354736
? 2 10 1 6.58722448348999 5.535435676574707 0.8395037651062012
whom 3 0 4 13.872987747192383 3.598426103591919 0
loaned 3 1 6 19.775827407836914 6.044182777404785 0
that 3 2 4 3.238013505935669 6.206783294677734 0
<unk> 3 3 5 6.198697566986084 5.687056541442871 0.5197267532348633
heard 3 4 5 12.662349700927734 6.171467304229736 0
the 3 5 3 6.888334274291992 4.950722694396973 1.2207446098327637
claim 3 6 5 13.386610984802246 9.562217712402344 0
a 3 7 1 8.151901245117188 2.45809006690979 7.104127645492554
trumpet 3 8 7 17.032428741455078 8.010193824768066 0
to 3 9 2 6.097302436828613 5.498147010803223 2.5120468139648438
you 3 10 3 6.994344711303711 5.928797245025635 0
? 3 11 1 7.505826473236084 4.848725318908691 1.0800719261169434
who 4 0 3 8.878745079040527 3.598426103591919 0
is 4 1 2 7.588233470916748 6.318305969238281 0
that 4 2 4 0.9091715216636658 4.010219097137451 2.30808687210083
is 4 3 2 8.193181991577148 5.2545881271362305 0
a 4 4 1 5.3858819007873535 2.976918935775757 2.2776691913604736
teacher 4 5 7 13.312705039978027 8.03382396697998 0
unlikely 4 6 8 18.513916015625 4.33351993560791 3.7003040313720703
? 4 7 1 6.782184600830078 4.7346696853637695 0
whom 5 0 4 13.872987747192383 3.598426103591919 0
does 5 1 4 8.267346382141113 6.044182777404785 0
one 5 2 3 9.279668807983398 6.943009853363037 0
story 5 3 5 9.50195026397705 6.937723636627197 0.005286216735839844
about 5 4 5 6.632460594177246 4.886336803436279 2.051386833190918
claim 5 5 5 16.670236587524414 6.118634223937988 0
the 5 6 3 6.9892497062683105 4.149306774139404 1.969327449798584
possibility 5 7 11 11.762816429138184 9.991535186767578 0
is 5 8 2 9.206382751464844 2.380991220474243 7.610543966293335
unrealistic 5 9 11 17.055755615234375 2.2463629245758057 0.1346282958984375
? 5 10 1 7.409336566925049 4.266358852386475 0
what 6 0 4 5.218100070953369 3.598426103591919 0
was 6 1 3 7.119709014892578 7.87407922744751 0
that 6 2 4 1.2118114233016968 4.762789249420166 3.1112899780273438
she 6 3 3 5.8744215965271 6.031402111053467 0
likely 6 4 6 14.520846366882324 4.541459083557129 1.489943027496338
heard 6 5 5 8.598641395568848 5.7386345863342285 0
true 6 6 4 12.477556228637695 4.866273880004883 0.8723607063293457
? 6 7 1 6.521127223968506 6.364598274230957 0
who 7 0 3 8.878745079040527 3.598426103591919 0
was 7 1 3 6.604941368103027 6.318305969238281 0
that 7 2 4 1.2257647514343262 4.965120315551758 1.3531856536865234
knows 7 3 5 15.571722984313965 5.114808559417725 0
someone 7 4 7 9.705360412597656 4.372470378875732 0.7423381805419922
probable 7 5 8 19.622224807739258 3.3565051555633545 1.015965223312378
? 7 6 1 7.437434196472168 3.687774181365967 0
who 8 0 3 8.878745079040527 3.598426103591919 0
does 8 1 4 7.118906497955322 6.318305969238281 0
that 8 2 4 3.9751155376434326 6.808560848236084 0
got 8 3 3 14.413790702819824 6.10006856918335 0.7084922790527344
a 8 4 1 5.060503005981445 5.706310272216797 0.39375829696655273
new 8 5 3 9.596489906311035 7.745870113372803 0
phone 8 6 5 11.348237991333008 9.663899421691895 0
for 8 7 3 5.2446722984313965 6.594742298126221 3.069157123565674
<unk> 8 8 5 5.220983982086182 5.464932441711426 1.129809856414795
not 8 9 3 9.039146423339844 6.194625377655029 0
make 8 10 4 10.80623722076416 6.392662048339844 0
sense 8 11 5 8.655112266540527 6.953634262084961 0
? 8 12 1 6.717309474945068 4.869120121002197 2.0845141410827637
whom 9 0 4 13.872987747192383 3.598426103591919 0
did 9 1 3 6.303704738616943 6.044182777404785 0
an 9 2 2 8.740808486938477 7.031692981719971 0
account 9 3 7 8.851210594177246 8.155420303344727 0
for 9 4 3 5.3619065284729 4.436830520629883 3.7185897827148438
buy 9 5 3 12.510289192199707 6.97675085067749 0
a 9 6 1 5.228566646575928 6.0259480476379395 0.9508028030395508
gift 9 7 4 12.405829429626465 8.517783164978027 0
? 9 8 1 6.281042575836182 5.474814414978027 3.04296875
what 10 0 4 5.218100070953369 3.598426103591919 0
is 10 1 2 8.770992279052734 7.87407922744751 0
that 10 2 4 0.7868925333023071 3.611229419708252 4.262849807739258
come 10 3 4 12.04689884185791 6.185818195343018 0
to 10 4 2 4.614991188049316 5.281147003173828 0.9046711921691895
our 10 5 3 9.606912612915039 6.930899620056152 0
party 10 6 5 8.882465362548828 9.213080406188965 0
likely 10 7 6 13.445712089538574 5.843468189239502 3.369612216949463
? 10 8 1 4.7335357666015625 5.374334335327148 0.4691338539123535
who 11 0 3 8.878745079040527 3.598426103591919 0
does 11 1 4 7.118906497955322 6.318305969238281 0
the 11 2 3 6.284346103668213 6.808560848236084 0
extravagant 11 3 11 16.9400577545166 9.721186637878418 0
rings 11 4 5 14.844683647155762 10.301664352416992 0
that 11 5 4 1.4388841390609741 5.259812831878662 5.04185152053833
takes 11 6 5 11.744986534118652 7.129513263702393 0
to 11 7 2 5.977724075317383 6.767857074737549 0.36165618896484375
school 11 8 6 12.152322769165039 6.9431891441345215 0
are 11 9 3 9.209535598754883 7.295959949493408 0
