word sentid sentpos wlen surp entropy entred
what 0 0 4 9.16491413116455 8.377017974853516 0
did 0 1 3 6.527791500091553 6.006829261779785 2.3701887130737305
i 0 2 1 7.986424446105957 3.2835261821746826 2.7233030796051025
buy 0 3 3 11.68298625946045 5.933618068695068 0
a 0 4 1 2.43878173828125 6.7566447257995605 0
guitar 0 5 6 14.18728256225586 9.067870140075684 0
for 0 6 3 6.24409294128418 6.850348949432373 2.2175211906433105
myself 0 7 6 10.28475284576416 5.768264293670654 1.0820846557617188
because 0 8 7 8.510539054870605 7.043277740478516 0
they 0 9 4 6.8663763999938965 5.609253883361816 1.4340238571166992
heard 0 10 5 12.220806121826172 5.584076404571533 0.025177478790283203
? 0 11 1 8.487853050231934 6.249963283538818 0
what 1 0 4 9.16491413116455 8.377017974853516 0
will 1 1 4 9.368370056152344 6.006829261779785 2.3701887130737305
they 1 2 4 8.85391616821289 6.416817665100098 0
fail 1 3 4 13.278022766113281 6.785024642944336 0
the 1 4 3 5.270199298858643 6.720542907714844 0.06448173522949219
test 1 5 4 10.082183837890625 7.537508010864258 0
if 1 6 2 9.8828125 7.75859260559082 0
they 1 7 4 5.990516185760498 6.709283351898193 1.049309253692627
do 1 8 2 6.692230224609375 6.688017845153809 0.021265506744384766
not 1 9 3 8.700895309448242 5.1848015785217285 1.50321626663208
? 1 10 1 25.329065322875977 5.792827606201172 0
whom 2 0 4 14.632004737854004 8.377017974853516 0
will 2 1 4 9.263812065124512 6.466866970062256 1.9101510047912598
he 2 2 2 6.310779571533203 7.0784831047058105 0
hire 2 3 4 14.312811851501465 6.402982234954834 0.6755008697509766
someone 2 4 7 5.941711902618408 7.139823913574219 0
if 2 5 2 9.77497673034668 6.539048671722412 0.6007752418518066
i 2 6 1 7.214216709136963 5.964640140533447 0.5744085311889648
need 2 7 4 7.5888671875 6.979732036590576 0
? 2 8 1 11.646856307983398 6.144092559814453 0.835639476776123
what 3 0 4 9.16491413116455 8.377017974853516 0
has 3 1 3 8.986064910888672 6.006829261779785 2.3701887130737305
he 3 2 2 3.251558780670166 6.178043842315674 0
been 3 3 4 5.541988372802734 6.425628185272217 0
circulating 3 4 11 17.648706436157227 6.867831230163574 0
who 3 5 3 7.973367214202881 6.445235729217529 0.4225955009460449
he 3 6 2 5.798460960388184 7.024803161621094 0
thought 3 7 7 10.77239990234375 5.3496527671813965 1.6751503944396973
was 3 8 3 7.493412017822266 4.55739688873291 0.7922558784484863
? 3 9 1 11.611106872558594 5.5340375900268555 0
what 4 0 4 9.16491413116455 8.377017974853516 0
will 4 1 4 9.368370056152344 6.006829261779785 2.3701887130737305
he 4 2 2 5.607432842254639 6.416817665100098 0
try 4 3 3 11.890955924987793 5.735545635223389 0.681272029876709
to 4 4 2 4.745354652404785 6.868835926055908 0
call 4 5 4 7.781770706176758 7.515815734863281 0
you 4 6 3 7.369202136993408 5.65003776550293 1.8657779693603516
if 4 7 2 9.413579940795898 6.891232013702393 0
she 4 8 3 3.342202663421631 6.150419235229492 0.7408127784729004
buys 4 9 4 21.430856704711914 3.860503911972046 2.2899153232574463
? 4 10 1 12.448493957519531 5.866825580596924 0
what 5 0 4 9.16491413116455 8.377017974853516 0
did 5 1 3 6.527791500091553 6.006829261779785 2.3701887130737305
she 5 2 3 6.500662326812744 3.2835261821746826 2.7233030796051025
say 5 3 3 8.263338088989258 3.1604487895965576 0.123077392578125
she 5 4 3 4.903423309326172 5.031735897064209 0
would 5 5 5 10.130337715148926 2.339019536972046 2.692716360092163
like 5 6 4 6.789825439453125 4.296596050262451 0
the 5 7 3 5.74252986907959 4.882443904876709 0
man 5 8 3 10.05346393585205 5.617647647857666 0
if 5 9 2 10.189661026000977 5.973404407501221 0
he 5 10 2 3.7870490550994873 5.9138360023498535 0.05956840515136719
