word sentid sentpos wlen surp entropy entred
how 0 0 3 4.036921501159668 8.095087051391602 0
did 0 1 3 7.459641456604004 5.836575031280518 2.258512020111084
bill 0 2 4 6.417373180389404 7.618961334228516 0
claim 0 3 5 12.152374267578125 6.029536724090576 1.5894246101379395
that 0 4 4 3.688856601715088 7.344198703765869 0
today 0 5 5 9.80102825164795 7.445455551147461 0
is 0 6 2 6.423396587371826 5.542763710021973 1.9026918411254883
his 0 7 3 19.842939376831055 0.004555328283458948 5.538208381738514
last 0 8 4 10.019676208496094 0.9616466164588928 0
day 0 9 3 3.7842154502868652 8.066825866699219 0
? 0 10 1 3.7535316944122314 6.123396396636963 1.9434294700622559
how 1 0 3 4.036921501159668 8.095087051391602 0
does 1 1 4 5.617931365966797 5.836575031280518 2.258512020111084
<unk> 1 2 5 2.5981180667877197 7.883530616760254 0
claim 1 3 5 9.938076972961426 6.163503170013428 1.7200274467468262
that 1 4 4 3.583235025405884 6.962092399597168 0
he 1 5 2 5.090970039367676 6.985762119293213 0
has 1 6 3 8.932238578796387 3.2438061237335205 3.7419559955596924
a 1 7 1 5.6229329109191895 4.779780864715576 0
boat 1 8 4 13.116595268249512 4.124660015106201 0.655120849609375
and 1 9 3 8.486725807189941 6.114418029785156 0
a 1 10 1 2.978065252304077 6.639066219329834 0
car 1 11 3 13.777813911437988 4.300676345825195 2.3383898735046387
? 1 12 1 1.9147593975067139 6.440180778503418 0
how 2 0 3 4.036921501159668 8.095087051391602 0
did 2 1 3 7.459641456604004 5.836575031280518 2.258512020111084
she 2 2 3 5.693119525909424 7.618961334228516 0
think 2 3 5 4.242407321929932 6.209128379821777 1.4098329544067383
that 2 4 4 5.2275190353393555 4.07983922958374 2.129289150238037
she 2 5 3 4.949737548828125 6.972091197967529 0
bought 2 6 6 12.5475492477417 3.2067224979400635 3.765368700027466
beans 2 7 5 19.700925827026367 4.441812038421631 0
and 2 8 3 6.425909042358398 6.326187610626221 0
<unk> 2 9 5 3.576639175415039 8.180245399475098 0
? 2 10 1 3.8811049461364746 6.864019393920898 1.3162260055541992
how 3 0 3 4.036921501159668 8.095087051391602 0
does 3 1 4 5.617931365966797 5.836575031280518 2.258512020111084
<unk> 3 2 5 2.5981180667877197 7.883530616760254 0
claim 3 3 5 9.938076972961426 6.163503170013428 1.7200274467468262
that 3 4 4 3.583235025405884 6.962092399597168 0
he 3 5 2 5.090970039367676 6.985762119293213 0
can 3 6 3 10.068236351013184 3.2438061237335205 3.7419559955596924
make 3 7 4 9.403984069824219 6.222985744476318 0
<unk> 3 8 5 4.6103596687316895 6.966015815734863 0
and 3 9 3 10.095269203186035 4.198243141174316 2.767772674560547
espresso 3 10 8 20.95517921447754 6.9560227394104 0
? 3 11 1 4.2329583168029785 7.0233283042907715 0
how 4 0 3 4.036921501159668 8.095087051391602 0
does 4 1 4 5.617931365966797 5.836575031280518 2.258512020111084
she 4 2 3 5.75662088394165 7.883530616760254 0
know 4 3 4 5.188292980194092 5.367873191833496 2.515657424926758
that 4 4 4 4.173909664154053 6.226302146911621 0
she 4 5 3 4.681149482727051 6.251833438873291 0
failed 4 6 6 15.590495109558105 2.9211673736572266 3.3306660652160645
the 4 7 3 7.794097423553467 6.062402248382568 0
test 4 8 4 9.856407165527344 8.109077453613281 0
? 4 9 1 3.7469935417175293 6.629568576812744 1.479508876800537
how 5 0 3 4.036921501159668 8.095087051391602 0
did 5 1 3 7.459641456604004 5.836575031280518 2.258512020111084
he 5 2 2 4.618260860443115 7.618961334228516 0
say 5 3 3 6.817612171173096 6.454339027404785 1.1646223068237305
that 5 4 4 4.002171039581299 5.354365825653076 1.099973201751709
he 5 5 2 4.492353916168213 6.8991289138793945 0
went 5 6 4 13.546477317810059 4.150745868682861 2.748383045196533
to 5 7 2 6.126616477966309 6.418459892272949 0
school 5 8 6 9.44198989868164 7.56030797958374 0
? 5 9 1 1.9499787092208862 6.096381187438965 1.4639267921447754
how 6 0 3 4.036921501159668 8.095087051391602 0
does 6 1 4 5.617931365966797 5.836575031280518 2.258512020111084
will 6 2 4 9.692367553710938 7.883530616760254 0
think 6 3 5 4.9370269775390625 7.860136985778809 0.023393630981445312
that 6 4 4 5.283840656280518 4.2300238609313965 3.630113124847412
bill 6 5 4 7.896194934844971 6.904460430145264 0
is 6 6 2 6.197340488433838 5.621549129486084 1.2829113006591797
pregnant 6 7 8 25.47834014892578 0.00837766844779253 5.6131714610382915
in 6 8 2 9.546798706054688 3.6360483169555664 0
class 6 9 5 13.46419620513916 4.571609973907471 0
? 6 10 1 2.1975693702697754 6.77685022354126 0
how 7 0 3 4.036921501159668 8.095087051391602 0
did 7 1 3 7.459641456604004 5.836575031280518 2.258512020111084
<unk> 7 2 5 2.616161346435547 7.618961334228516 0
claim 7 3 5 10.33360481262207 5.947299003601074 1.6716623306274414
that 7 4 4 3.6567811965942383 6.731229782104492 0
he 7 5 2 4.7191596031188965 6.951357841491699 0
fell 7 6 4 10.880179405212402 3.2825536727905273 3.668804168701172
asleep 7 7 6 8.069180488586426 5.784106731414795 0
in 7 8 2 7.810462951660156 4.359768867492676 1.4243378639221191
class 7 9 5 17.215368270874023 2.9471683502197266 1.4126005172729492
today 7 10 5 8.193840980529785 6.422201633453369 0
? 7 11 1 3.6983072757720947 4.387888431549072 2.034313201904297
how 8 0 3 4.036921501159668 8.095087051391602 0
does 8 1 4 5.617931365966797 5.836575031280518 2.258512020111084
someone 8 2 7 7.757225036621094 7.883530616760254 0
who 8 3 3 4.060294151306152 4.366458892822266 3.5170717239379883
speaks 8 4 6 13.160926818847656 4.782693386077881 0
a 8 5 1 4.981852054595947 5.015009880065918 0
<unk> 8 6 5 5.939970016479492 5.4208502769470215 0
language 8 7 8 12.688224792480469 5.298401832580566 0.12244844436645508
solve 8 8 5 17.705718994140625 6.616750240325928 0
by 8 9 2 7.648682594299316 5.086263656616211 1.5304865837097168
<unk> 8 10 5 5.04020881652832 5.323313236236572 0
analysis 8 11 8 14.315102577209473 4.361624717712402 0.9616885185241699
? 8 12 1 5.52211332321167 5.59852933883667 0
how 9 0 3 4.036921501159668 8.095087051391602 0
does 9 1 4 5.617931365966797 5.836575031280518 2.258512020111084
<unk> 9 2 5 2.5981180667877197 7.883530616760254 0
claim 9 3 5 9.938076972961426 6.163503170013428 1.7200274467468262
that 9 4 4 3.583235025405884 6.962092399597168 0
she 9 5 3 5.494613170623779 6.985762119293213 0
sleeps 9 6 6 18.332595825195312 2.7723114490509033 4.21345067024231
with 9 7 4 6.644044876098633 5.342924118041992 0
a 9 8 1 4.425917148590088 4.576089859008789 0.7668342590332031
teddy 9 9 5 15.471224784851074 4.7210845947265625 0
bear 9 10 4 7.91002893447876 7.633810997009277 0
? 9 11 1 4.077600479125977 5.102143287658691 2.531667709350586
how 10 0 3 4.036921501159668 8.095087051391602 0
does 10 1 4 5.617931365966797 5.836575031280518 2.258512020111084
someone 10 2 7 7.757225036621094 7.883530616760254 0
who 10 3 3 4.060294151306152 4.366458892822266 3.5170717239379883
speaks 10 4 6 13.160926818847656 4.782693386077881 0
a 10 5 1 4.981852054595947 5.015009880065918 0
<unk> 10 6 5 5.939970016479492 5.4208502769470215 0
language 10 7 8 12.688224792480469 5.298401832580566 0.12244844436645508
know 10 8 4 6.373807907104492 6.616750240325928 0
beans 10 9 5 19.532846450805664 5.754197120666504 0.8625531196594238
and 10 10 3 6.86760139465332 6.153212547302246 0
<unk> 10 11 5 4.190066337585449 7.425856590270996 0
? 10 12 1 4.060827255249023 6.7070088386535645 0.7188477516174316
how 11 0 3 4.036921501159668 8.095087051391602 0
does 11 1 4 5.617931365966797 5.836575031280518 2.258512020111084
<unk> 11 2 5 2.5981180667877197 7.883530616760254 0
hear 11 3 4 10.723421096801758 6.163503170013428 1.7200274467468262
<unk> 11 4 5 3.8415415287017822 6.6209235191345215 0
and 11 5 3 8.972698211669922 5.248824119567871 1.3720993995666504
espresso 11 6 8 20.48139190673828 7.034207820892334 0
? 11 7 1 3.993691921234131 7.359198093414307 0
how 12 0 3 4.036921501159668 8.095087051391602 0
does 12 1 4 5.617931365966797 5.836575031280518 2.258512020111084
<unk> 12 2 5 2.5981180667877197 7.883530616760254 0
believe 12 3 7 8.228703498840332 6.163503170013428 1.7200274467468262
<unk> 12 4 5 4.719244956970215 6.710806369781494 0
and 12 5 3 9.14859676361084 3.680565357208252 3.030241012573242
espresso 12 6 8 20.98021125793457 6.751673698425293 0
? 12 7 1 3.5287575721740723 6.926617622375488 0
how 13 0 3 4.036921501159668 8.095087051391602 0
did 13 1 3 7.459641456604004 5.836575031280518 2.258512020111084
she 13 2 3 5.693119525909424 7.618961334228516 0
know 13 3 4 4.76659631729126 6.209128379821777 1.4098329544067383
that 13 4 4 4.2439985275268555 6.529476642608643 0
he 13 5 2 5.326098442077637 6.76673698425293 0
bought 13 6 6 11.916072845458984 3.9020369052886963 2.8647000789642334
a 13 7 1 5.271871089935303 4.339754581451416 0
boat 13 8 4 11.340658187866211 5.462926864624023 0
yesterday 13 9 9 12.932504653930664 5.66951847076416 0
? 13 10 1 4.229728698730469 6.584716320037842 0
how 14 0 3 4.036921501159668 8.095087051391602 0
did 14 1 3 7.459641456604004 5.836575031280518 2.258512020111084
<unk> 14 2 5 2.616161346435547 7.618961334228516 0
claim 14 3 5 10.33360481262207 5.947299003601074 1.6716623306274414
that 14 4 4 3.6567811965942383 6.731229782104492 0
he 14 5 2 4.7191596031188965 6.951357841491699 0
got 14 6 3 10.717307090759277 3.2825536727905273 3.668804168701172
a 14 7 1 4.805255889892578 3.8728959560394287 0
perfect 14 8 7 10.772350311279297 4.863089561462402 0
score 14 9 5 9.517669677734375 8.91523551940918 0
on 14 10 2 4.576096057891846 6.836293697357178 2.078941822052002
the 14 11 3 8.210980415344238 1.3021365404129028 5.534157156944275
test 14 12 4 9.891215324401855 8.279343605041504 0
? 14 13 1 5.2333831787109375 7.071468353271484 1.2078752517700195
how 15 0 3 4.036921501159668 8.095087051391602 0
does 15 1 4 5.617931365966797 5.836575031280518 2.258512020111084
the 15 2 3 5.94242000579834 7.883530616760254 0
discreet 15 3 8 19.69472312927246 8.07067584991455 0
party 15 4 5 11.477494239807129 8.89384937286377 0
think 15 5 5 7.13577127456665 7.203941822052002 1.6899075508117676
that 15 6 4 4.63716459274292 4.221426963806152 2.9825148582458496
the 15 7 3 6.691642761230469 6.839878559112549 0
blue 15 8 4 12.241388320922852 8.517007827758789 0
trumpet 15 9 7 17.77056884765625 8.368441581726074 0.14856624603271484
met 15 10 3 14.010266304016113 7.481652736663818 0.8867888450622559
someone 15 11 7 6.379197120666504 4.397916316986084 3.0837364196777344
who 15 12 3 4.343634605407715 4.03777551651001 0.3601408004760742
circulated 15 13 10 20.087051391601562 2.9285075664520264 1.1092679500579834
a 15 14 1 4.135214328765869 5.574361324310303 0
teddy 15 15 5 15.977314949035645 5.443535804748535 0.13082551956176758
bear 15 16 4 8.430537223815918 7.644680500030518 0
? 15 17 1 4.299866676330566 4.844598293304443 2.800082206726074
how 16 0 3 4.036921501159668 8.095087051391602 0
did 16 1 3 7.459641456604004 5.836575031280518 2.258512020111084
<unk> 16 2 5 2.616161346435547 7.618961334228516 0
think 16 3 5 5.38817024230957 5.947299003601074 1.6716623306274414
that 16 4 4 4.9608259201049805 4.130975246429443 1.8163237571716309
the 16 5 3 6.58693265914917 6.759922504425049 0
movie 16 6 5 11.097502708435059 8.186077117919922 0
is 16 7 2 6.155178070068359 6.15125036239624 2.0348267555236816
directed 16 8 8 25.145858764648438 0.005681423936039209 6.145568938460201
by 16 9 2 3.786830186843872 4.011376857757568 0
<unk> 16 10 5 2.412777900695801 5.251665115356445 0
analysis 16 11 8 15.886967658996582 3.772613286972046 1.4790518283843994
? 16 12 1 5.679457187652588 6.5401787757873535 0
how 17 0 3 4.036921501159668 8.095087051391602 0
does 17 1 4 5.617931365966797 5.836575031280518 2.258512020111084
the 17 2 3 5.94242000579834 7.883530616760254 0
open 17 3 4 12.772379875183105 8.07067584991455 0
window 17 4 6 11.922364234924316 8.502878189086914 0
claim 17 5 5 9.419587135314941 7.685736179351807 0.8171420097351074
that 17 6 4 3.7268013954162598 7.260530948638916 0.4252052307128906
it 17 7 2 8.685842514038086 7.383054256439209 0
has 17 8 3 7.884136199951172 4.633355140686035 2.749699115753174
a 17 9 1 5.355255603790283 5.4435625076293945 0
ring 17 10 4 14.89647102355957 3.8409061431884766 1.602656364440918
and 17 11 3 7.507241725921631 7.559750556945801 0
a 17 12 1 2.5332181453704834 6.810985565185547 0.7487649917602539
salad 17 13 5 16.933883666992188 4.891177177429199 1.9198083877563477
? 17 14 1 2.6846728324890137 6.229431629180908 0
how 18 0 3 4.036921501159668 8.095087051391602 0
did 18 1 3 7.459641456604004 5.836575031280518 2.258512020111084
the 18 2 3 5.672590255737305 7.618961334228516 0
circulating 18 3 11 20.711605072021484 7.644775390625 0
rumour 18 4 6 16.73017692565918 8.446019172668457 0
claim 18 5 5 10.332879066467285 6.597160339355469 1.8488588333129883
an 18 6 2 9.125815391540527 6.444619178771973 0.1525411605834961
experience 18 7 10 11.152273178100586 5.632428169250488 0.8121910095214844
that 18 8 4 2.505563974380493 6.608938217163086 0
she 18 9 3 5.1483988761901855 7.361850738525391 0
bought 18 10 6 13.712058067321777 2.736193895339966 4.625656843185425
a 18 11 1 4.690911293029785 5.947250843048096 0
cup 18 12 3 15.330448150634766 5.157680511474609 0.7895703315734863
of 18 13 2 7.847951412200928 6.053194046020508 0
coffee 18 14 6 9.063241004943848 9.762786865234375 0
? 18 15 1 3.088843822479248 7.915631294250488 1.8471555709838867
how 19 0 3 4.036921501159668 8.095087051391602 0
does 19 1 4 5.617931365966797 5.836575031280518 2.258512020111084
<unk> 19 2 5 2.5981180667877197 7.883530616760254 0
claim 19 3 5 9.938076972961426 6.163503170013428 1.7200274467468262
that 19 4 4 3.583235025405884 6.962092399597168 0
she 19 5 3 5.494613170623779 6.985762119293213 0
can 19 6 3 10.33824634552002 2.7723114490509033 4.21345067024231
buy 19 7 3 11.889585494995117 6.274062633514404 0
a 19 8 1 4.346179962158203 5.544864654541016 0.7291979789733887
story 19 9 5 11.723058700561523 4.8926801681518555 0.6521844863891602
and 19 10 3 7.066479682922363 6.908426761627197 0
possibilities 19 11 13 18.482580184936523 7.201926231384277 0
? 19 12 1 2.6359293460845947 6.9335174560546875 0.26840877532958984
how 20 0 3 4.036921501159668 8.095087051391602 0
does 20 1 4 5.617931365966797 5.836575031280518 2.258512020111084
the 20 2 3 5.94242000579834 7.883530616760254 0
