word sentid sentpos wlen surp entropy entred
how 0 0 3 3.8041796684265137 8.63239574432373 0
did 0 1 3 7.89918851852417 7.88352632522583 0.7488694190979004
bill 0 2 4 9.895569801330566 7.330325603485107 0.5532007217407227
claim 0 3 5 12.22300910949707 6.367400169372559 0.9629254341125488
that 0 4 4 2.8793771266937256 6.7683186531066895 0
today 0 5 5 9.84842300415039 6.984795570373535 0
is 0 6 2 6.503713130950928 5.509246349334717 1.4755492210388184
his 0 7 3 12.993980407714844 1.0697405338287354 4.4395058155059814
last 0 8 4 11.435961723327637 1.6536219120025635 0
day 0 9 3 3.614351272583008 7.942699432373047 0
? 0 10 1 3.5411481857299805 5.674248218536377 2.26845121383667
how 1 0 3 3.8041796684265137 8.63239574432373 0
does 1 1 4 7.612207889556885 7.88352632522583 0.7488694190979004
<unk> 1 2 5 3.880793333053589 7.406444549560547 0.4770817756652832
claim 1 3 5 11.474255561828613 6.568979740142822 0.8374648094177246
that 1 4 4 2.989004135131836 6.566013336181641 0.0029664039611816406
he 1 5 2 5.337934494018555 6.92836856842041 0
has 1 6 3 10.246847152709961 5.370227813720703 1.558140754699707
a 1 7 1 4.089492321014404 5.373340606689453 0
boat 1 8 4 12.36002254486084 6.624029636383057 0
and 1 9 3 5.471775054931641 5.954360008239746 0.6696696281433105
a 1 10 1 2.731722593307495 6.980408191680908 0
car 1 11 3 10.412403106689453 7.849954605102539 0
? 1 12 1 3.892812728881836 5.3041911125183105 2.5457634925842285
how 2 0 3 3.8041796684265137 8.63239574432373 0
did 2 1 3 7.89918851852417 7.88352632522583 0.7488694190979004
she 2 2 3 4.461220741271973 7.330325603485107 0.5532007217407227
think 2 3 5 4.420053005218506 6.284444808959961 1.0458807945251465
that 2 4 4 3.5148565769195557 6.352109909057617 0
she 2 5 3 4.0085978507995605 7.021605014801025 0
bought 2 6 6 12.021379470825195 5.514951229095459 1.5066537857055664
beans 2 7 5 16.470096588134766 5.289024829864502 0.22592639923095703
and 2 8 3 5.069122791290283 5.831192970275879 0
<unk> 2 9 5 4.7465033531188965 8.212950706481934 0
? 2 10 1 2.0056655406951904 6.371490001678467 1.8414607048034668
how 3 0 3 3.8041796684265137 8.63239574432373 0
does 3 1 4 7.612207889556885 7.88352632522583 0.7488694190979004
<unk> 3 2 5 3.880793333053589 7.406444549560547 0.4770817756652832
claim 3 3 5 11.474255561828613 6.568979740142822 0.8374648094177246
that 3 4 4 2.989004135131836 6.566013336181641 0.0029664039611816406
he 3 5 2 5.337934494018555 6.92836856842041 0
can 3 6 3 9.531546592712402 5.370227813720703 1.558140754699707
make 3 7 4 8.74422836303711 6.749068260192871 0
<unk> 3 8 5 4.7644829750061035 5.8774919509887695 0.8715763092041016
and 3 9 3 7.465435028076172 6.330538749694824 0
espresso 3 10 8 20.0046443939209 7.733150482177734 0
? 3 11 1 2.3869645595550537 6.851161479949951 0.8819890022277832
how 4 0 3 3.8041796684265137 8.63239574432373 0
does 4 1 4 7.612207889556885 7.88352632522583 0.7488694190979004
she 4 2 3 4.989169120788574 7.406444549560547 0.4770817756652832
know 4 3 4 2.9762229919433594 5.848043918609619 1.5584006309509277
that 4 4 4 3.2852118015289307 6.47213077545166 0
she 4 5 3 4.303122043609619 6.668634414672852 0
failed 4 6 6 15.72719955444336 5.601868629455566 1.0667657852172852
the 4 7 3 6.409928321838379 6.544454574584961 0
test 4 8 4 9.832931518554688 8.434289932250977 0
? 4 9 1 4.372574806213379 7.638014316558838 0.7962756156921387
how 5 0 3 3.8041796684265137 8.63239574432373 0
did 5 1 3 7.89918851852417 7.88352632522583 0.7488694190979004
he 5 2 2 4.954501152038574 7.330325603485107 0.5532007217407227
say 5 3 3 7.552521705627441 6.4049296379089355 0.9253959655761719
that 5 4 4 2.8160932064056396 6.10770845413208 0.29722118377685547
he 5 5 2 5.377843379974365 6.8024797439575195 0
went 5 6 4 11.058980941772461 5.802011013031006 1.0004687309265137
to 5 7 2 6.517651081085205 6.196374416351318 0
school 5 8 6 9.809901237487793 5.349357604980469 0.8470168113708496
? 5 9 1 1.9936201572418213 5.551079750061035 0
how 6 0 3 3.8041796684265137 8.63239574432373 0
does 6 1 4 7.612207889556885 7.88352632522583 0.7488694190979004
will 6 2 4 8.759113311767578 7.406444549560547 0.4770817756652832
think 6 3 5 4.756882190704346 6.4673991203308105 0.9390454292297363
that 6 4 4 3.2952880859375 6.243826866149902 0.2235722541809082
bill 6 5 4 8.719449996948242 6.808687686920166 0
is 6 6 2 6.364233016967773 5.440096378326416 1.36859130859375
