word sentid sentpos wlen surp entropy entred
how 0 0 3 3.8041796684265137 8.63239574432373 0
<unk> 0 1 5 4.119548797607422 7.88352632522583 0.7488694190979004
did 0 2 3 5.159000873565674 7.156559467315674 0.7269668579101562
she 0 3 3 5.616605281829834 7.628756046295166 0
say 0 4 3 7.622861385345459 6.2414045333862305 1.3873515129089355
that 0 5 4 2.8225340843200684 6.059910297393799 0.18149423599243164
he 0 6 2 5.465961456298828 6.79148530960083 0
directed 0 7 8 14.87105655670166 5.814985275268555 0.9765000343322754
the 0 8 3 5.6803297996521 6.344726085662842 0
movie 0 9 5 10.969042778015137 8.557071685791016 0
that 0 10 4 2.3259217739105225 6.539698123931885 2.017373561859131
i 0 11 1 6.7881999015808105 6.866769790649414 0
saw 0 12 3 8.505725860595703 6.4809088706970215 0.3858609199523926
yesterday 0 13 9 11.950997352600098 6.616167068481445 0
? 0 14 1 4.165620803833008 6.544563293457031 0.07160377502441406
how 1 0 3 3.8041796684265137 8.63239574432373 0
discreet 1 1 8 18.958446502685547 7.88352632522583 0.7488694190979004
did 1 2 3 5.142848491668701 7.165470600128174 0.7180557250976562
<unk> 1 3 5 4.141843795776367 7.316152095794678 0
hire 1 4 4 15.226944923400879 6.751956462860107 0.5641956329345703
an 1 5 2 8.543473243713379 6.828935623168945 0
agent 1 6 5 8.655254364013672 8.307899475097656 0
? 1 7 1 3.5526931285858154 5.9864678382873535 2.3214316368103027
how 2 0 3 3.8041796684265137 8.63239574432373 0
pretty 2 1 6 14.434755325317383 7.88352632522583 0.7488694190979004
does 2 2 4 5.498013496398926 7.795835018157959 0.0876913070678711
<unk> 2 3 5 4.136390686035156 7.249560356140137 0.5462746620178223
like 2 4 4 8.684826850891113 6.356870174407959 0.8926901817321777
the 2 5 3 6.06089973449707 6.49188756942749 0
woman 2 6 5 10.818402290344238 8.137707710266113 0
? 2 7 1 2.3292415142059326 5.739488124847412 2.398219585418701
how 3 0 3 3.8041796684265137 8.63239574432373 0
difficult 3 1 9 13.791433334350586 7.88352632522583 0.7488694190979004
did 3 2 3 5.702446460723877 7.364948749542236 0.5185775756835938
he 3 3 2 5.485793113708496 7.312767028808594 0.05218172073364258
hear 3 4 4 8.978781700134277 6.49545431137085 0.8173127174377441
that 3 5 4 3.9182546138763428 6.828108310699463 0
you 3 6 3 7.869110107421875 6.817252159118652 0.010856151580810547
failed 3 7 6 14.526114463806152 6.3438801765441895 0.4733719825744629
the 3 8 3 6.060786724090576 6.818933963775635 0
test 3 9 4 9.567197799682617 8.34019947052002 0
? 3 10 1 3.957674026489258 7.624098300933838 0.7161011695861816
whose 4 0 5 10.6885404586792 8.63239574432373 0
did 4 1 3 6.777093410491943 3.9660651683807373 4.666330575942993
she 4 2 3 6.084071159362793 7.6367621421813965 0
say 4 3 3 7.847463130950928 5.98668098449707 1.6500811576843262
that 4 4 4 2.891345500946045 6.130484580993652 0
<unk> 4 5 5 4.813597679138184 6.6355156898498535 0
eats 4 6 4 18.81941032409668 5.905191421508789 0.7303242683410645
<unk> 4 7 5 5.353074073791504 6.112241268157959 0
? 4 8 1 2.3063220977783203 5.9150896072387695 0.19715166091918945
how 5 0 3 3.8041796684265137 8.63239574432373 0
<unk> 5 1 5 4.119548797607422 7.88352632522583 0.7488694190979004
did 5 2 3 5.159000873565674 7.156559467315674 0.7269668579101562
she 5 3 3 5.616605281829834 7.628756046295166 0
say 5 4 3 7.622861385345459 6.2414045333862305 1.3873515129089355
that 5 5 4 2.8225340843200684 6.059910297393799 0.18149423599243164
he 5 6 2 5.465961456298828 6.79148530960083 0
announced 5 7 9 17.005369186401367 5.814985275268555 0.9765000343322754
a 5 8 1 2.3677680492401123 5.559154987335205 0.2558302879333496
