word sentid sentpos wlen surp entropy entred
who 0 0 3 6.834691047668457 8.63239574432373 0
did 0 1 3 5.272815704345703 5.107883453369141 3.52451229095459
he 0 2 2 7.300419807434082 6.763417720794678 0
hear 0 3 4 8.488288879394531 5.801573753356934 0.9618439674377441
that 0 4 4 3.857717752456665 6.757569313049316 0
it 0 5 2 7.818863868713379 6.48710298538208 0.27046632766723633
is 0 6 2 6.510724067687988 6.976439952850342 0
important 0 7 9 14.105330467224121 2.216120958328247 4.760318994522095
to 0 8 2 6.787900447845459 5.6880035400390625 0
see 0 9 3 7.435542106628418 6.571317195892334 0
? 0 10 1 4.127455711364746 5.875961780548096 0.6953554153442383
what 1 0 4 10.215241432189941 8.63239574432373 0
is 1 1 2 5.57578706741333 7.164798736572266 1.4675970077514648
it 1 2 2 13.855437278747559 0.3994380533695221 6.7653606832027435
important 1 3 9 12.995382308959961 5.7139410972595215 0
that 1 4 4 2.3702800273895264 6.478700160980225 0
<unk> 1 5 5 4.079753875732422 6.9509053230285645 0
buys 1 6 4 18.288509368896484 6.004201889038086 0.9467034339904785
? 1 7 1 2.883307456970215 6.547000885009766 0
who 2 0 3 6.834691047668457 8.63239574432373 0
did 2 1 3 5.272815704345703 5.107883453369141 3.52451229095459
he 2 2 2 7.300419807434082 6.763417720794678 0
hear 2 3 4 8.488288879394531 5.801573753356934 0.9618439674377441
that 2 4 4 3.857717752456665 6.757569313049316 0
it 2 5 2 7.818863868713379 6.48710298538208 0.27046632766723633
is 2 6 2 6.510724067687988 6.976439952850342 0
important 2 7 9 14.105330467224121 2.216120958328247 4.760318994522095
that 2 8 4 2.0185635089874268 5.6880035400390625 0
<unk> 2 9 5 4.800243377685547 6.325533390045166 0
knows 2 10 5 11.290523529052734 5.831885814666748 0.49364757537841797
? 2 11 1 3.7032322883605957 5.887715816497803 0
where 3 0 5 7.021026611328125 8.63239574432373 0
did 3 1 3 7.9874749183654785 7.67315673828125 0.9592390060424805
<unk> 3 2 5 3.8159427642822266 7.176563739776611 0.49659299850463867
tell 3 3 4 11.20062255859375 6.699858665466309 0.47670507431030273
you 3 4 3 6.629001617431641 6.644942283630371 0.0549163818359375
that 3 5 4 2.402653217315674 6.0049614906311035 0.6399807929992676
she 3 6 3 4.838039875030518 6.443231582641602 0
went 3 7 4 11.11634349822998 5.450657367706299 0.9925742149353027
? 3 8 1 2.4856252670288086 6.078360557556152 0
what 4 0 4 10.215241432189941 8.63239574432373 0
did 4 1 3 6.523082256317139 7.164798736572266 1.4675970077514648
he 4 2 2 5.040122985839844 7.759047985076904 0
hear 4 3 4 9.59687614440918 6.313877105712891 1.4451708793640137
that 4 4 4 4.000356197357178 6.9264421463012695 0
<unk> 4 5 5 5.0653204917907715 6.778796672821045 0.1476454734802246
does 4 6 4 4.804129123687744 6.161470413208008 0.6173262596130371
not 4 7 3 8.743765830993652 6.292238712310791 0
do 4 8 2 7.97430944442749 4.816765785217285 1.4754729270935059
? 4 9 1 2.557662010192871 5.890812397003174 0
what 5 0 4 10.215241432189941 8.63239574432373 0
did 5 1 3 6.523082256317139 7.164798736572266 1.4675970077514648
he 5 2 2 5.040122985839844 7.759047985076904 0
hear 5 3 4 9.59687614440918 6.313877105712891 1.4451708793640137
that 5 4 4 4.000356197357178 6.9264421463012695 0
<unk> 5 5 5 5.0653204917907715 6.778796672821045 0.1476454734802246
thinks 5 6 6 13.560795783996582 6.161470413208008 0.6173262596130371
their 5 7 5 10.321443557739258 5.988765239715576 0.17270517349243164
car 5 8 3 12.881959915161133 5.026766300201416 0.9619989395141602
needed 5 9 6 12.090514183044434 5.196847438812256 0
to 5 10 2 5.292828559875488 6.33300256729126 0
do 5 11 2 6.033883571624756 5.248633861541748 1.0843687057495117
? 5 12 1 2.508593797683716 5.765594482421875 0
who 6 0 3 6.834691047668457 8.63239574432373 0
is 6 1 2 6.525005340576172 5.107883453369141 3.52451229095459
it 6 2 2 13.454142570495605 0.4282183051109314 4.679665148258209
probable 6 3 8 16.7026309967041 4.8578596115112305 0
that 6 4 4 1.5746734142303467 3.9922821521759033 0.8655774593353271
<unk> 6 5 5 3.992647409439087 6.737999439239502 0
helped 6 6 6 12.862845420837402 6.090900421142578 0.6470990180969238
? 6 7 1 6.951274394989014 7.980413913726807 0
what 7 0 4 10.215241432189941 8.63239574432373 0
did 7 1 3 6.523082256317139 7.164798736572266 1.4675970077514648
they 7 2 4 7.382111072540283 7.759047985076904 0
