word sentid sentpos wlen surp entropy entred
who 0 0 3 6.121942520141602 7.417416095733643 0
did 0 1 3 5.845002174377441 5.854090690612793 1.5633254051208496
he 0 2 2 5.2662034034729 5.741291522979736 0.11279916763305664
hear 0 3 4 9.186603546142578 3.758831739425659 1.9824597835540771
that 0 4 4 3.9995996952056885 5.957306385040283 0
it 0 5 2 7.978412628173828 6.569922924041748 0
is 0 6 2 5.523393630981445 4.829151630401611 1.7407712936401367
important 0 7 9 24.035287857055664 0.03222266584634781 4.7969289645552635
to 0 8 2 6.419316291809082 4.135547637939453 0
see 0 9 3 7.58712911605835 6.466778755187988 0
? 0 10 1 4.116318702697754 4.996633529663086 1.4701452255249023
what 1 0 4 10.786728858947754 7.417416095733643 0
is 1 1 2 3.9707250595092773 6.887808799743652 0.5296072959899902
it 1 2 2 13.83226490020752 0.23380805552005768 6.654000744223595
important 1 3 9 15.575905799865723 1.271373987197876 0
that 1 4 4 2.1383132934570312 6.385154724121094 0
<unk> 1 5 5 5.72225284576416 6.003317356109619 0.3818373680114746
buys 1 6 4 21.06406021118164 5.31139612197876 0.6919212341308594
? 1 7 1 4.0569233894348145 6.827019691467285 0
who 2 0 3 6.121942520141602 7.417416095733643 0
did 2 1 3 5.845002174377441 5.854090690612793 1.5633254051208496
he 2 2 2 5.2662034034729 5.741291522979736 0.11279916763305664
hear 2 3 4 9.186603546142578 3.758831739425659 1.9824597835540771
that 2 4 4 3.9995996952056885 5.957306385040283 0
it 2 5 2 7.978412628173828 6.569922924041748 0
is 2 6 2 5.523393630981445 4.829151630401611 1.7407712936401367
important 2 7 9 24.035287857055664 0.03222266584634781 4.7969289645552635
that 2 8 4 1.1808500289916992 4.135547637939453 0
<unk> 2 9 5 5.192770481109619 6.127890586853027 0
knows 2 10 5 12.690465927124023 4.917563438415527 1.2103271484375
? 2 11 1 5.505448818206787 5.353475093841553 0
where 3 0 5 7.875770092010498 7.417416095733643 0
did 3 1 3 8.62016487121582 7.574967861175537 0
<unk> 3 2 5 4.9097208976745605 7.031688690185547 0.5432791709899902
tell 3 3 4 10.070060729980469 6.786588668823242 0.2451000213623047
you 3 4 3 6.736844062805176 5.946430683135986 0.8401579856872559
that 3 5 4 2.672489881515503 5.572844505310059 0.37358617782592773
she 3 6 3 5.125167369842529 6.755918025970459 0
went 3 7 4 13.76956844329834 3.8189473152160645 2.9369707107543945
