word sentid sentpos wlen surp entropy entred
who 0 0 3 7.6040849685668945 8.377017974853516 0
did 0 1 3 5.579651832580566 7.585500717163086 0.7915172576904297
he 0 2 2 6.392635822296143 2.9597692489624023 4.625731468200684
hear 0 3 4 11.726027488708496 3.8228657245635986 0
that 0 4 4 3.309422254562378 5.610614776611328 0
it 0 5 2 6.976562976837158 5.289647102355957 0.3209676742553711
is 0 6 2 6.588742733001709 3.4562857151031494 1.8333613872528076
important 0 7 9 12.221668243408203 3.0361530780792236 0.4201326370239258
to 0 8 2 4.827390670776367 5.371413230895996 0
see 0 9 3 7.140319347381592 7.203271865844727 0
? 0 10 1 17.970718383789062 5.6560516357421875 1.547220230102539
what 1 0 4 9.16491413116455 8.377017974853516 0
is 1 1 2 5.139375686645508 6.006829261779785 2.3701887130737305
it 1 2 2 8.075590133666992 3.988224744796753 2.0186045169830322
important 1 3 9 10.703388214111328 7.147547245025635 0
that 1 4 4 2.989832878112793 7.103672504425049 0.04387474060058594
<unk> 1 5 5 4.83806848526001 6.985860824584961 0.11781167984008789
buys 1 6 4 23.091577529907227 3.187596082687378 3.798264741897583
? 1 7 1 19.600162506103516 5.314880847930908 0
who 2 0 3 7.6040849685668945 8.377017974853516 0
did 2 1 3 5.579651832580566 7.585500717163086 0.7915172576904297
he 2 2 2 6.392635822296143 2.9597692489624023 4.625731468200684
hear 2 3 4 11.726027488708496 3.8228657245635986 0
that 2 4 4 3.309422254562378 5.610614776611328 0
it 2 5 2 6.976562976837158 5.289647102355957 0.3209676742553711
is 2 6 2 6.588742733001709 3.4562857151031494 1.8333613872528076
important 2 7 9 12.221668243408203 3.0361530780792236 0.4201326370239258
that 2 8 4 1.8002099990844727 5.371413230895996 0
<unk> 2 9 5 5.1333794593811035 6.170224189758301 0
knows 2 10 5 12.036293983459473 4.6022539138793945 1.5679702758789062
? 2 11 1 1.5601705312728882 4.819817066192627 0
where 3 0 5 7.3192596435546875 8.377017974853516 0
did 3 1 3 8.053946495056152 6.601487159729004 1.7755308151245117
<unk> 3 2 5 6.413719177246094 2.5755257606506348 4.025961399078369
tell 3 3 4 11.752686500549316 5.605836391448975 0
you 3 4 3 6.563102722167969 6.0613274574279785 0
that 3 5 4 2.737783432006836 6.077272415161133 0
