word sentid sentpos wlen surp entropy entred
who 0 0 3 6.217580318450928 8.095087051391602 0
was 0 1 3 7.13176155090332 7.031394004821777 1.0636930465698242
that 0 2 4 8.937905311584473 1.8409903049468994 5.190403699874878
quipped 0 3 7 19.75174331665039 6.832324981689453 0
about 0 4 5 8.67492961883545 5.755542278289795 1.0767827033996582
<unk> 0 5 5 4.543735980987549 5.996491432189941 0
analysis 0 6 8 14.9219388961792 4.347529411315918 1.6489620208740234
funny 0 7 5 16.25524139404297 4.388166427612305 0
? 0 8 1 6.901491165161133 7.0821051597595215 0
whom 1 0 4 11.872783660888672 8.095087051391602 0
were 1 1 4 7.731704235076904 7.5850629806518555 0.5100240707397461
two 1 2 3 8.62955093383789 6.472001552581787 1.1130614280700684
rumours 1 3 7 15.195240020751953 9.522238731384277 0
about 1 4 5 6.186834335327148 6.149019718170166 3.3732190132141113
waiting 1 5 7 13.971426010131836 7.168781757354736 0
? 1 6 1 6.855099201202393 7.604750156402588 0
who 2 0 3 6.217580318450928 8.095087051391602 0
does 2 1 4 4.663628578186035 7.031394004821777 1.0636930465698242
that 2 2 4 4.60074520111084 7.948146343231201 0
wears 2 3 5 15.96406364440918 8.224133491516113 0
extravagant 2 4 11 16.419279098510742 7.095324516296387 1.1288089752197266
rings 2 5 5 10.452466011047363 10.170564651489258 0
make 2 6 4 11.957670211791992 6.6930832862854 3.4774813652038574
the 2 7 3 4.023258209228516 7.916016101837158 0
plan 2 8 4 13.206119537353516 9.895679473876953 0
unrealistic 2 9 11 16.929296493530273 8.199701309204102 1.6959781646728516
? 2 10 1 6.761587142944336 7.875617504119873 0.3240838050842285
whom 3 0 4 11.872783660888672 8.095087051391602 0
loaned 3 1 6 18.679235458374023 7.5850629806518555 0.5100240707397461
that 3 2 4 6.541140079498291 7.328629493713379 0.25643348693847656
<unk> 3 3 5 3.5190234184265137 8.62521743774414 0
heard 3 4 5 13.895565032958984 5.763845443725586 2.8613719940185547
the 3 5 3 5.746163368225098 6.240481376647949 0
claim 3 6 5 9.74170207977295 7.559474468231201 0
a 3 7 1 5.363397598266602 6.193371772766113 1.366102695465088
trumpet 3 8 7 20.07162094116211 5.288527965545654 0.904843807220459
to 3 9 2 7.2741594314575195 7.476011753082275 0
you 3 10 3 7.621562957763672 7.006639003753662 0.4693727493286133
? 3 11 1 5.538740634918213 7.240899562835693 0
who 4 0 3 6.217580318450928 8.095087051391602 0
is 4 1 2 5.253295421600342 7.031394004821777 1.0636930465698242
that 4 2 4 16.67388343811035 0.017337370663881302 7.014056634157896
is 4 3 2 6.025771141052246 5.490528106689453 0
a 4 4 1 16.17510223388672 0.0027163149788975716 5.4878117917105556
teacher 4 5 7 14.657166481018066 5.353548049926758 0
unlikely 4 6 8 19.209863662719727 5.522624969482422 0
? 4 7 1 5.795163631439209 5.830222129821777 0
whom 5 0 4 11.872783660888672 8.095087051391602 0
does 5 1 4 4.468572616577148 7.5850629806518555 0.5100240707397461
one 5 2 3 8.124458312988281 7.962918281555176 0
story 5 3 5 9.854133605957031 7.679781436920166 0.28313684463500977
about 5 4 5 7.795194149017334 6.974432468414307 0.7053489685058594
claim 5 5 5 12.606927871704102 6.424775123596191 0.5496573448181152
the 5 6 3 5.7111029624938965 6.534650802612305 0
possibility 5 7 11 13.288748741149902 6.108858585357666 0.42579221725463867
is 5 8 2 4.0268988609313965 5.673995494842529 0.4348630905151367
unrealistic 5 9 11 28.174814224243164 0.011411544866859913 5.662583949975669
? 5 10 1 6.959775447845459 5.657641410827637 0
what 6 0 4 10.187633514404297 8.095087051391602 0
was 6 1 3 6.2968034744262695 6.370650291442871 1.7244367599487305
that 6 2 4 11.123065948486328 0.28528961539268494 6.085360676050186
she 6 3 3 6.412626266479492 5.704880714416504 0
likely 6 4 6 16.62871742248535 1.7559218406677246 3.9489588737487793
heard 6 5 5 11.99549674987793 5.556899547576904 0
true 6 6 4 12.098591804504395 5.000381946563721 0.5565176010131836
? 6 7 1 5.73391580581665 6.835413932800293 0
who 7 0 3 6.217580318450928 8.095087051391602 0
was 7 1 3 7.13176155090332 7.031394004821777 1.0636930465698242
that 7 2 4 8.937905311584473 1.8409903049468994 5.190403699874878
knows 7 3 5 11.367192268371582 6.832324981689453 0
someone 7 4 7 5.801912307739258 5.907993316650391 0.9243316650390625
probable 7 5 8 19.447559356689453 3.8331425189971924 2.0748507976531982
? 7 6 1 5.2375712394714355 5.775219917297363 0
who 8 0 3 6.217580318450928 8.095087051391602 0
does 8 1 4 4.663628578186035 7.031394004821777 1.0636930465698242
that 8 2 4 4.60074520111084 7.948146343231201 0
got 8 3 3 10.71994686126709 8.224133491516113 0
a 8 4 1 3.6226649284362793 5.685572624206543 2.5385608673095703
new 8 5 3 9.897677421569824 6.648828029632568 0
phone 8 6 5 11.850926399230957 9.660242080688477 0
for 8 7 3 7.921234607696533 7.040130615234375 2.6201114654541016
<unk> 8 8 5 4.107367992401123 7.052099704742432 0
not 8 9 3 11.532511711120605 4.347414970397949 2.7046847343444824
make 8 10 4 12.208273887634277 6.7861552238464355 0
sense 8 11 5 9.205114364624023 7.0850958824157715 0
? 8 12 1 6.807853698730469 5.945956707000732 1.139139175415039
whom 9 0 4 11.872783660888672 8.095087051391602 0
did 9 1 3 6.614597320556641 7.5850629806518555 0.5100240707397461
