word sentid sentpos wlen surp entropy entred
where 0 0 5 7.875770092010498 7.417416095733643 0
did 0 1 3 8.62016487121582 7.574967861175537 0
<unk> 0 2 5 4.9097208976745605 7.031688690185547 0.5432791709899902
ask 0 3 3 11.141592025756836 6.786588668823242 0.2451000213623047
who 0 4 3 7.7579145431518555 4.662863254547119 2.123725414276123
<unk> 0 5 5 4.499600410461426 6.193387508392334 0
took 0 6 4 13.617199897766113 5.427639484405518 0.7657480239868164
? 0 7 1 8.037827491760254 6.039886474609375 0
what 1 0 4 10.786728858947754 7.417416095733643 0
did 1 1 3 5.480448246002197 6.887808799743652 0.5296072959899902
she 1 2 3 6.408188343048096 5.63363790512085 1.2541708946228027
say 1 3 3 8.27877140045166 3.052194118499756 2.5814437866210938
that 1 4 4 3.3834636211395264 5.782130241394043 0
<unk> 1 5 5 5.640173435211182 5.245023727416992 0.5371065139770508
asked 1 6 5 13.54503345489502 5.132078170776367 0.112945556640625
who 1 7 3 6.224643707275391 5.168338775634766 0
will 1 8 4 8.2673978805542 5.230555057525635 0
read 1 9 4 9.509264945983887 6.340831279754639 0
? 1 10 1 3.0293478965759277 5.829471588134766 0.511359691619873
where 2 0 5 7.875770092010498 7.417416095733643 0
did 2 1 3 8.62016487121582 7.574967861175537 0
<unk> 2 2 5 4.9097208976745605 7.031688690185547 0.5432791709899902
ask 2 3 3 11.141592025756836 6.786588668823242 0.2451000213623047
how 2 4 3 4.476917266845703 4.662863254547119 2.123725414276123
<unk> 2 5 5 5.238622665405273 7.163991928100586 0
went 2 6 4 13.172863006591797 5.912484169006348 1.2515077590942383
? 2 7 1 5.611888408660889 6.746191501617432 0
what 3 0 4 10.786728858947754 7.417416095733643 0
did 3 1 3 5.480448246002197 6.887808799743652 0.5296072959899902
will 3 2 4 11.735507011413574 5.63363790512085 1.2541708946228027
ask 3 3 3 10.545214653015137 4.471149444580078 1.1624884605407715
why 3 4 3 7.58807897567749 5.923850059509277 0
