word sentid sentpos wlen surp entropy entred
how 0 0 3 8.680546760559082 6.333801746368408 0
did 0 1 3 2.675463914871216 5.7585906982421875 0.5752110481262207
bill 0 2 4 10.549936294555664 4.849460124969482 0.9091305732727051
claim 0 3 5 9.212666511535645 6.476463317871094 0
that 0 4 4 2.2045395374298096 4.011034965515137 2.465428352355957
today 0 5 5 12.151853561401367 5.781750679016113 0
is 0 6 2 7.991912841796875 5.478452205657959 0.3032984733581543
his 0 7 3 8.729353904724121 5.505157947540283 0
last 0 8 4 8.317519187927246 8.915900230407715 0
day 0 9 3 5.56537389755249 8.32732105255127 0.5885791778564453
? 0 10 1 3.217183828353882 6.407458305358887 1.9198627471923828
how 1 0 3 8.680546760559082 6.333801746368408 0
does 1 1 4 4.718254566192627 5.7585906982421875 0.5752110481262207
<unk> 1 2 5 1.7509714365005493 4.767399311065674 0.9911913871765137
claim 1 3 5 8.640339851379395 6.478883743286133 0
that 1 4 4 2.1332781314849854 4.072586536407471 2.406297206878662
he 1 5 2 6.084826946258545 5.754680633544922 0
has 1 6 3 7.676971912384033 3.941802501678467 1.812878131866455
a 1 7 1 6.002517223358154 6.012946128845215 0
boat 1 8 4 18.187091827392578 7.096487522125244 0
and 1 9 3 6.844504356384277 5.649039268493652 1.4474482536315918
a 1 10 1 6.789285659790039 6.617637634277344 0
car 1 11 3 11.481908798217773 8.243751525878906 0
? 1 12 1 5.227313041687012 6.141926288604736 2.10182523727417
how 2 0 3 8.680546760559082 6.333801746368408 0
did 2 1 3 2.675463914871216 5.7585906982421875 0.5752110481262207
she 2 2 3 9.498335838317871 4.849460124969482 0.9091305732727051
think 2 3 5 12.69066047668457 6.282890796661377 0
that 2 4 4 1.7647117376327515 4.740458965301514 1.5424318313598633
she 2 5 3 5.202975273132324 5.640867710113525 0
bought 2 6 6 13.862564086914062 4.187062740325928 1.4538049697875977
beans 2 7 5 13.554100036621094 6.893098831176758 0
and 2 8 3 5.120507717132568 7.060495376586914 0
<unk> 2 9 5 4.282262802124023 9.134824752807617 0
? 2 10 1 4.76525354385376 7.9148969650268555 1.2199277877807617
how 3 0 3 8.680546760559082 6.333801746368408 0
does 3 1 4 4.718254566192627 5.7585906982421875 0.5752110481262207
<unk> 3 2 5 1.7509714365005493 4.767399311065674 0.9911913871765137
claim 3 3 5 8.640339851379395 6.478883743286133 0
that 3 4 4 2.1332781314849854 4.072586536407471 2.406297206878662
he 3 5 2 6.084826946258545 5.754680633544922 0
can 3 6 3 8.150142669677734 3.941802501678467 1.812878131866455
make 3 7 4 8.828717231750488 6.056807041168213 0
<unk> 3 8 5 4.883206844329834 5.7789626121521 0.2778444290161133
and 3 9 3 8.188117980957031 5.780782222747803 0
espresso 3 10 8 20.233816146850586 6.572295188903809 0
? 3 11 1 4.273210048675537 5.657378196716309 0.9149169921875
how 4 0 3 8.680546760559082 6.333801746368408 0
does 4 1 4 4.718254566192627 5.7585906982421875 0.5752110481262207
she 4 2 3 9.898843765258789 4.767399311065674 0.9911913871765137
know 4 3 4 10.766921043395996 6.281204700469971 0
that 4 4 4 2.6447880268096924 4.196265697479248 2.0849390029907227
she 4 5 3 5.737788200378418 5.546364784240723 0
failed 4 6 6 12.994333267211914 4.380667209625244 1.1656975746154785
the 4 7 3 5.32987642288208 5.742266654968262 0
test 4 8 4 11.96841049194336 8.396442413330078 0
? 4 9 1 2.490809679031372 6.280598163604736 2.115844249725342
how 5 0 3 8.680546760559082 6.333801746368408 0
did 5 1 3 2.675463914871216 5.7585906982421875 0.5752110481262207
he 5 2 2 8.908547401428223 4.849460124969482 0.9091305732727051
say 5 3 3 9.327149391174316 5.304867267608643 0
that 5 4 4 1.8141323328018188 4.002922058105469 1.3019452095031738
he 5 5 2 4.514322280883789 5.116975784301758 0
went 5 6 4 10.688986778259277 3.5947930812835693 1.5221827030181885
to 5 7 2 4.778384685516357 6.298259258270264 0
school 5 8 6 9.284078598022461 6.048892498016357 0.24936676025390625
? 5 9 1 3.2088735103607178 5.686305522918701 0.36258697509765625
how 6 0 3 8.680546760559082 6.333801746368408 0
does 6 1 4 4.718254566192627 5.7585906982421875 0.5752110481262207
will 6 2 4 9.293600082397461 4.767399311065674 0.9911913871765137
think 6 3 5 9.68902587890625 7.674383163452148 0
that 6 4 4 1.3398981094360352 4.54664945602417 3.1277337074279785
bill 6 5 4 11.385804176330566 5.7374091148376465 0
is 6 6 2 6.381847381591797 6.305424213409424 0
pregnant 6 7 8 15.905030250549316 6.608724117279053 0
in 6 8 2 6.029731273651123 5.048732280731201 1.5599918365478516
class 6 9 5 14.108083724975586 6.032094478607178 0
? 6 10 1 2.553494691848755 6.328170299530029 0
how 7 0 3 8.680546760559082 6.333801746368408 0
did 7 1 3 2.675463914871216 5.7585906982421875 0.5752110481262207
<unk> 7 2 5 2.286167621612549 4.849460124969482 0.9091305732727051
claim 7 3 5 8.279091835021973 6.658819675445557 0
that 7 4 4 1.8420636653900146 4.149109840393066 2.5097098350524902
he 7 5 2 5.849644660949707 5.980518341064453 0
fell 7 6 4 15.342906951904297 3.8962669372558594 2.0842514038085938
asleep 7 7 6 8.532319068908691 6.62824010848999 0
in 7 8 2 3.2249085903167725 6.119396686553955 0.5088434219360352
class 7 9 5 15.670862197875977 6.630256652832031 0
today 7 10 5 12.306017875671387 6.784491062164307 0
? 7 11 1 3.568047046661377 6.188765525817871 0.5957255363464355
how 8 0 3 8.680546760559082 6.333801746368408 0
does 8 1 4 4.718254566192627 5.7585906982421875 0.5752110481262207
someone 8 2 7 7.302786350250244 4.767399311065674 0.9911913871765137
who 8 3 3 3.532958507537842 5.221120357513428 0
speaks 8 4 6 9.464052200317383 5.372084140777588 0
a 8 5 1 7.552666187286377 5.89009428024292 0
<unk> 8 6 5 4.678369522094727 7.751272678375244 0
language 8 7 8 9.59238338470459 5.823566436767578 1.927706241607666
solve 8 8 5 18.759174346923828 5.070667266845703 0.752899169921875
by 8 9 2 9.585501670837402 3.784803867340088 1.2858633995056152
<unk> 8 10 5 5.253666877746582 6.752281665802002 0
analysis 8 11 8 14.708761215209961 5.697927474975586 1.054354190826416
? 8 12 1 5.191576957702637 5.154247283935547 0.5436801910400391
how 9 0 3 8.680546760559082 6.333801746368408 0
does 9 1 4 4.718254566192627 5.7585906982421875 0.5752110481262207
<unk> 9 2 5 1.7509714365005493 4.767399311065674 0.9911913871765137
claim 9 3 5 8.640339851379395 6.478883743286133 0
that 9 4 4 2.1332781314849854 4.072586536407471 2.406297206878662
she 9 5 3 6.56407356262207 5.754680633544922 0
sleeps 9 6 6 15.85986614227295 4.393132209777832 1.3615484237670898
with 9 7 4 2.911491632461548 5.731978416442871 0
a 9 8 1 5.576552867889404 7.003084182739258 0
teddy 9 9 5 15.711345672607422 8.286739349365234 0
bear 9 10 4 7.889028549194336 9.07023811340332 0
? 9 11 1 4.4787397384643555 5.600924491882324 3.469313621520996
how 10 0 3 8.680546760559082 6.333801746368408 0
does 10 1 4 4.718254566192627 5.7585906982421875 0.5752110481262207
someone 10 2 7 7.302786350250244 4.767399311065674 0.9911913871765137
who 10 3 3 3.532958507537842 5.221120357513428 0
