word sentid sentpos wlen surp entropy entred
what 0 0 4 4.175975322723389 6.537421226501465 0
did 0 1 3 5.1812357902526855 4.863273620605469 1.674147605895996
they 0 2 4 7.366417407989502 5.153865337371826 0
not 0 3 3 12.144779205322266 3.7518868446350098 1.4019784927368164
like 0 4 4 8.904682159423828 5.486473083496094 0
that 0 5 4 5.209192276000977 1.8025277853012085 3.6839452981948853
<unk> 0 6 5 4.626461029052734 4.367137908935547 0
likes 0 7 5 9.59414291381836 7.131802558898926 0
and 0 8 3 11.689491271972656 1.89462149143219 5.237181067466736
accounts 0 9 8 15.794363975524902 5.280665397644043 0
? 0 10 1 3.254842519760132 6.719074726104736 0
who 1 0 3 6.539663791656494 6.537421226501465 0
did 1 1 3 2.630748748779297 6.669833183288574 0
she 1 2 3 8.55348014831543 5.788482189178467 0.8813509941101074
hear 1 3 4 6.023199081420898 5.004507541656494 0.7839746475219727
a 1 4 1 11.351226806640625 3.0554938316345215 1.9490137100219727
rumour 1 5 6 14.895503044128418 5.8500752449035645 0
about 1 6 5 8.045073509216309 6.121652126312256 0
and 1 7 3 10.757755279541016 3.165003776550293 2.956648349761963
wait 1 8 4 14.49533462524414 6.30247688293457 0
for 1 9 3 3.399839162826538 4.888394832611084 1.4140820503234863
? 1 10 1 3.6861412525177 5.609577178955078 0
what 2 0 4 4.175975322723389 6.537421226501465 0
did 2 1 3 5.1812357902526855 4.863273620605469 1.674147605895996
he 2 2 2 9.387157440185547 5.153865337371826 0
hear 2 3 4 7.559024810791016 5.125594615936279 0.028270721435546875
that 2 4 4 4.452112674713135 2.9693737030029297 2.1562209129333496
<unk> 2 5 5 8.635231971740723 0.6620164513587952 2.3073572516441345
ate 2 6 3 15.425873756408691 5.593202114105225 0
accounts 2 7 8 19.175039291381836 1.6842468976974487 3.908955216407776
and 2 8 3 10.632613182067871 2.548078775405884 0
? 2 9 1 5.487666606903076 6.744087219238281 0
what 3 0 4 4.175975322723389 6.537421226501465 0
did 3 1 3 5.1812357902526855 4.863273620605469 1.674147605895996
will 3 2 4 13.532252311706543 5.153865337371826 0
buy 3 3 3 11.308130264282227 3.8485639095306396 1.3053014278411865
? 3 4 1 0.3133431077003479 1.2637939453125 2.5847699642181396
what 4 0 4 4.175975322723389 6.537421226501465 0
did 4 1 3 5.1812357902526855 4.863273620605469 1.674147605895996
you 4 2 3 7.947717189788818 5.153865337371826 0
read 4 3 4 11.114460945129395 4.2999396324157715 0.8539257049560547
about 4 4 5 10.603273391723633 2.012646198272705 2.2872934341430664
and 4 5 3 10.83319091796875 2.1270458698272705 0
announce 4 6 8 17.23065757751465 5.388655185699463 0
about 4 7 5 12.359475135803223 2.9496569633483887 2.438998222351074
? 4 8 1 2.142826795578003 5.817656993865967 0
what 5 0 4 4.175975322723389 6.537421226501465 0
did 5 1 3 5.1812357902526855 4.863273620605469 1.674147605895996
he 5 2 2 9.387157440185547 5.153865337371826 0
announce 5 3 8 18.566476821899414 5.125594615936279 0.028270721435546875
a 5 4 1 11.740434646606445 1.5235177278518677 3.6020768880844116
plan 5 5 4 15.6328763961792 4.400782585144043 0
and 5 6 3 11.682408332824707 3.2795939445495605 1.1211886405944824
speak 5 7 5 11.162898063659668 7.3237175941467285 0
? 5 8 1 0.6700052618980408 2.9125163555145264 4.411201238632202
which 6 0 5 9.176417350769043 6.537421226501465 0
subjects 6 1 8 11.80049991607666 7.3490891456604 0
did 6 2 3 4.245662689208984 5.117797374725342 2.2312917709350586
she 6 3 3 8.928812980651855 6.218780517578125 0
not 6 4 3 8.988819122314453 5.802824020385742 0.4159564971923828
study 6 5 5 12.688094139099121 6.219066619873047 0
for 6 6 3 8.458744049072266 3.7136600017547607 2.505406618118286
or 6 7 2 10.251372337341309 4.504652500152588 0
fail 6 8 4 15.12010669708252 4.786250591278076 0
the 6 9 3 7.061413764953613 3.0421016216278076 1.7441489696502686
test 6 10 4 12.424417495727539 7.395034313201904 0
for 6 11 3 8.096566200256348 5.979938507080078 1.4150958061218262
? 6 12 1 3.122450828552246 6.776476860046387 0
what 7 0 4 4.175975322723389 6.537421226501465 0
did 7 1 3 5.1812357902526855 4.863273620605469 1.674147605895996
<unk> 7 2 5 2.5282552242279053 5.153865337371826 0
order 7 3 5 15.140985488891602 5.802797317504883 0
for 7 4 3 8.911799430847168 5.008912563323975 0.7938847541809082
me 7 5 2 7.474186420440674 4.19148063659668 0.8174319267272949
and 7 6 3 10.244757652282715 2.560763120651245 1.6307175159454346
borrow 7 7 6 17.42792320251465 5.628687858581543 0
for 7 8 3 10.575435638427734 2.626150608062744 3.002537250518799
you 7 9 3 5.965458869934082 4.7644782066345215 0
? 7 10 1 1.3514620065689087 4.037452697753906 0.7270255088806152
what 8 0 4 4.175975322723389 6.537421226501465 0
does 8 1 4 5.399221897125244 4.863273620605469 1.674147605895996
will 8 2 4 13.722390174865723 5.11620569229126 0
like 8 3 4 10.665077209472656 4.838303565979004 0.27790212631225586
and 8 4 3 13.304561614990234 1.0807923078536987 3.757511258125305
girls 8 5 5 14.248355865478516 6.230443477630615 0
? 8 6 1 1.1383678913116455 4.648343086242676 1.5821003913879395
what 9 0 4 4.175975322723389 6.537421226501465 0
did 9 1 3 5.1812357902526855 4.863273620605469 1.674147605895996
they 9 2 4 7.366417407989502 5.153865337371826 0
not 9 3 3 12.144779205322266 3.7518868446350098 1.4019784927368164
like 9 4 4 8.904682159423828 5.486473083496094 0
that 9 5 4 5.209192276000977 1.8025277853012085 3.6839452981948853
will 9 6 4 9.446422576904297 4.367137908935547 0
bought 9 7 6 14.94674015045166 7.455355167388916 0
<unk> 9 8 5 3.871752977371216 6.933480739593506 0.5218744277954102
and 9 9 3 7.847998142242432 6.946669578552246 0
? 9 10 1 8.252245903015137 5.45504903793335 1.4916205406188965
what 10 0 4 4.175975322723389 6.537421226501465 0
did 10 1 3 5.1812357902526855 4.863273620605469 1.674147605895996
he 10 2 2 9.387157440185547 5.153865337371826 0
hear 10 3 4 7.559024810791016 5.125594615936279 0.028270721435546875
that 10 4 4 4.452112674713135 2.9693737030029297 2.1562209129333496
<unk> 10 5 5 8.635231971740723 0.6620164513587952 2.3073572516441345
ate 10 6 3 15.425873756408691 5.593202114105225 0
and 10 7 3 12.511181831359863 1.6842468976974487 3.908955216407776
story 10 8 5 15.787209510803223 4.5461273193359375 0
? 10 9 1 2.6794652938842773 6.034455299377441 0
which 11 0 5 9.176417350769043 6.537421226501465 0
things 11 1 6 13.58106517791748 7.3490891456604 0
did 11 2 3 2.9151294231414795 5.7112956047058105 1.6377935409545898
she 11 3 3 9.072629928588867 6.342619895935059 0
solve 11 4 5 14.381674766540527 5.873504161834717 0.4691157341003418
and 11 5 3 10.086702346801758 2.127713680267334 3.745790481567383
give 11 6 4 9.853595733642578 5.882909297943115 0
? 11 7 1 0.6649513244628906 2.8031680583953857 3.0797412395477295
what 12 0 4 4.175975322723389 6.537421226501465 0
did 12 1 3 5.1812357902526855 4.863273620605469 1.674147605895996
he 12 2 2 9.387157440185547 5.153865337371826 0
announce 12 3 8 18.566476821899414 5.125594615936279 0.028270721435546875
a 12 4 1 11.740434646606445 1.5235177278518677 3.6020768880844116
plan 12 5 4 15.6328763961792 4.400782585144043 0
and 12 6 3 11.682408332824707 3.2795939445495605 1.1211886405944824
solve 12 7 5 14.536066055297852 7.3237175941467285 0
by 12 8 2 11.431943893432617 2.188096284866333 5.1356213092803955
? 12 9 1 3.936098098754883 8.261527061462402 0
what 13 0 4 4.175975322723389 6.537421226501465 0
does 13 1 4 5.399221897125244 4.863273620605469 1.674147605895996
<unk> 13 2 5 2.339914321899414 5.11620569229126 0
like 13 3 4 10.705476760864258 4.996188163757324 0.12001752853393555
and 13 4 3 13.087603569030762 1.8701493740081787 3.1260387897491455
mothers 13 5 7 17.37583351135254 5.964737415313721 0
? 13 6 1 0.34631773829460144 2.0725104808807373 3.8922269344329834
what 14 0 4 4.175975322723389 6.537421226501465 0
did 14 1 3 5.1812357902526855 4.863273620605469 1.674147605895996
she 14 2 3 10.206581115722656 5.153865337371826 0
hear 14 3 4 7.51910924911499 4.6713714599609375 0.48249387741088867
about 14 4 5 9.961255073547363 2.7700092792510986 1.9013621807098389
me 14 5 2 10.017847061157227 1.464551568031311 1.3054577112197876
and 14 6 3 9.326175689697266 4.134087562561035 0
take 14 7 4 11.460220336914062 5.87532377243042 0
about 14 8 5 11.200974464416504 3.346216917037964 2.529106855392456
you 14 9 3 6.525233745574951 4.006149768829346 0
? 14 10 1 1.4548306465148926 4.305674076080322 0
what 15 0 4 4.175975322723389 6.537421226501465 0
did 15 1 3 5.1812357902526855 4.863273620605469 1.674147605895996
<unk> 15 2 5 2.5282552242279053 5.153865337371826 0
<unk> 15 3 5 3.46567702293396 5.802797317504883 0
demand 15 4 6 15.204639434814453 4.53861665725708 1.2641806602478027
the 15 5 3 6.575799465179443 4.40760612487793 0.1310105323791504
scandalous 15 6 10 20.1009521484375 4.638277053833008 0
rumour 15 7 6 12.313602447509766 9.289306640625 0
and 15 8 3 8.388517379760742 6.121507167816162 3.167799472808838
whisper 15 9 7 19.3566951751709 5.4835896492004395 0.6379175186157227
? 15 10 1 0.8811284303665161 3.6959009170532227 1.7876887321472168
what 16 0 4 4.175975322723389 6.537421226501465 0
does 16 1 4 5.399221897125244 4.863273620605469 1.674147605895996
the 16 2 3 5.250703811645508 5.11620569229126 0
unrealistic 16 3 11 19.574193954467773 6.542377471923828 0
brother 16 4 7 16.55867576599121 6.117164134979248 0.4252133369445801
like 16 5 4 9.955223083496094 6.967135429382324 0
and 16 6 3 13.303962707519531 2.5401153564453125 4.427020072937012
silly 16 7 5 15.402203559875488 6.374884128570557 0
parties 16 8 7 17.983741760253906 3.9035961627960205 2.471287965774536
? 16 9 1 3.7699756622314453 7.003957271575928 0
what 17 0 4 4.175975322723389 6.537421226501465 0
does 17 1 4 5.399221897125244 4.863273620605469 1.674147605895996
the 17 2 3 5.250703811645508 5.11620569229126 0
<unk> 17 3 5 3.468019485473633 6.542377471923828 0
possibility 17 4 11 15.295822143554688 4.180019855499268 2.3623576164245605
eat 17 5 3 15.858120918273926 5.393866062164307 0
probable 17 6 8 23.902881622314453 1.317528486251831 4.076337575912476
windows 17 7 7 16.140213012695312 5.972171306610107 0
and 17 8 3 9.112010955810547 2.760148763656616 3.212022542953491
? 17 9 1 6.863154888153076 8.217025756835938 0
what 18 0 4 4.175975322723389 6.537421226501465 0
does 18 1 4 5.399221897125244 4.863273620605469 1.674147605895996
the 18 2 3 5.250703811645508 5.11620569229126 0
directed 18 3 8 16.271636962890625 6.542377471923828 0
candy 18 4 5 14.7256441116333 9.090027809143066 0
store 18 5 5 11.507211685180664 5.729413032531738 3.360614776611328
like 18 6 4 8.551607131958008 7.266767978668213 0
circulating 18 7 11 22.325273513793945 2.7147276401519775 4.552040338516235
salads 18 8 6 18.937610626220703 4.920060634613037 0
and 18 9 3 8.906343460083008 4.079761505126953 0.840299129486084
? 18 10 1 4.102370262145996 7.920483589172363 0
what 19 0 4 4.175975322723389 6.537421226501465 0
did 19 1 3 5.1812357902526855 4.863273620605469 1.674147605895996
