word sentid sentpos wlen surp entropy entred
what 0 0 4 4.007656097412109 6.333801746368408 0
did 0 1 3 3.5917141437530518 4.734867095947266 1.5989346504211426
they 0 2 4 7.389125823974609 4.209704875946045 0.5251622200012207
not 0 3 3 10.658844947814941 5.125376224517822 0
like 0 4 4 8.27320671081543 6.606591701507568 0
that 0 5 4 3.458775520324707 4.993556499481201 1.6130352020263672
<unk> 0 6 5 5.839468479156494 4.739173889160156 0.2543826103210449
likes 0 7 5 10.181960105895996 4.845930576324463 0
and 0 8 3 8.703088760375977 4.255348205566406 0.5905823707580566
accounts 0 9 8 14.778562545776367 5.009143829345703 0
? 0 10 1 5.481137752532959 3.6512932777404785 1.3578505516052246
who 1 0 3 7.367081165313721 6.333801746368408 0
did 1 1 3 3.5041823387145996 6.712063789367676 0
she 1 2 3 11.651012420654297 4.839781761169434 1.8722820281982422
hear 1 3 4 9.779243469238281 6.738311767578125 0
a 1 4 1 8.669451713562012 4.873570442199707 1.864741325378418
rumour 1 5 6 10.314016342163086 6.2451558113098145 0
about 1 6 5 6.473921775817871 3.316823720932007 2.9283320903778076
and 1 7 3 8.625127792358398 5.810108661651611 0
wait 1 8 4 13.911955833435059 5.801910877227783 0.008197784423828125
for 1 9 3 3.167184352874756 5.494719505310059 0.3071913719177246
? 1 10 1 5.079375743865967 5.785301208496094 0
what 2 0 4 4.007656097412109 6.333801746368408 0
did 2 1 3 3.5917141437530518 4.734867095947266 1.5989346504211426
he 2 2 2 8.404763221740723 4.209704875946045 0.5251622200012207
hear 2 3 4 9.591641426086426 5.061263084411621 0
that 2 4 4 3.124471426010132 3.5728914737701416 1.4883716106414795
<unk> 2 5 5 6.679134845733643 4.090726375579834 0
ate 2 6 3 18.743194580078125 4.430674076080322 0
accounts 2 7 8 16.618589401245117 7.095759391784668 0
and 2 8 3 6.81040096282959 5.8031816482543945 1.2925777435302734
? 2 9 1 4.667418003082275 6.369139194488525 0
what 3 0 4 4.007656097412109 6.333801746368408 0
did 3 1 3 3.5917141437530518 4.734867095947266 1.5989346504211426
will 3 2 4 11.100193977355957 4.209704875946045 0.5251622200012207
buy 3 3 3 10.252519607543945 7.44279146194458 0
? 3 4 1 2.888714551925659 6.671780586242676 0.7710108757019043
what 4 0 4 4.007656097412109 6.333801746368408 0
did 4 1 3 3.5917141437530518 4.734867095947266 1.5989346504211426
you 4 2 3 10.107672691345215 4.209704875946045 0.5251622200012207
read 4 3 4 13.144317626953125 3.4262783527374268 0.7834265232086182
about 4 4 5 8.794801712036133 4.800014972686768 0
and 4 5 3 8.625048637390137 5.465778827667236 0
announce 4 6 8 17.55121421813965 5.3673224449157715 0.09845638275146484
about 4 7 5 9.899749755859375 3.372447967529297 1.9948744773864746
? 4 8 1 5.167459011077881 5.4296650886535645 0
what 5 0 4 4.007656097412109 6.333801746368408 0
did 5 1 3 3.5917141437530518 4.734867095947266 1.5989346504211426
he 5 2 2 8.404763221740723 4.209704875946045 0.5251622200012207
announce 5 3 8 19.19659423828125 5.061263084411621 0
a 5 4 1 7.9307355880737305 4.309864521026611 0.7513985633850098
plan 5 5 4 10.155557632446289 3.7499382495880127 0.5599262714385986
and 5 6 3 7.772739887237549 4.874908924102783 0
speak 5 7 5 13.49744987487793 5.743790626525879 0
? 5 8 1 5.733972549438477 5.648443222045898 0.09534740447998047
which 6 0 5 9.421497344970703 6.333801746368408 0
subjects 6 1 8 14.168877601623535 6.722081661224365 0
did 6 2 3 3.58907151222229 6.448951244354248 0.2731304168701172
she 6 3 3 12.669008255004883 4.628752708435059 1.8201985359191895
not 6 4 3 9.446118354797363 6.91624641418457 0
study 6 5 5 13.758142471313477 7.627728462219238 0
for 6 6 3 8.194914817810059 6.080991744995117 1.546736717224121
or 6 7 2 8.689600944519043 6.873690605163574 0
fail 6 8 4 15.713443756103516 7.340051174163818 0
the 6 9 3 5.196598052978516 6.190255641937256 1.1497955322265625
test 6 10 4 11.059958457946777 8.81456184387207 0
for 6 11 3 6.917287826538086 7.163790225982666 1.6507716178894043
? 6 12 1 3.905454397201538 6.691057205200195 0.4727330207824707
what 7 0 4 4.007656097412109 6.333801746368408 0
did 7 1 3 3.5917141437530518 4.734867095947266 1.5989346504211426
<unk> 7 2 5 1.1970324516296387 4.209704875946045 0.5251622200012207
order 7 3 5 14.611150741577148 5.554147243499756 0
for 7 4 3 7.480461597442627 5.920302391052246 0
me 7 5 2 8.263237953186035 6.550144195556641 0
and 7 6 3 8.285536766052246 4.85415506362915 1.6959891319274902
borrow 7 7 6 18.773027420043945 5.566421985626221 0
for 7 8 3 8.327874183654785 5.899481773376465 0
you 7 9 3 7.2976460456848145 6.759203910827637 0
? 7 10 1 3.6973888874053955 4.732978820800781 2.0262250900268555
what 8 0 4 4.007656097412109 6.333801746368408 0
does 8 1 4 3.974363327026367 4.734867095947266 1.5989346504211426
will 8 2 4 11.089735984802246 3.5337069034576416 1.201160192489624
like 8 3 4 9.942584991455078 7.112095355987549 0
and 8 4 3 8.704706192016602 6.037694454193115 1.0744009017944336
girls 8 5 5 15.888968467712402 6.266345500946045 0
? 8 6 1 3.4950528144836426 6.2076311111450195 0.05871438980102539
what 9 0 4 4.007656097412109 6.333801746368408 0
did 9 1 3 3.5917141437530518 4.734867095947266 1.5989346504211426
they 9 2 4 7.389125823974609 4.209704875946045 0.5251622200012207
not 9 3 3 10.658844947814941 5.125376224517822 0
like 9 4 4 8.27320671081543 6.606591701507568 0
that 9 5 4 3.458775520324707 4.993556499481201 1.6130352020263672
will 9 6 4 8.740337371826172 4.739173889160156 0.2543826103210449
bought 9 7 6 17.678152084350586 6.358816623687744 0
<unk> 9 8 5 4.166844367980957 7.155917644500732 0
and 9 9 3 7.009827136993408 7.108615398406982 0.04730224609375
? 9 10 1 5.830660343170166 6.270312786102295 0.8383026123046875
what 10 0 4 4.007656097412109 6.333801746368408 0
did 10 1 3 3.5917141437530518 4.734867095947266 1.5989346504211426
he 10 2 2 8.404763221740723 4.209704875946045 0.5251622200012207
hear 10 3 4 9.591641426086426 5.061263084411621 0
that 10 4 4 3.124471426010132 3.5728914737701416 1.4883716106414795
<unk> 10 5 5 6.679134845733643 4.090726375579834 0
ate 10 6 3 18.743194580078125 4.430674076080322 0
and 10 7 3 7.401089668273926 7.095759391784668 0
story 10 8 5 14.849227905273438 7.583552837371826 0
? 10 9 1 4.013639450073242 7.349555969238281 0.23399686813354492
which 11 0 5 9.421497344970703 6.333801746368408 0
things 11 1 6 12.002215385437012 6.722081661224365 0
did 11 2 3 2.790611743927002 5.702448844909668 1.0196328163146973
she 11 3 3 10.63615608215332 5.097503185272217 0.6049456596374512
solve 11 4 5 15.899442672729492 6.5991387367248535 0
and 11 5 3 9.23126220703125 4.273033142089844 2.3261055946350098
give 11 6 4 9.975733757019043 7.438131809234619 0
? 11 7 1 4.7754902839660645 6.5966668128967285 0.8414649963378906
what 12 0 4 4.007656097412109 6.333801746368408 0
did 12 1 3 3.5917141437530518 4.734867095947266 1.5989346504211426
he 12 2 2 8.404763221740723 4.209704875946045 0.5251622200012207
announce 12 3 8 19.19659423828125 5.061263084411621 0
a 12 4 1 7.9307355880737305 4.309864521026611 0.7513985633850098
plan 12 5 4 10.155557632446289 3.7499382495880127 0.5599262714385986
and 12 6 3 7.772739887237549 4.874908924102783 0
solve 12 7 5 14.669098854064941 5.743790626525879 0
by 12 8 2 9.951639175415039 5.256387710571289 0.48740291595458984
? 12 9 1 4.7369890213012695 6.65734338760376 0
what 13 0 4 4.007656097412109 6.333801746368408 0
does 13 1 4 3.974363327026367 4.734867095947266 1.5989346504211426
<unk> 13 2 5 0.8087847232818604 3.5337069034576416 1.201160192489624
like 13 3 4 12.163990020751953 5.597381114959717 0
and 13 4 3 9.443331718444824 5.223414421081543 0.37396669387817383
mothers 13 5 7 17.779457092285156 6.4572930335998535 0
? 13 6 1 2.686199188232422 5.887688636779785 0.5696043968200684
what 14 0 4 4.007656097412109 6.333801746368408 0
did 14 1 3 3.5917141437530518 4.734867095947266 1.5989346504211426
she 14 2 3 9.179264068603516 4.209704875946045 0.5251622200012207
hear 14 3 4 10.433614730834961 5.9571990966796875 0
about 14 4 5 11.262801170349121 4.253135681152344 1.7040634155273438
me 14 5 2 7.777400016784668 5.399569034576416 0
and 14 6 3 8.816141128540039 3.961721181869507 1.4378478527069092
take 14 7 4 11.438495635986328 4.698904991149902 0
about 14 8 5 8.160879135131836 6.4100775718688965 0
you 14 9 3 7.018525123596191 5.420672416687012 0.9894051551818848
? 14 10 1 5.247135162353516 4.604333400726318 0.8163390159606934
what 15 0 4 4.007656097412109 6.333801746368408 0
did 15 1 3 3.5917141437530518 4.734867095947266 1.5989346504211426
<unk> 15 2 5 1.1970324516296387 4.209704875946045 0.5251622200012207
<unk> 15 3 5 4.202213287353516 5.554147243499756 0
demand 15 4 6 19.6976318359375 4.638280391693115 0.9158668518066406
the 15 5 3 5.394277095794678 5.12147331237793 0
scandalous 15 6 10 16.827560424804688 8.85471248626709 0
rumour 15 7 6 10.873146057128906 9.180326461791992 0
and 15 8 3 7.799917221069336 4.453962802886963 4.726363658905029
whisper 15 9 7 19.785234451293945 5.255821228027344 0
? 15 10 1 4.87139892578125 5.043311595916748 0.2125096321105957
what 16 0 4 4.007656097412109 6.333801746368408 0
does 16 1 4 3.974363327026367 4.734867095947266 1.5989346504211426
the 16 2 3 4.162652969360352 3.5337069034576416 1.201160192489624
unrealistic 16 3 11 18.161619186401367 7.868825435638428 0
brother 16 4 7 14.514702796936035 9.216818809509277 0
like 16 5 4 9.659253120422363 5.700016021728516 3.5168027877807617
and 16 6 3 8.298962593078613 4.754698276519775 0.9453177452087402
silly 16 7 5 16.674072265625 5.549065589904785 0
parties 16 8 7 12.741561889648438 6.871640205383301 0
? 16 9 1 3.4753241539001465 5.395031452178955 1.4766087532043457
what 17 0 4 4.007656097412109 6.333801746368408 0
does 17 1 4 3.974363327026367 4.734867095947266 1.5989346504211426
the 17 2 3 4.162652969360352 3.5337069034576416 1.201160192489624
<unk> 17 3 5 3.8572728633880615 7.868825435638428 0
possibility 17 4 11 16.090707778930664 5.57359504699707 2.2952303886413574
eat 17 5 3 18.401702880859375 4.352579116821289 1.2210159301757812
probable 17 6 8 19.76795768737793 6.747263431549072 0
windows 17 7 7 14.189545631408691 9.004932403564453 0
and 17 8 3 6.639504909515381 5.651803970336914 3.353128433227539
? 17 9 1 3.3609423637390137 6.26135778427124 0
what 18 0 4 4.007656097412109 6.333801746368408 0
does 18 1 4 3.974363327026367 4.734867095947266 1.5989346504211426
the 18 2 3 4.162652969360352 3.5337069034576416 1.201160192489624
directed 18 3 8 15.201428413391113 7.868825435638428 0
candy 18 4 5 15.679981231689453 8.378738403320312 0
store 18 5 5 9.986492156982422 6.572091579437256 1.8066468238830566
like 18 6 4 9.71817684173584 7.250520706176758 0
circulating 18 7 11 18.594032287597656 7.432729721069336 0
salads 18 8 6 14.289312362670898 8.466758728027344 0
and 18 9 3 5.921834468841553 6.094815254211426 2.371943473815918
? 18 10 1 6.365482330322266 9.58781623840332 0
what 19 0 4 4.007656097412109 6.333801746368408 0
did 19 1 3 3.5917141437530518 4.734867095947266 1.5989346504211426
the 19 2 3 3.902265787124634 4.209704875946045 0.5251622200012207
expensive 19 3 9 15.10693645477295 8.053637504577637 0
<unk> 19 4 5 3.6794111728668213 9.355015754699707 0
analysis 19 5 8 13.550697326660156 7.319591045379639 2.0354247093200684
not 19 6 3 10.592269897460938 5.465847492218018 1.853743553161621
like 19 7 4 8.391315460205078 6.353395938873291 0
that 19 8 4 2.182570219039917 5.042145252227783 1.3112506866455078
the 19 9 3 6.825010299682617 5.158693313598633 0
difficult 19 10 9 14.150270462036133 7.767277240753174 0
study 19 11 5 10.185829162597656 9.450277328491211 0
bought 19 12 6 17.55398941040039 5.2341179847717285 4.216159343719482
and 19 13 3 7.045229911804199 6.710293769836426 0
discreet 19 14 8 17.743545532226562 7.31389045715332 0
ballet 19 15 6 19.93749237060547 6.79751443862915 0.5163760185241699
? 19 16 1 3.227222204208374 6.985223770141602 0
what 20 0 4 4.007656097412109 6.333801746368408 0
did 20 1 3 3.5917141437530518 4.734867095947266 1.5989346504211426
he 20 2 2 8.404763221740723 4.209704875946045 0.5251622200012207
rob 20 3 3 17.552133560180664 5.061263084411621 0
a 20 4 1 9.198126792907715 5.1975836753845215 0
silly 20 5 5 14.778141975402832 6.3886284828186035 0
possibility 20 6 11 11.73288345336914 7.779584884643555 0
and 20 7 3 7.477145195007324 4.4098801612854 3.3697047233581543
date 20 8 4 15.368992805480957 5.379208564758301 0
? 20 9 1 4.505007266998291 5.789857864379883 0
what 21 0 4 4.007656097412109 6.333801746368408 0
does 21 1 4 3.974363327026367 4.734867095947266 1.5989346504211426
the 21 2 3 4.162652969360352 3.5337069034576416 1.201160192489624
lucky 21 3 5 15.88333511352539 7.868825435638428 0
street 21 4 6 13.33984375 6.973848819732666 0.8949766159057617
hire 21 5 4 16.33142852783203 5.475582122802734 1.4982666969299316
and 21 6 3 8.149435997009277 5.401724815368652 0.07385730743408203
accounts 21 7 8 14.044355392456055 7.335608959197998 0
? 21 8 1 4.880565643310547 4.883912563323975 2.4516963958740234
what 22 0 4 4.007656097412109 6.333801746368408 0
did 22 1 3 3.5917141437530518 4.734867095947266 1.5989346504211426
the 22 2 3 3.902265787124634 4.209704875946045 0.5251622200012207
pretty 22 3 6 13.43297290802002 8.053637504577637 0
experience 22 4 10 12.97719955444336 8.128158569335938 0
assert 22 5 6 20.367189407348633 5.063218116760254 3.0649404525756836
for 22 6 3 9.361725807189941 4.57231330871582 0.4909048080444336
me 22 7 2 6.826180458068848 4.806701183319092 0
and 22 8 3 7.408845901489258 4.730109691619873 0.07659149169921875
hire 22 9 4 16.67759895324707 4.80684757232666 0
for 22 10 3 7.302095890045166 6.270491600036621 0
you 22 11 3 8.366705894470215 7.0248026847839355 0
? 22 12 1 3.9219987392425537 4.648781776428223 2.376020908355713
what 23 0 4 4.007656097412109 6.333801746368408 0
did 23 1 3 3.5917141437530518 4.734867095947266 1.5989346504211426
the 23 2 3 3.902265787124634 4.209704875946045 0.5251622200012207
extravagant 23 3 11 17.168703079223633 8.053637504577637 0
cup 23 4 3 15.592870712280273 9.777463912963867 0
of 23 5 2 8.153569221496582 6.423674583435059 3.3537893295288086
coffee 23 6 6 7.645126819610596 9.425046920776367 0
<unk> 23 7 5 6.493132591247559 5.568840026855469 3.8562068939208984
for 23 8 3 7.130377292633057 8.103187561035156 0
me 23 9 2 6.540706634521484 7.676154136657715 0.4270334243774414
and 23 10 3 7.633596420288086 5.874749183654785 1.8014049530029297
solve 23 11 5 17.982542037963867 5.881364822387695 0
for 23 12 3 11.689568519592285 3.6128275394439697 2.2685372829437256
you 23 13 3 6.7933173179626465 6.626645088195801 0
? 23 14 1 3.811095714569092 3.8116180896759033 2.8150269985198975
what 24 0 4 4.007656097412109 6.333801746368408 0
does 24 1 4 3.974363327026367 4.734867095947266 1.5989346504211426
the 24 2 3 4.162652969360352 3.5337069034576416 1.201160192489624
<unk> 24 3 5 3.8572728633880615 7.868825435638428 0
language 24 4 8 9.554340362548828 5.57359504699707 2.2952303886413574
like 24 5 4 10.127996444702148 5.842759132385254 0
<unk> 24 6 5 4.949213981628418 4.316402435302734 1.5263566970825195
and 24 7 3 6.970039367675781 5.125430583953857 0
? 24 8 1 4.567160129547119 6.136341094970703 0
