word sentid sentpos wlen surp entropy entred
how 0 0 3 8.680546760559082 6.333801746368408 0
<unk> 0 1 5 3.6615231037139893 5.7585906982421875 0.5752110481262207
did 0 2 3 2.1896917819976807 5.723006248474121 0.035584449768066406
she 0 3 3 11.555315971374512 4.973957538604736 0.7490487098693848
say 0 4 3 9.928509712219238 6.427157878875732 0
that 0 5 4 1.7919336557388306 4.491331577301025 1.935826301574707
he 0 6 2 5.127295970916748 5.612420082092285 0
directed 0 7 8 16.098705291748047 3.7886884212493896 1.8237316608428955
the 0 8 3 3.861624240875244 5.0987091064453125 0
movie 0 9 5 11.55912971496582 7.983049392700195 0
that 0 10 4 1.977497935295105 6.074677467346191 1.908371925354004
i 0 11 1 6.466792583465576 6.462584972381592 0
saw 0 12 3 10.777832984924316 4.148414611816406 2.3141703605651855
yesterday 0 13 9 13.976211547851562 4.703566074371338 0
? 0 14 1 6.217031002044678 5.298920154571533 0
how 1 0 3 8.680546760559082 6.333801746368408 0
discreet 1 1 8 18.89097023010254 5.7585906982421875 0.5752110481262207
did 1 2 3 3.55325984954834 6.0929670333862305 0
<unk> 1 3 5 3.553506374359131 4.245645046234131 1.8473219871520996
hire 1 4 4 15.339454650878906 6.002891540527344 0
an 1 5 2 11.81617546081543 2.3623085021972656 3.640583038330078
agent 1 6 5 8.202183723449707 9.064663887023926 0
? 1 7 1 3.802150011062622 6.189798831939697 2.8748650550842285
how 2 0 3 8.680546760559082 6.333801746368408 0
pretty 2 1 6 12.90864372253418 5.7585906982421875 0.5752110481262207
does 2 2 4 5.379249095916748 7.294131755828857 0
<unk> 2 3 5 2.1646037101745605 5.08889102935791 2.2052407264709473
like 2 4 4 11.585540771484375 5.599492073059082 0
the 2 5 3 4.841784954071045 5.802563667297363 0
woman 2 6 5 12.419520378112793 8.485368728637695 0
? 2 7 1 2.9500632286071777 6.287563800811768 2.1978049278259277
how 3 0 3 8.680546760559082 6.333801746368408 0
difficult 3 1 9 13.115631103515625 5.7585906982421875 0.5752110481262207
did 3 2 3 3.1550254821777344 5.445821285247803 0.31276941299438477
he 3 3 2 10.542698860168457 3.7271487712860107 1.718672513961792
hear 3 4 4 7.82945442199707 5.525846481323242 0
that 3 5 4 3.2937381267547607 4.378713130950928 1.1471333503723145
you 3 6 3 9.692514419555664 4.823710918426514 0
failed 3 7 6 15.755595207214355 2.7389564514160156 2.084754467010498
the 3 8 3 5.562327861785889 5.9012556076049805 0
test 3 9 4 11.645069122314453 7.918875217437744 0
? 3 10 1 2.8220624923706055 6.413550853729248 1.505324363708496
whose 4 0 5 12.523483276367188 6.333801746368408 0
did 4 1 3 6.023970127105713 10.346440315246582 0
she 4 2 3 10.374479293823242 4.534213066101074 5.812227249145508
say 4 3 3 9.96237850189209 6.859103679656982 0
that 4 4 4 1.3072749376296997 3.9666800498962402 2.892423629760742
<unk> 4 5 5 4.491714954376221 5.888758182525635 0
eats 4 6 4 17.356679916381836 5.708548069000244 0.18021011352539062
<unk> 4 7 5 3.8825066089630127 7.510590553283691 0
? 4 8 1 4.067530155181885 7.596750259399414 0
how 5 0 3 8.680546760559082 6.333801746368408 0
<unk> 5 1 5 3.6615231037139893 5.7585906982421875 0.5752110481262207
did 5 2 3 2.1896917819976807 5.723006248474121 0.035584449768066406
she 5 3 3 11.555315971374512 4.973957538604736 0.7490487098693848
say 5 4 3 9.928509712219238 6.427157878875732 0
that 5 5 4 1.7919336557388306 4.491331577301025 1.935826301574707
he 5 6 2 5.127295970916748 5.612420082092285 0
announced 5 7 9 16.138126373291016 3.7886884212493896 1.8237316608428955
a 5 8 1 6.743268966674805 4.280686378479004 0
plan 5 9 4 10.965243339538574 3.4560494422912598 0.8246369361877441
? 5 10 1 4.509045124053955 4.27825403213501 0
how 6 0 3 8.680546760559082 6.333801746368408 0
pretty 6 1 6 12.90864372253418 5.7585906982421875 0.5752110481262207
did 6 2 3 2.7716856002807617 7.294131755828857 0
he 6 3 2 8.867712020874023 5.0907487869262695 2.203382968902588
hear 6 4 4 8.381829261779785 5.153714656829834 0
that 6 5 4 3.049699068069458 3.941190242767334 1.2125244140625
she 6 6 3 10.368952751159668 4.5042500495910645 0
read 6 7 4 11.89763355255127 4.003215789794922 0.5010342597961426
