word sentid sentpos wlen surp entropy entred
who 0 0 3 6.539663791656494 6.537421226501465 0
did 0 1 3 2.630748748779297 6.669833183288574 0
he 0 2 2 8.181385040283203 5.788482189178467 0.8813509941101074
hear 0 3 4 5.814178466796875 5.788417816162109 6.437301635742188e-05
that 0 4 4 3.1629562377929688 3.3008463382720947 2.4875714778900146
it 0 5 2 11.725369453430176 1.5064927339553833 1.7943536043167114
is 0 6 2 5.929473400115967 6.276001453399658 0
important 0 7 9 10.079140663146973 7.911015033721924 0
to 0 8 2 6.0854387283325195 3.7094478607177734 4.20156717300415
see 0 9 3 7.761661052703857 5.529468059539795 0
? 0 10 1 2.678051471710205 4.84627628326416 0.6831917762756348
what 1 0 4 4.175975322723389 6.537421226501465 0
is 1 1 2 7.801517009735107 4.863273620605469 1.674147605895996
it 1 2 2 9.86733627319336 8.14622974395752 0
important 1 3 9 12.421492576599121 5.734493255615234 2.411736488342285
that 1 4 4 3.5493693351745605 7.233592510223389 0
<unk> 1 5 5 5.233133792877197 2.885746717453003 4.347845792770386
buys 1 6 4 17.060420989990234 5.817975044250488 0
? 1 7 1 0.18454653024673462 0.963558554649353 4.854416489601135
who 2 0 3 6.539663791656494 6.537421226501465 0
did 2 1 3 2.630748748779297 6.669833183288574 0
he 2 2 2 8.181385040283203 5.788482189178467 0.8813509941101074
hear 2 3 4 5.814178466796875 5.788417816162109 6.437301635742188e-05
that 2 4 4 3.1629562377929688 3.3008463382720947 2.4875714778900146
it 2 5 2 11.725369453430176 1.5064927339553833 1.7943536043167114
is 2 6 2 5.929473400115967 6.276001453399658 0
important 2 7 9 10.079140663146973 7.911015033721924 0
that 2 8 4 2.317312717437744 3.7094478607177734 4.20156717300415
<unk> 2 9 5 4.331784248352051 4.346698760986328 0
knows 2 10 5 9.4975004196167 6.410151958465576 0
? 2 11 1 0.8265162706375122 2.6412546634674072 3.768897294998169
where 3 0 5 10.624042510986328 6.537421226501465 0
did 3 1 3 5.772028923034668 6.44461727142334 0.092803955078125
<unk> 3 2 5 2.415226697921753 5.833384037017822 0.6112332344055176
tell 3 3 4 11.575085639953613 6.557442665100098 0
you 3 4 3 7.475576877593994 2.2217860221862793 4.335656642913818
that 3 5 4 3.2055306434631348 5.218330383300781 0
she 3 6 3 7.500940799713135 2.9046969413757324 2.313633441925049
went 3 7 4 11.352627754211426 5.633336544036865 0
? 3 8 1 0.7065154910087585 3.7957334518432617 1.8376030921936035
what 4 0 4 4.175975322723389 6.537421226501465 0
did 4 1 3 5.1812357902526855 4.863273620605469 1.674147605895996
he 4 2 2 9.387157440185547 5.153865337371826 0
hear 4 3 4 7.559024810791016 5.125594615936279 0.028270721435546875
that 4 4 4 4.452112674713135 2.9693737030029297 2.1562209129333496
<unk> 4 5 5 8.635231971740723 0.6620164513587952 2.3073572516441345
does 4 6 4 5.562942028045654 5.593202114105225 0
not 4 7 3 9.751778602600098 5.313567161560059 0.279634952545166
do 4 8 2 4.856003284454346 4.768618583679199 0.5449485778808594
? 4 9 1 0.9782454967498779 3.104231119155884 1.6643874645233154
what 5 0 4 4.175975322723389 6.537421226501465 0
did 5 1 3 5.1812357902526855 4.863273620605469 1.674147605895996
he 5 2 2 9.387157440185547 5.153865337371826 0
hear 5 3 4 7.559024810791016 5.125594615936279 0.028270721435546875
that 5 4 4 4.452112674713135 2.9693737030029297 2.1562209129333496
<unk> 5 5 5 8.635231971740723 0.6620164513587952 2.3073572516441345
thinks 5 6 6 11.51612377166748 5.593202114105225 0
their 5 7 5 12.403401374816895 1.6887266635894775 3.904475450515747
car 5 8 3 11.783249855041504 8.930473327636719 0
needed 5 9 6 12.114691734313965 6.026512622833252 2.903960704803467
to 5 10 2 6.887071132659912 4.479870319366455 1.5466423034667969
do 5 11 2 3.0960915088653564 7.218862533569336 0
? 5 12 1 1.0405489206314087 3.5587918758392334 3.6600706577301025
who 6 0 3 6.539663791656494 6.537421226501465 0
is 6 1 2 7.758722305297852 6.669833183288574 0
it 6 2 2 10.48876667022705 7.49488639831543 0
probable 6 3 8 14.19788646697998 7.276467800140381 0.21841859817504883
that 6 4 4 2.531132698059082 2.012763023376465 5.263704776763916
<unk> 6 5 5 4.481357574462891 4.581185340881348 0
helped 6 6 6 11.581742286682129 5.970889568328857 0
? 6 7 1 0.9202893376350403 4.508862018585205 1.4620275497436523
what 7 0 4 4.175975322723389 6.537421226501465 0
did 7 1 3 5.1812357902526855 4.863273620605469 1.674147605895996
they 7 2 4 7.366417407989502 5.153865337371826 0
not 7 3 3 12.144779205322266 3.7518868446350098 1.4019784927368164
like 7 4 4 8.904682159423828 5.486473083496094 0
that 7 5 4 5.209192276000977 1.8025277853012085 3.6839452981948853
you 7 6 3 7.153097629547119 4.367137908935547 0
read 7 7 4 10.163516998291016 5.3609299659729 0
that 7 8 4 4.833436012268066 2.236337184906006 3.1245927810668945
<unk> 7 9 5 6.398647308349609 1.834023356437683 0.40231382846832275
is 7 10 2 7.809394359588623 6.749987602233887 0
trying 7 11 6 10.125682830810547 7.519535541534424 0
to 7 12 2 4.446452617645264 2.0216588973999023 5.4978766441345215
give 7 13 4 8.226053237915039 6.115627288818359 0
you 7 14 3 5.873325347900391 4.218724250793457 1.8969030380249023
? 7 15 1 1.6626704931259155 5.544750690460205 0
who 8 0 3 6.539663791656494 6.537421226501465 0
did 8 1 3 2.630748748779297 6.669833183288574 0
they 8 2 4 6.734796524047852 5.788482189178467 0.8813509941101074
not 8 3 3 9.856708526611328 5.1160197257995605 0.6724624633789062
like 8 4 4 9.39836311340332 5.224707126617432 0
that 8 5 4 4.1316118240356445 2.3065481185913086 2.918159008026123
it 8 6 2 10.516368865966797 4.518613815307617 0
is 8 7 2 6.43128776550293 6.518767833709717 0
probable 8 8 8 14.416964530944824 7.175901889801025 0
that 8 9 4 2.5362913608551025 3.336728572845459 3.8391733169555664
<unk> 8 10 5 4.406808853149414 5.113105297088623 0
met 8 11 3 12.19679069519043 5.915670871734619 0
? 8 12 1 2.3101415634155273 3.7192015647888184 2.196469306945801
who 9 0 3 6.539663791656494 6.537421226501465 0
is 9 1 2 7.758722305297852 6.669833183288574 0
it 9 2 2 10.48876667022705 7.49488639831543 0
probable 9 3 8 14.19788646697998 7.276467800140381 0.21841859817504883
that 9 4 4 2.531132698059082 2.012763023376465 5.263704776763916
the 9 5 3 5.607985496520996 4.581185340881348 0
account 9 6 7 12.337892532348633 9.112964630126953 0
is 9 7 2 6.262582302093506 5.476232528686523 3.6367321014404297
waiting 9 8 7 14.1579008102417 7.025882244110107 0
for 9 9 3 3.3490512371063232 4.336132049560547 2.6897501945495605
? 9 10 1 2.4788568019866943 5.542608737945557 0
who 10 0 3 6.539663791656494 6.537421226501465 0
did 10 1 3 2.630748748779297 6.669833183288574 0
they 10 2 4 6.734796524047852 5.788482189178467 0.8813509941101074
not 10 3 3 9.856708526611328 5.1160197257995605 0.6724624633789062
like 10 4 4 9.39836311340332 5.224707126617432 0
that 10 5 4 4.1316118240356445 2.3065481185913086 2.918159008026123
it 10 6 2 10.516368865966797 4.518613815307617 0
is 10 7 2 6.43128776550293 6.518767833709717 0
important 10 8 9 11.068065643310547 7.175901889801025 0
to 10 9 2 4.70639181137085 6.000592231750488 1.175309658050537
fix 10 10 3 14.510444641113281 5.467253684997559 0.5333385467529297
? 10 11 1 0.8235181570053101 3.246929407119751 2.2203242778778076
who 11 0 3 6.539663791656494 6.537421226501465 0
did 11 1 3 2.630748748779297 6.669833183288574 0
they 11 2 4 6.734796524047852 5.788482189178467 0.8813509941101074
not 11 3 3 9.856708526611328 5.1160197257995605 0.6724624633789062
like 11 4 4 9.39836311340332 5.224707126617432 0
that 11 5 4 4.1316118240356445 2.3065481185913086 2.918159008026123
it 11 6 2 10.516368865966797 4.518613815307617 0
is 11 7 2 6.43128776550293 6.518767833709717 0
probable 11 8 8 14.416964530944824 7.175901889801025 0
that 11 9 4 2.5362913608551025 3.336728572845459 3.8391733169555664
<unk> 11 10 5 4.406808853149414 5.113105297088623 0
called 11 11 6 11.467020034790039 5.915670871734619 0
? 11 12 1 3.3672986030578613 6.120028972625732 0
what 12 0 4 4.175975322723389 6.537421226501465 0
did 12 1 3 5.1812357902526855 4.863273620605469 1.674147605895996
<unk> 12 2 5 2.5282552242279053 5.153865337371826 0
buy 12 3 3 11.680482864379883 5.802797317504883 0
you 12 4 3 6.314516544342041 1.444321870803833 4.35847544670105
? 12 5 1 2.023395299911499 4.878242015838623 0
what 13 0 4 4.175975322723389 6.537421226501465 0
did 13 1 3 5.1812357902526855 4.863273620605469 1.674147605895996
she 13 2 3 10.206581115722656 5.153865337371826 0
say 13 3 3 5.24083948135376 4.6713714599609375 0.48249387741088867
that 13 4 4 6.627500534057617 0.5076473355293274 4.16372412443161
<unk> 13 5 5 7.439496994018555 1.2389867305755615 0
thinks 13 6 6 10.428321838378906 5.6288275718688965 0
that 13 7 4 2.753505229949951 4.443004608154297 1.1858229637145996
their 13 8 5 11.195660591125488 4.919153690338135 0
rumour 13 9 6 17.44075584411621 8.470191955566406 0
was 13 10 3 6.282109260559082 6.322394371032715 2.1477975845336914
? 13 11 1 4.15828275680542 6.720372676849365 0
what 14 0 4 4.175975322723389 6.537421226501465 0
is 14 1 2 7.801517009735107 4.863273620605469 1.674147605895996
it 14 2 2 9.86733627319336 8.14622974395752 0
important 14 3 9 12.421492576599121 5.734493255615234 2.411736488342285
that 14 4 4 3.5493693351745605 7.233592510223389 0
<unk> 14 5 5 5.233133792877197 2.885746717453003 4.347845792770386
eats 14 6 4 17.68305778503418 5.817976474761963 0
for 14 7 3 12.56179428100586 1.9941333532333374 3.8238431215286255
<unk> 14 8 5 6.541860103607178 2.9129090309143066 0
? 14 9 1 1.8911795616149902 6.006571292877197 0
who 15 0 3 6.539663791656494 6.537421226501465 0
is 15 1 2 7.758722305297852 6.669833183288574 0
it 15 2 2 10.48876667022705 7.49488639831543 0
scandalous 15 3 10 17.626134872436523 7.276467800140381 0.21841859817504883
that 15 4 4 2.7046732902526855 6.664896011352539 0.6115717887878418
the 15 5 3 4.978359222412109 6.386198043823242 0.2786979675292969
silly 15 6 5 15.801412582397461 7.714036464691162 0
candy 15 7 5 15.469038963317871 7.745367527008057 0
store 15 8 5 12.12263298034668 8.402325630187988 0
is 15 9 2 6.329801082611084 7.531310558319092 0.8710150718688965
demanding 15 10 9 14.37132453918457 9.132256507873535 0
? 15 11 1 0.47895559668540955 2.099102258682251 7.033154249191284
who 16 0 3 6.539663791656494 6.537421226501465 0
did 16 1 3 2.630748748779297 6.669833183288574 0
they 16 2 4 6.734796524047852 5.788482189178467 0.8813509941101074
<unk> 16 3 5 4.417726516723633 5.1160197257995605 0.6724624633789062
that 16 4 4 3.724307060241699 5.0175862312316895 0.0984334945678711
it 16 5 2 12.531302452087402 1.2505677938461304 3.767018437385559
is 16 6 2 6.375969886779785 6.0711350440979 0
expensive 16 7 9 14.492881774902344 8.127622604370117 0
to 16 8 2 8.043471336364746 2.244365692138672 5.883256912231445
date 16 9 4 9.545456886291504 7.106177806854248 0
? 16 10 1 0.27266964316368103 1.7470402717590332 5.359137535095215
what 17 0 4 4.175975322723389 6.537421226501465 0
did 17 1 3 5.1812357902526855 4.863273620605469 1.674147605895996
they 17 2 4 7.366417407989502 5.153865337371826 0
not 17 3 3 12.144779205322266 3.7518868446350098 1.4019784927368164
like 17 4 4 8.904682159423828 5.486473083496094 0
that 17 5 4 5.209192276000977 1.8025277853012085 3.6839452981948853
it 17 6 2 10.361421585083008 4.367137908935547 0
is 17 7 2 6.492677211761475 5.941380023956299 0
circulating 17 8 11 18.065757751464844 7.558101654052734 0
that 17 9 4 5.059901237487793 4.6624884605407715 2.895613193511963
<unk> 17 10 5 6.173487663269043 2.536562442779541 2.1259260177612305
analysis 17 11 8 15.269079208374023 6.495929718017578 0
solved 17 12 6 16.457393646240234 5.882987976074219 0.6129417419433594
