word sentid sentpos wlen surp entropy entred
who 0 0 3 6.250255584716797 8.203985214233398 0
did 0 1 3 5.632861137390137 4.110126972198486 4.093858242034912
he 0 2 2 8.137035369873047 5.14906120300293 0
hear 0 3 4 5.73807430267334 5.4607977867126465 0
that 0 4 4 6.732683181762695 3.079225540161133 2.3815722465515137
it 0 5 2 8.133018493652344 4.7316575050354 0
is 0 6 2 8.071083068847656 3.0997471809387207 1.6319103240966797
important 0 7 9 9.944634437561035 5.976370811462402 0
to 0 8 2 5.370594501495361 5.044875144958496 0.9314956665039062
see 0 9 3 7.9976983070373535 4.492041110992432 0.5528340339660645
? 0 10 1 3.8169915676116943 1.8537019491195679 2.6383391618728638
what 1 0 4 3.4959356784820557 8.203985214233398 0
is 1 1 2 7.290895462036133 5.135031223297119 3.0689539909362793
it 1 2 2 8.439677238464355 7.9070143699646 0
important 1 3 9 9.510947227478027 7.328254222869873 0.5787601470947266
that 1 4 4 3.569838285446167 5.8761396408081055 1.4521145820617676
<unk> 1 5 5 5.426660060882568 4.282008171081543 1.5941314697265625
buys 1 6 4 18.482830047607422 4.019954681396484 0.2620534896850586
? 1 7 1 4.551844596862793 6.836438179016113 0
who 2 0 3 6.250255584716797 8.203985214233398 0
did 2 1 3 5.632861137390137 4.110126972198486 4.093858242034912
he 2 2 2 8.137035369873047 5.14906120300293 0
hear 2 3 4 5.73807430267334 5.4607977867126465 0
that 2 4 4 6.732683181762695 3.079225540161133 2.3815722465515137
it 2 5 2 8.133018493652344 4.7316575050354 0
is 2 6 2 8.071083068847656 3.0997471809387207 1.6319103240966797
important 2 7 9 9.944634437561035 5.976370811462402 0
that 2 8 4 3.749314069747925 5.044875144958496 0.9314956665039062
<unk> 2 9 5 6.951752662658691 3.2026591300964355 1.8422160148620605
knows 2 10 5 12.91259765625 2.6786015033721924 0.5240576267242432
? 2 11 1 3.765216827392578 3.3159918785095215 0
where 3 0 5 10.34819221496582 8.203985214233398 0
did 3 1 3 6.606009006500244 7.353593826293945 0.8503913879394531
<unk> 3 2 5 3.331941843032837 6.064296722412109 1.289297103881836
tell 3 3 4 10.718528747558594 6.892750263214111 0
you 3 4 3 6.503546237945557 5.229099750518799 1.6636505126953125
that 3 5 4 3.764321804046631 5.812533855438232 0
she 3 6 3 6.9438557624816895 4.848700523376465 0.9638333320617676
went 3 7 4 11.456445693969727 5.014824390411377 0
? 3 8 1 6.958221912384033 6.746976852416992 0
what 4 0 4 3.4959356784820557 8.203985214233398 0
did 4 1 3 4.721236705780029 5.135031223297119 3.0689539909362793
he 4 2 2 6.556400299072266 6.4730377197265625 0
