word sentid sentpos wlen surp entropy entred
who 0 0 3 7.367081165313721 6.333801746368408 0
did 0 1 3 3.5041823387145996 6.712063789367676 0
he 0 2 2 10.4812593460083 4.839781761169434 1.8722820281982422
hear 0 3 4 8.052483558654785 6.02688455581665 0
that 0 4 4 2.7039601802825928 4.5372185707092285 1.4896659851074219
it 0 5 2 9.016932487487793 5.1184868812561035 0
is 0 6 2 6.956645965576172 4.5452656745910645 0.5732212066650391
important 0 7 9 10.337203025817871 4.875417232513428 0
to 0 8 2 4.770308971405029 4.5682053565979 0.30721187591552734
see 0 9 3 8.36357307434082 5.590451717376709 0
? 0 10 1 5.153378963470459 4.766542434692383 0.8239092826843262
what 1 0 4 4.007656097412109 6.333801746368408 0
is 1 1 2 7.407496452331543 4.734867095947266 1.5989346504211426
it 1 2 2 7.654043197631836 6.136347770690918 0
important 1 3 9 13.434252738952637 5.581929683685303 0.5544180870056152
that 1 4 4 2.2097699642181396 5.14224100112915 0.43968868255615234
<unk> 1 5 5 3.956852912902832 5.8724212646484375 0
buys 1 6 4 19.451005935668945 5.336862564086914 0.5355587005615234
? 1 7 1 5.224275588989258 6.763266086578369 0
who 2 0 3 7.367081165313721 6.333801746368408 0
did 2 1 3 3.5041823387145996 6.712063789367676 0
he 2 2 2 10.4812593460083 4.839781761169434 1.8722820281982422
hear 2 3 4 8.052483558654785 6.02688455581665 0
that 2 4 4 2.7039601802825928 4.5372185707092285 1.4896659851074219
it 2 5 2 9.016932487487793 5.1184868812561035 0
is 2 6 2 6.956645965576172 4.5452656745910645 0.5732212066650391
important 2 7 9 10.337203025817871 4.875417232513428 0
that 2 8 4 1.178123950958252 4.5682053565979 0.30721187591552734
<unk> 2 9 5 4.45886754989624 5.849635124206543 0
knows 2 10 5 12.678462028503418 5.463685512542725 0.38594961166381836
? 2 11 1 5.305278778076172 4.087085247039795 1.3766002655029297
where 3 0 5 11.536760330200195 6.333801746368408 0
did 3 1 3 5.308706283569336 6.770979881286621 0
<unk> 3 2 5 1.8181054592132568 5.523088455200195 1.2478914260864258
tell 3 3 4 12.57094669342041 7.68186092376709 0
you 3 4 3 6.087713241577148 5.268259048461914 2.413601875305176
that 3 5 4 2.140002489089966 4.2843170166015625 0.9839420318603516
she 3 6 3 5.489807605743408 5.322841644287109 0
went 3 7 4 10.833857536315918 4.565023422241211 0.7578182220458984
? 3 8 1 5.48236608505249 6.810029983520508 0
what 4 0 4 4.007656097412109 6.333801746368408 0
did 4 1 3 3.5917141437530518 4.734867095947266 1.5989346504211426
he 4 2 2 8.404763221740723 4.209704875946045 0.5251622200012207
hear 4 3 4 9.591641426086426 5.061263084411621 0
that 4 4 4 3.124471426010132 3.5728914737701416 1.4883716106414795
<unk> 4 5 5 6.679134845733643 4.090726375579834 0
does 4 6 4 7.35272741317749 4.430674076080322 0
not 4 7 3 8.893177032470703 3.8300247192382812 0.600649356842041
do 4 8 2 4.5456366539001465 6.266164302825928 0
? 4 9 1 3.2683117389678955 4.367640972137451 1.8985233306884766
what 5 0 4 4.007656097412109 6.333801746368408 0
did 5 1 3 3.5917141437530518 4.734867095947266 1.5989346504211426
he 5 2 2 8.404763221740723 4.209704875946045 0.5251622200012207
hear 5 3 4 9.591641426086426 5.061263084411621 0
that 5 4 4 3.124471426010132 3.5728914737701416 1.4883716106414795
<unk> 5 5 5 6.679134845733643 4.090726375579834 0
thinks 5 6 6 11.264595031738281 4.430674076080322 0
their 5 7 5 12.055556297302246 3.970979928970337 0.45969414710998535
car 5 8 3 14.768832206726074 8.165698051452637 0
needed 5 9 6 12.152667999267578 7.240910530090332 0.9247875213623047
to 5 10 2 5.228703022003174 6.927591800689697 0.31331872940063477
do 5 11 2 3.0280864238739014 7.629448413848877 0
? 5 12 1 3.214010715484619 4.525746822357178 3.103701591491699
who 6 0 3 7.367081165313721 6.333801746368408 0
is 6 1 2 7.1032795906066895 6.712063789367676 0
it 6 2 2 10.792871475219727 7.639999866485596 0
probable 6 3 8 14.688528060913086 6.716543197631836 0.9234566688537598
that 6 4 4 0.5308213829994202 2.7360479831695557 3.9804952144622803
<unk> 6 5 5 3.68764591217041 6.301126480102539 0
helped 6 6 6 12.765983581542969 5.523258209228516 0.7778682708740234
? 6 7 1 8.675061225891113 7.354890823364258 0
what 7 0 4 4.007656097412109 6.333801746368408 0
did 7 1 3 3.5917141437530518 4.734867095947266 1.5989346504211426
they 7 2 4 7.389125823974609 4.209704875946045 0.5251622200012207
not 7 3 3 10.658844947814941 5.125376224517822 0
like 7 4 4 8.27320671081543 6.606591701507568 0
that 7 5 4 3.458775520324707 4.993556499481201 1.6130352020263672
you 7 6 3 9.87272834777832 4.739173889160156 0.2543826103210449
read 7 7 4 12.698417663574219 2.8217880725860596 1.9173858165740967
that 7 8 4 2.843263864517212 4.67779541015625 0
<unk> 7 9 5 6.592209339141846 4.366575717926025 0.3112196922302246
is 7 10 2 9.575637817382812 4.132942199707031 0.23363351821899414
trying 7 11 6 11.734614372253418 4.516903400421143 0
to 7 12 2 4.146479606628418 4.593541145324707 0
give 7 13 4 7.8759989738464355 6.584197044372559 0
you 7 14 3 3.9140238761901855 5.898636341094971 0.6855607032775879
? 7 15 1 7.304588794708252 4.195799350738525 1.7028369903564453
who 8 0 3 7.367081165313721 6.333801746368408 0
did 8 1 3 3.5041823387145996 6.712063789367676 0
they 8 2 4 9.57280445098877 4.839781761169434 1.8722820281982422
not 8 3 3 10.15968132019043 5.610190391540527 0
like 8 4 4 8.0867338180542 6.908616065979004 0
that 8 5 4 2.6812450885772705 5.812060356140137 1.0965557098388672
it 8 6 2 9.489922523498535 5.123739719390869 0.6883206367492676
is 8 7 2 7.137155055999756 4.6167120933532715 0.5070276260375977
probable 8 8 8 14.303142547607422 5.85723876953125 0
that 8 9 4 0.6586465835571289 3.056513786315918 2.800724983215332
<unk> 8 10 5 4.204741477966309 5.961642265319824 0
met 8 11 3 12.135828018188477 4.954591274261475 1.0070509910583496
? 8 12 1 5.408639907836914 5.7336602210998535 0
who 9 0 3 7.367081165313721 6.333801746368408 0
is 9 1 2 7.1032795906066895 6.712063789367676 0
it 9 2 2 10.792871475219727 7.639999866485596 0
probable 9 3 8 14.688528060913086 6.716543197631836 0.9234566688537598
that 9 4 4 0.5308213829994202 2.7360479831695557 3.9804952144622803
the 9 5 3 4.131545543670654 6.301126480102539 0
account 9 6 7 13.130966186523438 8.177842140197754 0
is 9 7 2 6.339710235595703 5.722988128662109 2.4548540115356445
waiting 9 8 7 15.319744110107422 4.957636833190918 0.7653512954711914
for 9 9 3 2.477353811264038 6.033874988555908 0
? 9 10 1 3.8247745037078857 6.501664638519287 0
who 10 0 3 7.367081165313721 6.333801746368408 0
did 10 1 3 3.5041823387145996 6.712063789367676 0
they 10 2 4 9.57280445098877 4.839781761169434 1.8722820281982422
not 10 3 3 10.15968132019043 5.610190391540527 0
like 10 4 4 8.0867338180542 6.908616065979004 0
that 10 5 4 2.6812450885772705 5.812060356140137 1.0965557098388672
it 10 6 2 9.489922523498535 5.123739719390869 0.6883206367492676
is 10 7 2 7.137155055999756 4.6167120933532715 0.5070276260375977
important 10 8 9 10.224788665771484 5.85723876953125 0
to 10 9 2 4.735276222229004 4.920961380004883 0.9362773895263672
fix 10 10 3 14.030046463012695 5.8142313957214355 0
? 10 11 1 3.648468255996704 6.343277454376221 0
who 11 0 3 7.367081165313721 6.333801746368408 0
did 11 1 3 3.5041823387145996 6.712063789367676 0
they 11 2 4 9.57280445098877 4.839781761169434 1.8722820281982422
not 11 3 3 10.15968132019043 5.610190391540527 0
like 11 4 4 8.0867338180542 6.908616065979004 0
that 11 5 4 2.6812450885772705 5.812060356140137 1.0965557098388672
it 11 6 2 9.489922523498535 5.123739719390869 0.6883206367492676
is 11 7 2 7.137155055999756 4.6167120933532715 0.5070276260375977
probable 11 8 8 14.303142547607422 5.85723876953125 0
that 11 9 4 0.6586465835571289 3.056513786315918 2.800724983215332
<unk> 11 10 5 4.204741477966309 5.961642265319824 0
called 11 11 6 12.775649070739746 4.954591274261475 1.0070509910583496
? 11 12 1 5.526366710662842 6.395172119140625 0
what 12 0 4 4.007656097412109 6.333801746368408 0
did 12 1 3 3.5917141437530518 4.734867095947266 1.5989346504211426
<unk> 12 2 5 1.1970324516296387 4.209704875946045 0.5251622200012207
buy 12 3 3 12.14575481414795 5.554147243499756 0
you 12 4 3 8.253745079040527 5.941965579986572 0
? 12 5 1 3.0224649906158447 4.858839988708496 1.0831255912780762
what 13 0 4 4.007656097412109 6.333801746368408 0
did 13 1 3 3.5917141437530518 4.734867095947266 1.5989346504211426
she 13 2 3 9.179264068603516 4.209704875946045 0.5251622200012207
say 13 3 3 9.106253623962402 5.9571990966796875 0
that 13 4 4 1.2670718431472778 3.760847330093384 2.1963517665863037
<unk> 13 5 5 5.232903003692627 5.035534858703613 0
thinks 13 6 6 9.904529571533203 5.019669532775879 0.015865325927734375
that 13 7 4 1.0302423238754272 3.777930974960327 1.2417385578155518
their 13 8 5 10.02402400970459 5.475515842437744 0
rumour 13 9 6 13.776500701904297 9.23064136505127 0
was 13 10 3 8.117618560791016 3.9979395866394043 5.232701778411865
? 13 11 1 8.636490821838379 3.4433984756469727 0.5545411109924316
what 14 0 4 4.007656097412109 6.333801746368408 0
is 14 1 2 7.407496452331543 4.734867095947266 1.5989346504211426
it 14 2 2 7.654043197631836 6.136347770690918 0
important 14 3 9 13.434252738952637 5.581929683685303 0.5544180870056152
that 14 4 4 2.2097699642181396 5.14224100112915 0.43968868255615234
<unk> 14 5 5 3.956852912902832 5.8724212646484375 0
eats 14 6 4 17.5177001953125 5.336862087249756 0.5355591773986816
for 14 7 3 8.0694580078125 7.185452938079834 0
<unk> 14 8 5 3.9899652004241943 7.361645698547363 0
? 14 9 1 3.404611110687256 6.9783735275268555 0.3832721710205078
who 15 0 3 7.367081165313721 6.333801746368408 0
is 15 1 2 7.1032795906066895 6.712063789367676 0
it 15 2 2 10.792871475219727 7.639999866485596 0
scandalous 15 3 10 18.5872802734375 6.716543197631836 0.9234566688537598
that 15 4 4 1.6454883813858032 5.077389240264893 1.6391539573669434
the 15 5 3 4.810206413269043 6.41339111328125 0
silly 15 6 5 15.664074897766113 8.37714958190918 0
candy 15 7 5 12.99920654296875 9.140556335449219 0
store 15 8 5 10.817366600036621 7.4786224365234375 1.6619338989257812
is 15 9 2 5.928213119506836 7.664557456970215 0
demanding 15 10 9 15.840373039245605 7.158746242523193 0.5058112144470215
? 15 11 1 4.485282897949219 5.880801677703857 1.277944564819336
who 16 0 3 7.367081165313721 6.333801746368408 0
did 16 1 3 3.5041823387145996 6.712063789367676 0
they 16 2 4 9.57280445098877 4.839781761169434 1.8722820281982422
<unk> 16 3 5 5.085344314575195 5.610190391540527 0
that 16 4 4 3.6490752696990967 5.55125617980957 0.05893421173095703
it 16 5 2 8.427793502807617 6.259369373321533 0
is 16 6 2 6.35689640045166 5.734489917755127 0.5248794555664062
expensive 16 7 9 14.379256248474121 6.540402412414551 0
to 16 8 2 4.892941951751709 5.436637878417969 1.103764533996582
date 16 9 4 10.53457260131836 6.278514385223389 0
? 16 10 1 3.522085666656494 6.189281940460205 0.0892324447631836
what 17 0 4 4.007656097412109 6.333801746368408 0
did 17 1 3 3.5917141437530518 4.734867095947266 1.5989346504211426
they 17 2 4 7.389125823974609 4.209704875946045 0.5251622200012207
not 17 3 3 10.658844947814941 5.125376224517822 0
like 17 4 4 8.27320671081543 6.606591701507568 0
that 17 5 4 3.458775520324707 4.993556499481201 1.6130352020263672
it 17 6 2 9.490155220031738 4.739173889160156 0.2543826103210449
is 17 7 2 7.039492607116699 4.002620220184326 0.7365536689758301
circulating 17 8 11 16.690940856933594 5.550188064575195 0
that 17 9 4 2.152219295501709 5.219220161437988 0.33096790313720703
<unk> 17 10 5 4.945006370544434 5.255477428436279 0
analysis 17 11 8 17.30572509765625 4.821506977081299 0.43397045135498047
solved 17 12 6 16.37929916381836 4.636483192443848 0.18502378463745117
? 17 13 1 4.0835652351379395 5.098252773284912 0
what 18 0 4 4.007656097412109 6.333801746368408 0
does 18 1 4 3.974363327026367 4.734867095947266 1.5989346504211426
<unk> 18 2 5 0.8087847232818604 3.5337069034576416 1.201160192489624
not 18 3 3 10.825693130493164 5.597381114959717 0
think 18 4 5 10.77544116973877 6.250251770019531 0
that 18 5 4 1.5475938320159912 4.40650749206543 1.8437442779541016
you 18 6 3 8.978364944458008 5.224441051483154 0
robbed 18 7 6 21.2531795501709 3.0306758880615234 2.193765163421631
? 18 8 1 4.979698657989502 5.8914666175842285 0
where 19 0 5 11.536760330200195 6.333801746368408 0
is 19 1 2 9.179746627807617 6.770979881286621 0
it 19 2 2 8.51645565032959 6.870733737945557 0
unrealistic 19 3 11 18.431564331054688 6.538094520568848 0.332639217376709
that 19 4 4 2.2325491905212402 5.532380104064941 1.0057144165039062
<unk> 19 5 5 3.9014580249786377 5.876070022583008 0
goes 19 6 4 11.474623680114746 5.353613376617432 0.5224566459655762
to 19 7 2 4.426584720611572 6.77343225479126 0
for 19 8 3 10.069526672363281 6.575791835784912 0.19764041900634766
<unk> 19 9 5 4.279680252075195 6.008508205413818 0.5672836303710938
? 19 10 1 3.4903101921081543 6.768469333648682 0
what 20 0 4 4.007656097412109 6.333801746368408 0
did 20 1 3 3.5917141437530518 4.734867095947266 1.5989346504211426
he 20 2 2 8.404763221740723 4.209704875946045 0.5251622200012207
hear 20 3 4 9.591641426086426 5.061263084411621 0
that 20 4 4 3.124471426010132 3.5728914737701416 1.4883716106414795
it 20 5 2 9.515698432922363 4.090726375579834 0
is 20 6 2 7.2252960205078125 4.078098773956299 0.012627601623535156
extravagant 20 7 11 20.15489387512207 5.1061601638793945 0
to 20 8 2 6.333371162414551 6.381680965423584 0
claim 20 9 5 6.256480693817139 5.624216556549072 0.7574644088745117
? 20 10 1 4.736478328704834 5.01333475112915 0.6108818054199219
what 21 0 4 4.007656097412109 6.333801746368408 0
is 21 1 2 7.407496452331543 4.734867095947266 1.5989346504211426
it 21 2 2 7.654043197631836 6.136347770690918 0
likely 21 3 6 12.091689109802246 5.581929683685303 0.5544180870056152
that 21 4 4 1.4916850328445435 4.402867317199707 1.1790623664855957
the 21 5 3 5.631950378417969 5.636381149291992 0
teacher 21 6 7 13.798628807067871 7.801578998565674 0
buys 21 7 4 19.322668075561523 5.22769832611084 2.573880672454834
? 21 8 1 5.84046745300293 6.795873641967773 0
what 22 0 4 4.007656097412109 6.333801746368408 0
did 22 1 3 3.5917141437530518 4.734867095947266 1.5989346504211426
