word sentid sentpos wlen surp entropy entred
who 0 0 3 6.250255584716797 8.203985214233398 0
was 0 1 3 10.165335655212402 4.110126972198486 4.093858242034912
that 0 2 4 5.130746841430664 8.537381172180176 0
quipped 0 3 7 24.61147689819336 4.378093719482422 4.159287452697754
about 0 4 5 7.716125965118408 3.2804205417633057 1.0976731777191162
<unk> 0 5 5 7.578368186950684 2.6776304244995117 0.602790117263794
analysis 0 6 8 15.654641151428223 6.041854381561279 0
funny 0 7 5 16.005847930908203 7.197394371032715 0
? 0 8 1 3.1868371963500977 6.981828212738037 0.21556615829467773
whom 1 0 4 13.123724937438965 8.203985214233398 0
were 1 1 4 9.16234016418457 8.007668495178223 0.19631671905517578
two 1 2 3 10.063800811767578 9.741615295410156 0
rumours 1 3 7 17.122343063354492 9.900816917419434 0
about 1 4 5 6.068747043609619 6.566250324249268 3.334566593170166
waiting 1 5 7 14.041791915893555 5.6970438957214355 0.869206428527832
? 1 6 1 5.166717052459717 7.599255084991455 0
who 2 0 3 6.250255584716797 8.203985214233398 0
does 2 1 4 8.319615364074707 4.110126972198486 4.093858242034912
that 2 2 4 1.6258584260940552 5.257411479949951 0
wears 2 3 5 21.801076889038086 2.1421403884887695 3.1152710914611816
extravagant 2 4 11 16.962587356567383 6.368992805480957 0
rings 2 5 5 12.774626731872559 9.163641929626465 0
make 2 6 4 10.138859748840332 6.69321870803833 2.4704232215881348
the 2 7 3 3.450971841812134 7.074718952178955 0
plan 2 8 4 13.695688247680664 8.252786636352539 0
unrealistic 2 9 11 17.526905059814453 7.642028331756592 0.6107583045959473
? 2 10 1 5.272544860839844 7.0590057373046875 0.5830225944519043
whom 3 0 4 13.123724937438965 8.203985214233398 0
loaned 3 1 6 18.989986419677734 8.007668495178223 0.19631671905517578
that 3 2 4 3.9276459217071533 7.030116081237793 0.9775524139404297
<unk> 3 3 5 4.204923629760742 7.141157150268555 0
heard 3 4 5 13.727392196655273 7.648538589477539 0
the 3 5 3 3.6702680587768555 6.244848728179932 1.4036898612976074
claim 3 6 5 8.943841934204102 7.282149314880371 0
a 3 7 1 6.937795162200928 7.120540618896484 0.16160869598388672
trumpet 3 8 7 20.54606056213379 4.058165073394775 3.062375545501709
to 3 9 2 6.578819274902344 7.399560928344727 0
you 3 10 3 7.100580215454102 6.869694232940674 0.5298666954040527
? 3 11 1 3.8518590927124023 4.930703639984131 1.938990592956543
who 4 0 3 6.250255584716797 8.203985214233398 0
is 4 1 2 9.123075485229492 4.110126972198486 4.093858242034912
that 4 2 4 4.394149303436279 7.933145523071289 0
is 4 3 2 9.23237133026123 4.724208831787109 3.2089366912841797
a 4 4 1 4.893965721130371 7.161347389221191 0
teacher 4 5 7 11.201958656311035 8.567863464355469 0
unlikely 4 6 8 20.307992935180664 4.696651458740234 3.8712120056152344
? 4 7 1 3.213393449783325 6.439675807952881 0
whom 5 0 4 13.123724937438965 8.203985214233398 0
does 5 1 4 7.182975769042969 8.007668495178223 0.19631671905517578
one 5 2 3 9.613605499267578 7.080962657928467 0.9267058372497559
story 5 3 5 11.73339557647705 6.144016265869141 0.9369463920593262
about 5 4 5 8.613665580749512 5.736674785614014 0.40734148025512695
claim 5 5 5 11.027706146240234 6.882252216339111 0
the 5 6 3 4.8702874183654785 7.346159934997559 0
possibility 5 7 11 9.652695655822754 7.297640800476074 0.048519134521484375
is 5 8 2 6.2115278244018555 6.501068592071533 0.796572208404541
unrealistic 5 9 11 15.630256652832031 6.872214317321777 0
? 5 10 1 4.938813209533691 6.301985263824463 0.5702290534973145
what 6 0 4 3.4959356784820557 8.203985214233398 0
was 6 1 3 8.881221771240234 5.135031223297119 3.0689539909362793
