word sentid sentpos wlen surp entropy entred
where 0 0 5 10.34819221496582 8.203985214233398 0
did 0 1 3 6.606009006500244 7.353593826293945 0.8503913879394531
<unk> 0 2 5 3.331941843032837 6.064296722412109 1.289297103881836
ask 0 3 3 12.303540229797363 6.892750263214111 0
who 0 4 3 5.872166156768799 5.670339107513428 1.2224111557006836
<unk> 0 5 5 7.230068683624268 2.5269737243652344 3.1433653831481934
took 0 6 4 11.90031909942627 5.3568830490112305 0
? 0 7 1 8.01539421081543 6.393136978149414 0
what 1 0 4 3.4959356784820557 8.203985214233398 0
did 1 1 3 4.721236705780029 5.135031223297119 3.0689539909362793
she 1 2 3 7.862058162689209 6.4730377197265625 0
say 1 3 3 8.159051895141602 6.702880859375 0
that 1 4 4 5.740636825561523 3.1742188930511475 3.5286619663238525
<unk> 1 5 5 5.041283130645752 4.940486431121826 0
asked 1 6 5 9.947153091430664 5.862161636352539 0
who 1 7 3 5.565054416656494 5.753186225891113 0.10897541046142578
will 1 8 4 8.541448593139648 4.284875392913818 1.468310832977295
read 1 9 4 10.056144714355469 6.660935401916504 0
? 1 10 1 5.078884601593018 6.251620292663574 0.4093151092529297
where 2 0 5 10.34819221496582 8.203985214233398 0
did 2 1 3 6.606009006500244 7.353593826293945 0.8503913879394531
<unk> 2 2 5 3.331941843032837 6.064296722412109 1.289297103881836
ask 2 3 3 12.303540229797363 6.892750263214111 0
how 2 4 3 7.128058910369873 5.670339107513428 1.2224111557006836
<unk> 2 5 5 7.403915882110596 2.164956569671631 3.505382537841797
went 2 6 4 12.917861938476562 5.637662410736084 0
? 2 7 1 7.459446907043457 6.52760648727417 0
what 3 0 4 3.4959356784820557 8.203985214233398 0
did 3 1 3 4.721236705780029 5.135031223297119 3.0689539909362793
will 3 2 4 10.956974983215332 6.4730377197265625 0
ask 3 3 3 9.695034980773926 7.605813026428223 0
why 3 4 3 7.663789749145508 6.068243980407715 1.5375690460205078
<unk> 3 5 5 6.0504631996154785 3.371203899383545 2.69704008102417
wears 3 6 5 17.377777099609375 6.11190938949585 0
? 3 7 1 3.8808560371398926 6.783905029296875 0
what 4 0 4 3.4959356784820557 8.203985214233398 0
did 4 1 3 4.721236705780029 5.135031223297119 3.0689539909362793
