word sentid sentpos wlen surp entropy entred
how 0 0 3 12.008362770080566 2.479736089706421 0
did 0 1 3 2.917188882827759 5.876909255981445 0
bill 0 2 4 14.529151916503906 6.916021347045898 0
claim 0 3 5 16.818941116333008 5.619833469390869 1.2961878776550293
that 0 4 4 4.341939449310303 6.597090721130371 0
today 0 5 5 11.555726051330566 7.4451584815979 0
is 0 6 2 6.92726469039917 5.127164840698242 2.317993640899658
his 0 7 3 8.340407371520996 6.977071285247803 0
last 0 8 4 8.966973304748535 9.989059448242188 0
day 0 9 3 6.274600028991699 9.082316398620605 0.906743049621582
? 0 10 1 2.1506505012512207 5.29071044921875 3.7916059494018555
how 1 0 3 12.008362770080566 2.479736089706421 0
does 1 1 4 9.440290451049805 5.876909255981445 0
<unk> 1 2 5 2.6344497203826904 7.101769924163818 0
claim 1 3 5 14.043952941894531 6.308897495269775 0.792872428894043
that 1 4 4 4.646388530731201 5.651643753051758 0.6572537422180176
he 1 5 2 5.666311740875244 6.957685470581055 0
has 1 6 3 6.323389530181885 7.226039409637451 0
a 1 7 1 6.5102338790893555 8.123628616333008 0
boat 1 8 4 10.505056381225586 10.413067817687988 0
and 1 9 3 6.710202217102051 4.081593990325928 6.3314738273620605
a 1 10 1 7.505958557128906 5.021750450134277 0
car 1 11 3 5.713887691497803 10.024283409118652 0
? 1 12 1 4.955255031585693 3.8804986476898193 6.143784761428833
how 2 0 3 12.008362770080566 2.479736089706421 0
did 2 1 3 2.917188882827759 5.876909255981445 0
she 2 2 3 6.335429668426514 6.916021347045898 0
think 2 3 5 9.871248245239258 6.988368511199951 0
that 2 4 4 4.602567195892334 4.949359893798828 2.039008617401123
she 2 5 3 4.239720344543457 7.017520427703857 0
bought 2 6 6 11.487302780151367 6.762551784515381 0.25496864318847656
beans 2 7 5 15.618200302124023 3.1706268787384033 3.5919249057769775
and 2 8 3 5.5760884284973145 3.6022908687591553 0
<unk> 2 9 5 6.529414176940918 2.815232276916504 0.7870585918426514
? 2 10 1 1.976112961769104 3.9893639087677 0
how 3 0 3 12.008362770080566 2.479736089706421 0
does 3 1 4 9.440290451049805 5.876909255981445 0
<unk> 3 2 5 2.6344497203826904 7.101769924163818 0
claim 3 3 5 14.043952941894531 6.308897495269775 0.792872428894043
that 3 4 4 4.646388530731201 5.651643753051758 0.6572537422180176
he 3 5 2 5.666311740875244 6.957685470581055 0
can 3 6 3 8.361837387084961 7.226039409637451 0
make 3 7 4 7.878469944000244 7.610279083251953 0
<unk> 3 8 5 4.516993999481201 7.789313793182373 0
and 3 9 3 5.227893352508545 6.9840407371521 0.8052730560302734
espresso 3 10 8 19.771211624145508 3.047621250152588 3.9364194869995117
? 3 11 1 1.340092658996582 3.5427119731903076 0
how 4 0 3 12.008362770080566 2.479736089706421 0
does 4 1 4 9.440290451049805 5.876909255981445 0
she 4 2 3 5.927821159362793 7.101769924163818 0
know 4 3 4 10.359155654907227 6.937669277191162 0.16410064697265625
that 4 4 4 5.575867652893066 4.059360504150391 2.8783087730407715
she 4 5 3 4.55165958404541 6.861628532409668 0
failed 4 6 6 12.899707794189453 6.931634902954102 0
the 4 7 3 8.024248123168945 5.361261367797852 1.57037353515625
test 4 8 4 11.047920227050781 10.883813858032227 0
? 4 9 1 2.703310012817383 7.981686115264893 2.902127742767334
how 5 0 3 12.008362770080566 2.479736089706421 0
did 5 1 3 2.917188882827759 5.876909255981445 0
he 5 2 2 5.8523149490356445 6.916021347045898 0
say 5 3 3 6.439621925354004 6.868082523345947 0.04793882369995117
that 5 4 4 5.434790134429932 3.678738594055176 3.1893439292907715
he 5 5 2 4.672091960906982 6.784560203552246 0
went 5 6 4 10.301323890686035 6.923027515411377 0
to 5 7 2 5.457411289215088 6.042635440826416 0.8803920745849609
school 5 8 6 8.29015064239502 7.488288879394531 0
? 5 9 1 2.61030650138855 7.261090278625488 0.22719860076904297
how 6 0 3 12.008362770080566 2.479736089706421 0
does 6 1 4 9.440290451049805 5.876909255981445 0
will 6 2 4 10.269049644470215 7.101769924163818 0
think 6 3 5 10.26408863067627 7.508120536804199 0
that 6 4 4 4.473515510559082 5.376768112182617 2.131352424621582
bill 6 5 4 12.81942081451416 6.466289043426514 0
