word sentid sentpos wlen surp entropy entred
what 0 0 4 7.212282180786133 1.9142959117889404 0
did 0 1 3 1.5737740993499756 6.3065571784973145 0
they 0 2 4 8.22746467590332 5.78507661819458 0.5214805603027344
not 0 3 3 6.622224807739258 6.028196811676025 0
like 0 4 4 7.635380268096924 5.241095542907715 0.7871012687683105
that 0 5 4 4.934279441833496 5.227011680603027 0.0140838623046875
<unk> 0 6 5 7.104236602783203 3.069242000579834 2.1577696800231934
likes 0 7 5 13.860882759094238 5.148152828216553 0
and 0 8 3 6.592142581939697 3.806666612625122 1.3414862155914307
accounts 0 9 8 16.189401626586914 4.208702087402344 0
? 0 10 1 1.4682984352111816 3.4278130531311035 0.7808890342712402
who 1 0 3 11.772502899169922 1.9142959117889404 0
did 1 1 3 3.237431287765503 8.158991813659668 0
she 1 2 3 8.800518035888672 5.355829238891602 2.8031625747680664
hear 1 3 4 10.367701530456543 5.9361724853515625 0
a 1 4 1 8.338829040527344 3.782238483428955 2.1539340019226074
rumour 1 5 6 11.282648086547852 9.663678169250488 0
about 1 6 5 6.388879776000977 4.788159370422363 4.875518798828125
and 1 7 3 4.163334846496582 5.985850811004639 0
wait 1 8 4 13.782116889953613 5.213953495025635 0.7718973159790039
for 1 9 3 4.451366901397705 2.409468412399292 2.8044850826263428
? 1 10 1 0.9260351657867432 3.9435174465179443 0
what 2 0 4 7.212282180786133 1.9142959117889404 0
did 2 1 3 1.5737740993499756 6.3065571784973145 0
he 2 2 2 7.046171188354492 5.78507661819458 0.5214805603027344
hear 2 3 4 9.619975090026855 5.817933559417725 0
that 2 4 4 6.399019718170166 3.4090194702148438 2.408914089202881
<unk> 2 5 5 6.6195268630981445 2.8834187984466553 0.5256006717681885
ate 2 6 3 16.731609344482422 4.148148059844971 0
accounts 2 7 8 19.644691467285156 0.8107699751853943 3.3373780846595764
and 2 8 3 4.38844633102417 3.517056941986084 0
? 2 9 1 3.065011501312256 3.376861095428467 0.1401958465576172
what 3 0 4 7.212282180786133 1.9142959117889404 0
did 3 1 3 1.5737740993499756 6.3065571784973145 0
will 3 2 4 8.966558456420898 5.78507661819458 0.5214805603027344
buy 3 3 3 8.08993911743164 6.835699558258057 0
? 3 4 1 1.3531970977783203 3.716571807861328 3.1191277503967285
what 4 0 4 7.212282180786133 1.9142959117889404 0
did 4 1 3 1.5737740993499756 6.3065571784973145 0
you 4 2 3 11.651372909545898 5.78507661819458 0.5214805603027344
read 4 3 4 10.587747573852539 7.944803714752197 0
about 4 4 5 10.075044631958008 3.000060796737671 4.944742918014526
and 4 5 3 4.848616600036621 4.571370601654053 0
announce 4 6 8 16.922584533691406 4.627455711364746 0
about 4 7 5 11.108296394348145 2.915377378463745 1.712078332901001
? 4 8 1 1.8963608741760254 4.667739391326904 0
what 5 0 4 7.212282180786133 1.9142959117889404 0
did 5 1 3 1.5737740993499756 6.3065571784973145 0
he 5 2 2 7.046171188354492 5.78507661819458 0.5214805603027344
announce 5 3 8 15.597384452819824 5.817933559417725 0
a 5 4 1 7.826537609100342 4.526075839996338 1.2918577194213867
plan 5 5 4 9.23607063293457 9.662359237670898 0
and 5 6 3 4.053081512451172 5.39109468460083 4.271264553070068
speak 5 7 5 15.104193687438965 5.790098190307617 0
? 5 8 1 1.2750097513198853 3.636909008026123 2.153189182281494
which 6 0 5 8.574853897094727 1.9142959117889404 0
subjects 6 1 8 15.327205657958984 7.7772321701049805 0
