word sentid sentpos wlen surp entropy entred
what 0 0 4 9.700845718383789 0.6466917395591736 0
did 0 1 3 1.3819060325622559 5.975442886352539 0
they 0 2 4 7.4250593185424805 6.0892767906188965 0
not 0 3 3 8.4876070022583 6.08656644821167 0.0027103424072265625
like 0 4 4 6.494056701660156 6.8570122718811035 0
that 0 5 4 5.293159484863281 4.770008087158203 2.0870041847229004
<unk> 0 6 5 6.507870197296143 3.9106240272521973 0.8593840599060059
likes 0 7 5 13.417313575744629 4.706113338470459 0
and 0 8 3 4.388485908508301 4.965150833129883 0
accounts 0 9 8 14.716108322143555 5.598451614379883 0
? 0 10 1 4.347446918487549 5.075308322906494 0.5231432914733887
who 1 0 3 11.471009254455566 0.6466917395591736 0
did 1 1 3 2.1848652362823486 6.755647659301758 0
she 1 2 3 9.030461311340332 7.058755397796631 0
hear 1 3 4 12.541055679321289 6.851276874542236 0.20747852325439453
a 1 4 1 9.731143951416016 4.651861667633057 2.1994152069091797
rumour 1 5 6 9.906423568725586 10.534178733825684 0
about 1 6 5 7.7562642097473145 4.170549392700195 6.363629341125488
and 1 7 3 4.397608280181885 5.323200702667236 0
wait 1 8 4 13.9542818069458 4.873828411102295 0.4493722915649414
for 1 9 3 2.643225908279419 4.295781135559082 0.5780472755432129
? 1 10 1 3.7051217555999756 3.2358078956604004 1.0599732398986816
what 2 0 4 9.700845718383789 0.6466917395591736 0
did 2 1 3 1.3819060325622559 5.975442886352539 0
he 2 2 2 7.522606372833252 6.0892767906188965 0
hear 2 3 4 13.123064994812012 6.382974147796631 0
that 2 4 4 6.459840297698975 5.137024402618408 1.2459497451782227
<unk> 2 5 5 5.036879539489746 5.309442043304443 0
ate 2 6 3 16.486494064331055 4.871983528137207 0.43745851516723633
accounts 2 7 8 18.294002532958984 3.7467644214630127 1.1252191066741943
and 2 8 3 3.5600125789642334 5.208048343658447 0
? 2 9 1 3.6847684383392334 5.692785263061523 0
what 3 0 4 9.700845718383789 0.6466917395591736 0
did 3 1 3 1.3819060325622559 5.975442886352539 0
will 3 2 4 7.802343845367432 6.0892767906188965 0
buy 3 3 3 7.228984832763672 6.7509307861328125 0
? 3 4 1 3.0397748947143555 3.578019857406616 3.1729109287261963
what 4 0 4 9.700845718383789 0.6466917395591736 0
did 4 1 3 1.3819060325622559 5.975442886352539 0
you 4 2 3 6.265182018280029 6.0892767906188965 0
read 4 3 4 12.835782051086426 6.417029857635498 0
about 4 4 5 9.23483657836914 5.8319783210754395 0.5850515365600586
and 4 5 3 4.674785137176514 5.843070030212402 0
announce 4 6 8 18.423742294311523 4.524143218994141 1.3189268112182617
about 4 7 5 9.196908950805664 4.826488971710205 0
? 4 8 1 2.6152727603912354 6.299389362335205 0
what 5 0 4 9.700845718383789 0.6466917395591736 0
did 5 1 3 1.3819060325622559 5.975442886352539 0
he 5 2 2 7.522606372833252 6.0892767906188965 0
announce 5 3 8 18.862804412841797 6.382974147796631 0
a 5 4 1 8.22828197479248 4.695478439331055 1.6874957084655762
plan 5 5 4 8.747239112854004 10.634098052978516 0
and 5 6 3 3.535646438598633 4.844655513763428 5.789442539215088
speak 5 7 5 14.619185447692871 4.962441921234131 0
? 5 8 1 2.580716371536255 5.2988386154174805 0
which 6 0 5 10.264494895935059 0.6466917395591736 0
subjects 6 1 8 15.881388664245605 7.913674354553223 0
did 6 2 3 4.197479248046875 6.6700239181518555 1.2436504364013672
she 6 3 3 9.35660171508789 6.6133198738098145 0.056704044342041016
not 6 4 3 7.472230911254883 7.2324957847595215 0
study 6 5 5 15.650923728942871 6.6027069091796875 0.629788875579834
for 6 6 3 7.131674766540527 5.179946422576904 1.4227604866027832
or 6 7 2 4.7957658767700195 6.939870834350586 0
fail 6 8 4 14.996576309204102 6.216508865356445 0.7233619689941406
the 6 9 3 8.195395469665527 5.296984672546387 0.9195241928100586
test 6 10 4 10.906291007995605 10.643709182739258 0
for 6 11 3 5.387935638427734 7.474062442779541 3.169646739959717
? 6 12 1 3.316953659057617 7.188452243804932 0.2856101989746094
what 7 0 4 9.700845718383789 0.6466917395591736 0
did 7 1 3 1.3819060325622559 5.975442886352539 0
<unk> 7 2 5 4.909774303436279 6.0892767906188965 0
order 7 3 5 10.048042297363281 6.050199031829834 0.0390777587890625
for 7 4 3 6.743924140930176 4.554495811462402 1.4957032203674316
me 7 5 2 5.406797885894775 4.816641807556152 0
and 7 6 3 4.339849948883057 4.690171718597412 0.12647008895874023
borrow 7 7 6 18.040895462036133 4.5118889808654785 0.1782827377319336
for 7 8 3 7.916158676147461 2.899548053741455 1.6123409271240234
you 7 9 3 4.280539035797119 4.767219066619873 0
? 7 10 1 3.176206588745117 5.226129531860352 0
what 8 0 4 9.700845718383789 0.6466917395591736 0
does 8 1 4 9.610556602478027 5.975442886352539 0
will 8 2 4 7.598334789276123 6.33898401260376 0
like 8 3 4 7.985875606536865 6.839052677154541 0
