word sentid sentpos wlen surp entropy entred
how 0 0 3 12.008362770080566 2.479736089706421 0
<unk> 0 1 5 3.269563674926758 5.876909255981445 0
did 0 2 3 4.898326396942139 7.794123649597168 0
she 0 3 3 6.709205627441406 7.01087760925293 0.7832460403442383
say 0 4 3 5.455895900726318 6.923976898193359 0.08690071105957031
that 0 5 4 5.320870876312256 4.223137855529785 2.700839042663574
he 0 6 2 4.818105220794678 6.8021063804626465 0
directed 0 7 8 14.331506729125977 6.976583003997803 0
the 0 8 3 6.901294231414795 6.111302375793457 0.8652806282043457
movie 0 9 5 9.306084632873535 10.412267684936523 0
that 0 10 4 6.550550937652588 5.263452529907227 5.148815155029297
i 0 11 1 5.8537211418151855 7.6162614822387695 0
saw 0 12 3 7.238639831542969 6.976682662963867 0.6395788192749023
yesterday 0 13 9 15.682148933410645 5.2922186851501465 1.6844639778137207
? 0 14 1 2.4157235622406006 5.6930975914001465 0
how 1 0 3 12.008362770080566 2.479736089706421 0
discreet 1 1 8 18.861013412475586 5.876909255981445 0
did 1 2 3 4.572702884674072 7.50576639175415 0
<unk> 1 3 5 3.4586048126220703 6.294495582580566 1.211270809173584
hire 1 4 4 17.306682586669922 5.934258460998535 0.36023712158203125
an 1 5 2 9.534859657287598 6.932859420776367 0
agent 1 6 5 8.731611251831055 9.243224143981934 0
? 1 7 1 3.431004285812378 6.958549976348877 2.2846741676330566
how 2 0 3 12.008362770080566 2.479736089706421 0
pretty 2 1 6 15.286194801330566 5.876909255981445 0
does 2 2 4 8.933300018310547 6.954366207122803 0
<unk> 2 3 5 2.8136613368988037 6.4006781578063965 0.5536880493164062
like 2 4 4 9.477834701538086 5.585867404937744 0.8148107528686523
the 2 5 3 7.400468349456787 6.386600971221924 0
woman 2 6 5 11.336228370666504 10.303720474243164 0
? 2 7 1 2.8316266536712646 6.916069030761719 3.3876514434814453
how 3 0 3 12.008362770080566 2.479736089706421 0
difficult 3 1 9 11.91510009765625 5.876909255981445 0
did 3 2 3 4.149106025695801 6.570580959320068 0
