word sentid sentpos wlen surp entropy entred
how 0 0 3 14.757794380187988 0.49982911348342896 0
<unk> 0 1 5 5.221978187561035 5.29693603515625 0
did 0 2 3 6.6575236320495605 4.85992956161499 0.43700647354125977
she 0 3 3 9.419900894165039 4.319931507110596 0.5399980545043945
say 0 4 3 6.841977596282959 5.2465362548828125 0
that 0 5 4 5.863989353179932 3.876138925552368 1.3703973293304443
he 0 6 2 5.501560688018799 3.2109639644622803 0.6651749610900879
directed 0 7 8 16.7047119140625 5.4226975440979 0
the 0 8 3 7.658423900604248 2.9518332481384277 2.4708642959594727
movie 0 9 5 7.61031436920166 10.32767391204834 0
that 0 10 4 5.4852614402771 3.5924906730651855 6.735183238983154
i 0 11 1 5.791486740112305 4.452687740325928 0
saw 0 12 3 9.307961463928223 6.847940444946289 0
yesterday 0 13 9 13.684744834899902 5.353281497955322 1.4946589469909668
? 0 14 1 2.0879104137420654 3.631985902786255 1.7212955951690674
how 1 0 3 14.757794380187988 0.49982911348342896 0
discreet 1 1 8 19.668298721313477 5.29693603515625 0
did 1 2 3 6.2576823234558105 5.306626319885254 0
<unk> 1 3 5 7.555963516235352 4.857930660247803 0.44869565963745117
hire 1 4 4 18.1136417388916 3.419996500015259 1.437934160232544
an 1 5 2 11.094352722167969 3.561434507369995 0
agent 1 6 5 6.7760419845581055 8.734908103942871 0
? 1 7 1 0.9589763879776001 2.8759853839874268 5.858922719955444
how 2 0 3 14.757794380187988 0.49982911348342896 0
pretty 2 1 6 13.071850776672363 5.29693603515625 0
does 2 2 4 8.909330368041992 7.226329326629639 0
<unk> 2 3 5 7.722129821777344 3.2833950519561768 3.942934274673462
like 2 4 4 9.299066543579102 4.716534614562988 0
the 2 5 3 6.869633674621582 5.594952583312988 0
woman 2 6 5 11.974846839904785 10.02190113067627 0
? 2 7 1 4.391373634338379 4.709190368652344 5.312710762023926
how 3 0 3 14.757794380187988 0.49982911348342896 0
difficult 3 1 9 12.937867164611816 5.29693603515625 0
did 3 2 3 7.898232460021973 3.942200183868408 1.3547358512878418
he 3 3 2 8.006659507751465 4.545053482055664 0
hear 3 4 4 10.203357696533203 6.268709182739258 0
that 3 5 4 6.877370357513428 3.226425886154175 3.042283296585083
you 3 6 3 6.682084560394287 4.790463924407959 0
failed 3 7 6 15.387419700622559 4.8993449211120605 0
the 3 8 3 9.518196105957031 3.3849191665649414 1.5144257545471191
test 3 9 4 9.822419166564941 10.754098892211914 0
? 3 10 1 5.153955459594727 5.9076361656188965 4.846462726593018
whose 4 0 5 16.16835594177246 0.49982911348342896 0
did 4 1 3 8.810354232788086 10.263326644897461 0
she 4 2 3 7.346592426300049 5.725106239318848 4.538220405578613
say 4 3 3 6.166037559509277 6.217221736907959 0
that 4 4 4 6.224097728729248 3.160814046859741 3.0564076900482178
<unk> 4 5 5 6.248195648193359 3.8120603561401367 0
eats 4 6 4 18.433313369750977 4.272186756134033 0
<unk> 4 7 5 8.768909454345703 2.261003017425537 2.011183738708496
? 4 8 1 3.3820831775665283 2.5886423587799072 0
how 5 0 3 14.757794380187988 0.49982911348342896 0
<unk> 5 1 5 5.221978187561035 5.29693603515625 0
did 5 2 3 6.6575236320495605 4.85992956161499 0.43700647354125977
she 5 3 3 9.419900894165039 4.319931507110596 0.5399980545043945
say 5 4 3 6.841977596282959 5.2465362548828125 0
that 5 5 4 5.863989353179932 3.876138925552368 1.3703973293304443
he 5 6 2 5.501560688018799 3.2109639644622803 0.6651749610900879
announced 5 7 9 16.016469955444336 5.4226975440979 0
a 5 8 1 7.395108222961426 5.121575832366943 0.30112171173095703
plan 5 9 4 8.936729431152344 9.182701110839844 0
? 5 10 1 7.020296096801758 2.9847919940948486 6.197909116744995
how 6 0 3 14.757794380187988 0.49982911348342896 0
pretty 6 1 6 13.071850776672363 5.29693603515625 0
did 6 2 3 6.360358715057373 7.226329326629639 0
he 6 3 2 8.160513877868652 4.746697902679443 2.4796314239501953
hear 6 4 4 10.053468704223633 6.7353901863098145 0
that 6 5 4 5.847525119781494 4.393912315368652 2.341477870941162
she 6 6 3 5.725121021270752 4.39632511138916 0
read 6 7 4 12.562098503112793 4.302574157714844 0.0937509536743164
the 6 8 3 8.255343437194824 4.791752338409424 0
<unk> 6 9 5 4.950399398803711 8.52611255645752 0
comics 6 10 6 17.297733306884766 3.9047112464904785 4.621401309967041
? 6 11 1 6.337291717529297 3.1088602542877197 0.7958509922027588
what 7 0 4 10.867414474487305 0.49982911348342896 0
kind 7 1 4 11.833685874938965 5.589601516723633 0
does 7 2 4 10.857367515563965 4.624573707580566 0.9650278091430664
<unk> 7 3 5 8.139043807983398 2.9888782501220703 1.635695457458496
speak 7 4 5 15.69607925415039 4.219282627105713 0
a 7 5 1 9.780817985534668 3.198099136352539 1.0211834907531738
language 7 6 8 12.536896705627441 8.311614990234375 0
? 7 7 1 6.628900051116943 2.1441221237182617 6.167492866516113
how 8 0 3 14.757794380187988 0.49982911348342896 0
expensive 8 1 9 14.624470710754395 5.29693603515625 0
did 8 2 3 8.303777694702148 4.716124057769775 0.5808119773864746
they 8 3 4 5.762492656707764 4.559932708740234 0.15619134902954102
not 8 4 3 9.066951751708984 6.070943832397461 0
like 8 5 4 6.041081428527832 8.238940238952637 0
that 8 6 4 4.868213653564453 7.725689888000488 0.5132503509521484
she 8 7 3 10.159971237182617 6.096001148223877 1.6296887397766113
wears 8 8 5 15.641270637512207 6.607213497161865 0
rings 8 9 5 15.405451774597168 5.126350402832031 1.480863094329834
? 8 10 1 5.554036617279053 3.9227826595306396 1.2035677433013916
how 9 0 3 14.757794380187988 0.49982911348342896 0
pretty 9 1 6 13.071850776672363 5.29693603515625 0
did 9 2 3 6.360358715057373 7.226329326629639 0
she 9 3 3 10.194738388061523 4.746697902679443 2.4796314239501953
say 9 4 3 5.985133171081543 5.983885765075684 0
that 9 5 4 5.928398609161377 3.4581170082092285 2.525768756866455
<unk> 9 6 5 7.097234725952148 3.547121524810791 0
likes 9 7 5 14.061344146728516 4.2958664894104 0
the 9 8 3 8.88381576538086 4.0233283042907715 0.2725381851196289
woman 9 9 5 8.485848426818848 10.751884460449219 0
? 9 10 1 2.79274845123291 4.8734211921691895 5.878463268280029
how 10 0 3 14.757794380187988 0.49982911348342896 0
blue 10 1 4 12.802393913269043 5.29693603515625 0
did 10 2 3 6.659348011016846 4.394193172454834 0.902742862701416
he 10 3 2 9.065773963928223 3.9051895141601562 0.48900365829467773
hear 10 4 4 10.44668960571289 5.412263870239258 0
that 10 5 4 6.732460975646973 2.984005928039551 2.428257942199707
<unk> 10 6 5 5.631905555725098 5.165719509124756 0
loaned 10 7 6 19.609800338745117 3.918400764465332 1.2473187446594238
a 10 8 1 7.748973369598389 4.509024143218994 0
trumpet 10 9 7 15.657808303833008 8.554232597351074 0
to 10 10 2 6.668532371520996 3.759702444076538 4.794530153274536
you 10 11 3 4.183319568634033 5.7840166091918945 0
? 10 12 1 3.2407302856445312 3.6709039211273193 2.113112688064575
how 11 0 3 14.757794380187988 0.49982911348342896 0
