word sentid sentpos wlen surp entropy entred
where 0 0 5 14.017094612121582 0.49982911348342896 0
did 0 1 3 6.905278205871582 7.252944469451904 0
<unk> 0 2 5 6.899654388427734 5.945364475250244 1.3075799942016602
ask 0 3 3 11.664620399475098 5.836669445037842 0.10869503021240234
who 0 4 3 9.536661148071289 3.477252244949341 2.359417200088501
<unk> 0 5 5 6.154199600219727 5.298911094665527 0
took 0 6 4 12.283346176147461 5.169797897338867 0.12911319732666016
? 0 7 1 6.983235836029053 6.163731575012207 0
what 1 0 4 10.867414474487305 0.49982911348342896 0
did 1 1 3 4.839321613311768 5.589601516723633 0
she 1 2 3 9.38113784790039 4.260863780975342 1.328737735748291
say 1 3 3 5.3891801834106445 5.565271377563477 0
that 1 4 4 6.481959342956543 2.9992380142211914 2.566033363342285
<unk> 1 5 5 6.337005615234375 4.543745040893555 0
asked 1 6 5 12.746319770812988 3.285405158996582 1.2583398818969727
who 1 7 3 10.307126998901367 3.1845145225524902 0.1008906364440918
will 1 8 4 9.828120231628418 4.843871593475342 0
read 1 9 4 10.713485717773438 5.084773540496826 0
? 1 10 1 1.8735581636428833 4.584130764007568 0.5006427764892578
where 2 0 5 14.017094612121582 0.49982911348342896 0
did 2 1 3 6.905278205871582 7.252944469451904 0
<unk> 2 2 5 6.899654388427734 5.945364475250244 1.3075799942016602
ask 2 3 3 11.664620399475098 5.836669445037842 0.10869503021240234
how 2 4 3 8.675164222717285 3.477252244949341 2.359417200088501
<unk> 2 5 5 6.183391094207764 4.046835899353027 0
went 2 6 4 12.571486473083496 4.618688106536865 0
? 2 7 1 1.841210126876831 5.368527889251709 0
what 3 0 4 10.867414474487305 0.49982911348342896 0
did 3 1 3 4.839321613311768 5.589601516723633 0
will 3 2 4 10.267653465270996 4.260863780975342 1.328737735748291
ask 3 3 3 9.27734375 6.554435729980469 0
why 3 4 3 8.826095581054688 3.1783523559570312 3.3760833740234375
<unk> 3 5 5 6.488386631011963 3.872777223587036 0
wears 3 6 5 17.11733055114746 3.6361100673675537 0.23666715621948242
? 3 7 1 3.6005399227142334 4.256807804107666 0
what 4 0 4 10.867414474487305 0.49982911348342896 0
did 4 1 3 4.839321613311768 5.589601516723633 0
she 4 2 3 9.38113784790039 4.260863780975342 1.328737735748291
say 4 3 3 5.3891801834106445 5.565271377563477 0
that 4 4 4 6.481959342956543 2.9992380142211914 2.566033363342285
will 4 5 4 9.687516212463379 4.543745040893555 0
thinks 4 6 6 14.817712783813477 4.604276657104492 0
he 4 7 2 6.023482322692871 4.836836814880371 0
knows 4 8 5 11.940585136413574 5.287498950958252 0
where 4 9 5 8.740421295166016 4.191393852233887 1.0961050987243652
<unk> 4 10 5 6.678442001342773 4.634613990783691 0
announced 4 11 9 16.67841148376465 4.935265064239502 0
? 4 12 1 3.915952682495117 4.787877082824707 0.14738798141479492
what 5 0 4 10.867414474487305 0.49982911348342896 0
did 5 1 3 4.839321613311768 5.589601516723633 0
they 5 2 4 5.428574562072754 4.260863780975342 1.328737735748291
not 5 3 3 9.855171203613281 6.111971855163574 0
like 5 4 4 6.067306995391846 7.456923961639404 0
that 5 5 4 5.213629245758057 6.1859869956970215 1.2709369659423828
<unk> 5 6 5 6.8376078605651855 4.716897487640381 1.4690895080566406
wonders 5 7 7 19.200660705566406 4.504806995391846 0.21209049224853516
how 5 8 3 8.493693351745605 3.219270944595337 1.2855360507965088
<unk> 5 9 5 5.166424751281738 6.608712673187256 0
was 5 10 3 9.016407012939453 5.00175142288208 1.6069612503051758
? 5 11 1 4.9978485107421875 8.683828353881836 0
what 6 0 4 10.867414474487305 0.49982911348342896 0
did 6 1 3 4.839321613311768 5.589601516723633 0
<unk> 6 2 5 7.386775970458984 4.260863780975342 1.328737735748291
ask 6 3 3 12.747875213623047 3.9497015476226807 0.31116223335266113
when 6 4 4 11.28834342956543 2.8600308895111084 1.0896706581115723
<unk> 6 5 5 7.898993968963623 3.0358383655548096 0
ate 6 6 3 18.53986930847168 3.638247489929199 0
? 6 7 1 3.281829833984375 3.0416343212127686 0.5966131687164307
what 7 0 4 10.867414474487305 0.49982911348342896 0
does 7 1 4 10.810117721557617 5.589601516723633 0
<unk> 7 2 5 7.419971466064453 3.390622138977051 2.198979377746582
wonder 7 3 6 15.825716972351074 3.445281982421875 0
where 7 4 5 10.854385375976562 1.997066855430603 1.448215126991272
<unk> 7 5 5 5.890568733215332 4.809703350067139 0
buys 7 6 4 20.420114517211914 3.7340199947357178 1.075683355331421
? 7 7 1 3.271549701690674 5.645448207855225 0
what 8 0 4 10.867414474487305 0.49982911348342896 0
does 8 1 4 10.810117721557617 5.589601516723633 0
will 8 2 4 11.243555068969727 3.390622138977051 2.198979377746582
wonder 8 3 6 14.39309310913086 6.144069671630859 0
