word sentid sentpos wlen surp entropy entred
where 0 0 5 14.942193031311035 0.6466917395591736 0
did 0 1 3 6.473392486572266 7.645083427429199 0
<unk> 0 2 5 4.573245525360107 7.9942522048950195 0
ask 0 3 3 14.475841522216797 6.887186527252197 1.1070656776428223
who 0 4 3 9.894575119018555 5.488400936126709 1.3987855911254883
<unk> 0 5 5 5.295322895050049 6.565578937530518 0
took 0 6 4 14.478140830993652 4.9092326164245605 1.656346321105957
? 0 7 1 5.2124457359313965 5.920113563537598 0
what 1 0 4 9.700845718383789 0.6466917395591736 0
did 1 1 3 1.3819060325622559 5.975442886352539 0
she 1 2 3 9.02776050567627 6.0892767906188965 0
say 1 3 3 8.733386039733887 6.728046417236328 0
that 1 4 4 6.188294887542725 4.033153057098389 2.6948933601379395
<unk> 1 5 5 4.773120403289795 5.4831671714782715 0
asked 1 6 5 13.42204761505127 5.110529899597168 0.3726372718811035
who 1 7 3 9.833627700805664 5.329204559326172 0
will 1 8 4 8.145683288574219 6.006473541259766 0
read 1 9 4 9.064151763916016 7.828583717346191 0
? 1 10 1 2.6125259399414062 5.923187732696533 1.9053959846496582
where 2 0 5 14.942193031311035 0.6466917395591736 0
did 2 1 3 6.473392486572266 7.645083427429199 0
<unk> 2 2 5 4.573245525360107 7.9942522048950195 0
ask 2 3 3 14.475841522216797 6.887186527252197 1.1070656776428223
how 2 4 3 9.734611511230469 5.488400936126709 1.3987855911254883
<unk> 2 5 5 4.675560474395752 6.718127250671387 0
went 2 6 4 12.0905179977417 5.291842460632324 1.4262847900390625
? 2 7 1 4.362374782562256 4.598666191101074 0.69317626953125
what 3 0 4 9.700845718383789 0.6466917395591736 0
did 3 1 3 1.3819060325622559 5.975442886352539 0
will 3 2 4 7.802343845367432 6.0892767906188965 0
ask 3 3 3 14.013300895690918 6.7509307861328125 0
why 3 4 3 7.566407680511475 5.515813827514648 1.235116958618164
<unk> 3 5 5 5.562185287475586 5.233494281768799 0.2823195457458496
wears 3 6 5 19.749969482421875 4.658180236816406 0.5753140449523926
? 3 7 1 5.700051784515381 5.144097805023193 0
what 4 0 4 9.700845718383789 0.6466917395591736 0
did 4 1 3 1.3819060325622559 5.975442886352539 0
she 4 2 3 9.02776050567627 6.0892767906188965 0
say 4 3 3 8.733386039733887 6.728046417236328 0
that 4 4 4 6.188294887542725 4.033153057098389 2.6948933601379395
will 4 5 4 8.904352188110352 5.4831671714782715 0
thinks 4 6 6 16.23853874206543 7.609803676605225 0
he 4 7 2 5.353944778442383 5.465361595153809 2.144442081451416
knows 4 8 5 11.882617950439453 6.468526840209961 0
where 4 9 5 8.428572654724121 4.594205856323242 1.8743209838867188
<unk> 4 10 5 4.338067531585693 6.462094783782959 0
announced 4 11 9 15.254688262939453 5.792636871337891 0.6694579124450684
? 4 12 1 2.198587656021118 5.453581809997559 0.33905506134033203
what 5 0 4 9.700845718383789 0.6466917395591736 0
did 5 1 3 1.3819060325622559 5.975442886352539 0
they 5 2 4 7.4250593185424805 6.0892767906188965 0
not 5 3 3 8.4876070022583 6.08656644821167 0.0027103424072265625
like 5 4 4 6.494056701660156 6.8570122718811035 0
that 5 5 4 5.293159484863281 4.770008087158203 2.0870041847229004
<unk> 5 6 5 6.507870197296143 3.9106240272521973 0.8593840599060059
wonders 5 7 7 19.633886337280273 4.706113338470459 0
how 5 8 3 7.372109889984131 2.956266164779663 1.749847173690796
<unk> 5 9 5 4.192867755889893 6.406577110290527 0
was 5 10 3 8.884726524353027 5.399627208709717 1.0069499015808105
? 5 11 1 6.024777889251709 7.54952335357666 0
what 6 0 4 9.700845718383789 0.6466917395591736 0
did 6 1 3 1.3819060325622559 5.975442886352539 0
<unk> 6 2 5 4.909774303436279 6.0892767906188965 0
ask 6 3 3 14.014193534851074 6.050199031829834 0.0390777587890625
when 6 4 4 9.981186866760254 5.312148571014404 0.7380504608154297
<unk> 6 5 5 5.276650428771973 4.44725227355957 0.864896297454834
ate 6 6 3 16.68659019470215 4.38620662689209 0.06104564666748047
? 6 7 1 3.530191421508789 3.314055919647217 1.072150707244873
what 7 0 4 9.700845718383789 0.6466917395591736 0
does 7 1 4 9.610556602478027 5.975442886352539 0
<unk> 7 2 5 4.4753923416137695 6.33898401260376 0
wonder 7 3 6 15.566923141479492 5.898207187652588 0.4407768249511719
where 7 4 5 8.32143783569336 4.953392028808594 0.9448151588439941
<unk> 7 5 5 4.52662992477417 6.239095687866211 0
buys 7 6 4 18.494977951049805 5.32305383682251 0.9160418510437012
? 7 7 1 2.901463270187378 4.390032768249512 0.933021068572998
what 8 0 4 9.700845718383789 0.6466917395591736 0
does 8 1 4 9.610556602478027 5.975442886352539 0
will 8 2 4 7.598334789276123 6.33898401260376 0
wonder 8 3 6 15.119189262390137 6.839052677154541 0
how 8 4 3 8.923868179321289 4.08455753326416 2.754495143890381
he 8 5 2 6.55589485168457 7.012986660003662 0
will 8 6 4 7.612827301025391 6.626626491546631 0.38636016845703125
read 8 7 4 11.9597806930542 7.753028869628906 0
? 8 8 1 3.0867116451263428 5.6290283203125 2.1240005493164062
how 9 0 3 14.433338165283203 0.6466917395591736 0
did 9 1 3 2.0088913440704346 6.775509834289551 0
he 9 2 2 7.164493083953857 7.15015172958374 0
hear 9 3 4 13.115753173828125 6.287955284118652 0.8621964454650879
that 9 4 4 6.36303186416626 5.106006145477295 1.1819491386413574
<unk> 9 5 5 5.09874153137207 5.375563144683838 0
thinks 9 6 6 15.875909805297852 5.18881893157959 0.18674421310424805
he 9 7 2 4.833474636077881 4.95271110534668 0.23610782623291016
knows 9 8 5 11.51032543182373 6.376785755157471 0
where 9 9 5 8.37658405303955 4.40755558013916 1.9692301750183105
<unk> 9 10 5 4.199586391448975 6.189141273498535 0
gets 9 11 4 11.984492301940918 5.141644477844238 1.0474967956542969
? 9 12 1 3.81715726852417 5.638880252838135 0
whom 10 0 4 13.633649826049805 0.6466917395591736 0
does 10 1 4 12.576923370361328 6.621865272521973 0
<unk> 10 2 5 4.674081802368164 7.237221717834473 0
wonder 10 3 6 17.53250503540039 5.0750908851623535 2.162130832672119
how 10 4 3 11.310796737670898 4.570016384124756 0.5050745010375977
<unk> 10 5 5 4.197038173675537 6.921228408813477 0
is 10 6 2 6.617363452911377 5.448877811431885 1.4723505973815918
waiting 10 7 7 12.729506492614746 7.25111722946167 0
for 10 8 3 1.7397663593292236 4.409727573394775 2.8413896560668945
