word sentid sentpos wlen surp entropy entred
what 0 0 4 10.988752365112305 5.261046886444092 0
did 0 1 3 1.6464436054229736 5.42261266708374 0
they 0 2 4 7.473564624786377 6.236262798309326 0
not 0 3 3 7.385052680969238 6.444073677062988 0
like 0 4 4 4.653357028961182 7.086729526519775 0
that 0 5 4 4.043039321899414 5.820886135101318 1.265843391418457
<unk> 0 6 5 6.014726161956787 5.115530014038086 0.7053561210632324
likes 0 7 5 14.77540111541748 3.0602359771728516 2.0552940368652344
and 0 8 3 7.113996505737305 5.647701740264893 0
accounts 0 9 8 15.254228591918945 6.590880870819092 0
? 0 10 1 5.6285929679870605 4.463001251220703 2.1278796195983887
who 1 0 3 9.938471794128418 5.261046886444092 0
did 1 1 3 1.5364110469818115 6.153697490692139 0
she 1 2 3 7.132359981536865 7.668814659118652 0
hear 1 3 4 12.478692054748535 7.4816670417785645 0.1871476173400879
a 1 4 1 6.402845859527588 1.1969918012619019 6.284675240516663
rumour 1 5 6 13.701560974121094 5.784282684326172 0
about 1 6 5 6.288835048675537 4.34891414642334 1.435368537902832
and 1 7 3 10.4964017868042 3.1281983852386475 1.2207157611846924
wait 1 8 4 13.583470344543457 5.274273872375488 0
for 1 9 3 3.454158067703247 5.418135166168213 0
? 1 10 1 6.955124378204346 6.395033836364746 0
what 2 0 4 10.988752365112305 5.261046886444092 0
did 2 1 3 1.6464436054229736 5.42261266708374 0
he 2 2 2 6.248838901519775 6.236262798309326 0
hear 2 3 4 12.582971572875977 5.564422607421875 0.6718401908874512
that 2 4 4 4.058193206787109 4.261656284332275 1.3027663230895996
<unk> 2 5 5 5.500609397888184 6.63279914855957 0
ate 2 6 3 16.49683952331543 4.411561489105225 2.2212376594543457
accounts 2 7 8 17.72713851928711 6.176731586456299 0
and 2 8 3 5.686573505401611 6.228946208953857 0
? 2 9 1 9.032613754272461 8.74177074432373 0
what 3 0 4 10.988752365112305 5.261046886444092 0
did 3 1 3 1.6464436054229736 5.42261266708374 0
will 3 2 4 9.905580520629883 6.236262798309326 0
buy 3 3 3 9.43217658996582 7.2977681159973145 0
? 3 4 1 5.853924751281738 6.554803371429443 0.7429647445678711
what 4 0 4 10.988752365112305 5.261046886444092 0
did 4 1 3 1.6464436054229736 5.42261266708374 0
you 4 2 3 6.203449249267578 6.236262798309326 0
read 4 3 4 12.336687088012695 6.4652934074401855 0
about 4 4 5 7.435403823852539 5.421710014343262 1.0435833930969238
and 4 5 3 9.081965446472168 4.79112434387207 0.6305856704711914
announce 4 6 8 17.425277709960938 6.139469146728516 0
about 4 7 5 10.067495346069336 2.6584250926971436 3.481044054031372
? 4 8 1 6.846874713897705 4.506365776062012 0
what 5 0 4 10.988752365112305 5.261046886444092 0
did 5 1 3 1.6464436054229736 5.42261266708374 0
he 5 2 2 6.248838901519775 6.236262798309326 0
announce 5 3 8 19.39080238342285 5.564422607421875 0.6718401908874512
a 5 4 1 4.020211219787598 5.073243618011475 0.4911789894104004
plan 5 5 4 8.617043495178223 8.298103332519531 0
and 5 6 3 7.356826305389404 5.368766784667969 2.9293365478515625
speak 5 7 5 12.324463844299316 8.47862720489502 0
? 5 8 1 6.024186134338379 6.32539176940918 2.15323543548584
which 6 0 5 8.556745529174805 5.261046886444092 0
subjects 6 1 8 16.462961196899414 5.893253326416016 0
did 6 2 3 2.516087770462036 6.459083557128906 0
she 6 3 3 6.392382621765137 6.826815605163574 0
not 6 4 3 6.27753210067749 7.172612190246582 0
study 6 5 5 14.33426284790039 7.5181379318237305 0
for 6 6 3 8.298311233520508 3.9592785835266113 3.558859348297119
or 6 7 2 9.66622257232666 6.5181756019592285 0
fail 6 8 4 15.242208480834961 6.956244945526123 0
the 6 9 3 3.9202096462249756 6.822268962860107 0.13397598266601562
test 6 10 4 11.595460891723633 5.533599376678467 1.2886695861816406
for 6 11 3 5.140781402587891 8.321747779846191 0
? 6 12 1 7.552490234375 7.617993354797363 0.7037544250488281
what 7 0 4 10.988752365112305 5.261046886444092 0
did 7 1 3 1.6464436054229736 5.42261266708374 0
<unk> 7 2 5 5.306266784667969 6.236262798309326 0
order 7 3 5 12.257295608520508 5.645503997802734 0.5907588005065918
for 7 4 3 6.127194404602051 6.0659003257751465 0
me 7 5 2 8.156487464904785 6.783285140991211 0
and 7 6 3 6.982713222503662 5.690462589263916 1.092822551727295
borrow 7 7 6 17.384531021118164 6.895367622375488 0
for 7 8 3 7.292051315307617 7.254894733428955 0
you 7 9 3 6.516609191894531 7.193593502044678 0.061301231384277344
? 7 10 1 1.8635975122451782 5.423825740814209 1.7697677612304688
what 8 0 4 10.988752365112305 5.261046886444092 0
does 8 1 4 4.675114631652832 5.42261266708374 0
will 8 2 4 10.499070167541504 6.0750932693481445 0
like 8 3 4 5.172717571258545 7.083029747009277 0
and 8 4 3 8.431198120117188 6.873673915863037 0.20935583114624023
girls 8 5 5 14.399675369262695 7.553445816040039 0
? 8 6 1 3.5566904544830322 5.612486362457275 1.9409594535827637
what 9 0 4 10.988752365112305 5.261046886444092 0
did 9 1 3 1.6464436054229736 5.42261266708374 0
they 9 2 4 7.473564624786377 6.236262798309326 0
not 9 3 3 7.385052680969238 6.444073677062988 0
like 9 4 4 4.653357028961182 7.086729526519775 0
that 9 5 4 4.043039321899414 5.820886135101318 1.265843391418457
will 9 6 4 8.521878242492676 5.115530014038086 0.7053561210632324
bought 9 7 6 16.657161712646484 7.293577671051025 0
