word sentid sentpos wlen surp entropy entred
how 0 0 3 5.986213207244873 4.599884510040283 0
<unk> 0 1 5 6.5616135597229 5.457302570343018 0
did 0 2 3 2.4589972496032715 5.963891983032227 0
she 0 3 3 8.732551574707031 2.5959293842315674 3.367962598800659
say 0 4 3 6.725995063781738 7.138746738433838 0
that 0 5 4 4.958790302276611 5.148512363433838 1.990234375
he 0 6 2 6.090937614440918 6.889486789703369 0
directed 0 7 8 13.96684455871582 7.517949104309082 0
the 0 8 3 3.994790554046631 3.3827853202819824 4.1351637840271
movie 0 9 5 9.079001426696777 9.59692668914795 0
that 0 10 4 5.685546875 7.323773384094238 2.273153305053711
i 0 11 1 6.440545082092285 6.89890718460083 0.4248661994934082
saw 0 12 3 7.982723236083984 6.855739593505859 0.0431675910949707
yesterday 0 13 9 16.11174774169922 4.312557697296143 2.543181896209717
? 0 14 1 2.82486629486084 6.736120223999023 0
how 1 0 3 5.986213207244873 4.599884510040283 0
discreet 1 1 8 19.82987403869629 5.457302570343018 0
did 1 2 3 2.7232773303985596 5.701794624328613 0
<unk> 1 3 5 7.550719261169434 1.9963933229446411 3.705401301383972
hire 1 4 4 15.743732452392578 5.174564361572266 0
an 1 5 2 8.276548385620117 6.624005317687988 0
agent 1 6 5 8.542179107666016 8.306249618530273 0
? 1 7 1 1.9112669229507446 5.870146751403809 2.436102867126465
how 2 0 3 5.986213207244873 4.599884510040283 0
pretty 2 1 6 12.795421600341797 5.457302570343018 0
does 2 2 4 5.897960186004639 2.869016170501709 2.5882863998413086
<unk> 2 3 5 7.043330192565918 2.3018832206726074 0.5671329498291016
like 2 4 4 6.8395676612854 4.200303554534912 0
the 2 5 3 3.5914924144744873 6.142246723175049 0
woman 2 6 5 11.114990234375 6.916531562805176 0
? 2 7 1 2.9050278663635254 7.247068881988525 0
how 3 0 3 5.986213207244873 4.599884510040283 0
difficult 3 1 9 13.257867813110352 5.457302570343018 0
did 3 2 3 3.941148281097412 5.231274127960205 0.2260284423828125
he 3 3 2 8.270852088928223 1.926862359046936 3.304411768913269
hear 3 4 4 12.482170104980469 6.76259183883667 0
that 3 5 4 6.595868110656738 4.969240188598633 1.793351650238037
you 3 6 3 6.729806423187256 7.000288963317871 0
failed 3 7 6 13.096415519714355 6.544557571411133 0.4557313919067383
the 3 8 3 4.865821838378906 6.037937164306641 0.5066204071044922
test 3 9 4 11.114850044250488 8.187877655029297 0
? 3 10 1 2.7516064643859863 7.96379280090332 0.22408485412597656
whose 4 0 5 7.627721786499023 4.599884510040283 0
did 4 1 3 4.455016613006592 6.245561122894287 0
she 4 2 3 6.433218955993652 6.972818374633789 0
say 4 3 3 7.4379496574401855 7.452323913574219 0
that 4 4 4 3.7792327404022217 5.658542633056641 1.7937812805175781
<unk> 4 5 5 5.044677257537842 7.051819801330566 0
eats 4 6 4 17.153045654296875 6.299741744995117 0.7520780563354492
<unk> 4 7 5 5.038622856140137 5.019261837005615 1.280479907989502
? 4 8 1 4.171248435974121 6.604189395904541 0
how 5 0 3 5.986213207244873 4.599884510040283 0
<unk> 5 1 5 6.5616135597229 5.457302570343018 0
did 5 2 3 2.4589972496032715 5.963891983032227 0
she 5 3 3 8.732551574707031 2.5959293842315674 3.367962598800659
say 5 4 3 6.725995063781738 7.138746738433838 0
that 5 5 4 4.958790302276611 5.148512363433838 1.990234375
he 5 6 2 6.090937614440918 6.889486789703369 0
announced 5 7 9 15.463467597961426 7.517949104309082 0
a 5 8 1 5.072020053863525 3.7593464851379395 3.7586026191711426
plan 5 9 4 9.25639820098877 8.166423797607422 0
? 5 10 1 2.9868953227996826 5.396938800811768 2.7694849967956543
how 6 0 3 5.986213207244873 4.599884510040283 0
pretty 6 1 6 12.795421600341797 5.457302570343018 0
did 6 2 3 2.963073253631592 2.869016170501709 2.5882863998413086
he 6 3 2 8.273736000061035 1.9971927404403687 0.8718234300613403
hear 6 4 4 13.037591934204102 6.756711483001709 0
that 6 5 4 6.6363067626953125 3.3381643295288086 3.4185471534729004
she 6 6 3 5.449358940124512 6.799063205718994 0
read 6 7 4 10.278589248657227 7.800106525421143 0
the 6 8 3 4.52584171295166 2.894679546356201 4.905426979064941
<unk> 6 9 5 4.120934009552002 9.709275245666504 0
comics 6 10 6 13.359733581542969 6.309598922729492 3.3996763229370117
? 6 11 1 2.2865352630615234 7.24929141998291 0
what 7 0 4 11.530156135559082 4.599884510040283 0
kind 7 1 4 11.220048904418945 6.164839744567871 0
does 7 2 4 7.120849609375 4.760261535644531 1.4045782089233398
<unk> 7 3 5 8.537353515625 1.93904447555542 2.8212170600891113
speak 7 4 5 13.601150512695312 5.205085277557373 0
a 7 5 1 6.742039203643799 5.475345611572266 0
language 7 6 8 12.520927429199219 4.716728210449219 0.7586174011230469
? 7 7 1 1.6788305044174194 6.032047271728516 0
how 8 0 3 5.986213207244873 4.599884510040283 0
expensive 8 1 9 14.392779350280762 5.457302570343018 0
did 8 2 3 3.969788074493408 7.077725410461426 0
they 8 3 4 8.364335060119629 3.6413769721984863 3.4363484382629395
not 8 4 3 7.220068454742432 5.710515022277832 0
like 8 5 4 5.53559684753418 3.564880132675171 2.145634889602661
that 8 6 4 5.914857864379883 6.362334251403809 0
she 8 7 3 5.614277362823486 7.342144966125488 0
wears 8 8 5 11.875646591186523 7.162993431091309 0.1791515350341797
rings 8 9 5 12.973311424255371 6.838082313537598 0.32491111755371094
? 8 10 1 3.536693811416626 6.62766170501709 0.2104206085205078
how 9 0 3 5.986213207244873 4.599884510040283 0
pretty 9 1 6 12.795421600341797 5.457302570343018 0
did 9 2 3 2.963073253631592 2.869016170501709 2.5882863998413086
she 9 3 3 8.728826522827148 1.9971927404403687 0.8718234300613403
say 9 4 3 7.132952690124512 6.966777801513672 0
that 9 5 4 4.7218918800354 5.29894495010376 1.667832851409912
<unk> 9 6 5 5.303500652313232 6.882548809051514 0
likes 9 7 5 15.18779468536377 5.949125289916992 0.9334235191345215
the 9 8 3 3.3002750873565674 6.233302593231201 0
woman 9 9 5 8.8444242477417 8.85377311706543 0
? 9 10 1 2.4434945583343506 6.934877872467041 1.9188952445983887
how 10 0 3 5.986213207244873 4.599884510040283 0
blue 10 1 4 13.83340072631836 5.457302570343018 0
did 10 2 3 3.6702356338500977 6.085141658782959 0
