word sentid sentpos wlen surp entropy entred
how 0 0 3 7.181870460510254 5.261046886444092 0
<unk> 0 1 5 5.970129489898682 6.358382225036621 0
did 0 2 3 4.040165424346924 6.666928291320801 0
she 0 3 3 7.493092060089111 6.324996471405029 0.3419318199157715
say 0 4 3 7.475237846374512 5.565835952758789 0.7591605186462402
that 0 5 4 3.053508758544922 4.778894424438477 0.7869415283203125
he 0 6 2 4.509268283843994 7.125186920166016 0
directed 0 7 8 14.622633934020996 6.69460916519165 0.43057775497436523
the 0 8 3 2.4053685665130615 4.956324577331543 1.7382845878601074
movie 0 9 5 10.777840614318848 9.17680549621582 0
that 0 10 4 4.502188682556152 6.759403228759766 2.4174022674560547
i 0 11 1 7.519507884979248 7.513967037200928 0
saw 0 12 3 9.989714622497559 6.656803131103516 0.8571639060974121
yesterday 0 13 9 17.09610939025879 3.2618160247802734 3.394987106323242
? 0 14 1 5.421395778656006 3.6020565032958984 0
how 1 0 3 7.181870460510254 5.261046886444092 0
discreet 1 1 8 19.510950088500977 6.358382225036621 0
did 1 2 3 3.606844663619995 6.450561046600342 0
<unk> 1 3 5 5.963498592376709 5.967329025268555 0.4832320213317871
hire 1 4 4 17.45313262939453 5.700894832611084 0.2664341926574707
an 1 5 2 8.07995319366455 6.354137897491455 0
agent 1 6 5 10.458391189575195 8.751070022583008 0
? 1 7 1 2.58950138092041 6.401768207550049 2.349301815032959
how 2 0 3 7.181870460510254 5.261046886444092 0
pretty 2 1 6 15.04478931427002 6.358382225036621 0
does 2 2 4 5.277199745178223 5.839177131652832 0.5192050933837891
<unk> 2 3 5 6.43344783782959 5.921966552734375 0
like 2 4 4 7.1152167320251465 5.1630377769470215 0.7589287757873535
the 2 5 3 4.012967586517334 6.003749847412109 0
woman 2 6 5 11.84424877166748 5.523895263671875 0.4798545837402344
? 2 7 1 2.1984171867370605 6.042525291442871 0
how 3 0 3 7.181870460510254 5.261046886444092 0
difficult 3 1 9 11.867499351501465 6.358382225036621 0
did 3 2 3 3.4228403568267822 6.693474769592285 0
he 3 3 2 5.719221115112305 7.148077964782715 0
hear 3 4 4 13.260436058044434 5.312252521514893 1.8358254432678223
that 3 5 4 3.4022793769836426 5.3838934898376465 0
you 3 6 3 6.040238380432129 7.656518936157227 0
failed 3 7 6 13.368449211120605 5.780092716217041 1.8764262199401855
the 3 8 3 4.376859664916992 6.099390029907227 0
test 3 9 4 11.545862197875977 9.087026596069336 0
? 3 10 1 3.0344650745391846 8.089353561401367 0.9976730346679688
whose 4 0 5 8.059889793395996 5.261046886444092 0
did 4 1 3 2.9407694339752197 6.438520908355713 0
she 4 2 3 7.5008015632629395 7.5894975662231445 0
say 4 3 3 8.784424781799316 6.78908109664917 0.8004164695739746
that 4 4 4 3.2064831256866455 5.366791725158691 1.4222893714904785
<unk> 4 5 5 5.791952610015869 6.240630149841309 0
eats 4 6 4 17.312015533447266 3.3770527839660645 2.863577365875244
<unk> 4 7 5 5.054138660430908 6.710091590881348 0
? 4 8 1 5.491231918334961 6.182840347290039 0.5272512435913086
how 5 0 3 7.181870460510254 5.261046886444092 0
<unk> 5 1 5 5.970129489898682 6.358382225036621 0
