word sentid sentpos wlen surp entropy entred
who 0 0 3 9.254493713378906 6.695094585418701 0
did 0 1 3 2.1539742946624756 7.2265706062316895 0
he 0 2 2 8.670388221740723 4.52665376663208 2.6999168395996094
hear 0 3 4 11.863157272338867 7.09427547454834 0
that 0 4 4 5.568809986114502 2.590298652648926 4.503976821899414
it 0 5 2 7.706831455230713 6.358684539794922 0
is 0 6 2 4.165987968444824 5.618951797485352 0.7397327423095703
important 0 7 9 10.764801025390625 6.264795303344727 0
to 0 8 2 5.829031944274902 2.8657803535461426 3.399014949798584
see 0 9 3 6.150442123413086 5.902721881866455 0
? 0 10 1 6.587082862854004 3.2539632320404053 2.64875864982605
what 1 0 4 9.690652847290039 6.695094585418701 0
is 1 1 2 3.6699931621551514 6.851375102996826 0
it 1 2 2 8.704870223999023 6.278723239898682 0.5726518630981445
important 1 3 9 13.475358009338379 4.827141761779785 1.4515814781188965
that 1 4 4 4.672391891479492 4.904558181762695 0
<unk> 1 5 5 5.4691925048828125 7.040839195251465 0
buys 1 6 4 19.054035186767578 6.08286190032959 0.957977294921875
? 1 7 1 4.584600448608398 6.672774791717529 0
who 2 0 3 9.254493713378906 6.695094585418701 0
did 2 1 3 2.1539742946624756 7.2265706062316895 0
he 2 2 2 8.670388221740723 4.52665376663208 2.6999168395996094
hear 2 3 4 11.863157272338867 7.09427547454834 0
that 2 4 4 5.568809986114502 2.590298652648926 4.503976821899414
it 2 5 2 7.706831455230713 6.358684539794922 0
is 2 6 2 4.165987968444824 5.618951797485352 0.7397327423095703
important 2 7 9 10.764801025390625 6.264795303344727 0
that 2 8 4 4.494758129119873 2.8657803535461426 3.399014949798584
<unk> 2 9 5 5.393873691558838 6.477723121643066 0
knows 2 10 5 12.6514253616333 5.462593078613281 1.0151300430297852
? 2 11 1 7.099126815795898 1.3596642017364502 4.102928876876831
where 3 0 5 10.131148338317871 6.695094585418701 0
did 3 1 3 3.5877439975738525 7.610418796539307 0
<unk> 3 2 5 6.720527648925781 5.290180683135986 2.3202381134033203
tell 3 3 4 10.811664581298828 5.2779765129089355 0.012204170227050781
you 3 4 3 4.7202324867248535 2.8699092864990234 2.408067226409912
that 3 5 4 6.9765849113464355 3.0585594177246094 0
she 3 6 3 5.474711894989014 5.631704807281494 0
went 3 7 4 10.080068588256836 5.58475399017334 0.0469508171081543
? 3 8 1 2.591298818588257 6.426508903503418 0
what 4 0 4 9.690652847290039 6.695094585418701 0
did 4 1 3 2.704263687133789 6.851375102996826 0
he 4 2 2 10.06795883178711 1.3923090696334839 5.459066033363342
hear 4 3 4 11.706204414367676 5.327535629272461 0
that 4 4 4 5.292039394378662 3.57141375541687 1.7561218738555908
<unk> 4 5 5 6.549605846405029 5.748923301696777 0
does 4 6 4 6.294158458709717 5.474239826202393 0.27468347549438477
not 4 7 3 8.85738754272461 2.7242472171783447 2.749992609024048
do 4 8 2 7.948376178741455 4.08906364440918 0
? 4 9 1 1.273742437362671 4.342081546783447 0
what 5 0 4 9.690652847290039 6.695094585418701 0
did 5 1 3 2.704263687133789 6.851375102996826 0
he 5 2 2 10.06795883178711 1.3923090696334839 5.459066033363342
hear 5 3 4 11.706204414367676 5.327535629272461 0
that 5 4 4 5.292039394378662 3.57141375541687 1.7561218738555908
<unk> 5 5 5 6.549605846405029 5.748923301696777 0
thinks 5 6 6 14.050793647766113 5.474239826202393 0.27468347549438477
their 5 7 5 11.970977783203125 3.71026873588562 1.7639710903167725
car 5 8 3 14.743053436279297 5.788101673126221 0
needed 5 9 6 14.26297378540039 5.79220724105835 0
to 5 10 2 3.975708246231079 5.985030651092529 0
do 5 11 2 4.565004348754883 7.112181663513184 0
? 5 12 1 2.275683879852295 5.6035847663879395 1.5085968971252441
who 6 0 3 9.254493713378906 6.695094585418701 0
is 6 1 2 4.941441535949707 7.2265706062316895 0
it 6 2 2 8.96470832824707 7.048029899597168 0.17854070663452148
probable 6 3 8 16.546239852905273 6.281583309173584 0.766446590423584
that 6 4 4 3.560551643371582 4.2944560050964355 1.9871273040771484
<unk> 6 5 5 4.928836345672607 6.914830207824707 0
helped 6 6 6 14.17119026184082 5.2481560707092285 1.6666741371154785
? 6 7 1 4.653409481048584 6.842167377471924 0
what 7 0 4 9.690652847290039 6.695094585418701 0
did 7 1 3 2.704263687133789 6.851375102996826 0
they 7 2 4 11.067641258239746 1.3923090696334839 5.459066033363342
not 7 3 3 7.617446422576904 5.454006195068359 0
like 7 4 4 4.202414035797119 4.38570499420166 1.0683012008666992
that 7 5 4 6.186553001403809 3.9158453941345215 0.46985960006713867
you 7 6 3 5.229799270629883 6.482067584991455 0
read 7 7 4 11.091207504272461 4.247391223907471 2.2346763610839844
that 7 8 4 5.00041389465332 3.6599245071411133 0.5874667167663574
<unk> 7 9 5 6.277306079864502 5.87989616394043 0
is 7 10 2 6.491753578186035 5.1455864906311035 0.7343096733093262
trying 7 11 6 12.889281272888184 6.06878662109375 0
to 7 12 2 3.348445415496826 5.031108379364014 1.0376782417297363
give 7 13 4 7.263510704040527 7.394951820373535 0
you 7 14 3 2.769554376602173 6.069918632507324 1.325033187866211
? 7 15 1 2.0706567764282227 4.95868444442749 1.111234188079834
who 8 0 3 9.254493713378906 6.695094585418701 0
did 8 1 3 2.1539742946624756 7.2265706062316895 0
they 8 2 4 9.892500877380371 4.52665376663208 2.6999168395996094
not 8 3 3 7.405625820159912 6.887028217315674 0
like 8 4 4 4.008305549621582 6.539822578430176 0.34720563888549805
that 8 5 4 6.094806671142578 4.08436393737793 2.455458641052246
it 8 6 2 8.1668062210083 6.672095775604248 0
is 8 7 2 4.410978317260742 5.2279276847839355 1.4441680908203125
probable 8 8 8 14.486881256103516 6.802888870239258 0
that 8 9 4 3.0757033824920654 3.6029016971588135 3.1999871730804443
<unk> 8 10 5 5.086225986480713 6.640777111053467 0
met 8 11 3 15.810457229614258 4.784446716308594 1.856330394744873
? 8 12 1 4.770967483520508 5.7426605224609375 0
who 9 0 3 9.254493713378906 6.695094585418701 0
is 9 1 2 4.941441535949707 7.2265706062316895 0
it 9 2 2 8.96470832824707 7.048029899597168 0.17854070663452148
probable 9 3 8 16.546239852905273 6.281583309173584 0.766446590423584
that 9 4 4 3.560551643371582 4.2944560050964355 1.9871273040771484
the 9 5 3 3.7817602157592773 6.914830207824707 0
account 9 6 7 13.25610065460205 5.6113739013671875 1.3034563064575195
is 9 7 2 3.9617581367492676 6.4733757972717285 0
waiting 9 8 7 13.81771183013916 6.230201721191406 0.24317407608032227
for 9 9 3 2.6750078201293945 5.70450496673584 0.5256967544555664
? 9 10 1 4.91115665435791 6.502872467041016 0
who 10 0 3 9.254493713378906 6.695094585418701 0
did 10 1 3 2.1539742946624756 7.2265706062316895 0
they 10 2 4 9.892500877380371 4.52665376663208 2.6999168395996094
not 10 3 3 7.405625820159912 6.887028217315674 0
like 10 4 4 4.008305549621582 6.539822578430176 0.34720563888549805
that 10 5 4 6.094806671142578 4.08436393737793 2.455458641052246
it 10 6 2 8.1668062210083 6.672095775604248 0
is 10 7 2 4.410978317260742 5.2279276847839355 1.4441680908203125
important 10 8 9 11.438344955444336 6.802888870239258 0
to 10 9 2 5.539870738983154 3.1377522945404053 3.6651365756988525
fix 10 10 3 14.353468894958496 6.21719217300415 0
? 10 11 1 5.9820237159729 4.932107448577881 1.2850847244262695
who 11 0 3 9.254493713378906 6.695094585418701 0
did 11 1 3 2.1539742946624756 7.2265706062316895 0
they 11 2 4 9.892500877380371 4.52665376663208 2.6999168395996094
not 11 3 3 7.405625820159912 6.887028217315674 0
like 11 4 4 4.008305549621582 6.539822578430176 0.34720563888549805
that 11 5 4 6.094806671142578 4.08436393737793 2.455458641052246
it 11 6 2 8.1668062210083 6.672095775604248 0
is 11 7 2 4.410978317260742 5.2279276847839355 1.4441680908203125
probable 11 8 8 14.486881256103516 6.802888870239258 0
that 11 9 4 3.0757033824920654 3.6029016971588135 3.1999871730804443
<unk> 11 10 5 5.086225986480713 6.640777111053467 0
called 11 11 6 13.906699180603027 4.784446716308594 1.856330394744873
? 11 12 1 6.403568267822266 5.536013603210449 0
what 12 0 4 9.690652847290039 6.695094585418701 0
did 12 1 3 2.704263687133789 6.851375102996826 0
<unk> 12 2 5 10.845048904418945 1.3923090696334839 5.459066033363342
buy 12 3 3 9.958982467651367 5.066710472106934 0
you 12 4 3 6.312788486480713 6.492013931274414 0
? 12 5 1 1.4589641094207764 5.086970806121826 1.405043125152588
what 13 0 4 9.690652847290039 6.695094585418701 0
did 13 1 3 2.704263687133789 6.851375102996826 0
she 13 2 3 9.146890640258789 1.3923090696334839 5.459066033363342
say 13 3 3 3.625075101852417 5.382125377655029 0
that 13 4 4 4.662745952606201 4.753042221069336 0.6290831565856934
<unk> 13 5 5 6.295463562011719 6.043468952178955 0
thinks 13 6 6 13.899266242980957 5.423225402832031 0.6202435493469238
that 13 7 4 3.926389694213867 3.4203555583953857 2.0028698444366455
their 13 8 5 11.143945693969727 6.438987731933594 0
rumour 13 9 6 16.89715576171875 7.326037883758545 0
was 13 10 3 7.477066516876221 5.294851303100586 2.031186580657959
? 13 11 1 5.4802775382995605 5.306607246398926 0
what 14 0 4 9.690652847290039 6.695094585418701 0
is 14 1 2 3.6699931621551514 6.851375102996826 0
it 14 2 2 8.704870223999023 6.278723239898682 0.5726518630981445
important 14 3 9 13.475358009338379 4.827141761779785 1.4515814781188965
that 14 4 4 4.672391891479492 4.904558181762695 0
<unk> 14 5 5 5.4691925048828125 7.040839195251465 0
eats 14 6 4 19.1471004486084 6.082861423492432 0.9579777717590332
for 14 7 3 5.975823402404785 7.052881717681885 0
<unk> 14 8 5 5.5023393630981445 6.898583889007568 0.1542978286743164
? 14 9 1 5.118617057800293 3.811518669128418 3.0870652198791504
who 15 0 3 9.254493713378906 6.695094585418701 0
is 15 1 2 4.941441535949707 7.2265706062316895 0
it 15 2 2 8.96470832824707 7.048029899597168 0.17854070663452148
scandalous 15 3 10 19.627201080322266 6.281583309173584 0.766446590423584
that 15 4 4 5.003155708312988 4.953400135040283 1.3281831741333008
the 15 5 3 4.427102565765381 6.852729797363281 0
silly 15 6 5 14.081945419311523 5.382704734802246 1.4700250625610352
candy 15 7 5 15.305215835571289 7.07689094543457 0
store 15 8 5 12.123555183410645 6.962037086486816 0.1148538589477539
is 15 9 2 4.11320161819458 6.804046630859375 0.1579904556274414
demanding 15 10 9 16.26432228088379 6.967930316925049 0
? 15 11 1 5.42748498916626 5.110306739807129 1.85762357711792
who 16 0 3 9.254493713378906 6.695094585418701 0
did 16 1 3 2.1539742946624756 7.2265706062316895 0
they 16 2 4 9.892500877380371 4.52665376663208 2.6999168395996094
<unk> 16 3 5 5.534276008605957 6.887028217315674 0
that 16 4 4 6.071621894836426 4.933906555175781 1.9531216621398926
it 16 5 2 8.678675651550293 6.952687740325928 0
is 16 6 2 4.234072685241699 5.785786151885986 1.1669015884399414
expensive 16 7 9 14.980060577392578 6.421487331390381 0
to 16 8 2 4.649507522583008 5.25941801071167 1.162069320678711
date 16 9 4 12.5883207321167 7.2978515625 0
? 16 10 1 4.733588695526123 5.56299352645874 1.7348580360412598
what 17 0 4 9.690652847290039 6.695094585418701 0
did 17 1 3 2.704263687133789 6.851375102996826 0
they 17 2 4 11.067641258239746 1.3923090696334839 5.459066033363342
not 17 3 3 7.617446422576904 5.454006195068359 0
like 17 4 4 4.202414035797119 4.38570499420166 1.0683012008666992
that 17 5 4 6.186553001403809 3.9158453941345215 0.46985960006713867
it 17 6 2 8.691544532775879 6.482067584991455 0
is 17 7 2 3.9812140464782715 5.033740997314453 1.448326587677002
circulating 17 8 11 20.92535400390625 6.402405738830566 0
that 17 9 4 4.609643459320068 5.08816385269165 1.314241886138916
<unk> 17 10 5 6.41256046295166 6.339266777038574 0
analysis 17 11 8 16.824405670166016 5.391613483428955 0.9476532936096191
solved 17 12 6 18.50237464904785 5.838181018829346 0
? 17 13 1 4.7259063720703125 4.9778151512146 0.8603658676147461
what 18 0 4 9.690652847290039 6.695094585418701 0
does 18 1 4 5.788998126983643 6.851375102996826 0
<unk> 18 2 5 9.887857437133789 1.647657871246338 5.203717231750488
not 18 3 3 10.36619758605957 4.401400566101074 0
think 18 4 5 10.896275520324707 4.927527904510498 0
that 18 5 4 4.003988265991211 5.082603931427002 0
you 18 6 3 4.752325057983398 6.578404426574707 0
robbed 18 7 6 20.758487701416016 4.362273693084717 2.2161307334899902
? 18 8 1 3.290194511413574 4.614638805389404 0
where 19 0 5 10.131148338317871 6.695094585418701 0
is 19 1 2 6.740662097930908 7.610418796539307 0
it 19 2 2 8.160577774047852 6.660039901733398 0.9503788948059082
unrealistic 19 3 11 17.53615379333496 7.150794506072998 0
that 19 4 4 3.9959447383880615 5.552639961242676 1.5981545448303223
<unk> 19 5 5 5.029334545135498 7.127117156982422 0
goes 19 6 4 12.762569427490234 5.797606945037842 1.32951021194458
to 19 7 2 4.28654670715332 7.277737617492676 0
for 19 8 3 10.784445762634277 6.7193922996521 0.5583453178405762
<unk> 19 9 5 5.6485419273376465 7.188474655151367 0
? 19 10 1 7.599596977233887 3.7805330753326416 3.4079415798187256
what 20 0 4 9.690652847290039 6.695094585418701 0
did 20 1 3 2.704263687133789 6.851375102996826 0
he 20 2 2 10.06795883178711 1.3923090696334839 5.459066033363342
hear 20 3 4 11.706204414367676 5.327535629272461 0
that 20 4 4 5.292039394378662 3.57141375541687 1.7561218738555908
it 20 5 2 8.579032897949219 5.748923301696777 0
is 20 6 2 4.071943283081055 4.877712249755859 0.871211051940918
extravagant 20 7 11 19.5527286529541 6.095062255859375 0
to 20 8 2 7.749210357666016 5.237668037414551 0.8573942184448242
claim 20 9 5 13.300618171691895 7.077444553375244 0
? 20 10 1 3.3948633670806885 5.241413116455078 1.836031436920166
what 21 0 4 9.690652847290039 6.695094585418701 0
is 21 1 2 3.6699931621551514 6.851375102996826 0
it 21 2 2 8.704870223999023 6.278723239898682 0.5726518630981445
likely 21 3 6 13.526983261108398 4.827141761779785 1.4515814781188965
that 21 4 4 4.408802509307861 5.333376407623291 0
the 21 5 3 4.330470085144043 6.794883728027344 0
teacher 21 6 7 11.808526992797852 5.231823921203613 1.5630598068237305
buys 21 7 4 20.81789779663086 4.935069561004639 0.2967543601989746
? 21 8 1 5.030903339385986 6.5145487785339355 0
what 22 0 4 9.690652847290039 6.695094585418701 0
did 22 1 3 2.704263687133789 6.851375102996826 0
he 22 2 2 10.06795883178711 1.3923090696334839 5.459066033363342
hear 22 3 4 11.706204414367676 5.327535629272461 0
that 22 4 4 5.292039394378662 3.57141375541687 1.7561218738555908
it 22 5 2 8.579032897949219 5.748923301696777 0
is 22 6 2 4.071943283081055 4.877712249755859 0.871211051940918
funny 22 7 5 9.702500343322754 6.095062255859375 0
that 22 8 4 6.014012336730957 3.9307172298431396 2.1643450260162354
a 22 9 1 5.057193756103516 5.530684471130371 0
cup 22 10 3 12.747520446777344 5.9963274002075195 0
of 22 11 2 7.6477766036987305 4.4942240715026855 1.502103328704834
coffee 22 12 6 11.065855026245117 7.687102794647217 0
solves 22 13 6 20.658584594726562 5.027154445648193 2.6599483489990234
? 22 14 1 3.5197346210479736 4.47303581237793 0.5541186332702637
who 23 0 3 9.254493713378906 6.695094585418701 0
did 23 1 3 2.1539742946624756 7.2265706062316895 0
the 23 2 3 7.8027729988098145 4.52665376663208 2.6999168395996094
book 23 3 4 10.046579360961914 7.481812953948975 0
tell 23 4 4 11.928865432739258 6.510631561279297 0.9711813926696777
me 23 5 2 7.987919807434082 2.2973806858062744 4.2132508754730225
went 23 6 4 15.839555740356445 2.2459263801574707 0.05145430564880371
to 23 7 2 5.031219482421875 6.529589653015137 0
the 23 8 3 2.983224391937256 6.439363479614258 0.0902261734008789
expensive 23 9 9 16.962011337280273 5.6393656730651855 0.7999978065490723
store 23 10 5 10.7608642578125 7.6597514152526855 0
? 23 11 1 3.152334690093994 6.614255905151367 1.0454955101013184
who 24 0 3 9.254493713378906 6.695094585418701 0
did 24 1 3 2.1539742946624756 7.2265706062316895 0
the 24 2 3 7.8027729988098145 4.52665376663208 2.6999168395996094
<unk> 24 3 5 6.218400955200195 7.481812953948975 0
experience 24 4 10 9.963019371032715 6.249936103820801 1.2318768501281738
assert 24 5 6 18.153358459472656 6.716672420501709 0
watched 24 6 7 19.90519142150879 3.5923924446105957 3.1242799758911133
a 24 7 1 3.6267776489257812 7.400674343109131 0
ballet 24 8 6 15.009947776794434 9.26644229888916 0
on 24 9 2 7.832864761352539 7.439320087432861 1.8271222114562988
<unk> 24 10 5 4.542237758636475 5.7602715492248535 1.6790485382080078
? 24 11 1 6.528395652770996 5.178941249847412 0.5813302993774414
