word sentid sentpos wlen surp entropy entred
who 0 0 3 10.477952003479004 4.327929496765137 0
did 0 1 3 2.398866653442383 6.754886150360107 0
he 0 2 2 6.054749011993408 4.965642929077148 1.789243221282959
hear 0 3 4 12.074332237243652 7.0478997230529785 0
that 0 4 4 6.029876232147217 2.3431200981140137 4.704779624938965
it 0 5 2 7.410924911499023 6.2906341552734375 0
is 0 6 2 4.003329277038574 5.10133171081543 1.1893024444580078
important 0 7 9 10.800005912780762 5.7622222900390625 0
to 0 8 2 4.667857646942139 3.5861904621124268 2.1760318279266357
see 0 9 3 7.7613749504089355 5.439182281494141 0
? 0 10 1 4.775577545166016 2.4716074466705322 2.9675748348236084
what 1 0 4 12.236037254333496 4.327929496765137 0
is 1 1 2 4.068336486816406 5.174111366271973 0
it 1 2 2 8.497492790222168 5.973185062408447 0
important 1 3 9 12.809103965759277 4.618484973907471 1.3547000885009766
that 1 4 4 4.189939022064209 4.821346282958984 0
<unk> 1 5 5 5.3235182762146 6.539518356323242 0
buys 1 6 4 20.32272720336914 5.511183261871338 1.0283350944519043
? 1 7 1 5.251448631286621 6.230502605438232 0
who 2 0 3 10.477952003479004 4.327929496765137 0
did 2 1 3 2.398866653442383 6.754886150360107 0
he 2 2 2 6.054749011993408 4.965642929077148 1.789243221282959
hear 2 3 4 12.074332237243652 7.0478997230529785 0
that 2 4 4 6.029876232147217 2.3431200981140137 4.704779624938965
it 2 5 2 7.410924911499023 6.2906341552734375 0
is 2 6 2 4.003329277038574 5.10133171081543 1.1893024444580078
important 2 7 9 10.800005912780762 5.7622222900390625 0
that 2 8 4 3.449009656906128 3.5861904621124268 2.1760318279266357
<unk> 2 9 5 6.51557731628418 6.035182952880859 0
knows 2 10 5 13.250795364379883 5.610498428344727 0.4246845245361328
? 2 11 1 4.896213531494141 1.3134183883666992 4.297080039978027
where 3 0 5 11.578327178955078 4.327929496765137 0
did 3 1 3 3.1183722019195557 6.341452121734619 0
<unk> 3 2 5 6.9982686042785645 3.2971863746643066 3.0442657470703125
tell 3 3 4 11.905044555664062 5.531576633453369 0
you 3 4 3 6.83259916305542 2.1908271312713623 3.340749502182007
that 3 5 4 5.668941497802734 2.537041425704956 0
she 3 6 3 7.003861904144287 6.275302410125732 0
went 3 7 4 10.614850044250488 5.806890964508057 0.4684114456176758
? 3 8 1 3.0961999893188477 7.143376350402832 0
what 4 0 4 12.236037254333496 4.327929496765137 0
did 4 1 3 1.50600266456604 5.174111366271973 0
he 4 2 2 6.581730842590332 1.8944319486618042 3.2796794176101685
hear 4 3 4 11.135544776916504 6.116044044494629 0
that 4 4 4 6.129976749420166 2.651561975479126 3.464482069015503
<unk> 4 5 5 5.372451305389404 6.682713508605957 0
does 4 6 4 5.9377546310424805 5.668521404266357 1.0141921043395996
not 4 7 3 6.9787492752075195 2.2940220832824707 3.3744993209838867
do 4 8 2 7.874000072479248 5.120253562927246 0
? 4 9 1 1.2387375831604004 3.545421838760376 1.5748317241668701
what 5 0 4 12.236037254333496 4.327929496765137 0
did 5 1 3 1.50600266456604 5.174111366271973 0
he 5 2 2 6.581730842590332 1.8944319486618042 3.2796794176101685
hear 5 3 4 11.135544776916504 6.116044044494629 0
that 5 4 4 6.129976749420166 2.651561975479126 3.464482069015503
<unk> 5 5 5 5.372451305389404 6.682713508605957 0
thinks 5 6 6 13.86143684387207 5.668521404266357 1.0141921043395996
their 5 7 5 10.148537635803223 4.875638484954834 0.7928829193115234
car 5 8 3 14.131745338439941 7.598080635070801 0
needed 5 9 6 12.695062637329102 5.401186466217041 2.1968941688537598
to 5 10 2 3.109189033508301 6.406346321105957 0
do 5 11 2 5.995378494262695 8.088055610656738 0
? 5 12 1 1.2977399826049805 3.7633755207061768 4.3246800899505615
who 6 0 3 10.477952003479004 4.327929496765137 0
is 6 1 2 4.633735656738281 6.754886150360107 0
it 6 2 2 9.142634391784668 6.596754550933838 0.15813159942626953
probable 6 3 8 14.89185905456543 6.380953311920166 0.21580123901367188
that 6 4 4 2.788860321044922 3.7160050868988037 2.6649482250213623
<unk> 6 5 5 6.300191879272461 5.923473358154297 0
helped 6 6 6 15.02036190032959 5.580097198486328 0.34337615966796875
? 6 7 1 3.1216881275177 7.396958827972412 0
what 7 0 4 12.236037254333496 4.327929496765137 0
did 7 1 3 1.50600266456604 5.174111366271973 0
they 7 2 4 7.196762561798096 1.8944319486618042 3.2796794176101685
not 7 3 3 5.973226547241211 5.793213367462158 0
like 7 4 4 5.831061363220215 2.3574366569519043 3.435776710510254
that 7 5 4 4.466175079345703 6.3545355796813965 0
you 7 6 3 8.52592945098877 6.749657154083252 0
read 7 7 4 13.213356971740723 5.185397148132324 1.5642600059509277
that 7 8 4 5.079465866088867 4.764371871948242 0.42102527618408203
<unk> 7 9 5 5.673901081085205 6.428330421447754 0
is 7 10 2 5.7434983253479 5.558769702911377 0.869560718536377
trying 7 11 6 10.490992546081543 5.899668216705322 0
to 7 12 2 1.5491918325424194 4.633452892303467 1.2662153244018555
give 7 13 4 7.075000286102295 8.173895835876465 0
you 7 14 3 3.58186674118042 5.581485748291016 2.592410087585449
? 7 15 1 2.0853376388549805 5.595584869384766 0
who 8 0 3 10.477952003479004 4.327929496765137 0
did 8 1 3 2.398866653442383 6.754886150360107 0
they 8 2 4 7.113560676574707 4.965642929077148 1.789243221282959
not 8 3 3 5.129518508911133 6.795976161956787 0
like 8 4 4 5.543193340301514 4.397529125213623 2.398447036743164
that 8 5 4 4.1434197425842285 6.412601470947266 0
it 8 6 2 7.774672985076904 6.8962788581848145 0
is 8 7 2 4.280750751495361 5.845216274261475 1.0510625839233398
probable 8 8 8 14.145193099975586 5.940335750579834 0
that 8 9 4 2.1131298542022705 3.2331299781799316 2.7072057723999023
<unk> 8 10 5 6.825480937957764 5.513692378997803 0
met 8 11 3 15.734278678894043 5.425808906555176 0.08788347244262695
? 8 12 1 2.6530935764312744 5.645449638366699 0
who 9 0 3 10.477952003479004 4.327929496765137 0
is 9 1 2 4.633735656738281 6.754886150360107 0
it 9 2 2 9.142634391784668 6.596754550933838 0.15813159942626953
probable 9 3 8 14.89185905456543 6.380953311920166 0.21580123901367188
that 9 4 4 2.788860321044922 3.7160050868988037 2.6649482250213623
the 9 5 3 3.664128303527832 5.923473358154297 0
account 9 6 7 15.335907936096191 3.9682211875915527 1.9552521705627441
is 9 7 2 3.8149545192718506 5.661959648132324 0
waiting 9 8 7 12.046732902526855 6.325343132019043 0
for 9 9 3 4.620699882507324 5.203047752380371 1.1222953796386719
? 9 10 1 2.670696496963501 6.073872089385986 0
who 10 0 3 10.477952003479004 4.327929496765137 0
did 10 1 3 2.398866653442383 6.754886150360107 0
they 10 2 4 7.113560676574707 4.965642929077148 1.789243221282959
not 10 3 3 5.129518508911133 6.795976161956787 0
like 10 4 4 5.543193340301514 4.397529125213623 2.398447036743164
that 10 5 4 4.1434197425842285 6.412601470947266 0
it 10 6 2 7.774672985076904 6.8962788581848145 0
is 10 7 2 4.280750751495361 5.845216274261475 1.0510625839233398
important 10 8 9 11.455490112304688 5.940335750579834 0
to 10 9 2 4.825026988983154 4.408649444580078 1.5316863059997559
fix 10 10 3 13.444189071655273 5.74063777923584 0
? 10 11 1 3.861658811569214 4.413318634033203 1.3273191452026367
who 11 0 3 10.477952003479004 4.327929496765137 0
did 11 1 3 2.398866653442383 6.754886150360107 0
they 11 2 4 7.113560676574707 4.965642929077148 1.789243221282959
not 11 3 3 5.129518508911133 6.795976161956787 0
like 11 4 4 5.543193340301514 4.397529125213623 2.398447036743164
that 11 5 4 4.1434197425842285 6.412601470947266 0
it 11 6 2 7.774672985076904 6.8962788581848145 0
is 11 7 2 4.280750751495361 5.845216274261475 1.0510625839233398
probable 11 8 8 14.145193099975586 5.940335750579834 0
that 11 9 4 2.1131298542022705 3.2331299781799316 2.7072057723999023
<unk> 11 10 5 6.825480937957764 5.513692378997803 0
called 11 11 6 13.659524917602539 5.425808906555176 0.08788347244262695
? 11 12 1 3.722188711166382 5.793037414550781 0
what 12 0 4 12.236037254333496 4.327929496765137 0
did 12 1 3 1.50600266456604 5.174111366271973 0
<unk> 12 2 5 8.407970428466797 1.8944319486618042 3.2796794176101685
buy 12 3 3 10.48411750793457 4.563861846923828 0
you 12 4 3 7.498600482940674 6.4045329093933105 0
? 12 5 1 1.4347918033599854 5.314307689666748 1.0902252197265625
what 13 0 4 12.236037254333496 4.327929496765137 0
