word sentid sentpos wlen surp entropy entred
who 0 0 3 9.938471794128418 5.261046886444092 0
did 0 1 3 1.5364110469818115 6.153697490692139 0
he 0 2 2 6.4452409744262695 7.668814659118652 0
hear 0 3 4 12.871363639831543 7.211849689483643 0.45696496963500977
that 0 4 4 6.563528060913086 0.989434540271759 6.2224151492118835
it 0 5 2 6.74908971786499 7.132838726043701 0
is 0 6 2 3.7840654850006104 6.824492454528809 0.3083462715148926
important 0 7 9 10.507823944091797 5.068969249725342 1.7555232048034668
to 0 8 2 2.8812007904052734 5.742616653442383 0
see 0 9 3 4.492007732391357 7.993212699890137 0
? 0 10 1 8.38032341003418 4.0873003005981445 3.905912399291992
what 1 0 4 10.988752365112305 5.261046886444092 0
is 1 1 2 3.8582422733306885 5.42261266708374 0
it 1 2 2 7.798696994781494 4.90159797668457 0.5210146903991699
important 1 3 9 12.905874252319336 4.7556891441345215 0.14590883255004883
that 1 4 4 4.769411087036133 4.913705825805664 0
<unk> 1 5 5 5.780713081359863 6.732292652130127 0
buys 1 6 4 20.084888458251953 2.9689886569976807 3.7633039951324463
? 1 7 1 7.41594123840332 6.669384002685547 0
who 2 0 3 9.938471794128418 5.261046886444092 0
did 2 1 3 1.5364110469818115 6.153697490692139 0
he 2 2 2 6.4452409744262695 7.668814659118652 0
hear 2 3 4 12.871363639831543 7.211849689483643 0.45696496963500977
that 2 4 4 6.563528060913086 0.989434540271759 6.2224151492118835
it 2 5 2 6.74908971786499 7.132838726043701 0
is 2 6 2 3.7840654850006104 6.824492454528809 0.3083462715148926
important 2 7 9 10.507823944091797 5.068969249725342 1.7555232048034668
that 2 8 4 2.850764036178589 5.742616653442383 0
<unk> 2 9 5 5.553225994110107 7.074809551239014 0
knows 2 10 5 12.775209426879883 4.8586273193359375 2.216182231903076
? 2 11 1 7.368286609649658 1.191637635231018 3.6669896841049194
where 3 0 5 10.528667449951172 5.261046886444092 0
did 3 1 3 3.2947652339935303 6.15659761428833 0
<unk> 3 2 5 5.696279525756836 6.862856864929199 0
tell 3 3 4 13.048945426940918 5.286749839782715 1.5761070251464844
you 3 4 3 6.87314510345459 0.7695467472076416 4.517203092575073
that 3 5 4 4.386487007141113 2.727478504180908 0
she 3 6 3 5.118575096130371 5.882096290588379 0
went 3 7 4 9.351994514465332 6.806478977203369 0
? 3 8 1 5.002052307128906 7.156130790710449 0
what 4 0 4 10.988752365112305 5.261046886444092 0
did 4 1 3 1.6464436054229736 5.42261266708374 0
