word sentid sentpos wlen surp entropy entred
who 0 0 3 10.477952003479004 4.327929496765137 0
was 0 1 3 7.474701404571533 6.754886150360107 0
that 0 2 4 6.662422180175781 7.195369720458984 0
quipped 0 3 7 19.91106414794922 7.147119998931885 0.04824972152709961
about 0 4 5 8.589190483093262 5.496335506439209 1.6507844924926758
<unk> 0 5 5 7.987436294555664 2.2896921634674072 3.2066433429718018
analysis 0 6 8 17.0996150970459 5.079526424407959 0
funny 0 7 5 15.851971626281738 4.911545276641846 0.16798114776611328
? 0 8 1 3.309551477432251 5.521941661834717 0
whom 1 0 4 13.913248062133789 4.327929496765137 0
were 1 1 4 8.872632026672363 6.370318412780762 0
two 1 2 3 9.263639450073242 8.829625129699707 0
rumours 1 3 7 17.073381423950195 9.43237018585205 0
about 1 4 5 5.348496913909912 5.650359153747559 3.782011032104492
waiting 1 5 7 13.455339431762695 3.4661827087402344 2.184176445007324
? 1 6 1 3.8229928016662598 6.0279412269592285 0
who 2 0 3 10.477952003479004 4.327929496765137 0
does 2 1 4 5.1193623542785645 6.754886150360107 0
that 2 2 4 7.234760284423828 4.889321327209473 1.8655648231506348
wears 2 3 5 17.42352294921875 6.651959419250488 0
extravagant 2 4 11 16.306032180786133 5.61757755279541 1.0343818664550781
rings 2 5 5 13.213809967041016 9.144194602966309 0
make 2 6 4 11.601967811584473 6.7084197998046875 2.435774803161621
the 2 7 3 2.9405548572540283 7.012213706970215 0
plan 2 8 4 15.008212089538574 6.0821428298950195 0.9300708770751953
unrealistic 2 9 11 16.564285278320312 7.001895427703857 0
? 2 10 1 4.002506732940674 5.904445171356201 1.0974502563476562
whom 3 0 4 13.913248062133789 4.327929496765137 0
loaned 3 1 6 19.471982955932617 6.370318412780762 0
that 3 2 4 3.277472734451294 6.39677619934082 0
<unk> 3 3 5 5.601361274719238 7.19097375869751 0
heard 3 4 5 13.864165306091309 7.039972305297852 0.1510014533996582
the 3 5 3 3.895045280456543 4.1172637939453125 2.922708511352539
claim 3 6 5 14.045791625976562 6.4923882484436035 0
a 3 7 1 5.338982105255127 5.224638938903809 1.267749309539795
trumpet 3 8 7 16.85238265991211 4.308229446411133 0.9164094924926758
to 3 9 2 7.728936195373535 3.7134225368499756 0.5948069095611572
you 3 10 3 7.221024513244629 7.257747650146484 0
? 3 11 1 0.9115047454833984 4.229462146759033 3.028285503387451
who 4 0 3 10.477952003479004 4.327929496765137 0
is 4 1 2 4.633735656738281 6.754886150360107 0
that 4 2 4 5.93304967880249 6.596754550933838 0.15813159942626953
is 4 3 2 6.278623580932617 6.619980812072754 0
a 4 4 1 1.5441666841506958 5.8842997550964355 0.7356810569763184
teacher 4 5 7 11.981952667236328 4.665425777435303 1.2188739776611328
unlikely 4 6 8 18.34303092956543 4.281770706176758 0.3836550712585449
? 4 7 1 2.237581253051758 4.668017387390137 0
whom 5 0 4 13.913248062133789 4.327929496765137 0
does 5 1 4 6.533975601196289 6.370318412780762 0
one 5 2 3 10.431415557861328 4.46757173538208 1.9027466773986816
story 5 3 5 11.825940132141113 7.751821994781494 0
about 5 4 5 9.108895301818848 6.687887191772461 1.0639348030090332
claim 5 5 5 19.00054168701172 4.759870529174805 1.9280166625976562
the 5 6 3 5.2953314781188965 5.095536231994629 0
possibility 5 7 11 12.050025939941406 6.275867938995361 0
is 5 8 2 6.672757148742676 3.19830060005188 3.0775673389434814
unrealistic 5 9 11 14.352960586547852 6.467061996459961 0
? 5 10 1 2.3104569911956787 4.146870136260986 2.3201918601989746
what 6 0 4 12.236037254333496 4.327929496765137 0
was 6 1 3 7.448330402374268 5.174111366271973 0
that 6 2 4 5.439540386199951 6.7461957931518555 0
she 6 3 3 6.333863735198975 6.796872615814209 0
likely 6 4 6 12.91594123840332 6.244370937347412 0.5525016784667969
heard 6 5 5 12.13137435913086 5.468534469604492 0.7758364677429199
true 6 6 4 12.576594352722168 3.8639369010925293 1.604597568511963
? 6 7 1 2.8397674560546875 6.574937343597412 0
who 7 0 3 10.477952003479004 4.327929496765137 0
was 7 1 3 7.474701404571533 6.754886150360107 0
that 7 2 4 6.662422180175781 7.195369720458984 0
knows 7 3 5 14.441142082214355 7.147119998931885 0.04824972152709961
someone 7 4 7 13.666109085083008 1.4544243812561035 5.692695617675781
probable 7 5 8 18.578004837036133 5.11129093170166 0
? 7 6 1 2.7098124027252197 4.876071453094482 0.23521947860717773
who 8 0 3 10.477952003479004 4.327929496765137 0
does 8 1 4 5.1193623542785645 6.754886150360107 0
that 8 2 4 7.234760284423828 4.889321327209473 1.8655648231506348
got 8 3 3 11.980205535888672 6.651959419250488 0
a 8 4 1 2.191525459289551 7.0257134437561035 0
new 8 5 3 7.262854099273682 6.697187900543213 0.3285255432128906
phone 8 6 5 14.891077995300293 8.218960762023926 0
for 8 7 3 5.715770244598389 6.479706287384033 1.7392544746398926
<unk> 8 8 5 6.344455242156982 5.495316505432129 0.9843897819519043
not 8 9 3 11.073810577392578 4.572749137878418 0.9225673675537109
make 8 10 4 13.50794506072998 3.164860963821411 1.4078881740570068
sense 8 11 5 8.528008460998535 5.877030849456787 0
? 8 12 1 2.316272735595703 4.350318431854248 1.526712417602539
whom 9 0 4 13.913248062133789 4.327929496765137 0
did 9 1 3 2.6965901851654053 6.370318412780762 0
an 9 2 2 10.874850273132324 4.119671821594238 2.2506465911865234
account 9 3 7 8.284078598022461 8.696900367736816 0
for 9 4 3 5.949422836303711 6.341841697692871 2.3550586700439453
buy 9 5 3 12.076085090637207 4.810793399810791 1.53104829788208
a 9 6 1 2.948798656463623 6.728580951690674 0
gift 9 7 4 12.250957489013672 6.06210994720459 0.666471004486084
? 9 8 1 2.0287418365478516 6.160406589508057 0
what 10 0 4 12.236037254333496 4.327929496765137 0
is 10 1 2 4.068336486816406 5.174111366271973 0
that 10 2 4 4.3404011726379395 5.973185062408447 0
come 10 3 4 11.938128471374512 6.323345184326172 0
to 10 4 2 4.435722827911377 6.269410610198975 0.053934574127197266
our 10 5 3 8.243144035339355 5.754092216491699 0.5153183937072754
party 10 6 5 10.828890800476074 9.646268844604492 0
likely 10 7 6 16.04275894165039 6.3033857345581055 3.3428831100463867
? 10 8 1 1.5226210355758667 5.510218143463135 0.7931675910949707
who 11 0 3 10.477952003479004 4.327929496765137 0
does 11 1 4 5.1193623542785645 6.754886150360107 0
the 11 2 3 5.152347564697266 4.889321327209473 1.8655648231506348
extravagant 11 3 11 18.602514266967773 4.493929862976074 0.39539146423339844
rings 11 4 5 12.087785720825195 8.582694053649902 0
that 11 5 4 4.227463722229004 7.266645908355713 1.3160481452941895
takes 11 6 5 12.920001029968262 6.841979026794434 0.4246668815612793
to 11 7 2 7.574003219604492 5.869119167327881 0.9728598594665527
school 11 8 6 11.017498970031738 6.912095546722412 0
are 11 9 3 6.734233856201172 8.098648071289062 0
