word sentid sentpos wlen surp entropy entred
who 0 0 3 9.969172477722168 4.402048110961914 0
was 0 1 3 6.883946895599365 7.316201686859131 0
that 0 2 4 7.380101680755615 7.099255561828613 0.21694612503051758
quipped 0 3 7 21.738479614257812 7.819185733795166 0
about 0 4 5 7.530397891998291 5.875086784362793 1.944098949432373
<unk> 0 5 5 6.528375625610352 3.496903657913208 2.378183126449585
analysis 0 6 8 16.599369049072266 4.480005741119385 0
funny 0 7 5 17.240497589111328 5.691389560699463 0
? 0 8 1 5.595726013183594 4.12930965423584 1.562079906463623
whom 1 0 4 14.952117919921875 4.402048110961914 0
were 1 1 4 9.366754531860352 6.849539279937744 0
two 1 2 3 8.89430046081543 7.419865131378174 0
rumours 1 3 7 17.772661209106445 8.88132381439209 0
about 1 4 5 7.1701812744140625 6.596073150634766 2.285250663757324
waiting 1 5 7 15.53114128112793 4.49302864074707 2.1030445098876953
? 1 6 1 3.111481189727783 6.209395885467529 0
who 2 0 3 9.969172477722168 4.402048110961914 0
does 2 1 4 5.680874347686768 7.316201686859131 0
that 2 2 4 6.160419940948486 5.107944011688232 2.2082576751708984
wears 2 3 5 17.567358016967773 6.5741801261901855 0
extravagant 2 4 11 15.822229385375977 6.177858829498291 0.39632129669189453
rings 2 5 5 11.747179985046387 8.976070404052734 0
make 2 6 4 12.038702964782715 6.610175132751465 2.3658952713012695
the 2 7 3 3.369636058807373 7.206084728240967 0
plan 2 8 4 14.521547317504883 3.718911647796631 3.487173080444336
unrealistic 2 9 11 15.218013763427734 7.119411468505859 0
? 2 10 1 4.985743999481201 5.025176048278809 2.094235420227051
whom 3 0 4 14.952117919921875 4.402048110961914 0
loaned 3 1 6 19.434993743896484 6.849539279937744 0
that 3 2 4 4.094754219055176 6.640567302703857 0.20897197723388672
<unk> 3 3 5 7.506284713745117 7.1867499351501465 0
heard 3 4 5 17.552066802978516 5.061332702636719 2.1254172325134277
the 3 5 3 4.7859907150268555 3.5023810863494873 1.5589516162872314
claim 3 6 5 13.909982681274414 3.4382102489471436 0.06417083740234375
a 3 7 1 5.488483905792236 5.572297096252441 0
trumpet 3 8 7 21.908218383789062 3.7828269004821777 1.7894701957702637
to 3 9 2 7.164185523986816 5.108856201171875 0
you 3 10 3 5.977887153625488 6.689684867858887 0
? 3 11 1 0.2185499370098114 1.5067960023880005 5.182888865470886
who 4 0 3 9.969172477722168 4.402048110961914 0
is 4 1 2 5.076706409454346 7.316201686859131 0
that 4 2 4 6.988882541656494 6.086232662200928 1.2299690246582031
is 4 3 2 5.45530891418457 7.445245742797852 0
a 4 4 1 1.4124391078948975 5.3303914070129395 2.114854335784912
teacher 4 5 7 10.311391830444336 5.010181427001953 0.32020998001098633
unlikely 4 6 8 19.44259262084961 4.446821689605713 0.5633597373962402
? 4 7 1 0.5338261127471924 2.7697432041168213 1.6770784854888916
whom 5 0 4 14.952117919921875 4.402048110961914 0
does 5 1 4 6.373202323913574 6.849539279937744 0
one 5 2 3 10.786309242248535 4.63755464553833 2.211984634399414
story 5 3 5 8.691229820251465 6.587950706481934 0
about 5 4 5 6.74129056930542 6.945745468139648 0
claim 5 5 5 18.893640518188477 3.529951810836792 3.4157936573028564
the 5 6 3 5.918463230133057 3.5111868381500244 0.018764972686767578
possibility 5 7 11 13.973523139953613 3.9953300952911377 0
is 5 8 2 5.027827739715576 4.859436988830566 0
unrealistic 5 9 11 17.800474166870117 5.320981502532959 0
? 5 10 1 2.246051549911499 4.590318202972412 0.7306632995605469
what 6 0 4 11.110036849975586 4.402048110961914 0
was 6 1 3 7.070074081420898 6.110183238983154 0
that 6 2 4 6.01084041595459 5.63767671585083 0.4725065231323242
she 6 3 3 5.52420711517334 7.526326656341553 0
likely 6 4 6 13.438705444335938 6.379816055297852 1.1465106010437012
heard 6 5 5 11.258188247680664 6.006535530090332 0.37328052520751953
true 6 6 4 13.87181568145752 3.106764554977417 2.899770975112915
? 6 7 1 3.5907442569732666 3.878452777862549 0
who 7 0 3 9.969172477722168 4.402048110961914 0
was 7 1 3 6.883946895599365 7.316201686859131 0
that 7 2 4 7.380101680755615 7.099255561828613 0.21694612503051758
knows 7 3 5 13.547073364257812 7.819185733795166 0
someone 7 4 7 13.132010459899902 1.6130112409591675 6.2061744928359985
probable 7 5 8 19.292247772216797 5.826169013977051 0
? 7 6 1 3.5812947750091553 4.222903251647949 1.6032657623291016
who 8 0 3 9.969172477722168 4.402048110961914 0
does 8 1 4 5.680874347686768 7.316201686859131 0
that 8 2 4 6.160419940948486 5.107944011688232 2.2082576751708984
got 8 3 3 10.817582130432129 6.5741801261901855 0
a 8 4 1 2.732605218887329 7.2168474197387695 0
new 8 5 3 8.01344108581543 7.73933744430542 0
phone 8 6 5 12.856642723083496 8.455283164978027 0
for 8 7 3 4.694130897521973 6.710860729217529 1.744422435760498
<unk> 8 8 5 6.341583251953125 6.55385160446167 0.15700912475585938
not 8 9 3 9.991641998291016 3.7586662769317627 2.7951853275299072
make 8 10 4 12.806990623474121 2.2545223236083984 1.5041439533233643
sense 8 11 5 8.106104850769043 6.218710899353027 0
? 8 12 1 2.0560429096221924 5.364360809326172 0.8543500900268555
whom 9 0 4 14.952117919921875 4.402048110961914 0
did 9 1 3 4.530179977416992 6.849539279937744 0
an 9 2 2 11.457623481750488 3.643040418624878 3.206498861312866
account 9 3 7 8.084211349487305 7.173679351806641 0
for 9 4 3 4.957578659057617 5.566247463226318 1.6074318885803223
buy 9 5 3 11.724475860595703 4.474413871765137 1.0918335914611816
a 9 6 1 3.8121378421783447 6.1888041496276855 0
gift 9 7 4 8.954005241394043 5.478187561035156 0.7106165885925293
? 9 8 1 1.7510287761688232 5.2321343421936035 0.24605321884155273
what 10 0 4 11.110036849975586 4.402048110961914 0
is 10 1 2 3.74747371673584 6.110183238983154 0
that 10 2 4 7.423196315765381 4.0777907371521 2.0323925018310547
come 10 3 4 11.321806907653809 6.723865985870361 0
to 10 4 2 3.9425103664398193 5.790938854217529 0.932927131652832
our 10 5 3 7.723158836364746 5.85378360748291 0
party 10 6 5 11.134754180908203 6.180149078369141 0
likely 10 7 6 17.04457664489746 4.306520938873291 1.8736281394958496
? 10 8 1 1.9356532096862793 5.677909851074219 0
who 11 0 3 9.969172477722168 4.402048110961914 0
does 11 1 4 5.680874347686768 7.316201686859131 0
the 11 2 3 6.235570907592773 5.107944011688232 2.2082576751708984
extravagant 11 3 11 16.96409034729004 3.5937557220458984 1.514188289642334
rings 11 4 5 14.9259033203125 5.9013237953186035 0
that 11 5 4 3.8685643672943115 6.945764064788818 0
takes 11 6 5 12.373690605163574 8.086122512817383 0
to 11 7 2 7.098237037658691 6.892772197723389 1.1933503150939941
school 11 8 6 12.346153259277344 5.942610740661621 0.9501614570617676
are 11 9 3 7.056994438171387 5.685648441314697 0.25696229934692383
funny 11 10 5 12.013688087463379 8.284333229064941 0
? 11 11 1 5.589593887329102 4.9377522468566895 3.346580982208252
who 12 0 3 9.969172477722168 4.402048110961914 0
is 12 1 2 5.076706409454346 7.316201686859131 0
that 12 2 4 6.988882541656494 6.086232662200928 1.2299690246582031
<unk> 12 3 5 6.931013584136963 7.445245742797852 0
is 12 4 2 6.075462341308594 5.664079189300537 1.7811665534973145
trying 12 5 6 9.502760887145996 6.390583515167236 0
to 12 6 2 1.8295494318008423 5.549977779388428 0.8406057357788086
call 12 7 4 9.598727226257324 8.17498779296875 0
unrealistic 12 8 11 19.074024200439453 5.720383644104004 2.454604148864746
? 12 9 1 4.247445583343506 6.105330467224121 0
who 13 0 3 9.969172477722168 4.402048110961914 0
was 13 1 3 6.883946895599365 7.316201686859131 0
that 13 2 4 7.380101680755615 7.099255561828613 0.21694612503051758
they 13 3 4 7.157820224761963 7.819185733795166 0
loaned 13 4 6 17.250102996826172 5.869606971740723 1.9495787620544434
a 13 5 1 4.877269744873047 6.20501184463501 0
trumpet 13 6 7 19.282115936279297 7.095636367797852 0
to 13 7 2 5.33068323135376 5.168778896331787 1.9268574714660645
funny 13 8 5 15.372963905334473 5.584681510925293 0
? 13 9 1 4.724372863769531 4.993595123291016 0.5910863876342773
who 14 0 3 9.969172477722168 4.402048110961914 0
was 14 1 3 6.883946895599365 7.316201686859131 0
that 14 2 4 7.380101680755615 7.099255561828613 0.21694612503051758
heard 14 3 5 14.605637550354004 7.819185733795166 0
the 14 4 3 4.590786933898926 4.181899547576904 3.6372861862182617
claim 14 5 5 14.193325996398926 3.638392448425293 0.5435070991516113
funny 14 6 5 15.764426231384277 5.326729774475098 0
? 14 7 1 4.112789154052734 4.940515518188477 0.3862142562866211
who 15 0 3 9.969172477722168 4.402048110961914 0
is 15 1 2 5.076706409454346 7.316201686859131 0
that 15 2 4 6.988882541656494 6.086232662200928 1.2299690246582031
went 15 3 4 12.099518775939941 7.445245742797852 0
to 15 4 2 4.01961612701416 6.91693115234375 0.5283145904541016
the 15 5 3 2.116572618484497 6.460681438446045 0.4562497138977051
discreet 15 6 8 19.054672241210938 4.937276363372803 1.5234050750732422
candy 15 7 5 13.716452598571777 8.59473705291748 0
store 15 8 5 7.738245010375977 7.509328842163086 1.0854082107543945
expensive 15 9 9 15.403290748596191 7.029310703277588 0.48001813888549805
? 15 10 1 4.642441272735596 6.919087886810303 0.11022281646728516
whom 16 0 4 14.952117919921875 4.402048110961914 0
was 16 1 3 8.942935943603516 6.849539279937744 0
