word sentid sentpos wlen surp entropy entred
where 0 0 5 10.528667449951172 5.261046886444092 0
did 0 1 3 3.2947652339935303 6.15659761428833 0
<unk> 0 2 5 5.696279525756836 6.862856864929199 0
ask 0 3 3 14.290093421936035 5.286749839782715 1.5761070251464844
who 0 4 3 12.81801986694336 1.5975563526153564 3.6891934871673584
<unk> 0 5 5 6.298101902008057 5.314381122589111 0
took 0 6 4 12.136313438415527 4.425652503967285 0.8887286186218262
? 0 7 1 5.330728054046631 6.729013919830322 0
what 1 0 4 10.988752365112305 5.261046886444092 0
did 1 1 3 1.6464436054229736 5.42261266708374 0
she 1 2 3 6.717501163482666 6.236262798309326 0
say 1 3 3 7.583024501800537 5.999546051025391 0.23671674728393555
that 1 4 4 3.235142946243286 5.77955961227417 0.2199864387512207
<unk> 1 5 5 5.7297892570495605 6.342012882232666 0
asked 1 6 5 14.297810554504395 3.8200292587280273 2.5219836235046387
who 1 7 3 12.719773292541504 1.5148742198944092 2.305155038833618
will 1 8 4 7.25414514541626 5.1279706954956055 0
read 1 9 4 9.244598388671875 7.775206565856934 0
? 1 10 1 5.201086521148682 4.591386318206787 3.1838202476501465
where 2 0 5 10.528667449951172 5.261046886444092 0
did 2 1 3 3.2947652339935303 6.15659761428833 0
<unk> 2 2 5 5.696279525756836 6.862856864929199 0
ask 2 3 3 14.290093421936035 5.286749839782715 1.5761070251464844
how 2 4 3 0.23136372864246368 1.5975563526153564 3.6891934871673584
<unk> 2 5 5 5.878314971923828 5.625643253326416 0
went 2 6 4 10.041498184204102 4.0871195793151855 1.5385236740112305
? 2 7 1 1.9244844913482666 6.312661170959473 0
what 3 0 4 10.988752365112305 5.261046886444092 0
did 3 1 3 1.6464436054229736 5.42261266708374 0
will 3 2 4 9.905580520629883 6.236262798309326 0
ask 3 3 3 12.383782386779785 7.2977681159973145 0
why 3 4 3 8.118971824645996 2.441284656524658 4.856483459472656
<unk> 3 5 5 5.488099575042725 6.713536739349365 0
wears 3 6 5 17.910734176635742 3.8567404747009277 2.8567962646484375
? 3 7 1 4.301364898681641 5.825913906097412 0
what 4 0 4 10.988752365112305 5.261046886444092 0
did 4 1 3 1.6464436054229736 5.42261266708374 0
she 4 2 3 6.717501163482666 6.236262798309326 0
say 4 3 3 7.583024501800537 5.999546051025391 0.23671674728393555
that 4 4 4 3.235142946243286 5.77955961227417 0.2199864387512207
will 4 5 4 8.2332763671875 6.342012882232666 0
thinks 4 6 6 18.07948112487793 7.794556617736816 0
he 4 7 2 6.239652156829834 4.681363105773926 3.1131935119628906
knows 4 8 5 10.150442123413086 5.309908866882324 0
where 4 9 5 9.760906219482422 1.6232054233551025 3.6867034435272217
<unk> 4 10 5 6.247289180755615 6.252856731414795 0
announced 4 11 9 16.105579376220703 5.545176029205322 0.7076807022094727
? 4 12 1 5.118887424468994 3.963545083999634 1.5816309452056885
what 5 0 4 10.988752365112305 5.261046886444092 0
did 5 1 3 1.6464436054229736 5.42261266708374 0
they 5 2 4 7.473564624786377 6.236262798309326 0
not 5 3 3 7.385052680969238 6.444073677062988 0
like 5 4 4 4.653357028961182 7.086729526519775 0
that 5 5 4 4.043039321899414 5.820886135101318 1.265843391418457
<unk> 5 6 5 6.014726161956787 5.115530014038086 0.7053561210632324
wonders 5 7 7 20.835540771484375 3.0602359771728516 2.0552940368652344
how 5 8 3 0.5672711730003357 2.9673357009887695 0.09290027618408203
<unk> 5 9 5 5.701957702636719 6.090846538543701 0
was 5 10 3 8.485050201416016 5.959034442901611 0.13181209564208984
? 5 11 1 4.447146415710449 6.984688758850098 0
what 6 0 4 10.988752365112305 5.261046886444092 0
did 6 1 3 1.6464436054229736 5.42261266708374 0
<unk> 6 2 5 5.306266784667969 6.236262798309326 0
ask 6 3 3 13.883089065551758 5.645503997802734 0.5907588005065918
when 6 4 4 11.976365089416504 2.6746578216552734 2.970846176147461
<unk> 6 5 5 5.363552093505859 6.133755683898926 0
ate 6 6 3 16.99254035949707 4.152797222137451 1.9809584617614746
? 6 7 1 7.726231098175049 6.821804046630859 0
what 7 0 4 10.988752365112305 5.261046886444092 0
does 7 1 4 4.675114631652832 5.42261266708374 0
<unk> 7 2 5 5.601357936859131 6.0750932693481445 0
wonder 7 3 6 14.80717945098877 5.485757350921631 0.5893359184265137
where 7 4 5 9.704620361328125 4.528048992156982 0.9577083587646484
<unk> 7 5 5 5.400238037109375 6.671801567077637 0
buys 7 6 4 18.426069259643555 4.492849349975586 2.178952217102051
? 7 7 1 6.020509243011475 6.915836334228516 0
what 8 0 4 10.988752365112305 5.261046886444092 0
does 8 1 4 4.675114631652832 5.42261266708374 0
will 8 2 4 10.499070167541504 6.0750932693481445 0
wonder 8 3 6 14.203516006469727 7.083029747009277 0
how 8 4 3 1.0428804159164429 3.7757568359375 3.3072729110717773
he 8 5 2 6.277780055999756 5.997897148132324 0
will 8 6 4 5.620512008666992 5.767817497253418 0.23007965087890625
read 8 7 4 10.213650703430176 7.511120319366455 0
? 8 8 1 5.128393650054932 4.142764091491699 3.368356227874756
how 9 0 3 7.181870460510254 5.261046886444092 0
did 9 1 3 1.9016224145889282 6.358382225036621 0
he 9 2 2 5.109836578369141 5.124246120452881 1.2341361045837402
hear 9 3 4 14.31078815460205 4.716279029846191 0.40796709060668945
that 9 4 4 3.458956480026245 5.253604888916016 0
<unk> 9 5 5 5.83125114440918 7.5919952392578125 0
thinks 9 6 6 13.481061935424805 7.938078880310059 0
he 9 7 2 4.548455238342285 4.292678356170654 3.6454005241394043
knows 9 8 5 9.430669784545898 5.358368396759033 0
where 9 9 5 9.837400436401367 1.3393129110336304 4.019055485725403
<unk> 9 10 5 6.962359428405762 6.003459453582764 0
gets 9 11 4 12.998564720153809 4.573843955993652 1.4296154975891113
? 9 12 1 6.419579029083252 6.736412525177002 0
whom 10 0 4 12.234505653381348 5.261046886444092 0
does 10 1 4 6.436277389526367 6.063297748565674 0
<unk> 10 2 5 5.347992420196533 7.205469131469727 0
wonder 10 3 6 14.6744384765625 4.935521602630615 2.2699475288391113
how 10 4 3 2.2687225341796875 4.914653778076172 0.02086782455444336
<unk> 10 5 5 5.54405403137207 6.234124183654785 0
is 10 6 2 6.845901012420654 5.207127094268799 1.0269970893859863
waiting 10 7 7 12.885563850402832 4.915100574493408 0.2920265197753906
for 10 8 3 2.5867457389831543 6.254111289978027 0
? 10 9 1 5.201499938964844 6.855251312255859 0
what 11 0 4 10.988752365112305 5.261046886444092 0
did 11 1 3 1.6464436054229736 5.42261266708374 0
<unk> 11 2 5 5.306266784667969 6.236262798309326 0
ask 11 3 3 13.883089065551758 5.645503997802734 0.5907588005065918
why 11 4 3 8.16817569732666 2.6746578216552734 2.970846176147461
<unk> 11 5 5 5.467939376831055 6.587498188018799 0
is 11 6 2 8.165522575378418 3.9558982849121094 2.6315999031066895
? 11 7 1 3.264882802963257 4.794490814208984 0
what 12 0 4 10.988752365112305 5.261046886444092 0
did 12 1 3 1.6464436054229736 5.42261266708374 0
<unk> 12 2 5 5.306266784667969 6.236262798309326 0
ask 12 3 3 13.883089065551758 5.645503997802734 0.5907588005065918
who 12 4 3 11.272216796875 2.6746578216552734 2.970846176147461
will 12 5 4 7.204897880554199 5.886950492858887 0
is 12 6 2 9.982962608337402 7.8197712898254395 0
for 12 7 3 7.183826923370361 6.329013824462891 1.4907574653625488
? 12 8 1 5.5133466720581055 6.4152727127075195 0
whom 13 0 4 12.234505653381348 5.261046886444092 0
did 13 1 3 2.566196918487549 6.063297748565674 0
<unk> 13 2 5 5.334887981414795 7.328136920928955 0
ask 13 3 3 14.519221305847168 5.518835544586182 1.8093013763427734
where 13 4 5 13.139678001403809 1.8277846574783325 3.691050887107849
<unk> 13 5 5 5.635512351989746 7.172276973724365 0
