word sentid sentpos wlen surp entropy entred
which 0 0 5 3.20222806930542 7.313408851623535 0
place 0 1 5 12.020944595336914 3.363443613052368 3.949965238571167
did 0 2 3 4.667123317718506 7.924384117126465 0
<unk> 0 3 5 2.4356932640075684 7.268040657043457 0.6563434600830078
ask 0 4 3 7.903221130371094 7.288149833679199 0
who 0 5 3 8.988563537597656 4.392490386962891 2.8956594467163086
<unk> 0 6 5 1.3619208335876465 5.361501693725586 0
took 0 7 4 11.732939720153809 4.361373424530029 1.0001282691955566
? 0 8 1 8.226829528808594 6.2575860023498535 0
which 1 0 5 3.20222806930542 7.313408851623535 0
comics 1 1 6 17.05367088317871 3.363443613052368 3.949965238571167
did 1 2 3 6.329306125640869 4.864829063415527 0
she 1 3 3 10.531055450439453 6.8207106590271 0
say 1 4 3 9.791996955871582 6.621845245361328 0.19886541366577148
that 1 5 4 4.683502674102783 5.699163913726807 0.9226813316345215
<unk> 1 6 5 1.1752383708953857 5.346046447753906 0.3531174659729004
asked 1 7 5 8.089341163635254 5.252469539642334 0.09357690811157227
who 1 8 3 9.342820167541504 3.079033613204956 2.173435926437378
will 1 9 4 8.786372184753418 5.229149341583252 0
read 1 10 4 10.431469917297363 6.109821796417236 0
? 1 11 1 5.01540470123291 6.362026691436768 0
which 2 0 5 3.20222806930542 7.313408851623535 0
place 2 1 5 12.020944595336914 3.363443613052368 3.949965238571167
did 2 2 3 4.667123317718506 7.924384117126465 0
<unk> 2 3 5 2.4356932640075684 7.268040657043457 0.6563434600830078
ask 2 4 3 7.903221130371094 7.288149833679199 0
how 2 5 3 7.127511501312256 4.392490386962891 2.8956594467163086
<unk> 2 6 5 1.2779525518417358 5.104658126831055 0
went 2 7 4 11.160619735717773 5.308311939239502 0
? 2 8 1 9.432446479797363 4.197824478149414 1.110487461090088
which 3 0 5 3.20222806930542 7.313408851623535 0
rings 3 1 5 18.19809341430664 3.363443613052368 3.949965238571167
did 3 2 3 7.444349765777588 7.162786960601807 0
will 3 3 4 8.40912914276123 7.794549465179443 0
ask 3 4 3 10.965909957885742 6.31728982925415 1.477259635925293
why 3 5 3 5.169081687927246 5.72410249710083 0.5931873321533203
<unk> 3 6 5 1.385159969329834 5.171806335449219 0.5522961616516113
wears 3 7 5 16.357528686523438 6.329509258270264 0
? 3 8 1 6.651618957519531 6.430919170379639 0
which 4 0 5 3.20222806930542 7.313408851623535 0
plan 4 1 4 16.910104751586914 3.363443613052368 3.949965238571167
did 4 2 3 4.764769077301025 7.317695140838623 0
she 4 3 3 10.562292098999023 7.399727821350098 0
say 4 4 3 9.348187446594238 7.496072769165039 0
that 4 5 4 3.2109017372131348 4.886498928070068 2.6095738410949707
will 4 6 4 8.362178802490234 5.122458457946777 0
thinks 4 7 6 15.39152717590332 5.8074235916137695 0
he 4 8 2 6.160664081573486 5.369779109954834 0.43764448165893555
knows 4 9 5 10.526394844055176 6.056623458862305 0
where 4 10 5 8.192177772521973 5.828882217407227 0.22774124145507812
<unk> 4 11 5 1.0726029872894287 4.664753437042236 1.1641287803649902
announced 4 12 9 15.751449584960938 5.986624717712402 0
? 4 13 1 9.872675895690918 5.2962164878845215 0.6904082298278809
which 5 0 5 3.20222806930542 7.313408851623535 0
attribute 5 1 9 21.59503936767578 3.363443613052368 3.949965238571167
did 5 2 3 4.486910343170166 5.988013744354248 0
they 5 3 4 5.159426689147949 6.417431354522705 0
not 5 4 3 7.813224792480469 6.739477157592773 0
like 5 5 4 7.538884162902832 5.896756649017334 0.8427205085754395
that 5 6 4 4.578004837036133 6.307894229888916 0
<unk> 5 7 5 1.1939411163330078 5.963072776794434 0.3448214530944824
wonders 5 8 7 17.46721649169922 5.953307628631592 0.009765148162841797
how 5 9 3 8.17762279510498 4.801702976226807 1.1516046524047852
<unk> 5 10 5 1.3360792398452759 5.164738655090332 0
was 5 11 3 7.083909034729004 5.868281364440918 0
? 5 12 1 10.0901460647583 8.372840881347656 0
which 6 0 5 3.20222806930542 7.313408851623535 0
item 6 1 4 18.20921516418457 3.363443613052368 3.949965238571167
did 6 2 3 4.739015579223633 7.287928581237793 0
<unk> 6 3 5 2.6723368167877197 7.250184059143066 0.03774452209472656
ask 6 4 3 8.637312889099121 7.241220951080322 0.00896310806274414
when 6 5 4 11.563023567199707 4.390340328216553 2.8508806228637695
<unk> 6 6 5 1.6824485063552856 5.918650150299072 0
ate 6 7 3 18.463224411010742 5.036951065063477 0.8816990852355957
? 6 8 1 6.520684242248535 6.4744367599487305 0
which 7 0 5 3.20222806930542 7.313408851623535 0
