word sentid sentpos wlen surp entropy entred
where 0 0 5 8.418042182922363 7.313408851623535 0
did 0 1 3 6.753771781921387 4.28043270111084 3.0329761505126953
<unk> 0 2 5 1.7396060228347778 6.441744804382324 0
ask 0 3 3 9.05521297454834 6.770442962646484 0
who 0 4 3 9.330973625183105 4.898801803588867 1.8716411590576172
<unk> 0 5 5 1.273447036743164 4.977117538452148 0
took 0 6 4 12.134302139282227 5.829883575439453 0
? 0 7 1 8.726140022277832 5.227773189544678 0.6021103858947754
what 1 0 4 7.826475620269775 7.313408851623535 0
did 1 1 3 5.620502471923828 3.634042501449585 3.67936635017395
she 1 2 3 8.81869888305664 5.216916084289551 0
say 1 3 3 8.966968536376953 5.873323917388916 0
that 1 4 4 5.187242031097412 5.3352460861206055 0.5380778312683105
<unk> 1 5 5 1.1644108295440674 5.0499267578125 0.28531932830810547
asked 1 6 5 8.050371170043945 5.447436809539795 0
who 1 7 3 9.425909996032715 2.700540065765381 2.746896743774414
will 1 8 4 8.116290092468262 5.097992420196533 0
read 1 9 4 11.036117553710938 6.127884864807129 0
? 1 10 1 5.437859535217285 6.006506443023682 0.12137842178344727
where 2 0 5 8.418042182922363 7.313408851623535 0
did 2 1 3 6.753771781921387 4.28043270111084 3.0329761505126953
<unk> 2 2 5 1.7396060228347778 6.441744804382324 0
ask 2 3 3 9.05521297454834 6.770442962646484 0
how 2 4 3 7.894003868103027 4.898801803588867 1.8716411590576172
<unk> 2 5 5 1.132055640220642 4.705986499786377 0.19281530380249023
went 2 6 4 11.156563758850098 5.838956832885742 0
? 2 7 1 9.426054954528809 4.810291290283203 1.028665542602539
what 3 0 4 7.826475620269775 7.313408851623535 0
did 3 1 3 5.620502471923828 3.634042501449585 3.67936635017395
will 3 2 4 10.726568222045898 5.216916084289551 0
ask 3 3 3 10.815352439880371 4.5386505126953125 0.6782655715942383
why 3 4 3 4.469273567199707 4.760517597198486 0
<unk> 3 5 5 1.320447564125061 4.679953575134277 0.08056402206420898
wears 3 6 5 17.05035972595215 5.623524188995361 0
? 3 7 1 6.622531890869141 7.500720500946045 0
what 4 0 4 7.826475620269775 7.313408851623535 0
did 4 1 3 5.620502471923828 3.634042501449585 3.67936635017395
she 4 2 3 8.81869888305664 5.216916084289551 0
say 4 3 3 8.966968536376953 5.873323917388916 0
that 4 4 4 5.187242031097412 5.3352460861206055 0.5380778312683105
will 4 5 4 10.109007835388184 5.0499267578125 0.28531932830810547
