word sentid sentpos wlen surp entropy entred
where 0 0 5 8.923884391784668 5.966977119445801 0
did 0 1 3 5.269550323486328 6.1446990966796875 0
<unk> 0 2 5 1.9991822242736816 7.050858497619629 0
ask 0 3 3 10.255820274353027 6.692248821258545 0.358609676361084
who 0 4 3 6.879718780517578 6.75206995010376 0
<unk> 0 5 5 2.2048838138580322 7.263067245483398 0
took 0 6 4 11.007506370544434 7.136190891265869 0.1268763542175293
? 0 7 1 9.028217315673828 7.520079135894775 0
what 1 0 4 7.095675945281982 5.966977119445801 0
did 1 1 3 4.511693954467773 5.179162502288818 0.7878146171569824
she 1 2 3 8.781761169433594 6.288845062255859 0
say 1 3 3 10.817822456359863 6.448788166046143 0
that 1 4 4 3.121393918991089 6.176119804382324 0.27266836166381836
<unk> 1 5 5 2.046224355697632 7.451859474182129 0
asked 1 6 5 9.32690143585205 7.356596946716309 0.09526252746582031
who 1 7 3 7.712780952453613 5.549348831176758 1.8072481155395508
will 1 8 4 7.368902206420898 7.064254283905029 0
read 1 9 4 9.5927095413208 7.456752300262451 0
? 1 10 1 4.285500526428223 6.892683029174805 0.5640692710876465
where 2 0 5 8.923884391784668 5.966977119445801 0
did 2 1 3 5.269550323486328 6.1446990966796875 0
<unk> 2 2 5 1.9991822242736816 7.050858497619629 0
ask 2 3 3 10.255820274353027 6.692248821258545 0.358609676361084
how 2 4 3 8.879910469055176 6.75206995010376 0
<unk> 2 5 5 2.1071066856384277 6.334384918212891 0.41768503189086914
went 2 6 4 10.215953826904297 6.849106788635254 0
? 2 7 1 7.217176914215088 5.490416526794434 1.3586902618408203
what 3 0 4 7.095675945281982 5.966977119445801 0
did 3 1 3 4.511693954467773 5.179162502288818 0.7878146171569824
will 3 2 4 5.871725559234619 6.288845062255859 0
ask 3 3 3 9.643635749816895 6.850959777832031 0
why 3 4 3 7.9658284187316895 5.918757438659668 0.9322023391723633
<unk> 3 5 5 2.1707029342651367 5.66846227645874 0.25029516220092773
wears 3 6 5 17.947004318237305 6.376518726348877 0
? 3 7 1 4.706209659576416 8.000645637512207 0
what 4 0 4 7.095675945281982 5.966977119445801 0
did 4 1 3 4.511693954467773 5.179162502288818 0.7878146171569824
she 4 2 3 8.781761169433594 6.288845062255859 0
say 4 3 3 10.817822456359863 6.448788166046143 0
that 4 4 4 3.121393918991089 6.176119804382324 0.27266836166381836
will 4 5 4 8.902681350708008 7.451859474182129 0
thinks 4 6 6 14.27812385559082 6.816432476043701 0.6354269981384277
he 4 7 2 6.105184078216553 6.011650085449219 0.8047823905944824
knows 4 8 5 9.668473243713379 6.302714824676514 0
where 4 9 5 6.410369873046875 5.555987358093262 0.746727466583252
<unk> 4 10 5 2.0776591300964355 6.3307881355285645 0
announced 4 11 9 15.432475090026855 6.649244785308838 0
? 4 12 1 6.242130756378174 6.17360782623291 0.47563695907592773
what 5 0 4 7.095675945281982 5.966977119445801 0
did 5 1 3 4.511693954467773 5.179162502288818 0.7878146171569824
they 5 2 4 4.089981555938721 6.288845062255859 0
not 5 3 3 7.124200344085693 5.807492256164551 0.4813528060913086
like 5 4 4 5.783658027648926 6.766707420349121 0
that 5 5 4 4.07603645324707 6.767383098602295 0
<unk> 5 6 5 1.7414244413375854 6.371441841125488 0.39594125747680664
wonders 5 7 7 16.80068016052246 7.0430707931518555 0
how 5 8 3 5.895608425140381 4.633399963378906 2.409670829772949
<unk> 5 9 5 2.4893863201141357 6.85029935836792 0
was 5 10 3 7.306832790374756 7.03953742980957 0
? 5 11 1 9.107542037963867 8.428677558898926 0
what 6 0 4 7.095675945281982 5.966977119445801 0
did 6 1 3 4.511693954467773 5.179162502288818 0.7878146171569824
<unk> 6 2 5 1.8397108316421509 6.288845062255859 0
ask 6 3 3 10.209091186523438 6.534734725952148 0
when 6 4 4 7.9051899909973145 6.297874927520752 0.23685979843139648
<unk> 6 5 5 1.6090993881225586 6.247734069824219 0.0501408576965332
ate 6 6 3 15.854063987731934 6.801888465881348 0
? 6 7 1 3.6062567234039307 7.193150997161865 0
what 7 0 4 7.095675945281982 5.966977119445801 0
does 7 1 4 7.469044208526611 5.179162502288818 0.7878146171569824
<unk> 7 2 5 2.0319080352783203 6.168901443481445 0
wonder 7 3 6 5.684826374053955 6.434672832489014 0
where 7 4 5 12.781742095947266 0.3222180902957916 6.112454742193222
<unk> 7 5 5 2.1585755348205566 7.7111735343933105 0
buys 7 6 4 18.223928451538086 7.541127681732178 0.1700458526611328
? 7 7 1 3.8019206523895264 7.369575023651123 0.1715526580810547
what 8 0 4 7.095675945281982 5.966977119445801 0
does 8 1 4 7.469044208526611 5.179162502288818 0.7878146171569824
will 8 2 4 5.837195873260498 6.168901443481445 0
wonder 8 3 6 4.759346961975098 6.670670509338379 0
how 8 4 3 9.441575050354004 0.2344074249267578 6.436263084411621
he 8 5 2 5.820318222045898 8.054679870605469 0
will 8 6 4 4.468361854553223 7.13076114654541 0.9239187240600586
read 8 7 4 10.033283233642578 7.800842761993408 0
? 8 8 1 2.9925718307495117 6.789706707000732 1.0111360549926758
how 9 0 3 8.498844146728516 5.966977119445801 0
did 9 1 3 4.717979907989502 6.276351451873779 0
he 9 2 2 6.080173492431641 6.842278003692627 0
hear 9 3 4 9.947457313537598 6.776046276092529 0.06623172760009766
that 9 4 4 4.533015727996826 6.796108245849609 0
<unk> 9 5 5 1.938641905784607 7.121654987335205 0
thinks 9 6 6 14.039005279541016 7.420049667358398 0
he 9 7 2 4.830320358276367 5.948363304138184 1.4716863632202148
knows 9 8 5 9.263150215148926 6.56842041015625 0
where 9 9 5 6.221965789794922 5.854666233062744 0.7137541770935059
<unk> 9 10 5 2.177821397781372 6.300601005554199 0
gets 9 11 4 12.256298065185547 6.664937973022461 0
? 9 12 1 5.024114608764648 7.3514933586120605 0
whom 10 0 4 14.360422134399414 5.966977119445801 0
does 10 1 4 8.570488929748535 5.551177978515625 0.4157991409301758
<unk> 10 2 5 2.3685500621795654 6.942175388336182 0
wonder 10 3 6 5.959242820739746 6.884004592895508 0.05817079544067383
