word sentid sentpos wlen surp entropy entred
which 0 0 5 9.020678520202637 6.691802978515625 0
place 0 1 5 13.442048072814941 6.185137748718262 0.5066652297973633
did 0 2 3 6.196495532989502 5.817671775817871 0.3674659729003906
<unk> 0 3 5 5.790929794311523 5.861295223236084 0
ask 0 4 3 3.9895131587982178 6.4536285400390625 0
who 0 5 3 6.302892208099365 6.318380355834961 0.13524818420410156
<unk> 0 6 5 5.395285129547119 5.43076753616333 0.8876128196716309
took 0 7 4 12.423338890075684 5.702481269836426 0
? 0 8 1 3.9418458938598633 5.55098819732666 0.15149307250976562
which 1 0 5 9.020678520202637 6.691802978515625 0
comics 1 1 6 16.739032745361328 6.185137748718262 0.5066652297973633
did 1 2 3 2.012803792953491 6.138304233551025 0.04683351516723633
she 1 3 3 8.677857398986816 5.824535846710205 0.3137683868408203
say 1 4 3 6.7258830070495605 6.752108573913574 0
that 1 5 4 8.186427116394043 5.069380760192871 1.6827278137207031
<unk> 1 6 5 4.776719570159912 5.913720607757568 0
asked 1 7 5 8.879607200622559 5.613714218139648 0.3000063896179199
who 1 8 3 6.160505294799805 5.64777135848999 0
will 1 9 4 9.314298629760742 5.572451591491699 0.07531976699829102
read 1 10 4 8.339680671691895 4.1173577308654785 1.4550938606262207
? 1 11 1 1.2986204624176025 4.6973066329956055 0
which 2 0 5 9.020678520202637 6.691802978515625 0
place 2 1 5 13.442048072814941 6.185137748718262 0.5066652297973633
did 2 2 3 6.196495532989502 5.817671775817871 0.3674659729003906
<unk> 2 3 5 5.790929794311523 5.861295223236084 0
ask 2 4 3 3.9895131587982178 6.4536285400390625 0
how 2 5 3 3.6806206703186035 6.318380355834961 0.13524818420410156
<unk> 2 6 5 4.35175895690918 5.475584983825684 0.8427953720092773
went 2 7 4 12.75947093963623 3.838545322418213 1.6370396614074707
? 2 8 1 4.480870246887207 6.900887966156006 0
which 3 0 5 9.020678520202637 6.691802978515625 0
rings 3 1 5 16.20831871032715 6.185137748718262 0.5066652297973633
did 3 2 3 3.4305026531219482 5.7796173095703125 0.4055204391479492
will 3 3 4 8.148417472839355 5.874676704406738 0
ask 3 4 3 5.373228073120117 4.028717517852783 1.845959186553955
why 3 5 3 3.7343199253082275 5.888490676879883 0
<unk> 3 6 5 4.449166297912598 5.475335121154785 0.41315555572509766
wears 3 7 5 16.047727584838867 4.159249782562256 1.3160853385925293
? 3 8 1 3.2409415245056152 5.5165934562683105 0
which 4 0 5 9.020678520202637 6.691802978515625 0
plan 4 1 4 13.118378639221191 6.185137748718262 0.5066652297973633
did 4 2 3 4.054101467132568 6.163358688354492 0.02177906036376953
she 4 3 3 8.756024360656738 5.972396373748779 0.1909623146057129
say 4 4 3 6.572309494018555 7.087307453155518 0
that 4 5 4 7.561276435852051 5.676848888397217 1.4104585647583008
will 4 6 4 9.322924613952637 5.988058090209961 0
thinks 4 7 6 13.496598243713379 2.736025333404541 3.25203275680542
he 4 8 2 8.36964225769043 5.557274341583252 0
knows 4 9 5 11.10260009765625 6.143250465393066 0
where 4 10 5 5.1077799797058105 5.3253865242004395 0.817863941192627
<unk> 4 11 5 4.723212242126465 5.534192085266113 0
announced 4 12 9 11.633390426635742 4.553201198577881 0.9809908866882324
? 4 13 1 2.6074485778808594 6.028635025024414 0
which 5 0 5 9.020678520202637 6.691802978515625 0
attribute 5 1 9 18.871543884277344 6.185137748718262 0.5066652297973633
did 5 2 3 6.625833988189697 4.66491174697876 1.520226001739502
they 5 3 4 10.927668571472168 5.694015979766846 0
not 5 4 3 8.838210105895996 7.380631446838379 0
like 5 5 4 8.153456687927246 7.735555171966553 0
that 5 6 4 6.856479644775391 5.683557510375977 2.051997661590576
<unk> 5 7 5 5.0021891593933105 7.07695198059082 0
wonders 5 8 7 15.705705642700195 6.807788848876953 0.2691631317138672
how 5 9 3 2.8640966415405273 5.609363555908203 1.19842529296875
<unk> 5 10 5 4.054222583770752 6.5463056564331055 0
was 5 11 3 9.86670970916748 4.405446529388428 2.1408591270446777
? 5 12 1 6.203480243682861 2.3923959732055664 2.0130505561828613
which 6 0 5 9.020678520202637 6.691802978515625 0
item 6 1 4 16.86260414123535 6.185137748718262 0.5066652297973633
did 6 2 3 2.767192840576172 5.739951133728027 0.4451866149902344
<unk> 6 3 5 5.733781337738037 5.648123264312744 0.0918278694152832
ask 6 4 3 3.860384225845337 6.372283458709717 0
when 6 5 4 7.5085768699646 6.275890350341797 0.09639310836791992
<unk> 6 6 5 3.561631202697754 6.088193416595459 0.1876969337463379
ate 6 7 3 16.275962829589844 5.869649410247803 0.21854400634765625
? 6 8 1 5.31386137008667 3.811161994934082 2.0584874153137207
which 7 0 5 9.020678520202637 6.691802978515625 0
beverage 7 1 8 20.329851150512695 6.185137748718262 0.5066652297973633
does 7 2 4 6.963371276855469 5.446242332458496 0.7388954162597656
<unk> 7 3 5 5.628079891204834 5.389805316925049 0.056437015533447266
wonder 7 4 6 9.031871795654297 6.325169086456299 0
where 7 5 5 5.957520961761475 6.283173084259033 0.041996002197265625
<unk> 7 6 5 4.792201519012451 6.204290866851807 0.07888221740722656
buys 7 7 4 16.095409393310547 4.48243522644043 1.721855640411377
? 7 8 1 6.281321048736572 4.742180824279785 0
which 8 0 5 9.020678520202637 6.691802978515625 0
comics 8 1 6 16.739032745361328 6.185137748718262 0.5066652297973633
does 8 2 4 7.205228328704834 6.138304233551025 0.04683351516723633
will 8 3 4 8.800524711608887 4.940151691436768 1.1981525421142578
wonder 8 4 6 7.071603775024414 2.4180192947387695 2.522132396697998
how 8 5 3 3.383748769760132 5.8066229820251465 0
he 8 6 2 9.843008995056152 5.444533348083496 0.3620896339416504
will 8 7 4 8.036065101623535 5.887376308441162 0
read 8 8 4 7.328774452209473 3.6033926010131836 2.2839837074279785
? 8 9 1 1.0462102890014648 4.231396675109863 0
which 9 0 5 9.020678520202637 6.691802978515625 0
way 9 1 3 13.72055435180664 6.185137748718262 0.5066652297973633
did 9 2 3 3.014376401901245 6.017906188964844 0.16723155975341797
he 9 3 2 7.9642510414123535 5.9203596115112305 0.09754657745361328
hear 9 4 4 10.093195915222168 6.796802043914795 0
that 9 5 4 7.8637375831604 5.954677581787109 0.8421244621276855
<unk> 9 6 5 5.203619003295898 6.234744071960449 0
thinks 9 7 6 11.636582374572754 5.550938606262207 0.6838054656982422
he 9 8 2 7.355311393737793 5.335484981536865 0.2154536247253418
knows 9 9 5 11.586139678955078 6.109493732452393 0
where 9 10 5 3.759587287902832 5.327221870422363 0.7822718620300293
<unk> 9 11 5 4.535362243652344 5.445286273956299 0
gets 9 12 4 12.250164985656738 4.358588218688965 1.086698055267334
? 9 13 1 5.1656718254089355 5.917116641998291 0
which 10 0 5 9.020678520202637 6.691802978515625 0
man 10 1 3 11.35551643371582 6.185137748718262 0.5066652297973633
does 10 2 4 7.064684867858887 6.970035076141357 0
<unk> 10 3 5 5.759962558746338 5.859871864318848 1.1101632118225098
wonder 10 4 6 8.969043731689453 6.114691257476807 0
how 10 5 3 4.4889631271362305 6.031987190246582 0.08270406723022461
<unk> 10 6 5 4.569300174713135 5.725615978240967 0.30637121200561523
is 10 7 2 8.105888366699219 4.032100200653076 1.6935157775878906
waiting 10 8 7 14.066423416137695 3.106921911239624 0.9251782894134521
for 10 9 3 6.0549726486206055 5.112977027893066 0
? 10 10 1 4.420116424560547 5.565478324890137 0
which 11 0 5 9.020678520202637 6.691802978515625 0
attribute 11 1 9 18.871543884277344 6.185137748718262 0.5066652297973633
did 11 2 3 6.625833988189697 4.66491174697876 1.520226001739502
<unk> 11 3 5 5.561318874359131 5.694015979766846 0
ask 11 4 3 4.047804832458496 6.384541988372803 0
why 11 5 3 4.630993843078613 6.232616424560547 0.15192556381225586
<unk> 11 6 5 4.340868949890137 5.645150661468506 0.587465763092041
is 11 7 2 8.93876838684082 4.233442306518555 1.4117083549499512
? 11 8 1 3.7773237228393555 2.9264843463897705 1.3069579601287842
which 12 0 5 9.020678520202637 6.691802978515625 0
profession 12 1 10 18.369388580322266 6.185137748718262 0.5066652297973633
did 12 2 3 2.487194776535034 7.059975624084473 0
