word sentid sentpos wlen surp entropy entred
how 0 0 3 9.791236877441406 6.085615158081055 0
did 0 1 3 6.003077030181885 6.368799209594727 0
bill 0 2 4 14.727899551391602 5.215909957885742 1.1528892517089844
claim 0 3 5 16.0914306640625 4.77249002456665 0.4434199333190918
that 0 4 4 3.4065005779266357 5.981374740600586 0
today 0 5 5 11.715188980102539 5.941232681274414 0.040142059326171875
is 0 6 2 3.982074737548828 4.471839904785156 1.4693927764892578
his 0 7 3 7.160014629364014 6.646010398864746 0
last 0 8 4 10.057037353515625 7.5233330726623535 0
day 0 9 3 6.768579483032227 8.175712585449219 0
? 0 10 1 3.918027877807617 6.45400333404541 1.7217092514038086
how 1 0 3 9.791236877441406 6.085615158081055 0
does 1 1 4 7.918447971343994 6.368799209594727 0
<unk> 1 2 5 5.8223700523376465 5.442444801330566 0.9263544082641602
claim 1 3 5 15.292715072631836 5.233313083648682 0.20913171768188477
that 1 4 4 3.6164469718933105 5.563259601593018 0
he 1 5 2 5.333661079406738 6.590167999267578 0
has 1 6 3 9.263190269470215 3.2743589878082275 3.3158090114593506
a 1 7 1 6.99990701675415 7.568090915679932 0
boat 1 8 4 11.459592819213867 7.846597671508789 0
and 1 9 3 7.024572372436523 6.030167102813721 1.8164305686950684
a 1 10 1 5.999314785003662 6.76788330078125 0
car 1 11 3 9.887592315673828 8.36403751373291 0
? 1 12 1 4.785356044769287 5.997990608215332 2.366046905517578
how 2 0 3 9.791236877441406 6.085615158081055 0
did 2 1 3 6.003077030181885 6.368799209594727 0
she 2 2 3 4.456036567687988 5.215909957885742 1.1528892517089844
think 2 3 5 9.481197357177734 4.171800136566162 1.04410982131958
that 2 4 4 4.104796886444092 6.795119762420654 0
she 2 5 3 3.0317542552948 5.596602439880371 1.1985173225402832
bought 2 6 6 13.82823657989502 2.402348041534424 3.1942543983459473
beans 2 7 5 18.702735900878906 6.093222618103027 0
and 2 8 3 5.698919773101807 5.802465438842773 0.2907571792602539
<unk> 2 9 5 5.307030200958252 7.52299165725708 0
? 2 10 1 5.477039813995361 5.931881904602051 1.5911097526550293
how 3 0 3 9.791236877441406 6.085615158081055 0
