word sentid sentpos wlen surp entropy entred
how 0 0 3 10.288249015808105 7.3534417152404785 0
did 0 1 3 4.30854606628418 6.1094160079956055 1.244025707244873
bill 0 2 4 11.962002754211426 7.476478576660156 0
claim 0 3 5 14.799534797668457 5.211950302124023 2.264528274536133
that 0 4 4 2.7334072589874268 6.644032955169678 0
today 0 5 5 12.754022598266602 6.661870956420898 0
is 0 6 2 4.625667095184326 5.637740135192871 1.0241308212280273
his 0 7 3 6.231531143188477 8.25097370147705 0
last 0 8 4 10.969368934631348 9.06505298614502 0
day 0 9 3 8.132134437561035 8.741561889648438 0.32349109649658203
? 0 10 1 4.221166133880615 7.2915496826171875 1.45001220703125
how 1 0 3 10.288249015808105 7.3534417152404785 0
does 1 1 4 7.8805131912231445 6.1094160079956055 1.244025707244873
<unk> 1 2 5 5.837118148803711 7.426933288574219 0
claim 1 3 5 13.743144989013672 6.663814544677734 0.7631187438964844
that 1 4 4 2.8321032524108887 6.68830680847168 0
he 1 5 2 6.820329666137695 6.987398624420166 0
has 1 6 3 7.387461185455322 8.121438980102539 0
a 1 7 1 4.712355136871338 8.670760154724121 0
boat 1 8 4 11.464067459106445 10.518980026245117 0
and 1 9 3 6.8455328941345215 7.381913661956787 3.13706636428833
a 1 10 1 5.795402526855469 8.60321044921875 0
car 1 11 3 8.874464988708496 10.11851978302002 0
? 1 12 1 5.167841911315918 6.880599498748779 3.2379202842712402
how 2 0 3 10.288249015808105 7.3534417152404785 0
did 2 1 3 4.30854606628418 6.1094160079956055 1.244025707244873
she 2 2 3 5.548393726348877 7.476478576660156 0
think 2 3 5 9.164400100708008 8.575210571289062 0
that 2 4 4 3.5389161109924316 6.256882190704346 2.318328380584717
she 2 5 3 4.009270191192627 6.446629047393799 0
bought 2 6 6 13.656807899475098 8.305551528930664 0
beans 2 7 5 15.448023796081543 6.839864730834961 1.4656867980957031
and 2 8 3 4.997500896453857 6.535973072052002 0.303891658782959
<unk> 2 9 5 4.502135276794434 8.656982421875 0
? 2 10 1 6.673730373382568 6.910086154937744 1.7468962669372559
how 3 0 3 10.288249015808105 7.3534417152404785 0
does 3 1 4 7.8805131912231445 6.1094160079956055 1.244025707244873
<unk> 3 2 5 5.837118148803711 7.426933288574219 0
claim 3 3 5 13.743144989013672 6.663814544677734 0.7631187438964844
that 3 4 4 2.8321032524108887 6.68830680847168 0
he 3 5 2 6.820329666137695 6.987398624420166 0
can 3 6 3 8.199333190917969 8.121438980102539 0
make 3 7 4 7.061635971069336 8.741440773010254 0
<unk> 3 8 5 6.6049346923828125 7.044965744018555 1.6964750289916992
and 3 9 3 8.696136474609375 7.804600238800049 0
espresso 3 10 8 19.845458984375 8.453996658325195 0
? 3 11 1 5.931656837463379 6.805026054382324 1.648970603942871
how 4 0 3 10.288249015808105 7.3534417152404785 0
does 4 1 4 7.8805131912231445 6.1094160079956055 1.244025707244873
she 4 2 3 5.792098522186279 7.426933288574219 0
know 4 3 4 9.196174621582031 8.600373268127441 0
that 4 4 4 3.2003729343414307 6.291579246520996 2.3087940216064453
she 4 5 3 4.438404560089111 6.775906562805176 0
failed 4 6 6 13.054116249084473 8.36241626739502 0
the 4 7 3 7.380523204803467 4.522532939910889 3.839883327484131
test 4 8 4 11.296379089355469 10.95499038696289 0
? 4 9 1 4.245913982391357 8.478118896484375 2.4768714904785156
how 5 0 3 10.288249015808105 7.3534417152404785 0
did 5 1 3 4.30854606628418 6.1094160079956055 1.244025707244873
he 5 2 2 5.9171552658081055 7.476478576660156 0
say 5 3 3 6.349462985992432 8.20188045501709 0
that 5 4 4 2.891566753387451 6.56007719039917 1.64180326461792
he 5 5 2 6.048081398010254 6.586211681365967 0
went 5 6 4 11.378674507141113 8.19510555267334 0
to 5 7 2 1.307601809501648 5.682982921600342 2.512122631072998
school 5 8 6 10.011539459228516 7.6196980476379395 0
? 5 9 1 3.5615525245666504 6.6675848960876465 0.952113151550293
how 6 0 3 10.288249015808105 7.3534417152404785 0
does 6 1 4 7.8805131912231445 6.1094160079956055 1.244025707244873
will 6 2 4 11.572181701660156 7.426933288574219 0
think 6 3 5 8.391190528869629 8.038580894470215 0
that 6 4 4 3.0167899131774902 6.211913585662842 1.826667308807373
bill 6 5 4 13.511493682861328 6.770674705505371 0
is 6 6 2 4.385182857513428 5.992302894592285 0.7783718109130859
pregnant 6 7 8 16.6600284576416 8.02828598022461 0
in 6 8 2 7.325942039489746 5.624017715454102 2.404268264770508
class 6 9 5 11.306469917297363 7.965247631072998 0
? 6 10 1 4.446706771850586 6.841894149780273 1.1233534812927246
how 7 0 3 10.288249015808105 7.3534417152404785 0
did 7 1 3 4.30854606628418 6.1094160079956055 1.244025707244873
<unk> 7 2 5 5.768810749053955 7.476478576660156 0
claim 7 3 5 13.549814224243164 6.937892913818359 0.5385856628417969
that 7 4 4 2.961627244949341 6.890900611877441 0.04699230194091797
he 7 5 2 6.679574489593506 6.917949676513672 0
fell 7 6 4 13.471932411193848 8.139078140258789 0
