word sentid sentpos wlen surp entropy entred
what 0 0 4 6.448303699493408 6.085615158081055 0
did 0 1 3 7.785102844238281 6.505346775054932 0
they 0 2 4 5.914677143096924 6.253045558929443 0.2523012161254883
not 0 3 3 10.24107837677002 3.4930777549743652 2.759967803955078
like 0 4 4 6.0565505027771 4.081202030181885 0
that 0 5 4 1.9823418855667114 5.565943717956543 0
<unk> 0 6 5 7.829301834106445 6.0566840171813965 0
likes 0 7 5 13.677360534667969 4.631398677825928 1.4252853393554688
and 0 8 3 7.39042854309082 5.752389907836914 0
accounts 0 9 8 16.820114135742188 6.968779563903809 0
? 0 10 1 3.5964324474334717 7.4132490158081055 0
who 1 0 3 1.5001263618469238 6.085615158081055 0
did 1 1 3 7.7681989669799805 5.911084175109863 0.1745309829711914
she 1 2 3 6.411078929901123 5.639660835266113 0.27142333984375
hear 1 3 4 7.106629371643066 3.622074604034424 2.0175862312316895
a 1 4 1 6.085556507110596 6.553030967712402 0
rumour 1 5 6 14.654273986816406 7.398800373077393 0
about 1 6 5 6.765194892883301 6.459883689880371 0.9389166831970215
and 1 7 3 7.939849376678467 6.944921493530273 0
wait 1 8 4 13.99414348602295 6.788120269775391 0.1568012237548828
for 1 9 3 4.594512462615967 5.693151950836182 1.094968318939209
? 1 10 1 4.921591758728027 6.5072455406188965 0
what 2 0 4 6.448303699493408 6.085615158081055 0
did 2 1 3 7.785102844238281 6.505346775054932 0
he 2 2 2 5.91917085647583 6.253045558929443 0.2523012161254883
hear 2 3 4 6.805938243865967 3.0098819732666016 3.243163585662842
that 2 4 4 4.198615074157715 5.972896099090576 0
<unk> 2 5 5 6.9875946044921875 5.9467926025390625 0.026103496551513672
ate 2 6 3 14.388452529907227 3.6022729873657227 2.34451961517334
accounts 2 7 8 18.780080795288086 5.490086078643799 0
and 2 8 3 6.48516845703125 6.580619812011719 0
? 2 9 1 5.701400279998779 8.225472450256348 0
what 3 0 4 6.448303699493408 6.085615158081055 0
did 3 1 3 7.785102844238281 6.505346775054932 0
will 3 2 4 12.468293190002441 6.253045558929443 0.2523012161254883
buy 3 3 3 12.366510391235352 4.280364513397217 1.9726810455322266
? 3 4 1 5.30531120300293 5.71493673324585 0
what 4 0 4 6.448303699493408 6.085615158081055 0
did 4 1 3 7.785102844238281 6.505346775054932 0
you 4 2 3 5.7240519523620605 6.253045558929443 0.2523012161254883
read 4 3 4 8.209274291992188 4.025688648223877 2.2273569107055664
