word sentid sentpos wlen surp entropy entred
what 0 0 4 6.159768581390381 7.644632339477539 0
did 0 1 3 6.383674144744873 6.261582851409912 1.383049488067627
they 0 2 4 6.904219627380371 6.115417003631592 0.1461658477783203
not 0 3 3 6.295914649963379 7.939927101135254 0
like 0 4 4 5.224328517913818 7.752814292907715 0.18711280822753906
that 0 5 4 2.3930563926696777 5.9027509689331055 1.8500633239746094
<unk> 0 6 5 6.900463104248047 7.095501899719238 0
likes 0 7 5 13.487377166748047 6.927608966827393 0.1678929328918457
and 0 8 3 7.1703338623046875 6.533241271972656 0.39436769485473633
accounts 0 9 8 16.431251525878906 7.467085361480713 0
? 0 10 1 4.708743095397949 6.543642520904541 0.9234428405761719
who 1 0 3 2.4539053440093994 7.644632339477539 0
did 1 1 3 6.6018147468566895 5.836026191711426 1.8086061477661133
she 1 2 3 6.532495975494385 6.62421989440918 0
hear 1 3 4 9.013046264648438 7.970870494842529 0
a 1 4 1 6.051311492919922 6.900508880615234 1.070361614227295
rumour 1 5 6 13.15530014038086 7.566100120544434 0
about 1 6 5 6.621338844299316 6.701386451721191 0.8647136688232422
and 1 7 3 7.292918682098389 7.569826126098633 0
wait 1 8 4 13.025874137878418 7.108761310577393 0.46106481552124023
for 1 9 3 4.196610450744629 5.8130693435668945 1.295691967010498
? 1 10 1 5.8625288009643555 5.974513530731201 0
what 2 0 4 6.159768581390381 7.644632339477539 0
did 2 1 3 6.383674144744873 6.261582851409912 1.383049488067627
he 2 2 2 6.852436065673828 6.115417003631592 0.1461658477783203
hear 2 3 4 8.37645435333252 8.227706909179688 0
that 2 4 4 3.822190523147583 6.838636875152588 1.3890700340270996
<unk> 2 5 5 6.083001136779785 6.629363536834717 0.2092733383178711
ate 2 6 3 14.669281959533691 6.5532426834106445 0.07612085342407227
accounts 2 7 8 17.908374786376953 5.001632213592529 1.5516104698181152
and 2 8 3 5.943384647369385 6.614132404327393 0
? 2 9 1 7.362706661224365 7.760676383972168 0
what 3 0 4 6.159768581390381 7.644632339477539 0
did 3 1 3 6.383674144744873 6.261582851409912 1.383049488067627
will 3 2 4 11.597132682800293 6.115417003631592 0.1461658477783203
buy 3 3 3 10.814680099487305 6.415078163146973 0
? 3 4 1 6.1831464767456055 6.539918422698975 0
what 4 0 4 6.159768581390381 7.644632339477539 0
did 4 1 3 6.383674144744873 6.261582851409912 1.383049488067627
you 4 2 3 6.924881935119629 6.115417003631592 0.1461658477783203
read 4 3 4 10.137594223022461 7.503581523895264 0
about 4 4 5 7.481583118438721 6.0856170654296875 1.4179644584655762
and 4 5 3 6.713922500610352 6.729621410369873 0
announce 4 6 8 15.52641487121582 7.313595771789551 0
about 4 7 5 9.004271507263184 6.225175380706787 1.0884203910827637
? 4 8 1 6.1144890785217285 6.85187292098999 0
what 5 0 4 6.159768581390381 7.644632339477539 0
did 5 1 3 6.383674144744873 6.261582851409912 1.383049488067627
he 5 2 2 6.852436065673828 6.115417003631592 0.1461658477783203
announce 5 3 8 12.644216537475586 8.227706909179688 0
a 5 4 1 6.031486511230469 6.308787822723389 1.9189190864562988
plan 5 5 4 7.994103908538818 8.083413124084473 0
and 5 6 3 8.071907997131348 4.259720802307129 3.8236923217773438
speak 5 7 5 14.709856033325195 7.269631862640381 0
? 5 8 1 5.6736907958984375 5.476171016693115 1.7934608459472656
which 6 0 5 6.699913501739502 7.644632339477539 0
subjects 6 1 8 15.912142753601074 6.834580898284912 0.810051441192627
did 6 2 3 5.137971878051758 6.599174499511719 0.23540639877319336
she 6 3 3 7.1653523445129395 6.581943035125732 0.017231464385986328
not 6 4 3 5.957608222961426 8.259525299072266 0
study 6 5 5 13.103296279907227 7.5319366455078125 0.7275886535644531
for 6 6 3 6.672900199890137 7.331972122192383 0.1999645233154297
or 6 7 2 8.205638885498047 7.7332844734191895 0
fail 6 8 4 15.367037773132324 7.165838241577148 0.567446231842041
the 6 9 3 8.666805267333984 3.8648877143859863 3.300950527191162
test 6 10 4 10.874628067016602 10.148082733154297 0
for 6 11 3 7.530132293701172 7.016291618347168 3.131791114807129
? 6 12 1 5.601611614227295 8.12390422821045 0
what 7 0 4 6.159768581390381 7.644632339477539 0
did 7 1 3 6.383674144744873 6.261582851409912 1.383049488067627
<unk> 7 2 5 6.140905380249023 6.115417003631592 0.1461658477783203
order 7 3 5 12.034695625305176 6.460152626037598 0
