word sentid sentpos wlen surp entropy entred
how 0 0 3 10.30842113494873 6.767085075378418 0
<unk> 0 1 5 6.164788246154785 4.79082727432251 1.9762578010559082
did 0 2 3 5.831138610839844 6.6661505699157715 0
she 0 3 3 6.509060382843018 6.994749069213867 0
say 0 4 3 3.4515979290008545 7.295646667480469 0
that 0 5 4 4.566811561584473 5.290159225463867 2.0054874420166016
he 0 6 2 6.465365886688232 6.635991096496582 0
directed 0 7 8 13.250777244567871 6.317856788635254 0.3181343078613281
the 0 8 3 9.549269676208496 5.288957595825195 1.0288991928100586
movie 0 9 5 10.608875274658203 9.420031547546387 0
that 0 10 4 5.478352069854736 7.0145416259765625 2.405489921569824
i 0 11 1 8.854072570800781 6.9399566650390625 0.0745849609375
saw 0 12 3 6.150021076202393 6.501466274261475 0.4384903907775879
yesterday 0 13 9 15.613700866699219 6.563868045806885 0
? 0 14 1 4.726619720458984 5.714311122894287 0.8495569229125977
how 1 0 3 10.30842113494873 6.767085075378418 0
discreet 1 1 8 20.213245391845703 4.79082727432251 1.9762578010559082
did 1 2 3 6.161301612854004 6.40205192565918 0
<unk> 1 3 5 5.976053714752197 6.794129371643066 0
hire 1 4 4 15.358111381530762 6.86671781539917 0
an 1 5 2 8.783357620239258 6.368690490722656 0.49802732467651367
agent 1 6 5 9.874503135681152 5.803566932678223 0.5651235580444336
? 1 7 1 3.987412214279175 5.330395698547363 0.4731712341308594
how 2 0 3 10.30842113494873 6.767085075378418 0
pretty 2 1 6 16.471437454223633 4.79082727432251 1.9762578010559082
does 2 2 4 9.27747631072998 6.669127941131592 0
<unk> 2 3 5 6.077000141143799 6.513182640075684 0.1559453010559082
like 2 4 4 6.828839302062988 6.379958629608154 0.1332240104675293
the 2 5 3 7.837513446807861 6.707302570343018 0
woman 2 6 5 11.60534381866455 8.591692924499512 0
? 2 7 1 4.693933963775635 5.0920090675354 3.4996838569641113
how 3 0 3 10.30842113494873 6.767085075378418 0
difficult 3 1 9 13.190077781677246 4.79082727432251 1.9762578010559082
did 3 2 3 6.599371910095215 5.409188747406006 0
he 3 3 2 7.579668998718262 6.136572360992432 0
hear 3 4 4 9.241877555847168 7.147984027862549 0
that 3 5 4 5.6025824546813965 6.19378137588501 0.9542026519775391
you 3 6 3 7.565699577331543 6.9215497970581055 0
failed 3 7 6 12.893545150756836 6.971123695373535 0
the 3 8 3 10.64301872253418 2.3919272422790527 4.579196453094482
test 3 9 4 10.955530166625977 9.752288818359375 0
? 3 10 1 4.113761901855469 7.018908500671387 2.7333803176879883
whose 4 0 5 11.062421798706055 6.767085075378418 0
did 4 1 3 7.29189920425415 8.383757591247559 0
she 4 2 3 6.191255569458008 7.021085739135742 1.3626718521118164
say 4 3 3 3.999864101409912 7.500481128692627 0
that 4 4 4 4.022894859313965 5.337482452392578 2.162998676300049
<unk> 4 5 5 6.035792827606201 6.639258861541748 0
eats 4 6 4 18.33344841003418 6.000741004943848 0.6385178565979004
<unk> 4 7 5 5.869070529937744 6.524418830871582 0
? 4 8 1 5.542333602905273 6.2862982749938965 0.23812055587768555
how 5 0 3 10.30842113494873 6.767085075378418 0
<unk> 5 1 5 6.164788246154785 4.79082727432251 1.9762578010559082
did 5 2 3 5.831138610839844 6.6661505699157715 0
she 5 3 3 6.509060382843018 6.994749069213867 0
