word sentid sentpos wlen surp entropy entred
how 0 0 3 9.228906631469727 7.644632339477539 0
<unk> 0 1 5 5.037113189697266 6.217865467071533 1.4267668724060059
did 0 2 3 5.474400520324707 6.682785511016846 0
she 0 3 3 7.066449165344238 6.408973217010498 0.27381229400634766
say 0 4 3 5.514399528503418 7.998980522155762 0
that 0 5 4 4.268868923187256 4.737565040588379 3.261415481567383
he 0 6 2 5.595080375671387 6.326535701751709 0
directed 0 7 8 12.229427337646484 7.661083698272705 0
the 0 8 3 6.529961109161377 5.860762119293213 1.8003215789794922
movie 0 9 5 9.180547714233398 9.95805835723877 0
that 0 10 4 5.377742767333984 5.49049711227417 4.4675612449646
i 0 11 1 7.254751205444336 6.6938605308532715 0
saw 0 12 3 7.885409832000732 7.233269214630127 0
yesterday 0 13 9 13.609977722167969 7.078237533569336 0.15503168106079102
? 0 14 1 6.137082576751709 5.835193157196045 1.243044376373291
how 1 0 3 9.228906631469727 7.644632339477539 0
discreet 1 1 8 18.570322036743164 6.217865467071533 1.4267668724060059
did 1 2 3 5.98930549621582 5.863574504852295 0.3542909622192383
<unk> 1 3 5 6.07777214050293 6.473427772521973 0
hire 1 4 4 16.08856964111328 6.797389984130859 0
an 1 5 2 8.623623847961426 6.0674262046813965 0.7299637794494629
agent 1 6 5 8.130178451538086 7.892874240875244 0
? 1 7 1 5.214090824127197 5.15696907043457 2.735905170440674
how 2 0 3 9.228906631469727 7.644632339477539 0
pretty 2 1 6 14.295886993408203 6.217865467071533 1.4267668724060059
does 2 2 4 9.661675453186035 6.472904205322266 0
<unk> 2 3 5 5.586070537567139 6.499356269836426 0
like 2 4 4 6.939993858337402 6.746426105499268 0
the 2 5 3 6.855518817901611 6.338415145874023 0.40801095962524414
woman 2 6 5 10.84189510345459 9.463027954101562 0
? 2 7 1 5.194549560546875 5.45729398727417 4.005733966827393
how 3 0 3 9.228906631469727 7.644632339477539 0
difficult 3 1 9 12.016048431396484 6.217865467071533 1.4267668724060059
did 3 2 3 6.821994304656982 5.615457057952881 0.6024084091186523
he 3 3 2 7.51392936706543 6.309592247009277 0
hear 3 4 4 8.385498046875 8.321999549865723 0
that 3 5 4 4.265153884887695 6.762691020965576 1.5593085289001465
you 3 6 3 7.004565238952637 6.567997455596924 0.19469356536865234
failed 3 7 6 13.716684341430664 7.290088176727295 0
the 3 8 3 9.781797409057617 1.906198501586914 5.383889675140381
test 3 9 4 10.861199378967285 10.371041297912598 0
? 3 10 1 6.264420032501221 6.782194137573242 3.5888471603393555
whose 4 0 5 10.870743751525879 7.644632339477539 0
did 4 1 3 7.013988971710205 8.841556549072266 0
she 4 2 3 6.654711723327637 7.368791580200195 1.4727649688720703
say 4 3 3 5.527170658111572 8.183238983154297 0
that 4 4 4 4.28670072555542 4.356234550476074 3.8270044326782227
<unk> 4 5 5 5.639575004577637 6.455935001373291 0
eats 4 6 4 16.957841873168945 7.078779220581055 0
<unk> 4 7 5 7.376928806304932 6.174911022186279 0.9038681983947754
? 4 8 1 4.826693534851074 7.170943737030029 0
how 5 0 3 9.228906631469727 7.644632339477539 0
<unk> 5 1 5 5.037113189697266 6.217865467071533 1.4267668724060059
did 5 2 3 5.474400520324707 6.682785511016846 0
she 5 3 3 7.066449165344238 6.408973217010498 0.27381229400634766
say 5 4 3 5.514399528503418 7.998980522155762 0
that 5 5 4 4.268868923187256 4.737565040588379 3.261415481567383
he 5 6 2 5.595080375671387 6.326535701751709 0
announced 5 7 9 13.879247665405273 7.661083698272705 0
a 5 8 1 6.3483686447143555 5.863445281982422 1.7976384162902832
plan 5 9 4 7.045735836029053 7.662714004516602 0
? 5 10 1 5.344666957855225 3.8921666145324707 3.770547389984131
how 6 0 3 9.228906631469727 7.644632339477539 0
pretty 6 1 6 14.295886993408203 6.217865467071533 1.4267668724060059
did 6 2 3 5.615389823913574 6.472904205322266 0
he 6 3 2 7.082369327545166 6.795409679412842 0
hear 6 4 4 9.754201889038086 8.098315238952637 0
that 6 5 4 4.183727741241455 6.746306419372559 1.3520088195800781
she 6 6 3 4.817148208618164 6.248342990875244 0.49796342849731445
read 6 7 4 9.402044296264648 7.2848358154296875 0
the 6 8 3 7.57649564743042 6.167995452880859 1.1168403625488281
<unk> 6 9 5 4.9139790534973145 8.924681663513184 0
comics 6 10 6 15.8007173538208 7.653522491455078 1.2711591720581055
? 6 11 1 6.528388023376465 6.662873268127441 0.9906492233276367
what 7 0 4 6.159768581390381 7.644632339477539 0
kind 7 1 4 11.274516105651855 6.261582851409912 1.383049488067627
does 7 2 4 9.655278205871582 5.066835880279541 1.194746971130371
<unk> 7 3 5 6.188746929168701 6.593564510345459 0
speak 7 4 5 13.086115837097168 6.841654300689697 0
a 7 5 1 7.239646911621094 6.078142166137695 0.763512134552002
language 7 6 8 12.025919914245605 6.826323509216309 0
? 7 7 1 4.3812761306762695 6.426183223724365 0.40014028549194336
how 8 0 3 9.228906631469727 7.644632339477539 0
expensive 8 1 9 14.86194133758545 6.217865467071533 1.4267668724060059
did 8 2 3 7.138192653656006 5.9623122215271 0.2555532455444336
they 8 3 4 7.046358108520508 6.7005815505981445 0
not 8 4 3 5.724928379058838 8.255193710327148 0
like 8 5 4 5.065962314605713 7.8575825691223145 0.397611141204834
that 8 6 4 2.523061513900757 5.961970329284668 1.8956122398376465
she 8 7 3 6.306220054626465 6.970062732696533 0
wears 8 8 5 13.560627937316895 6.790751934051514 0.17931079864501953
rings 8 9 5 16.349729537963867 4.778535842895508 2.012216091156006
? 8 10 1 5.555930137634277 7.12631368637085 0
how 9 0 3 9.228906631469727 7.644632339477539 0
pretty 9 1 6 14.295886993408203 6.217865467071533 1.4267668724060059
did 9 2 3 5.615389823913574 6.472904205322266 0
she 9 3 3 6.078528881072998 6.795409679412842 0
say 9 4 3 5.788661479949951 7.96716833114624 0
that 9 5 4 4.387936592102051 4.2495903968811035 3.7175779342651367
<unk> 9 6 5 5.800381660461426 6.288537979125977 0
likes 9 7 5 13.59311294555664 6.925918102264404 0
the 9 8 3 7.7690582275390625 6.260870933532715 0.6650471687316895
woman 9 9 5 10.025128364562988 9.420980453491211 0
? 9 10 1 5.256659984588623 5.6936540603637695 3.7273263931274414
how 10 0 3 9.228906631469727 7.644632339477539 0
blue 10 1 4 13.900867462158203 6.217865467071533 1.4267668724060059
did 10 2 3 6.094038009643555 5.445060729980469 0.7728047370910645
he 10 3 2 8.140445709228516 6.804090976715088 0
hear 10 4 4 9.601567268371582 8.37811279296875 0
that 10 5 4 4.210086822509766 6.906392574310303 1.4717202186584473
<unk> 10 6 5 6.30108118057251 6.461183071136475 0.4452095031738281
loaned 10 7 6 19.256969451904297 6.593433856964111 0
a 10 8 1 5.670361518859863 5.405037879943848 1.1883959770202637
trumpet 10 9 7 19.357995986938477 8.207676887512207 0
to 10 10 2 0.9506849050521851 4.196674346923828 4.011002540588379
you 10 11 3 6.290988922119141 7.315418720245361 0
? 10 12 1 4.404712200164795 6.263789176940918 1.0516295433044434
how 11 0 3 9.228906631469727 7.644632339477539 0
extravagant 11 1 11 17.465373992919922 6.217865467071533 1.4267668724060059
did 11 2 3 6.536725044250488 6.725548267364502 0
they 11 3 4 6.987838268280029 6.672410011291504 0.05313825607299805
not 11 4 3 5.686638832092285 8.221004486083984 0
like 11 5 4 4.794633388519287 7.887551784515381 0.3334527015686035
that 11 6 4 2.6659274101257324 6.000385284423828 1.8871665000915527
will 11 7 4 9.061261177062988 7.0176825523376465 0
wears 11 8 5 16.262178421020508 7.5063157081604 0
a 11 9 1 6.2315354347229 3.170384645462036 4.335931062698364
hat 11 10 3 9.558677673339844 9.91346549987793 0
? 11 11 1 6.039055347442627 6.858681678771973 3.054783821105957
whose 12 0 5 10.870743751525879 7.644632339477539 0
did 12 1 3 7.013988971710205 8.841556549072266 0
they 12 2 4 7.880330562591553 7.368791580200195 1.4727649688720703
not 12 3 3 5.756361484527588 8.365286827087402 0
like 12 4 4 5.700301170349121 7.952549457550049 0.4127373695373535
that 12 5 4 2.4831576347351074 6.129693984985352 1.8228554725646973
i 12 6 1 9.24759292602539 7.160131454467773 0
ate 12 7 3 13.481346130371094 6.773002624511719 0.3871288299560547
old 12 8 3 11.241543769836426 6.375879287719727 0.3971233367919922
<unk> 12 9 5 6.132167816162109 7.234044551849365 0
? 12 10 1 5.460484027862549 7.171505928039551 0.06253862380981445
