word sentid sentpos wlen surp entropy entred
who 0 0 3 1.962977647781372 7.3534417152404785 0
did 0 1 3 6.086838722229004 6.391944408416748 0.9614973068237305
he 0 2 2 7.098910808563232 7.290685653686523 0
hear 0 3 4 10.068893432617188 8.25934886932373 0
that 0 4 4 3.3860015869140625 7.363623142242432 0.8957257270812988
it 0 5 2 4.215892791748047 5.739570140838623 1.6240530014038086
is 0 6 2 5.966832160949707 3.8140671253204346 1.9255030155181885
important 0 7 9 4.621297836303711 8.02611255645752 0
to 0 8 2 1.444817304611206 5.732173442840576 2.2939391136169434
see 0 9 3 10.72910213470459 6.331133842468262 0
? 0 10 1 7.018360137939453 6.910656452178955 0
what 1 0 4 6.533797740936279 7.3534417152404785 0
is 1 1 2 5.297454357147217 5.736963748931885 1.6164779663085938
it 1 2 2 3.876610279083252 8.034025192260742 0
important 1 3 9 5.480291843414307 5.900224685668945 2.133800506591797
that 1 4 4 4.424869537353516 6.356037139892578 0
<unk> 1 5 5 6.580837249755859 6.378841876983643 0
buys 1 6 4 17.628225326538086 6.672255992889404 0
? 1 7 1 7.113016128540039 7.053020000457764 0
who 2 0 3 1.962977647781372 7.3534417152404785 0
did 2 1 3 6.086838722229004 6.391944408416748 0.9614973068237305
he 2 2 2 7.098910808563232 7.290685653686523 0
hear 2 3 4 10.068893432617188 8.25934886932373 0
that 2 4 4 3.3860015869140625 7.363623142242432 0.8957257270812988
it 2 5 2 4.215892791748047 5.739570140838623 1.6240530014038086
is 2 6 2 5.966832160949707 3.8140671253204346 1.9255030155181885
important 2 7 9 4.621297836303711 8.02611255645752 0
that 2 8 4 4.815311431884766 5.732173442840576 2.2939391136169434
<unk> 2 9 5 6.5379204750061035 5.917053699493408 0
knows 2 10 5 12.49860668182373 6.523247718811035 0
? 2 11 1 6.104275226593018 6.1307172775268555 0.3925304412841797
where 3 0 5 10.4860258102417 7.3534417152404785 0
did 3 1 3 6.60335111618042 6.544546127319336 0.8088955879211426
<unk> 3 2 5 6.386706352233887 7.523054122924805 0
tell 3 3 4 10.853626251220703 6.902975559234619 0.6200785636901855
you 3 4 3 6.331265926361084 6.7692413330078125 0.13373422622680664
that 3 5 4 3.055436611175537 6.690694808959961 0.07854652404785156
she 3 6 3 5.588496208190918 5.841328144073486 0.8493666648864746
went 3 7 4 11.184757232666016 8.19983959197998 0
? 3 8 1 4.927261829376221 5.8718743324279785 2.327965259552002
what 4 0 4 6.533797740936279 7.3534417152404785 0
did 4 1 3 5.774653911590576 5.736963748931885 1.6164779663085938
he 4 2 2 6.836422443389893 7.951573848724365 0
hear 4 3 4 10.550146102905273 8.106183052062988 0
that 4 4 4 3.343599319458008 7.536596775054932 0.5695862770080566
<unk> 4 5 5 6.231695652008057 5.874911785125732 1.6616849899291992
does 4 6 4 9.95119857788086 6.627381801605225 0
not 4 7 3 6.37548828125 7.279272556304932 0
do 4 8 2 7.230764389038086 7.872646808624268 0
? 4 9 1 3.7752413749694824 6.460773944854736 1.4118728637695312
what 5 0 4 6.533797740936279 7.3534417152404785 0
did 5 1 3 5.774653911590576 5.736963748931885 1.6164779663085938
he 5 2 2 6.836422443389893 7.951573848724365 0
hear 5 3 4 10.550146102905273 8.106183052062988 0
that 5 4 4 3.343599319458008 7.536596775054932 0.5695862770080566
<unk> 5 5 5 6.231695652008057 5.874911785125732 1.6616849899291992
thinks 5 6 6 11.616820335388184 6.627381801605225 0
their 5 7 5 4.656853199005127 6.131248950958252 0.49613285064697266
car 5 8 3 10.76150894165039 8.642155647277832 0
needed 5 9 6 12.44204330444336 6.717025279998779 1.9251303672790527
to 5 10 2 1.5478088855743408 5.715552806854248 1.0014724731445312
do 5 11 2 7.480529308319092 7.348093509674072 0
? 5 12 1 4.140285968780518 7.064548492431641 0.28354501724243164
who 6 0 3 1.962977647781372 7.3534417152404785 0
is 6 1 2 7.5990190505981445 6.391944408416748 0.9614973068237305
it 6 2 2 6.226882457733154 7.777109146118164 0
probable 6 3 8 13.725443840026855 5.928211212158203 1.848897933959961
that 6 4 4 4.0449042320251465 5.279148101806641 0.6490631103515625
<unk> 6 5 5 5.719483375549316 6.504975318908691 0
helped 6 6 6 13.336812973022461 6.431581020355225 0.0733942985534668
? 6 7 1 7.453652381896973 6.193530559539795 0.2380504608154297
what 7 0 4 6.533797740936279 7.3534417152404785 0
did 7 1 3 5.774653911590576 5.736963748931885 1.6164779663085938
they 7 2 4 6.077180862426758 7.951573848724365 0
not 7 3 3 8.28479290008545 8.68156623840332 0
like 7 4 4 5.234236240386963 7.480401992797852 1.2011642456054688
that 7 5 4 3.3581666946411133 6.428159236907959 1.0522427558898926
you 7 6 3 6.493799209594727 5.002959251403809 1.4251999855041504
read 7 7 4 11.309229850769043 7.769497871398926 0
that 7 8 4 4.677464008331299 7.135379791259766 0.6341180801391602
<unk> 7 9 5 7.194040298461914 4.702144145965576 2.4332356452941895
is 7 10 2 5.4619035720825195 6.271122932434082 0
trying 7 11 6 11.823003768920898 7.847842693328857 0
to 7 12 2 0.8644333481788635 3.7908477783203125 4.056994915008545
give 7 13 4 9.236760139465332 7.524969577789307 0
you 7 14 3 5.7939043045043945 6.530792713165283 0.9941768646240234
? 7 15 1 7.047818183898926 5.680443286895752 0.8503494262695312
who 8 0 3 1.962977647781372 7.3534417152404785 0
did 8 1 3 6.086838722229004 6.391944408416748 0.9614973068237305
they 8 2 4 7.87594747543335 7.290685653686523 0
not 8 3 3 8.228768348693848 8.593828201293945 0
like 8 4 4 6.03710412979126 7.023480415344238 1.570347785949707
that 8 5 4 3.2914555072784424 6.498018264770508 0.5254621505737305
it 8 6 2 4.3334736824035645 5.255849361419678 1.24216890335083
is 8 7 2 6.5500569343566895 3.586435317993164 1.6694140434265137
