word sentid sentpos wlen surp entropy entred
who 0 0 3 1.962977647781372 7.3534417152404785 0
was 0 1 3 9.859819412231445 6.391944408416748 0.9614973068237305
that 0 2 4 5.642881393432617 8.479260444641113 0
quipped 0 3 7 20.128644943237305 5.8266215324401855 2.6526389122009277
about 0 4 5 7.441299915313721 6.86016845703125 0
<unk> 0 5 5 5.348487854003906 7.609217643737793 0
analysis 0 6 8 15.08527660369873 7.347620487213135 0.2615971565246582
funny 0 7 5 18.16452980041504 7.059069633483887 0.28855085372924805
? 0 8 1 5.247913837432861 7.497595310211182 0
whom 1 0 4 8.474770545959473 7.3534417152404785 0
were 1 1 4 9.630719184875488 5.38610315322876 1.9673385620117188
two 1 2 3 9.593406677246094 8.375794410705566 0
rumours 1 3 7 16.4578914642334 8.914379119873047 0
about 1 4 5 5.634735107421875 6.574364185333252 2.340014934539795
waiting 1 5 7 14.735806465148926 7.782468795776367 0
? 1 6 1 4.189094066619873 6.35877799987793 1.4236907958984375
who 2 0 3 1.962977647781372 7.3534417152404785 0
does 2 1 4 11.851555824279785 6.391944408416748 0.9614973068237305
that 2 2 4 6.089311122894287 7.2627482414245605 0
wears 2 3 5 13.929642677307129 6.493715286254883 0.7690329551696777
extravagant 2 4 11 18.002944946289062 3.893308401107788 2.6004068851470947
rings 2 5 5 12.288589477539062 9.792597770690918 0
make 2 6 4 10.300206184387207 6.699741840362549 3.092855930328369
the 2 7 3 6.915576457977295 6.793691158294678 0
plan 2 8 4 10.932927131652832 10.83117961883545 0
unrealistic 2 9 11 16.21010971069336 7.247165203094482 3.584014415740967
? 2 10 1 4.963901042938232 6.201494216918945 1.045670986175537
whom 3 0 4 8.474770545959473 7.3534417152404785 0
loaned 3 1 6 20.821266174316406 5.38610315322876 1.9673385620117188
that 3 2 4 5.050889015197754 6.911907196044922 0
<unk> 3 3 5 6.754858016967773 6.051400661468506 0.860506534576416
heard 3 4 5 15.299835205078125 6.475579738616943 0
the 3 5 3 6.301589012145996 7.463132858276367 0
claim 3 6 5 11.157411575317383 11.038429260253906 0
a 3 7 1 7.116172790527344 5.911279201507568 5.127150058746338
trumpet 3 8 7 17.326948165893555 9.651891708374023 0
to 3 9 2 3.303440809249878 7.827644348144531 1.8242473602294922
you 3 10 3 8.184043884277344 7.368873596191406 0.458770751953125
? 3 11 1 5.338695049285889 7.228940010070801 0.13993358612060547
who 4 0 3 1.962977647781372 7.3534417152404785 0
is 4 1 2 7.5990190505981445 6.391944408416748 0.9614973068237305
that 4 2 4 5.437089920043945 7.777109146118164 0
is 4 3 2 5.459885597229004 5.436776638031006 2.340332508087158
a 4 4 1 5.869546413421631 7.997308254241943 0
teacher 4 5 7 10.363121032714844 9.93001937866211 0
unlikely 4 6 8 17.13724708557129 4.555513858795166 5.374505519866943
? 4 7 1 5.724062442779541 4.727250099182129 0
whom 5 0 4 8.474770545959473 7.3534417152404785 0
does 5 1 4 10.927352905273438 5.38610315322876 1.9673385620117188
