word sentid sentpos wlen surp entropy entred
where 0 0 5 9.704785346984863 6.767085075378418 0
did 0 1 3 7.355902194976807 6.83947229385376 0
<unk> 0 2 5 5.813854217529297 6.8715033531188965 0
ask 0 3 3 12.522784233093262 6.378018379211426 0.4934849739074707
who 0 4 3 2.788270950317383 5.18402624130249 1.1939921379089355
<unk> 0 5 5 6.426914691925049 5.920546531677246 0
took 0 6 4 11.651309967041016 5.885103702545166 0.03544282913208008
? 0 7 1 5.989552974700928 6.815413951873779 0
what 1 0 4 5.899620056152344 6.767085075378418 0
did 1 1 3 6.8205885887146 7.012754440307617 0
she 1 2 3 5.463521480560303 5.698708534240723 1.3140459060668945
say 1 3 3 3.318729877471924 6.499430179595947 0
that 1 4 4 4.340532302856445 5.401866436004639 1.0975637435913086
<unk> 1 5 5 6.0351243019104 6.4912519454956055 0
asked 1 6 5 13.368492126464844 5.651849269866943 0.8394026756286621
who 1 7 3 3.5325896739959717 4.8631415367126465 0.7887077331542969
will 1 8 4 11.745501518249512 5.7571611404418945 0
read 1 9 4 9.064044952392578 7.600839138031006 0
? 1 10 1 6.266877174377441 4.935448169708252 2.665390968322754
where 2 0 5 9.704785346984863 6.767085075378418 0
did 2 1 3 7.355902194976807 6.83947229385376 0
<unk> 2 2 5 5.813854217529297 6.8715033531188965 0
ask 2 3 3 12.522784233093262 6.378018379211426 0.4934849739074707
how 2 4 3 9.466976165771484 5.18402624130249 1.1939921379089355
<unk> 2 5 5 6.897121429443359 3.555300712585449 1.628725528717041
went 2 6 4 11.246745109558105 6.780152320861816 0
? 2 7 1 5.54890251159668 4.17062520980835 2.609527111053467
what 3 0 4 5.899620056152344 6.767085075378418 0
did 3 1 3 6.8205885887146 7.012754440307617 0
will 3 2 4 11.81261920928955 5.698708534240723 1.3140459060668945
ask 3 3 3 11.124342918395996 7.315845489501953 0
why 3 4 3 8.995923042297363 5.324573993682861 1.9912714958190918
<unk> 3 5 5 5.879738807678223 6.465030193328857 0
wears 3 6 5 15.345854759216309 6.094009876251221 0.3710203170776367
? 3 7 1 7.487375259399414 6.629185199737549 0
what 4 0 4 5.899620056152344 6.767085075378418 0
did 4 1 3 6.8205885887146 7.012754440307617 0
she 4 2 3 5.463521480560303 5.698708534240723 1.3140459060668945
say 4 3 3 3.318729877471924 6.499430179595947 0
that 4 4 4 4.340532302856445 5.401866436004639 1.0975637435913086
will 4 5 4 10.606032371520996 6.4912519454956055 0
thinks 4 6 6 13.531620025634766 6.917053699493408 0
he 4 7 2 6.506583213806152 6.095452308654785 0.821601390838623
knows 4 8 5 11.23361587524414 5.8072638511657715 0.28818845748901367
where 4 9 5 9.159652709960938 5.498806476593018 0.3084573745727539
<unk> 4 10 5 5.683108806610107 6.210557460784912 0
announced 4 11 9 15.754542350769043 6.185212135314941 0.025345325469970703
? 4 12 1 6.065402507781982 4.927555561065674 1.2576565742492676
what 5 0 4 5.899620056152344 6.767085075378418 0
did 5 1 3 6.8205885887146 7.012754440307617 0
they 5 2 4 6.65263032913208 5.698708534240723 1.3140459060668945
not 5 3 3 7.874126434326172 6.7258501052856445 0
like 5 4 4 4.146235942840576 6.05656623840332 0.6692838668823242
that 5 5 4 4.0914764404296875 5.937103271484375 0.11946296691894531
<unk> 5 6 5 7.3116841316223145 6.493488788604736 0
wonders 5 7 7 18.144821166992188 6.199628829956055 0.29385995864868164
how 5 8 3 6.8738298416137695 4.928218841552734 1.2714099884033203
<unk> 5 9 5 6.773379802703857 3.80708384513855 1.1211349964141846
was 5 10 3 8.272391319274902 6.2124834060668945 0
? 5 11 1 4.033668518066406 7.618865966796875 0
what 6 0 4 5.899620056152344 6.767085075378418 0
did 6 1 3 6.8205885887146 7.012754440307617 0
<unk> 6 2 5 6.470475673675537 5.698708534240723 1.3140459060668945
ask 6 3 3 12.25374984741211 6.686248779296875 0
when 6 4 4 9.680419921875 5.232000350952148 1.4542484283447266
<unk> 6 5 5 5.511722087860107 6.553859233856201 0
ate 6 6 3 13.26285457611084 6.122074127197266 0.43178510665893555
? 6 7 1 6.594184875488281 6.024842739105225 0.09723138809204102
what 7 0 4 5.899620056152344 6.767085075378418 0
does 7 1 4 10.868925094604492 7.012754440307617 0
<unk> 7 2 5 7.115623474121094 5.569460868835449 1.443293571472168
wonder 7 3 6 15.885284423828125 6.352658748626709 0
where 7 4 5 8.780374526977539 3.739718437194824 2.6129403114318848
<unk> 7 5 5 5.692693710327148 6.507407188415527 0
buys 7 6 4 17.459300994873047 6.452066898345947 0.05534029006958008
? 7 7 1 7.724941253662109 6.350281238555908 0.10178565979003906
what 8 0 4 5.899620056152344 6.767085075378418 0
does 8 1 4 10.868925094604492 7.012754440307617 0
will 8 2 4 11.819880485534668 5.569460868835449 1.443293571472168
wonder 8 3 6 12.782052993774414 7.211427211761475 0
how 8 4 3 6.200344562530518 3.962536573410034 3.2488906383514404
he 8 5 2 7.512768268585205 4.063884735107422 0
will 8 6 4 9.478025436401367 6.034311771392822 0
read 8 7 4 9.355422019958496 7.727567672729492 0
? 8 8 1 6.237515449523926 4.9646453857421875 2.7629222869873047
how 9 0 3 10.30842113494873 6.767085075378418 0
did 9 1 3 6.114963054656982 4.79082727432251 1.9762578010559082
he 9 2 2 6.922871112823486 6.5287065505981445 0
hear 9 3 4 9.249503135681152 6.937585353851318 0
that 9 4 4 5.563294887542725 6.358534336090088 0.5790510177612305
<unk> 9 5 5 6.673252105712891 6.870512008666992 0
thinks 9 6 6 12.065353393554688 6.442302703857422 0.4282093048095703
he 9 7 2 6.638247489929199 5.985506057739258 0.45679664611816406
knows 9 8 5 11.135751724243164 5.7128400802612305 0.27266597747802734
where 9 9 5 8.967450141906738 5.422738552093506 0.2901015281677246
